,rank,title,icon,↓Total ratings,Installs,Average rating,Growth (30 days),Growth (60 days),Price,app_id,category
0,1.0,Roblox,,"16,297,744",100.0 M,4.46,4.4%,9.4%,Free,com.roblox.client,GAME_ADVENTURE
1,2.0,Pokémon GO,,"13,760,494",100.0 M,4.04,0.8%,1.8%,Free,com.nianticlabs.pokemongo,GAME_ADVENTURE
2,3.0,Criminal Case,,"4,222,806",100.0 M,4.52,0.2%,0.4%,Free,com.prettysimple.criminalcaseandroid,GAME_ADVENTURE
3,4.0,쿠키런 for Kakao,,"2,559,600",10.0 M,4.27,0.0%,0.0%,Free,com.devsisters.CookieRunForKakao,GAME_ADVENTURE
4,5.0,Kiloblocks Lite,,"2,080,115",100.0 M,3.86,0.0%,0.0%,Free,com.explorationbase.ExplorationLite,GAME_ADVENTURE
5,6.0,Harry Potter: Hogwarts Mystery,,"1,892,431",10.0 M,4.12,1.4%,2.5%,Free,com.tinyco.potter,GAME_ADVENTURE
6,7.0,Mini World: Block Art,,"1,598,575",50.0 M,4.38,3.3%,9.3%,Free,com.playmini.miniworld,GAME_ADVENTURE
7,8.0,BADLAND,,"1,570,833",10.0 M,4.53,0.1%,0.3%,Free,com.frogmind.badland,GAME_ADVENTURE
8,9.0,Ice Age Adventures,,"1,425,547",50.0 M,4.27,0.1%,0.2%,Free,com.gameloft.android.ANMP.GloftIVHM,GAME_ADVENTURE
9,10.0,Clumsy Ninja,,"1,267,932",10.0 M,4.35,0.2%,0.4%,Free,com.naturalmotion.clumsyninja,GAME_ADVENTURE
10,11.0,The Walking Dead: Season One,,"1,263,848",10.0 M,4.48,0.2%,0.4%,Free,com.telltalegames.walkingdead100,GAME_ADVENTURE
11,12.0,Benji Bananas,,"1,151,644",50.0 M,4.44,0.2%,0.3%,Free,com.fingersoft.benjibananas,GAME_ADVENTURE
12,13.0,PK XD - Explore and Play with your Friends!,,"1,131,261",50.0 M,4.33,11.9%,28.7%,Free,com.movile.playkids.pkxd,GAME_ADVENTURE
13,14.0,KIM KARDASHIAN: HOLLYWOOD,,"1,087,281",10.0 M,4.32,0.1%,0.3%,Free,com.glu.stardomkim,GAME_ADVENTURE
14,15.0,Hidden City: Hidden Object Adventure,,"1,041,407",10.0 M,4.33,0.3%,0.6%,Free,com.g5e.hiddencity.android,GAME_ADVENTURE
15,16.0,Family Guy The Quest for Stuff,,"1,006,487",10.0 M,3.93,0.0%,0.0%,Free,com.tinyco.familyguy,GAME_ADVENTURE
16,17.0,Growtopia,,"970,172",10.0 M,3.47,0.5%,1.1%,Free,com.rtsoft.growtopia,GAME_ADVENTURE
17,18.0,The Secret Society - Hidden Objects Mystery,,"886,688",5.0 M,4.35,0.1%,0.2%,Free,com.g5e.secretsociety,GAME_ADVENTURE
18,19.0,Tiny Miner,,"751,933",5.0 M,4.61,0.0%,0.1%,Free,com.qube.tinyminer,GAME_ADVENTURE
19,20.0,Murder in the Alps,,"733,264",10.0 M,4.2,1.2%,2.6%,Free,com.nordcurrent.murderinalps,GAME_ADVENTURE
