,rank,title,icon,↓Total ratings,Installs,Average rating,Growth (30 days),Growth (60 days),Price,app_id,category
0,1.0,Yu-Gi-Oh! Duel Links,,"2,014,819",10.0 M,4.43,0.7%,1.3%,Free,jp.konami.duellinks,GAME_CARD
1,2.0,Hearthstone,,"1,716,927",10.0 M,3.97,0.3%,0.7%,Free,com.blizzard.wtcg.hearthstone,GAME_CARD
2,3.0,Solitaire,,"1,546,339",100.0 M,4.51,0.2%,0.4%,Free,com.mobilityware.solitaire,GAME_CARD
3,4.0,World Series of Poker WSOP Free Texas Holdem Poker,,"1,328,266",50.0 M,4.37,0.8%,1.6%,Free,com.playtika.wsop.gp,GAME_CARD
4,5.0,Castle Crush: Epic Battle - Free Strategy Games,,"1,189,694",10.0 M,4.35,1.2%,2.4%,Free,com.tfgco.games.strategy.free.castlecrush,GAME_CARD
5,6.0,Live Hold’em Pro Poker - Free Casino Games,,"1,121,460",10.0 M,4.21,0.0%,0.0%,Free,com.dragonplay.liveholdempro,GAME_CARD
6,7.0,Pyramid Solitaire Saga,,"1,055,797",10.0 M,4.59,0.2%,0.4%,Free,com.king.pyramidsolitairesaga,GAME_CARD
7,8.0,UNO!™,,"725,501",50.0 M,3.94,3.1%,6.5%,Free,com.matteljv.uno,GAME_CARD
8,9.0,Solitaire Grand Harvest - Free Tripeaks Solitaire,,"722,157",10.0 M,4.53,2.0%,4.4%,Free,net.supertreat.solitaire,GAME_CARD
9,10.0,Solitaire,,"648,109",50.0 M,4.24,0.0%,0.0%,Free,com.kathleenOswald.solitaireGooglePlay,GAME_CARD
10,11.0,Solitaire TriPeaks: Play Free Solitaire Card Games,,"599,905",10.0 M,4.45,1.0%,1.9%,Free,com.gsn.android.tripeaks,GAME_CARD
11,12.0,Fairway Solitaire Blast,,"557,228",5.0 M,4.71,0.0%,0.1%,Free,air.com.bigfishgames.fairwayrevengegooguniversalf2p,GAME_CARD
12,13.0,Gin Rummy Plus,,"513,437",10.0 M,4.5,1.2%,2.2%,Free,net.peakgames.ginrummyplus,GAME_CARD
13,14.0,Spider Solitaire,,"492,051",10.0 M,4.54,0.7%,1.3%,Free,com.mobilityware.spider,GAME_CARD
14,15.0,Truco Blyts,,"478,182",10.0 M,4.47,0.6%,1.4%,Free,com.blyts.trucolite.activities,GAME_CARD
15,16.0,Deck Heroes: Legacy,,"469,886",10.0 M,4.32,0.0%,0.0%,Free,com.igg.bzbee.deckheroes,GAME_CARD
16,17.0,Poker Games: World Poker Club,,"463,464",10.0 M,4.55,0.9%,1.9%,Free,air.ru.crazypanda.wpcm,GAME_CARD
17,18.0,Solitaire,,"455,945",10.0 M,4.63,1.9%,4.2%,Free,com.lemongame.klondike.solitaire,GAME_CARD
18,19.0,Yu-Gi-Oh! Duel Generation,,"449,736",10.0 M,4.15,0.4%,0.8%,Free,com.konami.ygodgtest,GAME_CARD
19,20.0,Solitaire!,,"442,570",10.0 M,4.57,0.4%,0.7%,Free,com.spacegame.solitaire.basic,GAME_CARD
