,rank,title,icon,↓Total ratings,Installs,Average rating,Growth (30 days),Growth (60 days),Price,app_id
0,1.0,"
Zynga Poker – Free Texas Holdem Online Card Games
",,"2,387,346",50.0 M,4.46,0.7%,1.4%,Free,com.zynga.livepoker
1,2.0,"
Slotomania™ Slots Casino: Vegas Slot Machine Games
",,"1,617,779",50.0 M,4.37,0.8%,1.6%,Free,air.com.playtika.slotomania
2,3.0,"
Teen Patti by Octro - Indian Poker Card Game
",,"1,412,462",50.0 M,4.44,0.2%,0.5%,Free,com.octro.teenpatti
3,4.0,"
Coin Dozer: Sweepstakes
",,"1,379,260",50.0 M,4.59,0.8%,1.6%,Free,com.leftover.CoinDozer
4,5.0,"
Slots: House of Fun™️ Casino Slot Machine Games
",,"1,254,424",10.0 M,4.56,1.2%,2.4%,Free,com.pacificinteractive.HouseOfFun
5,6.0,"
Teen Patti Gold - 3 Patti, Poker, Rummy Card Game
",,"1,240,390",50.0 M,4.6,1.4%,2.8%,Free,com.teenpatti.hd.gold
6,7.0,"
Scatter Slots - Free Casino Games & Vegas Slots
",,"1,021,467",10.0 M,4.62,1.7%,3.5%,Free,com.murka.scatterslots
7,8.0,"
Lucky Day - Win Real Money
",,"857,789",10.0 M,4.56,4.8%,9.2%,Free,com.luckyday.app
8,9.0,"
Jackpot Party Casino: Free Slots Casino Games
",,"776,693",10.0 M,4.59,0.9%,1.7%,Free,com.williamsinteractive.jackpotparty
9,10.0,"
myVEGAS Slots - Las Vegas Casino Slot Machines
",,"726,939",10.0 M,4.64,0.5%,1.2%,Free,com.playstudios.myvegas
10,11.0,"
Huuuge Casino Slots - Best Slot Machines
",,"649,312",10.0 M,4.31,1.3%,2.3%,Free,com.huuuge.casino.slots
11,12.0,"
Bingo Bash: Live Bingo Games & Free Slots By GSN
",,"607,562",10.0 M,4.54,0.3%,0.5%,Free,air.com.bitrhymes.bingo
12,13.0,"
DoubleU Casino - Free Slots
",,"587,545",10.0 M,4.46,0.9%,1.6%,Free,com.doubleugames.DoubleUCasino
13,14.0,"
Bingo Showdown: Free Bingo Game – Live Bingo
",,"586,989",1.0 M,4.7,0.2%,0.6%,Free,air.com.spicerackmedia.bingoshowdown
14,15.0,"
DH Texas Poker - Texas Hold'em
",,"578,950",10.0 M,4.21,0.1%,0.2%,Free,com.droidhen.game.poker
15,16.0,"
Jackpot Slot Machines - Slots Era™ Vegas Casino
",,"560,727",5.0 M,4.61,1.5%,3.1%,Free,com.murka.slotsera
16,17.0,"
Caesars Slots: Free Slot Machines & Casino Games
",,"540,593",10.0 M,4.42,0.9%,1.7%,Free,com.playtika.caesarscasino
17,18.0,"
BLACKJACK!
",,"538,420",10.0 M,4.57,0.2%,0.4%,Free,com.genina.android.blackjack.view
18,19.0,"
Gold Fish Casino Slots – Free Online Slot Machines
",,"519,668",5.0 M,4.77,0.5%,1.0%,Free,com.williamsinteractive.goldfish
19,20.0,"
Hit it Rich! Free Casino Slots
",,"472,715",5.0 M,4.45,0.2%,0.4%,Free,com.zynga.hititrich
