,rank,title,icon,↓Total ratings,Installs,Average rating,Growth (30 days),Growth (60 days),Price,app_id,category
0,1.0,WhatsApp Messenger,,"121,592,845",5000.0 M,4.3,1.6%,3.3%,Free,com.whatsapp,GAME_FAMILY
1,2.0,Instagram,,"106,703,733",1000.0 M,4.44,1.3%,2.8%,Free,com.instagram.android,GAME_FAMILY
2,3.0,Facebook,,"103,653,413",5000.0 M,4.17,0.8%,1.7%,Free,com.facebook.katana,GAME_FAMILY
3,4.0,YouTube,,"83,664,517",5000.0 M,4.14,3.0%,6.4%,Free,com.google.android.youtube,GAME_FAMILY
4,5.0,Messenger – Text and Video Chat for Free,,"74,620,022",1000.0 M,4.25,0.5%,1.2%,Free,com.facebook.orca,GAME_FAMILY
5,6.0,Garena Free Fire: BOOYAH Day,,"65,267,584",500.0 M,4.13,6.3%,10.1%,Free,com.dts.freefireth,GAME_FAMILY
6,7.0,Clash of Clans,,"53,561,581",500.0 M,4.48,0.4%,0.8%,Free,com.supercell.clashofclans,GAME_FAMILY
7,8.0,Subway Surfers,,"34,052,715",1000.0 M,4.44,0.8%,1.8%,Free,com.kiloo.subwaysurf,GAME_FAMILY
8,9.0,PUBG MOBILE - NEW ERA,,"32,846,902",100.0 M,4.16,2.5%,5.0%,Free,com.tencent.ig,GAME_FAMILY
9,10.0,Google Play services,,"31,541,143",10000.0 M,4.25,1.5%,3.1%,Free,com.google.android.gms,GAME_FAMILY
10,11.0,Candy Crush Saga,,"29,577,124",1000.0 M,4.59,0.7%,1.4%,Free,com.king.candycrushsaga,GAME_FAMILY
11,12.0,Clash Royale,,"29,511,782",100.0 M,4.22,0.7%,1.5%,Free,com.supercell.clashroyale,GAME_FAMILY
12,13.0,Google Photos,,"28,976,456",1000.0 M,4.47,2.8%,6.0%,Free,com.google.android.apps.photos,GAME_FAMILY
13,14.0,TikTok - Trends Start Here,,"25,947,374",1000.0 M,4.52,5.2%,11.2%,Free,com.zhiliaoapp.musically,GAME_FAMILY
14,15.0,Google Chrome: Fast & Secure,,"24,650,831",5000.0 M,4.09,3.5%,7.4%,Free,com.android.chrome,GAME_FAMILY
15,16.0,Snapchat,,"23,673,705",1000.0 M,4.3,1.3%,2.7%,Free,com.snapchat.android,GAME_FAMILY
16,17.0,Mobile Legends: Bang Bang,,"22,488,812",100.0 M,4.01,3.0%,6.2%,Free,com.mobile.legends,GAME_FAMILY
17,18.0,"UC Browser- Free & Fast Video Downloader, News App",,"21,691,076",500.0 M,3.92,0.2%,0.4%,Free,com.UCMobile.intl,GAME_FAMILY
18,19.0,"Spotify: Listen to new music, podcasts, and songs",,"20,243,020",500.0 M,4.5,1.7%,3.5%,Free,com.spotify.music,GAME_FAMILY
19,20.0,8 Ball Pool,,"19,674,669",500.0 M,4.42,1.0%,1.7%,Free,com.miniclip.eightballpool,GAME_FAMILY
