,rank,title,icon,↓Total ratings,Installs,Average rating,Growth (30 days),Growth (60 days),Price,app_id,category
0,1.0,Magic Tiles 3,,"1,842,154",100.0 M,4.09,3.5%,8.3%,Free,com.youmusic.magictiles,GAME_MUSIC
1,2.0,Tiles Hop: EDM Rush!,,"1,613,474",100.0 M,4.3,7.4%,15.3%,Free,com.amanotes.beathopper,GAME_MUSIC
2,3.0,My Singing Monsters,,"1,321,378",10.0 M,4.62,0.5%,1.0%,Free,com.bigbluebubble.singingmonsters.full,GAME_MUSIC
3,4.0,Piano Free - Keyboard with Magic Tiles Music Games,,"1,224,852",100.0 M,4.11,0.8%,1.7%,Free,com.gismart.realpianofree,GAME_MUSIC
4,5.0,Just Dance Now,,"1,039,520",10.0 M,3.82,1.1%,2.3%,Free,com.ubisoft.dance.JustDance,GAME_MUSIC
5,6.0,Dream Piano - Music Game,,"648,316",50.0 M,4.44,1.1%,2.3%,Free,com.eyu.piano,GAME_MUSIC
6,7.0,Rock Hero,,"638,336",50.0 M,4.24,0.0%,0.1%,Free,com.grillgames.guitarrockhero,GAME_MUSIC
7,8.0,"Real Guitar Free - Chords, Tabs & Simulator Games",,"582,038",50.0 M,3.79,0.9%,2.0%,Free,com.gismart.guitar,GAME_MUSIC
8,9.0,Cytus,,"566,381",5.0 M,4.62,0.1%,0.3%,Free,com.rayark.Cytus.full,GAME_MUSIC
9,10.0,DEEMO,,"545,893",5.0 M,4.66,0.2%,0.3%,Free,com.rayark.pluto,GAME_MUSIC
10,11.0,Dancing Road: Color Ball Run!,,"491,495",100.0 M,4.14,6.0%,15.8%,Free,com.amanotes.pamadancingroad,GAME_MUSIC
11,12.0,SongPop,,"403,327",10.0 M,4.36,0.0%,0.0%,Free,air.com.freshplanet.games.WaM,GAME_MUSIC
12,13.0,Music Hero - Rhythm Beat Tap,,"372,397",10.0 M,4.1,0.0%,0.0%,Free,com.wordsmobile.musichero,GAME_MUSIC
13,14.0,Real Piano Teacher,,"346,595",10.0 M,4.55,1.2%,2.4%,Free,com.nojoke.realpianoteacher,GAME_MUSIC
14,15.0,Piano Music Go 2020: EDM Piano Games,,"309,594",10.0 M,4.35,4.1%,9.2%,Free,com.joyjourney.PianoWhiteGo,GAME_MUSIC
15,16.0,Piano Kids - Music & Songs,,"278,058",50.0 M,4.46,6.6%,13.6%,Free,com.orange.kidspiano.music.songs,GAME_MUSIC
16,17.0,Drum Set Music Games & Drums Kit Simulator,,"243,317",10.0 M,3.7,0.4%,0.9%,Free,com.gismart.realdrum2free,GAME_MUSIC
17,18.0,Beat Blade: Dash Dance,,"242,064",10.0 M,4.17,9.1%,41.6%,Free,com.dropthebeat.beatblade,GAME_MUSIC
18,19.0,BEAT MP3 - Rhythm Game,,"239,700",10.0 M,3.99,0.0%,0.0%,Free,com.studio7775.BeatMP3,GAME_MUSIC
19,20.0,Dancing Ballz: Magic Dance Line Tiles Game,,"229,859",10.0 M,4.2,0.9%,1.8%,Free,com.amanotes.db,GAME_MUSIC
