,rank,title,icon,↓Total ratings,Installs,Average rating,Growth (30 days),Growth (60 days),Price,app_id,category
0,1.0,Hill Climb Racing,,"9,862,126",500.0 M,4.31,0.5%,0.9%,Free,com.fingersoft.hillclimb,GAME_RACING
1,2.0,Asphalt 8: Airborne - Fun Real Car Racing Game,,"9,336,820",100.0 M,4.33,0.4%,0.8%,Free,com.gameloft.android.ANMP.GloftA8HM,GAME_RACING
2,3.0,Traffic Rider,,"7,272,289",100.0 M,4.38,0.5%,1.0%,Free,com.skgames.trafficrider,GAME_RACING
3,4.0,Real Racing  3,,"6,495,672",100.0 M,4.36,0.3%,0.6%,Free,com.ea.games.r3_row,GAME_RACING
4,5.0,Traffic Racer,,"5,913,647",100.0 M,4.49,0.3%,0.6%,Free,com.skgames.trafficracer,GAME_RACING
5,6.0,Dr. Driving,,"5,818,744",100.0 M,4.2,0.5%,1.0%,Free,com.ansangha.drdriving,GAME_RACING
6,7.0,Need for Speed™ No Limits,,"4,287,173",100.0 M,4.08,0.7%,1.4%,Free,com.ea.game.nfs14_row,GAME_RACING
7,8.0,CSR Racing 2 – Free Car Racing Game,,"4,231,519",10.0 M,4.59,0.9%,1.9%,Free,com.naturalmotion.customstreetracer2,GAME_RACING
8,9.0,Hill Climb Racing 2,,"3,897,891",100.0 M,4.37,0.7%,1.3%,Free,com.fingersoft.hcr2,GAME_RACING
9,10.0,Angry Birds Go!,,"3,876,747",100.0 M,4.27,0.0%,0.0%,Free,com.rovio.angrybirdsgo,GAME_RACING
10,11.0,Extreme Car Driving Simulator,,"3,170,103",100.0 M,4.19,1.3%,2.6%,Free,com.aim.racing,GAME_RACING
11,12.0,Bike Race Free - Top Motorcycle Racing Games,,"2,888,133",100.0 M,4.27,0.4%,0.8%,Free,com.topfreegames.bikeracefreeworld,GAME_RACING
12,13.0,Drag Racing,,"2,678,357",100.0 M,4.41,0.0%,0.1%,Free,com.creativemobile.DragRacing,GAME_RACING
13,14.0,CSR Racing,,"2,486,656",50.0 M,4.53,0.0%,0.0%,Free,com.naturalmotion.csrracing,GAME_RACING
14,15.0,Beach Buggy Racing,,"1,970,918",100.0 M,4.41,1.2%,2.5%,Free,com.vectorunit.purple.googleplay,GAME_RACING
15,16.0,Fast Racing 3D,,"1,839,500",100.0 M,4.39,0.1%,0.1%,Free,com.julian.fastracing,GAME_RACING
16,17.0,GT Racing 2: The Real Car Exp,,"1,754,219",10.0 M,4.38,0.1%,0.2%,Free,com.gameloft.android.ANMP.GloftRAHM,GAME_RACING
17,18.0,Asphalt 9: Legends - Epic Car Action Racing Game,,"1,734,699",50.0 M,4.47,3.7%,7.2%,Free,com.gameloft.android.ANMP.GloftA9HM,GAME_RACING
18,19.0,Fun Race 3D,,"1,715,857",100.0 M,4.17,2.4%,4.9%,Free,com.slippy.linerusher,GAME_RACING
19,20.0,Earn to Die 2,,"1,694,988",100.0 M,4.35,1.3%,2.2%,Free,com.notdoppler.earntodie2,GAME_RACING
