,rank,title,icon,↓Total ratings,Installs,Average rating,Growth (30 days),Growth (60 days),Price,app_id,category
0,1.0,"
MARVEL Future Fight
",,"2,737,268",50.0 M,4.45,0.3%,0.6%,Free,com.netmarble.mherosgb,GAME_ROLE_PLAYING
1,2.0,"
Angry Birds Epic RPG
",,"2,655,015",10.0 M,4.56,0.0%,0.0%,Free,com.rovio.gold,GAME_ROLE_PLAYING
2,3.0,"
Shadow Fight 3
",,"2,446,018",50.0 M,4.03,1.5%,3.4%,Free,com.nekki.shadowfight3,GAME_ROLE_PLAYING
3,4.0,"
Flight Pilot Simulator 3D Free
",,"2,422,035",50.0 M,4.34,0.6%,1.1%,Free,com.fungames.flightpilot,GAME_ROLE_PLAYING
4,5.0,"
Avakin Life - 3D Virtual World
",,"2,260,058",50.0 M,4.32,3.4%,6.5%,Free,com.lockwoodpublishing.avakinlife,GAME_ROLE_PLAYING
5,6.0,"
Summoners War
",,"2,198,088",50.0 M,4.33,0.2%,0.5%,Free,com.com2us.smon.normal.freefull.google.kr.android.common,GAME_ROLE_PLAYING
6,7.0,"
Eternium
",,"2,046,070",10.0 M,4.8,1.2%,2.3%,Free,com.makingfun.mageandminions,GAME_ROLE_PLAYING
7,8.0,"
AFK Arena
",,"1,937,426",10.0 M,4.63,6.8%,13.1%,Free,com.lilithgame.hgame.gp,GAME_ROLE_PLAYING
8,9.0,"
Star Wars™: Galaxy of Heroes
",,"1,596,201",10.0 M,4.32,0.8%,1.8%,Free,com.ea.game.starwarscapital_row,GAME_ROLE_PLAYING
9,10.0,"
몬스터 길들이기
",,"1,504,581",10.0 M,4.04,0.1%,0.1%,Free,com.cjenm.monster,GAME_ROLE_PLAYING
10,11.0,"
Tap Titans
",,"1,342,357",10.0 M,4.8,0.0%,0.1%,Free,com.gamehivecorp.taptitans,GAME_ROLE_PLAYING
11,12.0,"
Hustle Castle: Medieval games in the kingdom
",,"1,284,492",10.0 M,4.35,1.6%,2.5%,Free,com.my.hc.rpg.kingdom.simulator,GAME_ROLE_PLAYING
12,13.0,"
Darkness Rises
",,"1,230,843",10.0 M,4.47,1.9%,3.9%,Free,com.nexon.da3.global,GAME_ROLE_PLAYING
13,14.0,"
MovieStarPlanet
",,"1,154,999",10.0 M,4.04,0.3%,0.5%,Free,air.MSPMobile,GAME_ROLE_PLAYING
14,15.0,"
Magic Rush: Heroes
",,"1,115,839",10.0 M,4.41,0.1%,0.3%,Free,com.moonton.magicrush,GAME_ROLE_PLAYING
15,16.0,"
세븐나이츠
",,"947,181",10.0 M,3.78,0.1%,0.1%,Free,com.cjenm.sknights,GAME_ROLE_PLAYING
16,17.0,"
Kritika: The White Knights
",,"872,152",10.0 M,4.34,0.1%,0.2%,Free,com.gamevil.kritikamobile.android.google.global.normal,GAME_ROLE_PLAYING
17,18.0,"
Shakes and Fidget
",,"806,515",5.0 M,4.67,0.9%,1.9%,Free,com.playagames.shakesfidget,GAME_ROLE_PLAYING
18,19.0,"
FINAL FANTASY  BRAVE EXVIUS
",,"799,208",10.0 M,4.23,0.2%,0.4%,Free,com.square_enix.android_googleplay.FFBEWW,GAME_ROLE_PLAYING
19,20.0,"
RPG Toram Online
",,"767,408",5.0 M,4.48,1.0%,2.0%,Free,com.asobimo.toramonline,GAME_ROLE_PLAYING
