,rank,title,icon,↓Total ratings,Installs,Average rating,Growth (30 days),Growth (60 days),Price,app_id,category
0,1.0,Word Cookies!®,,"2,230,748",10.0 M,4.59,0.1%,0.2%,Free,com.bitmango.go.wordcookies,GAME_WORD
1,2.0,كلمات كراش - لعبة تسلية وتحدي من زيتونة,,"2,010,996",10.0 M,4.7,1.9%,3.9%,Free,com.zytoona.wordscrush,GAME_WORD
2,3.0,Words with Friends Classic: Word Puzzle Challenge,,"1,719,473",50.0 M,4.2,0.0%,0.0%,Free,com.zynga.words,GAME_WORD
3,4.0,Words of Wonders: Crossword to Connect Vocabulary,,"1,601,756",50.0 M,4.52,1.5%,3.2%,Free,com.fugo.wow,GAME_WORD
4,5.0,4 Fotos 1 Palabra,,"1,190,139",50.0 M,4.48,0.3%,0.5%,Free,de.lotum.whatsinthefoto.es,GAME_WORD
5,6.0,4 Pics 1 Word,,"1,156,305",50.0 M,4.51,0.2%,0.3%,Free,de.lotum.whatsinthefoto.us,GAME_WORD
6,7.0,Draw Something Classic,,"1,125,313",50.0 M,4.2,0.0%,0.1%,Free,com.omgpop.dstfree,GAME_WORD
7,8.0,WordBrain,,"957,968",10.0 M,4.45,0.0%,0.0%,Free,se.maginteractive.wordbrain,GAME_WORD
8,9.0,CodyCross: Crossword Puzzles,,"896,858",50.0 M,4.45,1.3%,2.9%,Free,com.fanatee.cody,GAME_WORD
9,10.0,Word Connect,,"870,009",10.0 M,4.59,1.4%,2.7%,Free,com.wordgame.words.connect,GAME_WORD
10,11.0,Wordscapes,,"856,156",10.0 M,4.65,1.3%,2.8%,Free,com.peoplefun.wordcross,GAME_WORD
11,12.0,كلمات متقاطعة,,"753,738",10.0 M,4.65,0.3%,0.7%,Free,com.andron.crosswords2,GAME_WORD
12,13.0,لعبة كلمة السر : الجزء الثاني,,"737,921",10.0 M,4.67,0.9%,2.0%,Free,com.zytoona.lostword2,GAME_WORD
13,14.0,Words with Friends: Play Fun Word Puzzle Games,,"734,790",10.0 M,4.16,0.0%,0.1%,Free,com.zynga.wwf2.free,GAME_WORD
14,15.0,وصلة - لعبة كلمات متقاطعة,,"723,144",5.0 M,4.62,0.4%,0.8%,Free,zozo.android.crosswords,GAME_WORD
15,16.0,Word Snack - Your Picnic with Words,,"659,136",5.0 M,4.64,0.2%,0.4%,Free,com.apnax.wordsnack,GAME_WORD
16,17.0,Word search,,"643,721",50.0 M,4.46,0.0%,0.0%,Free,com.quelaba.sopaletras,GAME_WORD
17,18.0,Wordfeud Free,,"610,202",10.0 M,4.45,0.2%,0.4%,Free,com.hbwares.wordfeud.free,GAME_WORD
18,19.0,Word Search,,"610,191",10.0 M,4.48,0.3%,0.6%,Free,com.wordloco.wordchallenge,GAME_WORD
19,20.0,Word Search,,"512,507",10.0 M,4.69,0.0%,0.0%,Free,ws.letras,GAME_WORD
