,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Bruna Alves,https://play-lh.googleusercontent.com/-xoCyKCMYTr0/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclLI_KnzKfRIbF3ml8o57fT7mR-1Q/photo.jpg,"Toda vez, é toda vez que eu instalo não entra espero que melhore esse jogo porque meu deus vocês não sabem o quanto eu quero jogar esse jogo vocês não sabem não sabem : (",1,12,42.0.4,2020-10-05 10:21:45
1,malu gemes,https://play-lh.googleusercontent.com/a-/AOh14GjGYIQqdwZx1JA93CgWnaKUxTsRR8qUKCv7I7CMSg,"Oi,entao eu vim pra fala desse jogo.EU sou gemer gosto de jogos diferentes so que este me decepiscionou muito , de primeiro eu istalei achando que era legal de boa,so que eu entrei fis meu avatar ,e eu absolutamente nao intendi nd pq nao tem opçaos para portugue entao eu nao intendi nd . Mais ate ai de boas.E eu acho que eles tenque melhorar um pouco ne ,mesmo eles nao sendo daqui eles podem muito bem botas opçao pra portugues ne entao espero quee vc melhorem muito ta ,essa e minha op..",1,121,39.1.0,2020-06-02 11:18:51
2,viajando nos games com Tainá,https://play-lh.googleusercontent.com/-whI5nQGDlls/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmHtz8kbf6dHabOxe6CwNWBsfs_cg/photo.jpg,Esse jogo esse jogo é ruim péssimo horroroso quando a gente tenta entrar não aparece nada só fica aparecendo nem tem Brasil tá para poder entrar você tem que ler espanhola Se você souber né o espanhol e ainda quando a gente vai entrar e para botar lá a senha tem que fazer uma senha difícil muito difícil que você nem sabe depois como entrar de novo porque assim é difícil você esquece esse jogo é horroroso nunca vi um jogo tão ruim como esse caramba vê se melhora aí tá o administrador alguma coisa,1,96,39.1.0,2020-05-31 14:50:48
3,Pancake Dog,https://play-lh.googleusercontent.com/a-/AOh14GhCoUv_qEdytJAiQXa2DWn0eb5VMVK7sLKo477WtQ,"Eu não consigo mais jogar! Quando tento logar em minha conta, simplesmente fala que a senha está incorreta. Quando tento mudar minha senha fala que eu não confirmei meu e-mail, e quando tento confirmar meu e-mail ele me traz para a Google apps! Gostava do jogo, mas não consigo mais jogar. Péssimo!",1,28,26.0.0,2019-03-04 14:00:15
4,๑ Djabin ๑,https://play-lh.googleusercontent.com/a-/AOh14GgjGiUaSbAgsIKDyfipQtBVbauC7U5iF8DE5F9hJQ,"Muito bom! Pena que não tem server br nem nada mas eu adorei, jogo desde 2015 pelo meu notebook antigo e pelo site :)",5,1,41.0.2,2020-09-14 13:48:09
5,Rocilda Joventino,https://play-lh.googleusercontent.com/-TpCORbiWyT4/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucn4EgGf3WRJGxiQl6vHFXVkVXNd5g/photo.jpg,Vc tinha rasão esse jogo é pessimo não dá para abrir quando vc instala esse jogo é muito ruim vcs não baixen esse jogo essa é minha opinião tchau para todos,1,0,40.0.3,2020-08-14 20:50:41
6,Choie Lin,https://play-lh.googleusercontent.com/a-/AOh14GiH3Sh4A-1NznPh4WbQvD6a50TxI8bT4nNGQdu5yA,"Acho que eu poderia gostar do jogo se tivesse a opção para deixá-lo em português, seria ótimo se tivesse um servidor pra Brasileiros e Portugueses, assim poderíamos ter mais facilidade de encontrar pessoas legais, porque sem amigos em um jogo online você enjoa facilmente.",2,22,,2019-09-03 18:26:59
7,I lost my name,https://play-lh.googleusercontent.com/a-/AOh14GiyZuvpToHLJvUikbUscU_LsfyAiawzQz6LWsOT,"O jogo é ótimo, tem roupas maravilhosas e cabelos também, não irão se arrepender se instalarem o jogo, as críticas negativas são por causa do celular, não do jogo, não estou tendo problemas nenhuns ao entrar no jogo ou outra coisa",5,9,,2020-05-03 14:45:42
8,Daniel Souza,https://play-lh.googleusercontent.com/-h-eV4Ope2zY/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnHDmFO_HYaHD_VxQdkDhu03_EhLQ/photo.jpg,Gente não abaixe esse jogo por que ele é orrivel ele pode parecer bom mais e orrivel a pessoa abaixar e quando vai abrir fica parado não entra de jeito nenhum bom essa é minha opinião se quiser baixar abaixe aí vcs irão falar e mermo bem que ela falou aí vcs vai e desistala bom essa é minha opinião tchau e nu pra vcs todos,1,140,38.0.2,2020-04-18 12:53:16
9,erinalva silva 78,https://play-lh.googleusercontent.com/a-/AOh14Ggm42yYOTcCi_RI-dJdKekHRpOhRZt6Z_9YZFmsdg,Gente esse Jogo e incrível gente não caiam nessa outras pessoas falando que (AI NAO TEM BRASIL)mais é claro que não vai te Brasil se o jogo é francês né prestam atenção no que falam esse jogo e incrível da pra você ter animaçoes a e os que fala isso(AI NAO TEM BRASIL 🙄)Vai planta batatas pq vocês estão perdendo o melhor jogo (Moviestarplanet amo os jogos de vocês parabéns voces são incríveis 🤗,5,0,,2020-08-21 12:09:43
10,Isa Linda,https://play-lh.googleusercontent.com/-ab8o7IjZqVc/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmQaomwZYMSXH6ysn_XV5VMj0Z0eA/photo.jpg,"O jogo parecia ser bom,mas quando criei a minha conta simplesmente não vai...fiz tudo direitinho.Se vc não tiver paciência então não jogue esse jogo(foi uma dica ok)",1,2,,2020-06-06 10:52:37
11,Debora Aline,https://play-lh.googleusercontent.com/-mhexjuGuUak/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmB5m-CL96GNfd4lJjQ58DH_avNIA/photo.jpg,"Quando eu tento entrar o jogo não da , na parte de meter o ano e o mês ele cola e vem tem algum problema e não funciona mais.😟😟😟😟",1,61,39.0.1,2020-05-23 17:24:54
12,Lusia Rodrigues,https://play-lh.googleusercontent.com/-kGIaLKSI5g0/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuck-JYZ1wjsh20AYri_1PGxTSGDTtw/photo.jpg,"Para vocês senhores q dizem q o jogo não entra🙄: Bom. . . Na primeira linha vocês colocam o nome de usuário para o jogo, e na segunda VOCÊS COLOCAM A SENHA DO E-MAIL!!!! MEU DEUS!! POVO BURRO!! o jogo é ótimo.",5,3,,2020-06-06 10:15:17
13,Alessia Chiara Zaccaro,https://play-lh.googleusercontent.com/a-/AOh14GgLNnVRu873ly4O6vgoQmznhHiOK9bKOu0a0_q0,Ñ gostei quando vc abre vem i boneco pra vc personalizar e depois vc ñ sabe mais o que fazer vc se perde totalmente ñ gostei nenhum pouco na fotos tà uma coisa é quando instala é totalmente diferente pra maneirar dei mais 1 Estrela pra ficar 2 mais se vc por mim teria zero ou 1 Estrela que ódio,2,8,,2020-01-12 07:51:56
14,batatinha fofa,https://play-lh.googleusercontent.com/a-/AOh14Ggc7fQ3TeJMD0UNBXyHEDNYQw02gz16ltwx6dn91w,Eu gosto desse jogo mas eu tentei colocar a senha e não deu só isso que dá para valer Só que não dá é difícil colocar uma senha é muito mais só que tipo que tá minha meu jogo estava demorando para sair e agora todos que na mente o,2,9,,2019-09-15 22:47:05
