,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,benedita pereira,https://play-lh.googleusercontent.com/-LgPc5A7JQ8g/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnn7bVhn17opD9aG2UmEPpUyZEN8w/photo.jpg,O jogo não não quer abrir. Triste. Era meu preferido. Jogo ele todos os dias mas agora não tá abrindo. Já abri e fechei. Reiniciei celular. Desinstalei o jogo. E limpei o cachê e até agora não voltou a funcionar.,1,5,1.156.0,2020-09-14 18:47:29
1,Tayná Marcotúlio,https://play-lh.googleusercontent.com/a-/AOh14Gg3NLlhH894_baoIg_NfOonwODAh1ooweDNXU-G,Não consigo atualizar o App pois quando entro no jogo aparece atualizar o App. É sempre a mesma coisa. Tem 15 dias que eu atualizei esse App,2,5,1.155.1,2020-09-29 11:01:27
2,Damiaogutemberg Oliveira,https://play-lh.googleusercontent.com/-3HJNluGvDEI/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucn7oMKsTRgMMLZvOCMr9Y_t4uNLjg/photo.jpg,Adorava esse jogo mas com essa atualização não tô gostando pq quero jogar e só não falta abri as cartela .pra jogar não sei pq tá assim,3,4,1.134.1,2020-06-04 13:06:18
3,Aloisio Rodrigues,https://play-lh.googleusercontent.com/-w_zZwSPEdjE/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmtKKllU2YAvulWQyhckSyyERc7kQ/photo.jpg,"Zerei minhas fichas ,e agora não sei se ganho mais fichas gratuitamente ou só vou ter mais fichas se eu comprar, me ajudem por favor!!!",2,3,1.152.1,2020-07-04 23:15:43
4,4C GUIZNNsx,https://play-lh.googleusercontent.com/-z60Q16g18YY/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckXGUb_lxcI1fqOxyyFMqC2tO_PsQ/photo.jpg,"Adoro este jogo, e viciante. Deveriam ter fichas ilimitadas, assim como os Power plays, o jogo seria mais emocionante, daria mais oportunidade para as pessoas que tem poucas fichas de jogarem mais e por mais tempo, pensem nisso.",5,0,,2020-07-10 08:16:11
5,Maria Ferreira,https://play-lh.googleusercontent.com/-DrbUjd5YIqk/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmc_9SuPk-lPEdNYBxC572kvmqa8A/photo.jpg,"É bom, mas trava muito,e todo tempo tem que atualizar",2,1,1.153.1,2020-08-06 19:14:07
6,Ana Rodrigues,https://play-lh.googleusercontent.com/a-/AOh14GhwPbeW08hc2puo0Ljs1JR9aWgwl-6dgBXm4PYLJQ,Desde que fiz a última atualização não consigo jogar em condições e as vezes nem consigo entrar. Já desinstalei e voltei a instalar muitas vezes e não deu em nada.,1,0,1.109.2,2020-06-29 19:42:29
7,Adenilda Francisca,https://play-lh.googleusercontent.com/-HxQ1GK1gJHg/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnlSeIFg6vPWONsIs31rHxzap0Iog/photo.jpg,"Melhor jogo de bingo que já joguei, só acho que os prêmios diários poderia ser maior",5,1,1.153.1,2020-07-07 10:45:19
8,Atacado de Roupas Serra Gaúcha,https://play-lh.googleusercontent.com/a-/AOh14GgB---ZVgY8EOLUgDth3rja5XaoKeQJjH9qZDYy,Boa noite meu bingo não abre faz um tempo porque ele não abre vou desestalar se não voltar ...e não falo inglês por favor traduz pra mim entender mais gosto do jogo abre lá pra mim depois ponho mais estrelas 😎,3,33,1.133.1,2020-05-24 19:06:01
9,Sueli Alves Augusto,https://play-lh.googleusercontent.com/-FaemTYq08-E/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclTvqNQuTm1stiNij_LOG-G7sleiA/photo.jpg,"Por várias vezes ganhou bônus de pontos é qdo cliko os pontos somem,isso é sacanagem",2,0,1.155.0,2020-08-11 21:19:15
10,Aconteceu Comigo,https://play-lh.googleusercontent.com/a-/AOh14GhHc-SDJPvNreNyYe3K1bRsfUDPlrrDB6cLk2kg,"Esse é o melhor bingo que tem É como se ele fosse original Perfect Amazing Love Recomendo muitíssimo Muitos vêem os jogos parece que elas inventam as coisas, olhando as resenhas achei absurdo o que aquelas pessoas falaram porque esse jogo é muito legal ameeeeeei de paixão ele é original sabe não tem como descrever esse jogo eu recomendo bastante bastante bastante bastante bastante mesmo a cada letra que tiver nesse comentário vou usar por que o amei esse jogo ele é muito legal mesmo instaleeem",5,8,1.114.1,2020-03-31 19:46:41
11,Catharina O.,https://play-lh.googleusercontent.com/a-/AOh14GhPJfRUeufezUSyzYl5CmqtqUItV5AhBBypinitPjw,"Adoro o jogo, mas desanimei e desinstalei, pois dá poucas oportunidades de jogar, uma vez que as cartelas são caras para o número de fichas grátis que recolhemos, são muito poucas, infelizmente.",4,0,,2020-05-09 14:08:48
12,Juliana Pereira,https://play-lh.googleusercontent.com/-Afdn5i2sFWo/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmL7-Cw51uA9odVrq9kr-CKFUdGbA/photo.jpg,"Não está funcionando fica entrando uma mensagem depois que jogo dizendo que a partida não valeu , e tbm os players não estão funcionando . Continua não funcionando por favor arrumem .",3,19,1.106.0,2019-09-07 17:14:47
13,ierece Tite,https://play-lh.googleusercontent.com/-7QzML8Ecntc/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucl1L_66cxLZxO4Z5Mgx2Xv96HKYmQ/photo.jpg,"O melhor bingo , sempre com as melhores chances, jogos atraentes e divertidos. Extremamente viciante e apaixonante!!!",5,26,1.97.2,2019-05-13 09:02:33
14,renata saad,https://play-lh.googleusercontent.com/-QeRAetWLEI0/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmzANAZm0ZCr8zUPb1m6jMiylzCAA/photo.jpg,"Era muito bom, depois da atualização, ficou horrível, muito lento. Trava toda hora.",3,16,1.115.1,2020-04-06 11:18:17
15,Sara Corrêa Theodoro,https://play-lh.googleusercontent.com/a-/AOh14Gj2Nfetul8hYRHPkAp39q9ayOuIyaR8iLA9FxOM,"Desde que atualizou o novo formato, eu não consigo mais resgatar os bônus diários do Facebook, Instagram e e-mail. O que me desanimou de jogar.",3,9,1.117.2,2020-04-15 13:23:56
