,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Romulo Meira,https://play-lh.googleusercontent.com/a-/AOh14GgCqzgrJBz1BqATo-OmT7B2QoaPs2udlP2RTGmdcg,"Eu jogando há uns 4 anos atrás. Hoje fui instalar e manda instalar o Song pop 2. Eu instalo e na hora de abrir dar erro. Fala que não é compatível com meu celular. É meu celular é Novíssimo. Não entendo! Acho que estão querendo dinheiro, só pode. Não recomendo.",1,22,,2020-05-17 22:16:56
1,Alaine S.,https://play-lh.googleusercontent.com/-I3hYzXL-qTE/AAAAAAAAAAI/AAAAAAAANw4/AMZuucnbTrgPxqZ0I5UkWUdMs6yheJ0yHg/photo.jpg,"Quando instala aparece uma mensagem informando que o jogo não roda mais no IOS 12. Mas sendo que estou no Android??? WTF??? Enfim, é uma pena o descaso com os jogadores. Jogava há muitos anos e bateu saudade. Pelo visto, perdi todo meu progresso. 🤦‍♀️",1,9,2.13.5,2020-07-31 16:10:14
2,priscila oliveira,https://play-lh.googleusercontent.com/a-/AOh14Gjylql3B8tqR225RU33rZttk5wTWH1mQV8Lgn5csA,Eu não sei pq vocês não arrumam o formato desse jogo para todos os tipos de celular . Até hoje eu não jogo esse jogo . Arrumem logo isso.,1,0,,2020-08-15 22:46:59
3,Gabriela Jeronymo,https://play-lh.googleusercontent.com/a-/AOh14GjqUCupoRdVq1-Mro1XuZXazhCLRSuxrKnARQJ_ag,"poxa, eu adoro o jogo! Porém depois que troquei de celular ele está constando ""falhas no aplicativo"" e simplesmente não abre mais.Todos os outros jogos que eu tinha no meu zenfone estão funcionando perfeitamente, menos este. Espero que resolvam logo, meu celular é um Xiaomi redmi note 7",3,31,1.26.28,2019-06-28 12:44:21
4,Ana Lúcia Alves de Oliveira,https://play-lh.googleusercontent.com/a-/AOh14GiGaNvTNFnPLLeBQazMl4c4YZvDgSpIwylhu8fBjFQ,"Não consigo abrir no meu Android, pq ele fala que não é compatível com iOS!!!! Mas eu nem tenho iOS! Tinha 5 estrelas em vários estilos musicais. Perdi tudo? É isso mesmo?",1,5,1.26.28,2020-08-10 03:38:35
5,Sérgio coutinho Vieira Del Vecchio,https://play-lh.googleusercontent.com/a-/AOh14GiJ7uhCMXEKPU_EsBkq8Dimsfjz1rBGRnuBBQh9,"Adoro o jogo porém desde ontem não consigo logar, pede o email mas não entra, diz que vai enviar um login pro email mas também não envia, pede pra instalar versão mais atual mas dá erro na instalação. No FB outros usuários estão relatando o mesmo problema.",4,19,,2020-03-13 15:21:01
6,Flavio Cabral,https://play-lh.googleusercontent.com/a-/AOh14GjT-3hg3ltjxE4mI6wVrdzrFkPr391s40cPseTFWQ,"Estou tentando baixar esse jogo faz mais de um ano . E não tem como eu baixar . Pq ter um jogo nesse aplicativo se ninguém vai conseguir baixar ? Porque a empresa responsável por este jogo , não resolve esse problema ?????",1,10,,2019-10-16 06:21:20
7,Flávia Ap de J M dos Santos,https://play-lh.googleusercontent.com/a-/AOh14GizZF12fygUjxBhcwU_lVL2RAfijnvw0R1NHtMuGxE,"No PC diz que song pop vai acabar dia 31 de Dezembro, é verdade isso? Muito triste, amo esse jogo :(",5,0,,2020-09-25 09:26:25
8,Rosana Araujo,https://play-lh.googleusercontent.com/a-/AOh14Gi0YTlsgfTvo7V-Q4NERmrpzwt3TCsdiTcg4oYyavc,"Não estou conseguindo abrir o aplicativo,fala que tem que baixar o song pop 2,mas nem aquele estou conseguindo baixar,por favor arrumem isso!",1,4,2.13.5,2019-10-29 23:52:24
9,hhh mora,https://play-lh.googleusercontent.com/-k498WFKTiSI/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckHcr8JC02L_pYzjbd5HJmnJUGfbQ/photo.jpg,"Nem abriu. Só recebi uma mensagem falando para inslatar o songpop dois por causa de um problema com o iOS 12, mas o meu é Android.",1,13,2.13.5,2020-04-06 20:55:08
