,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Clayton Machado,https://play-lh.googleusercontent.com/a-/AOh14GgzOEsLwnyRoIEgfp0EoYQVAOckCe1edPOeO95sCw,"A variedade de ferramentas de ataque não para de aumentar. Coloquem a visualização das ferramentas em grade ao invés de lista por favor, da mesma forma que fizereram com a escolha dos brasões. Ninguém aguenta mais ficar folheando inventário pra escolher as ferramentas adequadas. Se perde muito tempo com isso na hora de montar os ataques.",4,34,4.4.30,2020-10-30 17:51:46
1,Fred Izar,https://play-lh.googleusercontent.com/-hRXq-v2viI0/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmaZxJ1DG039wTC_hsxcYIgEmmjiw/photo.jpg,"O jogo é bom, só não é melhor porque só valorizam quem gasta no jogo. Isso porque dizem ""preservar a igualdade"" dos jogadores. Não mesmo! E cada dia eles aumentam valores, criam novos valores... E cheio de bugs, complicado.",1,14,4.4.30,2020-11-05 15:30:31
2,Edmilsom José,https://play-lh.googleusercontent.com/a-/AOh14Gj-SzXWx0qf-mh2m-ZehTveD924oZ0gEKeVBTdNwQ,"Um excelente jogo, muito estimulante e gera uma grande expectativa de diversão. O jogo é muito bom, porém o consumo de comida é muito alto e nunca é o bastante, manera aí por favor.",5,3,4.5.14,2020-11-06 06:12:04
3,Pedro Henrique Bernardo,https://play-lh.googleusercontent.com/a-/AOh14GinW_q95cWY6A5sx1kN5__2Gp2BK_WWj2-3D4m1qQ,"O jogo é ótimo, boa jogabilidade, regras dele e das alianças no game que facilitam o jogo de forma minimamente justa, comunidade muito gente boa e controles fáceis. Bom para executar estratégias e ter aliados .",5,1,4.4.28,2020-10-30 13:00:21
4,Rafael Militani Ferreira,https://play-lh.googleusercontent.com/a-/AOh14GgTiZfkRsAn5npM3aTpFaqX5giiFywOVHQ-LnQkrQ,"O jogo é bom, porém, para celular ele demora demais para carregar qualquer coisa. Ele sempre dá umas travadinhas no mundo, a falha do game pelo que vi é só a falta de otimização para celular.",3,10,4.4.31,2020-10-30 16:59:41
5,João Felipe,https://play-lh.googleusercontent.com/-aF9YchjaXJg/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckXgdVgBle4imMOB_RuncM1Qxh2YA/photo.jpg,"Sempre quis jogar este jogo no PC, novamente. Mas, tinha apenas o celular. Assim que vi o app do meu jogo favorito, não pensei duas vezes: fui baixá-lo. Em 3 dias consecutivos após instalar, já estou nível 20 (que normalmente é difícil de chegá-lo). Muito obrigado, GoodGame, por desenvolver o app deste maravilhoso game que vocês têm. Só tenho a agradecer.",5,39,4.2.54,2020-09-27 12:08:44
6,Super mega Cell,https://play-lh.googleusercontent.com/a-/AOh14GidXHFVBpM9fjSNnTQ5k8ZxecFGZb_y7KDGfr48,"Otimo jogo, graficos lindos, boa jogabilidade, grande varidade de itens e missoes, preços bons, varios reinos incriveis, so há uma coisa me encomodando as defesas só cabem poucas tropas e não é so tropas de defesas as vezes vai tropas de ataque deixando facil para o inimigo e acabando com as tropas que voce planejou. Por favor melhorem isso.",5,33,4.3.116,2020-10-30 13:24:39
7,Equeline Carminato,https://play-lh.googleusercontent.com/a-/AOh14Gg5TyIAKMpglO9pp-ok-JjhZ7XDN7M6coFHb4aStw,"Gosto muito do Empire porém depois dessa última atualização o jogo não abre mais no meu celular, muito triste isso pq eu tive muito tempo, dedicação e outras coisas para chegar até onde estou, infelizmente se não der certo vou ter que parar de jogar!!! Essa atualização veio para prejudicar muitas pessoas pois não foi só comigo que aconteceu.",2,48,4.3.34,2020-10-02 06:31:53
8,Valkiria Alves,https://play-lh.googleusercontent.com/a-/AOh14GjvAAMxZcUvLKj0pBm7YbI89IA2FCbsFSgD9uH8Rw,"Ótimo jogo, porém ainda tem muito bug, tá com quase 50 dias que ñ consigo usar todos os carrinhos de mão. Sem contar que quando a comida está acabando ela ñ fica mais na cor vermelha, e todos os dias ganhamos muitos sdd. Quem ñ tá on line direto acaba perdendo a comida e os sdd, quando tá com tempo p jogar ñ tem sdd só gastando as moedas.",5,45,4.3.40,2020-10-02 13:50:52
9,Como Surgiu ?,https://play-lh.googleusercontent.com/a-/AOh14Gi-ldQc2S-W8mM8rvRPEaLCjO_qM-DyuLE_b7TVuA,"Agora está muito melhor. Com a correção do bug da expansão do castelo, posso jogar livremente agora. O jogo é maravilhoso, já baixei diversas vezes e continuo amando ele. Desta vez, quando ganhei um celular novo, um Galaxy J1, o jogo não permite eu expandir meu castelo, mesmo no tutorial. Gostaria que arrumassem esse erro. Ele ocorre quando tocamos no ícone do martelo, logo a câmera se posiciona em cima do castelo, mas não aparece as setas para expandir.",5,46,4.3.38,2020-10-02 12:33:45
10,Tiago,https://play-lh.googleusercontent.com/a-/AOh14Gh7HDsbZs9HSxF3eymHG1uO6qHhMyMDWh-X6Mq--Q,"Jogo com uma ideia principal ótima, mas o jogo esta perdendo a graça, ainda mais com essa ultima atualização, o jogo não abre em android, e colocaram um preço absurdo para os exteriores, sinto muita falta de opções basicas que existem na versão de pc, como a organização do castelo em 2D, espero que arrumem esses bugs que acontecem e façam atualizações que ajudem o jogo.",1,13,4.3.38,2020-10-02 09:10:48
11,Hélio Júnio Alves de Oliveira,https://play-lh.googleusercontent.com/-FvNn1biEAag/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuck4Zlhm02qTBhrJpEVvltKZlyH-fA/photo.jpg,"É bom jogo mais sinto falta de algumas coisa da versão para PC como a organização debconstruções para n desperdiçar espaços Castelo sinto falta também das construções e tropas n ter a cor do meu brasão também sinto falta do ferreiro da aliança q ajuda muito na versão PC,acho q as construções demoram muito para ser terminadadas,tirando isso o jogo prende muito a nss atenção nos eventos...Demorou mais até q fim temos símbolo de brasão q dão bônus igual versão do pc",5,88,4.2.48,2020-09-05 22:50:04
12,Hugo Tinoco,https://play-lh.googleusercontent.com/a-/AOh14GiysDSafq_YeveWOmFJ5rPueHwxKYqzYV8S8bFSLA,"O jogo é bastante interessante, no entanto, tem cada vez mais publicidades chatas",4,0,4.5.15,2020-11-05 15:54:56
13,Celio Kozakewicz,https://play-lh.googleusercontent.com/-koBmZDuLmy8/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclU6JxOBlx3_w5mpw0V5o6vb1JxCg/photo.jpg,"O jogo é básico, nada tão espetacular, é agora ainda fizeram atualização para o jogo, mas parece que não verificam antes, o jogo atualizou e agora não abre mais, simplesmente fica sem jogar, e tudo que investiu no jogo morre no nada, jogo muito irresponsável.",1,4,4.3.34,2020-10-01 12:33:42
14,KAOS FF RED,https://play-lh.googleusercontent.com/a-/AOh14Gj2kQTMT1ZJWI4BzXkgIQR6-NNXRVmtsR6o4McO,"Sobre reinos exteriores,sacanagem isso,peguei lendário pensando em ir para os reinos exteriores,agr colocam uma moeda que custa 50.000.000 de moeda,pq não deixar essa moeda opcional para player que queiram transferir uma cópia de seu castelo e player que queiram não trazer uma cópia do seu castelo,vocês vacilaram nisso ai",1,7,4.3.34,2020-10-01 13:50:24
15,amaro filho,https://play-lh.googleusercontent.com/-FkRebTqkOuo/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmKg1WAxx1UvFHprXz0iUOk0MlDNQ/photo.jpg,"Está funcionando normalmente agora, tem algumas coisas que poderia acrescentar do PC, visão do Castelo, horário nos relatórios, quant. Limite de avanços,",4,1,4.3.40,2020-10-14 13:38:46
16,canal fut fc,https://play-lh.googleusercontent.com/-npaHTjJJoYY/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnBD59kpXeJanR_08fVcoZt00kX9Q/photo.jpg,"Adoro o jogo, mas ainda está longe da versão do PC. algumas das coisas que notei é que não tem como posicionar soldados, e isso me prejudicou bastante. Mas tenho esperança que o jogo melhore cada vez mais.",3,0,4.3.40,2020-10-03 16:15:41
17,CANAL T.B,https://play-lh.googleusercontent.com/a-/AOh14Gh_NVDSqCR8NjJEOboRq0JXyDvICn_vaibbALzM,ruim pois poderia ter nas configurações do jogo excluir a conta pra começar tudo de novo chato que fica pendente o antigo retira isso e coloca começar de novo o jogo e também as recompensas e também alguns bugs que está acontecendo no jogo espero que arrume,1,0,4.2.54,2020-09-27 23:02:39
18,Josiane Ramos,https://play-lh.googleusercontent.com/a-/AOh14Gh3LW5PTEaRtQ21PeoxIs24bwKo9aiCButspIjo,"Gosto muito do jogo mas não conseguindo baixar a atualização. Hoje vou desinstalar o jogo não quer mais abrir . Gosto desse jogo mas tô aborrecida por não conseguir mais jogar. Pediu uma atualização fiz , agora só aparece que tá com problema é não abre mais. Fui...",2,1,4.3.34,2020-10-02 16:37:34
19,Gabriel Santana,https://play-lh.googleusercontent.com/a-/AOh14GgS9oO1wvzUy294tnxhT5rlvlIuhiI_Ka8_VdNpig,"Acho que deveriam colocar funções básicas que tem no jogo de PC como o gráfico em 2D para organizar as decorações e também a honra que ganha ao atacar um oponente, as vezes perco honra por atacar castelos do mesmo nível que eu.",4,16,4.2.55,2020-09-28 17:50:06
20,Andreia Gonçalves,https://play-lh.googleusercontent.com/a-/AOh14Gg6-kE5gAdG1ImaZg57u8pItqVxMISi4hX-T-ESdw,Aquando da última atualização a 27/09 tentei desde esse dia fazer a atualização do jogo mas sem sucesso. Hoje quando abro novamente o jogo estava no início do mesmo tendo perdido todo o progresso até agora.,4,1,4.2.54,2020-09-28 17:13:17
21,Máster David,https://play-lh.googleusercontent.com/a-/AOh14GhgVANQxJ_e94copkvi5WSy27DfTVNVa9DUFwJTFA,Melhor jogo de todos super recomendo com as novas atualizações não é só um jogo para rubizeiro como era antes agora todos tem a oportunidade de se tornarem fortes um jogo de estrateja e companheirismo é otimo para jogar com os amigos e fazer novos amigos no jogo super recomendo para quem gosta de um jogo com diversas estratégias e regras para se tornar mais forte sem falar que no servidor BR temos o FAYR PLAY para tornar o jogo justo para todos,5,34,4.3.40,2020-10-02 14:08:16
22,Cildomar Donai,https://play-lh.googleusercontent.com/a-/AOh14GhkfOTMyDDMcMqs6zMugyus328y7y4ypf7P04YiZA,"Estava melhorando, agora no evento do Além do Horizontes onde os server Br se lasca, $1 dola é quase R$ 5,00 aqui, e um level 70 ataca um level 11, onde tá a brincadeira e o espirído de alegria nisso, onde isso vai parar :(...",2,35,4.3.38,2020-10-02 19:26:38
23,Thiago Cardoso,https://play-lh.googleusercontent.com/-W0uUMY6pMQU/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckXf6yKqBCldPz8SkNVjZcJQowQwg/photo.jpg,O Jogo e excelente porem na ultima atualizacao do reinos dos exteriores fico inviavel jogar pois pede para entrar nele tem que gastar 50 kk e isso nao fica.um jogo para todos acaba ficando um jogo seletivo ate 5 kk ja e muito golde lembrando que o gold veem devagar nos saques entao acabou ficando mais os lv 800 joganfo e os outros ficaram de fora mudem isso por favor esta feio,1,44,4.3.34,2020-10-01 18:21:49
24,joao trindade,https://play-lh.googleusercontent.com/-hlmOH-S3hX0/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclGtRBgdQX5oQbLHg98VyNeFnXimQ/photo.jpg,"Pena o jogo terminar este ano comprei rubis para nada desmotivei , um jogo com tantos anos e com tantos jogadores que nao se consegue adaptar e funcionar com um outro programa que nao seja o flash nao posso dar mais que 2 estrelas",2,0,4.2.54,2020-10-01 10:52:19
25,Caio game play,https://play-lh.googleusercontent.com/a-/AOh14GiRMjDpwqdwtpJ_MwdtbCl_AOUJYBnU2mlcfevKEg,Muito gráficos ok melhor jogo do gênero que vc vai achar hj completíssimo uma experiência única jogabilidade top de linha,4,0,4.3.117,2020-10-29 18:12:11
26,Ricardo Souza,https://play-lh.googleusercontent.com/-xVt2fX4qw1o/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucm6o8cfTr2SxraVTmrfjMvZVjQSkA/photo.jpg,"Jogo desde o inicio e mudou muita coisa, cada atualização fica ainda mais competitivo, bom e divertido.",5,0,4.3.34,2020-10-01 08:10:05
