,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,José Suezo Matumoto,https://play-lh.googleusercontent.com/-_ZpeJ9i737w/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckOGYAhCQvyYjuLABbqEOVz0ut7ow/photo.jpg,"05/11 É de desanimar...jogar, jogar, jogar e não ganhar nadaaaaaa. Sitezinho sem vergonha!!!!!08/11 Demorei muito prá juntar 180 pontos em slotocards, ganhei na roleta 580.000 moedas e perdi tudo em 20 min. Isso é que é roubar!!!!não vale nenhuma estrela de avaliação.",1,89,6.14.4,2020-11-08 11:42:40
1,EDUBALA,https://play-lh.googleusercontent.com/a-/AOh14Gh4n3J8yC3ut8pyr3NeXjliYcFdvjah3Pddqjefzw,"Nenhum problema até o momento,é bem divertido e viciante...cuidado com crianças, pois é fácil o uso do cartão de crédito!!. Só pede a senha do usuário da conta google,se ela souber,pode efetuar compras de créditos no jogo",5,56,6.13.1,2020-10-13 08:48:27
2,ROBERTO JANSEN,https://play-lh.googleusercontent.com/a-/AOh14GhQo1pcGJ35to1ONQMHHupJFqlnj9WFSSNgsvtkhQ4,O jogo divulga que ganha dinheiro isso é mentira . Agora quanto a moedas de ficha eu tô com mais de um milhão de moedas e não servem pra nada alem de perder tempo !! Porém dinheiro de verdade pura mentira,1,76,6.13.1,2020-10-15 10:23:17
3,Wallace Torres de Siqueira,https://play-lh.googleusercontent.com/-ckeQSfODobA/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmEyll5JmNpfoalddXL4lcXnTXhCw/photo.jpg,"Puxa o jogo é incrível,gostei muito de experimenta-lo,o único problema é que as vezes dá um bug na roleta,e reinicia se a linha de internet cai enquanto joga,mas fora isso recomendo é divertido,bom se ganhasse dinheiro de verdade como nas Caça níqueis de verdade. Super recomendo bom passatempo",5,246,6.11.2,2020-09-27 04:04:59
4,Um usuário do Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Quando paga um premio ou um bonus logo come todos os creditos e ta ficando ruim pra pagar 2 semanas não paga quase nada já comprei 2 cartões de vale presente de 30,00, hoje mais 1 cartão de 50,00 reais é não pagou nada se com mais 1 dia não pagar eu vou desinstalar à slotomania",2,340,6.11.2,2020-09-28 13:51:56
5,Marcelo Tavares,https://play-lh.googleusercontent.com/a-/AOh14GjOqE99axI1PS_Bu6QVtBkFtf9Jhu4Gd9GHXO4RbZo,"Curtindo demais esse game! Quem procura um game desse estilo baixem muito top.Você ganha uma quantidade de moedas de boas vindas.Boms gráficos,soms, animações e jogabilidade.bastante quantidades de maquinas que você destrava no decorrer do jogo.",4,69,6.10.1,2020-09-03 10:53:16
6,Adenise Dantas,https://play-lh.googleusercontent.com/-nCUPizXL0NY/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmoZ4HN0GhA47BQVetwD6faFPZNjA/photo.jpg,Show de passatempo!!! Amo jogar!! Amo 💕❤️💞💗 A cada dia uma nova emoção!!! Eu super recomendo!!!! O jogo Liberty Dream é muito legal!!! Tudo de bom!!!,5,203,6.14.5,2020-11-06 10:39:39
7,Aparecida Moreira,https://play-lh.googleusercontent.com/a-/AOh14GhHfI6iIzpLRH9JvWDCc4-ZLzM_ovaxBSr4QrWt,Olá jogo em si é ótimo mais deixá a desejar .vcs não dão prêmio em dinheiro gostaria de saber.,4,4,6.13.1,2020-10-16 03:10:08
8,Vander Dos Santos,https://play-lh.googleusercontent.com/-LGJQy0DTENk/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckMppnbnrXb7P_s8TTMgffdMUP8fw/photo.jpg,"Olá boa noite Eu gosto de jogor só tenho problema eu jogo mas não sei se eu ganhei já fiz muitos pontos bem auto mas como não sei ler em inglêseu não sei se eu perdi não sei de nada preciso falar tudo na língua internacional eu não sei nada línguas deles Ok,,,, na verdade tinha traduzir a nossa Língua Brasil Ok .......",5,54,6.12.4,2020-10-08 21:18:03
9,sloto super mania,https://play-lh.googleusercontent.com/-1Q22NrMFbCA/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckMF08mfzmu8mDf4r9n9YB4HpUDmg/photo.jpg,Adoro joga o slotomania. Uns dos melhores jogos que encontrei pra joga me destrói muito gostaria de ter mais jogos iguais,4,0,6.13.1,2020-10-16 14:23:19
