,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Miria Rodrigues,https://play-lh.googleusercontent.com/a-/AOh14GgHeyB5q9Iy8CAuWhxwcUXdBzNro3YafZJIfIjwUg,Bom gostei destrai bastante..so precisava ajudar no tempo.. E tambem no bingo mesmo que voce nao clique na cartela no final poderia finalizar como bingo..,5,0,440.0.1,2020-11-03 19:56:03
1,Meuril Mel,https://play-lh.googleusercontent.com/-VylDr0kBlh0/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucm7AjLSKpwyV-HCsn7PIw1fUZWnUA/photo.jpg,"Eu ja jogo este jogo há um tempo, acho um jogo legal porem com falhas. Acho que corre muito rapido, as vezes quando esta acabando vc faz bingo e nao consegue finalizar , se quando acabasse tivesse uns segundos para vc finalizar igual a outros q ja joguei seria melhor , as peças de quebra cabeça deveriam ter mais facilidade para ganhar, quando se ganha os barril geralmente os itens 3 ultimos itens demoraaaaa muito para vir, entao as vezes acaba os dias da participação e vc nem completou .",3,28,439.0.0,2020-09-21 05:27:50
2,Tania Maria Marques Ramos,https://play-lh.googleusercontent.com/-7SUxJ7qm7Zk/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnqP7nw9BG07iz8_OQDNerOxDjo7Q/photo.jpg,"O jogo e legal ! Mas tem muitas coisas erradas quando estou pra fazer bingo o jogo tranca tenho que esperar 1hs pra ganhar 4 ticti cartao desafio so vem em hora em hora como voces querem que eu consiga feixar em dois dias impossivel com todos estes boicotis , vamos parar de roubar! E vamos jogar um jogo honesto e limpo para que todos em isolamento possam se divertir obrigado espero uma resposta",2,26,439.0.0,2020-10-05 13:09:07
3,Marília Bandeira,https://play-lh.googleusercontent.com/a-/AOh14Gh-I8nUCGtMG7lDySG2H_R9NJt72TS1ZHc8WYQ0,"😡🤬Maldito o dia que inventaram esse jogo amaldiçoado , a manipulação e tanta que só cai os números que vc não tem. Se está pensando em gasta dinheiro com esse jogo, não o faça pois, rouba mais que político em tempo de pandemia. Maldito, maldito, maldito... 🤬",1,22,439.0.0,2020-09-19 17:04:53
4,Gilnei Tobias,https://play-lh.googleusercontent.com/-yU2YjhALHzY/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclsLr959RGO4CKLKgs_uVIeE1ydIQ/photo.jpg,"Jogo tem um sério problema faltando minutos pra encerrar o torneio tu está classificado para ganhar tickets, como tu não tem mais pra jogar, quando tu vai recolher os tickets que ganhou tu ficou de fora na maior roubalheira,se tu não compra tickets não faz bingo, não tira barril é difícil muita manipulação. Espero que possam melhorar esse jogo que já foi muito bom",3,13,439.0.0,2020-09-05 07:18:13
5,Karla Adriane,https://play-lh.googleusercontent.com/-f-5kmbWQxCA/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnoLDiy-_U4E-4YGJhDTYFx0Yih_A/photo.jpg,O jogo é maravilhoso porém com algumas falhas..muitas vezes fazemos bingo e não conta...o jogo corre muito rápido...os tickets demoram muito tbem...poucas atualizações..sem muita novidade,5,10,439.0.0,2020-09-08 01:49:09
6,Sebastiao Amorim,https://play-lh.googleusercontent.com/a-/AOh14Givfwesh3tHKbaLbFPG0xjVSjNLe5xgx3Tj1n42Ag,"Jogo a bastante tempo, e bem divertido mas tem muitas falhas a manipulacao e grande",3,1,440.0.1,2020-10-28 01:06:46
7,Marcelo reis bacildo,https://play-lh.googleusercontent.com/a-/AOh14Gg-Q5NW8B667IAvwBFDnzyRs9dJ57SJfy1iU1r5iA,O jogo é legal porem muita roubalheira só pra vc gastar dinheiro pra comprar os tickets. Aparece q tem gente entrando no jogo é já com 4 números q saiu já tem dois ganhando. Como isso???? E não e só uma ou duas vezes e toda hora q vc joga.,1,12,438.0.1,2020-08-12 03:35:47
8,Paulo Pires,https://play-lh.googleusercontent.com/-8W6o4a3-Ab8/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucks5zbs4Zdsn_g367s3uAZJNhOudg/photo.jpg,Jogo divertido só peca por ser tão complicado ganhar tickets e powerups,5,0,440.0.1,2020-10-27 01:57:40
9,Geovana Santtos,https://play-lh.googleusercontent.com/-LMFb9nJq9Zs/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnhbeCxGK_cNvdEkdeQQXvn613dsg/photo.jpg,"Poxa esse jogo ja foi bom,agora ta um roubo só quando ele ver q vc ta quase fazendo bing no diamant o jogo trava e fica parad quand volta ja ta no final,tem outro problema q pert d fazer bingo o jogo acelera so pr pessoa nao fazer bingo,o jogo é pra ser divertido e nao pra roubo.. O jogo ta rouband d mais aff... Oq era bom e divertid ta um roubo cred 😡😡😡😡😡",3,4,438.0.1,2020-08-12 20:52:32
