,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Obson Pereira,https://play-lh.googleusercontent.com/a-/AOh14Gi7ZgWp1gSM_pf3_PrsYZq6EbmC1Xon_gnNFrNp4w,"O jogo é bom, mas precisa melhorar muitas coisas, as aposta aparecem um valor quando a partida acaba é outro, teve partidas que o jogo não fez a leitura certa da minha mão tinha um full house e o jogo mostrou um par, e a divisão dos prêmios saiu totalmente errado. Então o jogo precisa melhorar isso por que fica chato, essas situações me fazem querer parar de jogar, e pra completar não existe históricos de partida, para caso você queira acionar o suporte ter uma prova física.",1,21,1.148,2020-10-12 03:30:59
1,Joao Jr,https://play-lh.googleusercontent.com/-o0nf5BSAoR4/AAAAAAAAAAI/AAAAAAAAABI/AMZuucnFalNO-arKMet3clNYfSMzmoZ7Sg/photo.jpg,"O jogo parecia ser bom, mas simplesmente nao vem mais carta, acho que pelo fato de nao ter feito nenhuma compra ou nao ter visto nenhum anuncio, eu ganhei 1 milhao antes do nivel 40, e agr simplesmente nao consigo mais ganhar, fiz um teste, joguei 12 partidas, em apenas duas eu tinha alguma combinação, na primeira dei all in com um flush e perdi por flush de carta mais alta, na segunda eu ganhei a partida com uma trinca de 3, mas soh ganhei na ultima carta qdo eu ja tava pagando aposta de 20k.",1,13,1.148,2020-10-21 16:38:17
2,Luis Ribeiro,https://play-lh.googleusercontent.com/a-/AOh14GgwSvYg9habnMkYb6rjxPYLeVvgfyNfN9L2nDcKwA,"Interface intuitiva, bons gráficos, mas o servidor fica várias vezes sem responder e acaba perdendo jogadas e fichas porque isso. Em nenhum outro jogo passo por esse problema, lamentável",1,1,1.148,2020-11-09 00:15:38
3,Darllingson Costa,https://play-lh.googleusercontent.com/a-/AOh14GjEw-V40JPQUv4mWDH6cb-lFwiSwgnfHmz9a0_JNg,"Esse jogo tem algum tipo de bug e algumas pessoas fazem algo anormal pra ganhar sempre. Eu demorei um bocado pra chegar em 1M, depois consegui peguei várias mesas que sempre um cara aposta todas mãos muito alto, é até na maioria das vezes apostando tudo, é sempre ganhand9.",1,9,1.148,2020-10-24 00:14:02
4,V4CuO C:,https://play-lh.googleusercontent.com/a-/AOh14GjO_DfBZCL717RQM5eObd1eLO6rXZr-Wyz-W9L4,"Esse jogo de alguma forma beneficia alguns tipos de pessoas, a pessoa tava na partida comigo e constantemente apostava tudo no inicio e sempre ganhava uma atrás da outra, de alguma forma ele sempre tinha dois pares, uma trinca, straight flush, full house",1,9,1.148,2020-10-15 18:29:46
5,Tarciso Nascimento,https://play-lh.googleusercontent.com/a-/AOh14GjpYUbXtBoON3-60rVev_9YntIrIQw7ceSdWMnx,"Péssimo, jogo não dispõe de mesas para todos os players fiquei mais de hora tentando uma mesa e nada, e quando achei uma mesa o jogo simplesmente travou e fechou!",1,3,1.148,2020-10-19 14:34:13
6,Willian Alves,https://play-lh.googleusercontent.com/a-/AOh14GgTKWwVi1EPSDT7uMIOqQkLguXjUI-KwEh3RFVU,"Estou jogando a algumas semanas e é bem fiel, sem trapaças ou hacks !! Nao tive problemas por travamento mesmo fora do wi-fi Só acrescentaria ainda mais tipos de torneio !!! Vale a pena !!",5,17,1.148,2020-09-21 15:57:46
7,Anderson Oliveira,https://play-lh.googleusercontent.com/-PWolz3cTfZA/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucm2OwHPlxFf-TradcEhsmBMJUXlpg/photo.jpg,"Acho o jogo meio manjado, a galera da muito all in, na real não é não é bem assim, não se joga só dando all in rodada após rodada, falta o jogo jogado.",4,0,1.148,2020-11-08 09:08:21
8,Sr Dukray,https://play-lh.googleusercontent.com/a-/AOh14GiGFxpc3_eKkiy0Ttm8F3MsZwKkvsOLzlxy2eqb,"Um app excelente, sem nenhuma reclamação sobre bugs e jogadores super sem noção para ficarmos milhonarios de fichas...",5,0,1.148,2020-10-15 11:21:55
9,Marcio Oliveira,https://play-lh.googleusercontent.com/-8poNFd4wBj8/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmvDzX55IULrcLT42rF6q1bEeVkVQ/photo.jpg,"Desculpem todos ,mas colaboradores só pensam em uma ia finança.... lamentável ,o jogo em si ótimo mas suas atualizações péssimas estou fora o entendimento virou negócio no jogo ... Desculpem ótima noite",1,11,1.148,2020-10-06 19:33:22
