,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Tiago Gomes,https://play-lh.googleusercontent.com/a-/AOh14GiF7eTHuM_ZqVolp3tun5O0l48SBhpr5Ym3yW1pAg,"É um jogo muito legal, mas não dá pra jogar por mais de 15min pq acaba a energia. Pra passar pra casa fase vc tem que gastar um dinheirão do jogo e chega numa fase que vc não tem esse dinheiro. É impossível. Desinstalando.",1,16,2.36.6,2020-11-05 22:30:10
1,Ney Silva,https://play-lh.googleusercontent.com/a-/AOh14GiNEyITKhUxlyfQ7QPzx7tyI9dADc5SKpwuCis7,Bom eu vou tira o jogo Não tem como jogo comtra três e eles sem limites enquanto nos tem. É ruim aparte que tem que esperar pra jogar quando acaba a energia pra desbloquear é muito Dinheiro e não ganha nada pra desbloquear ai eu achei ruim tem que deminui o valor dos desbloqueio😞😞 ai jogo fica melhor o dinheiro que nos tem não serve pra comprar nada é ruim,1,37,2.36.4,2020-10-21 20:50:55
2,Yury Krystyano,https://play-lh.googleusercontent.com/-exxMUKDc01U/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmOQsKv99kQJpF6t7kYvpQr9sss5w/photo.jpg,"Adoro o jogo no geral. Só não gosto muito de ser com energias, quando o jogo começa a interessar acaba se as energias e temos de esperar muito tempo para elas serem recarregadas mas de resto é um óptimo jogo.",3,7,2.36.6,2020-11-03 17:05:57
3,Luiz Silva,https://play-lh.googleusercontent.com/a-/AOh14Giq47mk_qeh_kVsR7-5hFJrWH5Ev-wDTcl6xrbTHJ4,"Jogo muito bom. Porém quando vamos comprar algum lote bom, o jogo já começa com lances altos e os jogadores (máquina) pagam qualquer preço sem limites.",3,21,2.36.4,2020-10-26 08:56:18
4,SargentoVaz,https://play-lh.googleusercontent.com/a-/AOh14GgeAAgGFnPEUyXpKumfue5ncuvNCx-B7NZoD81HbA,"Gostei da ideia do jogo, mas os bots têm elevada capacidade financeira. Mesmo eles sabendo que vai dar prejuízo eles compram e n sofrem com isso. Na minha opinião cada bot devia ter um saldo contínuo em cada partida. Eu n gosto de ter notificações nos jogos pois um dia ou outro esqueço me do som ligado e ""bring"", notificação de alguma promoção ou outra coisa qualquer. Eu tentei desligar as notificações não funcionou mesmo desligadas tocou. Por cada jogo que acabo vem publicidade de 30 s.",2,20,2.36.1,2020-10-19 18:34:02
5,Diogo Marques,https://play-lh.googleusercontent.com/a-/AOh14Gj4FWdkjEyXlL5uwGU7Oe4734nF04P5R-Td9H_JNA,"Jogo é bom, só peca ao ir à Caçamba ter de gastar ouro, o que antes não acontecia; e as imagens dos objetos não aparecerem, apatecem agora em caixas.",3,1,2.36.6,2020-11-01 17:33:10
6,Melissa FSantiago,https://play-lh.googleusercontent.com/a-/AOh14Gg2E-50BF_E1dTiZFsKk4k1YpVLWB-AfvE0JH4Q,Muito bom. Só podia ser mais fácil de co seguir barra de ouro e poderes. Mais é muito bom fora isso.,4,7,2.36.4,2020-10-22 17:01:03
7,Wilson Santos,https://play-lh.googleusercontent.com/-xBzwXL_JLSU/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclGioEfCOPPUmqxiVvFQ1k6DU8Dlg/photo.jpg,O jogo e bom ..mais começa a ficar sem graça quando precisa espera a energia encher..pq e muito caro compra energia no jogo..já gastei uma grana em outros itens e valeu a pena ..mais o jogo ficaria melhor se em vez de gastar 7 energia por partida. Gastaria só 2 ..ficaria um jogo muito mais interessante..,3,64,2.36.1,2020-09-03 23:19:18
8,thiago augusto,https://play-lh.googleusercontent.com/-UAhYFeYOI_s/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucl5v_TIKPJaMFud_qlrG3VSNykS0Q/photo.jpg,Jogo muito divertido a pena e que gasta muita energia em apenas uma partida 7 e vc começa so com 40 ai voce viu ne vc nao joga nem 6 e tem q esperar recarregar,3,3,2.36.4,2020-10-21 18:15:42
9,Paloma Castro,https://play-lh.googleusercontent.com/-OmyN3ADtf9I/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclEyd7rXvpy6kjbBosyC_vdyoLfzw/photo.jpg,"O jogo é bem divertido, porém eu estou parando de jogar porque as mil propagandas são INSUPORTÁVEIS, e nem pra diversificar, praticamente só de COIN MASTER e não aguento mais a cara da Kris Janner e peguei ranço do COIN MASTER e tô pegando ranço de BID WARS! PELO AMOR DE DEUS PAREM DE SER INSUPORTÁVEIS.",3,2,2.36.1,2020-10-16 12:53:24
