,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Italo Kauan,https://play-lh.googleusercontent.com/-b1d-3takh40/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucl_vpLcEmcou5_NGak9yBIjAdKDmQ/photo.jpg,"Jogo muito bom e divertido, fases com puzzles complexos, muito bom!!!! Mas o problema é a jogabilidade, tem muito delay e não é muito confortável. Melhorem isso, e eu volto aqui com 5 estrelas!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!",4,99,1.4.21,2020-11-02 22:34:47
1,Mauriin Doc's,https://play-lh.googleusercontent.com/a-/AOh14Gio5eVgnknzg74qUwqI1zG4Ni_ZcR2I6MLd5xVTVA,"O jogo é muito bom em todos os aspectos, com exceção do sistema de recuperação de tentativas que dificulta, quando eu perco todas as minhas vidas, tenho que esperar vários minutos pra jogar novamente (só com uma vida, que a não ser que eu espere carregar todas, o que levarias mais tempo ainda) e isso deixa o jogo um pouco chato.",4,167,1.4.21,2020-10-29 16:43:49
2,Patrícia Perobelli,https://play-lh.googleusercontent.com/a-/AOh14Gj_GuvkLTPph-rr8BJQCBMwBVMgWfHW9R8qIoLL,"Sim, o jogo é o máximo mais as vidas que é o que eu vou falar. Por favor coloca as vidas para um minuto cada. Uns anos atrás eu tinha zerado esse red ball mais como o jogo é muito bom eu quis jogar de novo. Mais porta vale mesmo coloca as vidas para um minuto cada porque vinte não dá. Mais sinceramente quem tiver aqui lendo isso pode abaixar esse jogo. Só tira as vidas e coloca para um minuto porque se não quiser esperar tem que pagar para poder jogar.",5,493,1.4.21,2020-10-15 09:51:35
3,Ana Beatriz Vinhote,https://play-lh.googleusercontent.com/a-/AOh14Gigfp0ZxTn2oEV3VwtTqxLr8g9ecrsq6WKYLueIdw,"É o seguinte. Tem galera reclamando que o jogo é difícil dms. Isso não faz o menor sentido, é muito fácil e intuitivo o jogo!!! Jogo de criancinha, mas também muito fofo pra qm é um pouco mais velho - como eu - e quiser um jogo offline bom de vdd. A história é engraçadinha, os gráficos e obstáculos são muito a altura do que eu esperava. O ÚNICO E GRANDE PROBLEMA é que ele acaba msm! Enfim, superrecomendo, jogo excelente!!! 😁👍",5,1042,1.4.21,2020-09-10 13:35:01
4,Kirby's dream Channel,https://play-lh.googleusercontent.com/a-/AOh14GiDRvd_CiaqLO7K4iVmJVEEaaOp_glSiDUeqPeI7w,"Bolhinha vermelha incrível, o jogo é fácil? Sim! Mas começa a complicar no último capítulo e o jogo tem uma quantidade imensa de conquistas que a maioria eu consegui, inclusive as outras bolas. O jogo tem cinco capítulos e cada um tem um tema diferente, colinas verdes, floresta, fábrica, lua e o capítulo extra que é uma caverna! O melhor red ball do mundo!!!",5,593,1.4.21,2020-09-18 11:35:03
5,Theo Maccari,https://play-lh.googleusercontent.com/a-/AOh14Ghy1751WD4Rk2YsmcBoLCnU79BHfK6a8_-zQt9g,"A jogabilidade do jogo é boa,mas o fato de você ter que ficar esperando para ganhar vidas é algo muito ruim e ainda por cima o jogo tem vários anúncios,se você tem que ficar esperando para ganhar vidas não deveria ter anúncios, a música do jogo é irritante e o jogo é meio infantil mas também é meio desafiador",4,0,1.4.21,2020-11-08 23:56:51
6,Vilson Antonio,https://play-lh.googleusercontent.com/-dVDUNsZPzxA/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmaNLVxU_CWL0DLeNXoaiva-aYeEQ/photo.jpg,"Ele é bom, mas não gostei de ele ter 18 minutos de recarga de vidas se fosse 4 ou 5 estaria melhor, queria que na próxima atualização do jogo coloca-se menos tempo de recarga de vida, sou o Vitor",4,2,1.4.21,2020-11-01 19:32:13
7,Fabio André Constantino,https://play-lh.googleusercontent.com/a-/AOh14GjYVmMmABcWi8INA2euAuTg070mpN8YBvzCR3Vb9As,"Bem este jogo é incrível mas sério este jogo é difícil concordo quando demora pra carregar as vidas porém, eu já tenho todas as bolas, todas as conquistas pois, eu já joguei este jogo faz 4 anos, já tenho todos os relógios ouro em tanto estou feliz. Obrigado por quem criou este jogo incrível.",5,30,1.4.21,2020-10-10 22:04:44
8,fernanda santos,https://play-lh.googleusercontent.com/-5uJbuGhBGcc/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmMrppAm71td6ZD9N9PEk4hNXPzhg/photo.jpg,O jogo é maravilhoso eu vi as pessoas avaliando o jogo e pensei que eu poderia avaliar também só tem um probleminha as vidas demoram demais e as vezes não dá para ver comersial para recuperalas então tenho que ficar esperando mais tirando isso o jogo é ótimo e do 5 estrelas !!!,5,36,1.4.21,2020-10-24 09:44:49
9,Fellipe Gustavo,https://play-lh.googleusercontent.com/a-/AOh14GjuPTE8j2WRlkqb8gC70fn_-McfTEQx1LlwfKJC,"Incrível, sem palavras para uma obra como essa apenas o fato de demorar muito tempo para as vidas regenerarem, Porém isso é o de menos o jogo é incrível, perfeito para passar o tempo recomendo muito baixarem",5,3,1.4.21,2020-11-05 15:27:06
