,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Helena Luz,https://play-lh.googleusercontent.com/a-/AOh14GiQib7W34N6T9DtRw9NcPMMxA_2EedeFQ3AnwZwVg,"Olha... Aplicativo bom sem ""lags"", mas sempre tem um porem... quando acabamos as contas tem um anuncio, quando queremos mudar de conta tem um anuncio pata tudo tem um anuncio, e isso nao é legal, sei que para voces é importante mas atrapalha podendo diminuir os anincios, agradeço, jogo muito bom podemos aprender mais, recomendo!!",3,235,9.1,2020-10-14 14:44:51
1,Adão Rodrigues Lopes,https://play-lh.googleusercontent.com/-us4CRqsJPkY/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuck_MYJlFYBHPunRA5LbIpOQh52pSg/photo.jpg,"Oii, eu queria dizer que gostei muito do app por que com ele eu posso treinar a matemática. Ahh, e pra quem reclama dos anúncios eu tenho a solução, o app deixa de ser grátis se tirarem os anúncios mas você pode jogar grátis sem anúncios, é só desativar o wifi e pronto!! E é só isso mesmo que eu queria dizer, Tchau povo.",5,66,9.1,2020-10-31 20:05:32
2,Paula Godinho,https://play-lh.googleusercontent.com/-yPnDaDcZhjQ/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnq72bJ4wRkwmuVdeNK6dsaZvDlLQ/photo.jpg,"O aplicativo é bom, mas ele já começa em um nível muito alto. Para quem quer praticar cálculo mental não é bom. A soma já começa com três dígitos. Se vc for genial, vai achar o máximo , mas quem não é bom e quer melhorar, acho que o nível inicial devia ser um pouco menor.",3,116,9.1,2020-10-18 07:21:47
3,Isabelle Cunha,https://play-lh.googleusercontent.com/--xKhZ3Hm_98/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnE113J3yVKBs0Wooa_wI3Kb30KoQ/photo.jpg,"O jogo é muito bom adorei, estou melhorando muito na matemática tudo por causa do jogo eu não era muito boa mais melhorei muito depois de jogar super recomendo queria que tivesse a opição de dar estrelas infinitas adorei melhor jogo de matemática do mundo ❤❤ mais também tem muitos anúncios isso deixa o jogo um pouco chato por isso não dei cinco estrelas",4,363,9.1,2020-09-21 11:02:47
4,Adilson Manuel,https://play-lh.googleusercontent.com/a-/AOh14Gh2NcbkTVJueub4QLSBkjuxVO1-j56cBPINAdKd-w,"Amei o jogo. Tem muitas opções agradáveis. Só acho que podiam botar aí uma música divertida para as crianças se sentirem mais no mundo delas e umas palmas quando elas acertam. Isso motiva a pessoa que está jogando. Mas, 5 estrelas.",5,44,9.1,2020-10-16 03:03:45
5,Larissa Teixeira,https://play-lh.googleusercontent.com/-kJyxYHu2jWk/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclkCgO13H6Hp11LOIId40QdvUF6ZA/photo.jpg,Esse aplicativo é muito bom ele me ajudou muito em matemática eu era muito ruim em em matemática e agora estou melhor e pra quem diz que tem muito anúncio é só desligar a internet que não aparece mais anúncio,5,3,9.1,2020-10-28 16:25:23
6,Luciana Alves,https://play-lh.googleusercontent.com/-AgyrfUaMAKI/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckVARI6-b5U1rbeIyApr73nci7kGg/photo.jpg,"Gostei do jogo, mas são muitos anúncios. Toda vez que muda de operação é um anúncio.",4,2,9.1,2020-10-16 09:08:39
7,Nelito Nelson Caluena,https://play-lh.googleusercontent.com/a-/AOh14GhInjQB-vKmSgqqmwO1H1Le6wkySZJwBU10u28T,"Esse jogo mesmo é maravilhoso, o problema é que atrapalha muito com anúcio porq assim? Qual é vosso efeito sobre esses anúcio? Por q que nã poderia só ser uma ou duas vezes? Assim você mesmo o fabricant, só o fez pra atrapalhar nossas conciência. Param com isso, sã de ms!",1,17,9.1,2020-09-23 22:00:32
8,Pablo Dias,https://play-lh.googleusercontent.com/a-/AOh14GirDC6fuPkoM-Uh_9loBKRsf4Ru3P8X991PK83L,"Aprendo cada dia mais fazer contas rapidamente. O jogo também ajuda melhorar nossa autoestima, além de melhorar nosso raciocínio lógico dedutivo. Muito obrigado por esse App.",5,183,9.1,2020-09-20 08:44:05
9,Bernardo Game Boy,https://play-lh.googleusercontent.com/a-/AOh14Ghfo0Nll-Wiqw3obwSD5GQI_2A69bkCSugrKOVl,Esse jogo é muito bom de fazer continha Eu adorei muito eu acho eu acho que esse jogo é o máximo quem quiser baixar baixa que é muito mais muito mais muito legal vocês tem que baixar esse jogo ele ensina as pessoas como a gente faz continha de vezes de mais e menos é muito mas muito legal eu acho que vocês também vão gostar mas eu não sei então eu só quer dizer vocês instalando eu não vou ver Mas eu quero que vocês estão hein Porque vocês sabem continha de ali mostra continhas de mais e de menos,5,220,9.1,2020-08-22 15:46:00
