,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,cal maquinista,https://play-lh.googleusercontent.com/-_dS8G-ME3C8/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmJ6iU6a8aN8KP-hfelvyIbnQzurg/photo.jpg,"Bom aplicativo, só não dei 05 estrelas, pq o critério de pontuação não acho justo, quando se ganha do seu oponente de 100 a 0, deveria ser uma pontuação maior. Façam a gentileza de corrigir esse erro. E tem muito anúncio tbm, fica cansativo. Obs: Observei que não tem nenhuma resposta aos comentários, isso mostra o descaso da parte de vcs!",4,786,1.35,2020-10-18 20:33:18
1,Luiza Chves gobbo,https://play-lh.googleusercontent.com/-Twf916YJ8Uc/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmQ6r4uUyH466bOQaErCWW37Z298w/photo.jpg,"O App é muito bom! Não tem muita coisa inovadora, mas se você está procurando jogar um velho e bom jogo de dominó, vai em frente que instale esse App! Para falar que não tem nada de inovador, posso citar que você pode jogar três tipos de dominó ""diferentes"": Dominó clássico, dominó fechado e dominó ponta de 5! Uma coisa bem legal é que enquanto você joga, tem uma de fundo tocando que deixa o jogo muito relaxante na minha opinião Bom essa é minha opinião, muito obrigada por ler o meu comentário!",5,2201,1.35,2020-09-04 20:17:08
2,Maria Lucia,https://play-lh.googleusercontent.com/-dnVAHbJhgbA/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclhvQTwbUSKQ8C83nvcFeakcJ4cwA/photo.jpg,Na minha opinião pra falar a verdade eu gostei bastante do jogo sem travar sem comercial até onde eu vi e pelo visto Não sei ao certo se e on-line ou não mais testou muito minhas técnicas de jogo então e um jogo justo para quem gosta de dominó tem 3 tipos de jeitos de jogar oferecidas pelo jogo então realmente e um jogo diferente no sentido bom porque não tem muitos apps assim no play store então na minha opinião e um jogo de qualidade muitos jogos bons são pagos esse não então recomendo muito !,5,979,1.35,2020-10-29 14:48:45
3,Carlos Roberto,https://play-lh.googleusercontent.com/-8ygWyhyiKCA/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclaPZRD_LL9HYJ1eD_YnaFV2ABNjw/photo.jpg,"Eu to do jeito que a covid gosta...totalmente isolado, sem amigos sem parentes e sem mais nada...passar o tempo jogando um jogo desse sozinho contra o computador, é a melhor pedida...é diversão na certa ...dá saudade dos velhos tempos...mas, por enquanto, está melhor do q ser dependente da Hidroxocloroquina.... jogar dominó com os amigos...fazia as noites ficar mais emocionantes...mas isso ficou num passado distante...Um muito obrigado a você que criou e diponibilizou esse app..ta perfeito.",5,1037,1.35,2020-09-17 19:51:33
4,vagner cezar,https://play-lh.googleusercontent.com/a-/AOh14GiVqzCeE3oDM4wYGEIMzZLcSjkwmVCoZO0CFimMyw,"Muito bom esse jogo, pena que so of line! Disponibiliza on-line tbem preservando as mesma características, de todos que joguei recomendo esse!",4,4,1.35,2020-11-07 19:24:52
5,Maria Lua,https://play-lh.googleusercontent.com/a-/AOh14GjGq1uLZtcDxvlhqhT5QtMkI8z7x9DywOTDRZNmMFU,"O jogo é bom e é o único até agora q vai orientando em português. Peca pq não permitir que escolhamos as pedras, a escolha é automática e assim perde a graça. Peca também porque não deixa a gente fechar, fica emperrado e vc não consegue sair exceto fechando a janela. Interface bonita, mas precisa consertar esses erros que chateiam.",3,331,1.35,2020-09-13 05:02:15
6,Leucilene Silva,https://play-lh.googleusercontent.com/-NNMYyVDZArQ/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucn8koObhPOs_Tl8dPWouSAu7IyfUA/photo.jpg,O jogo é muito bom. Rapido e dinamico. Excelente passatempo. So nao gosto do placar tampar as pedras restantes no final de cada rodada. Seria legal VER a pontuaçao restante em cada jogador..,5,32,1.35,2020-10-24 07:31:00
7,José Paiva,https://play-lh.googleusercontent.com/a-/AOh14Gil-JNNn21fUvkKZN6I1Yw5pKrwHWKlVFQdkIGdYg,Eu no comeco tinha dado 5 estrelas pra este Game mais hoje agora horaria de Manaus 21:39 minutos horario de Brasilia 22:39 minutos de sabado dia 12 de setembro de 2020.Eu fiquei indiginado com este app eu fui jogar ele veio me pedindo meu nome completo o numero do meu cartao de credito e depois eu tentei sair do Game e nao consegui sair depois de uns 3 minutos que eu consegui sair e por isso que estou denunciando porque ja uso este app a 2 meses e nunca tinha visto esta malandragem 171 ????,1,590,1.35,2020-09-12 22:46:23
8,Celso Campos Ferreira,https://play-lh.googleusercontent.com/-d8xQGxDna4M/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucn-OIYZJJexF1BlreU1J2PuGWdBTA/photo.jpg,"Eu tava curtindo bastante, mas quandp vc liga pra jogar ja perde um tempao com os 5 seg de propaganda, o que me fez desinstalar foi ao abrir o jogo entrou uma peçropaganda do Kwai e nao saia a unica opçao eta instalar e como esse app nao me interessa infeluzmente desinstalei o jogo e vou procurar outro.",1,0,1.35,2020-11-07 23:38:02
9,Tarcisio Barone,https://play-lh.googleusercontent.com/-ACdaV15XD-g/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckciGKrPiFDMHpzuJJKqLdIXwFJeQ/photo.jpg,"É o melhor que já instalei, mas alem da propaganda do Tik Tok, abre o play story e quando vc retorna pro jogo inicia novamente a propaganda do tik Tok. Propaganda é admissível, mas assim torra o sa... Por isso desinstalei.",5,14,1.35,2020-11-01 21:05:48
