,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Eriel cirqueira,https://play-lh.googleusercontent.com/a-/AOh14GgW7gyA4SsGu0LKp_JptydYqTRMuWRarNfWelf0_w,Pra ser 100% tem q sair em outras línguas,5,15,5.3.1,2018-10-06 21:12:28
1,Heriberto Márcio,https://play-lh.googleusercontent.com/a-/AOh14Gh0xAQOnBcsa3wYXAgTIP-ji9en5NyIeOq7a-BNJQ,Finalmente está em inglês.,5,4,6.1.2,2020-10-22 21:04:34
2,Alexandre Pereira,https://play-lh.googleusercontent.com/a-/AOh14GiuwGVA2TgD1eshPFNQc1ZA1hvLR_uPw20Mly_PPQ,Péssimo não responde ninguem da empresa dessegame tem que disponibiliar em inglês jogo não abre mais no xiaomi mi 8 lite Péssimo jogo,1,4,5.6.0,2020-03-30 10:23:23
3,Hydraulic,https://play-lh.googleusercontent.com/a-/AOh14Gi0nk4IxWBkgU77pRK04qkeF5ScXyPxEKjMP5eKJA,It was better while we still had the English version,2,3,5.4.2,2019-01-16 10:16:01
4,Sandro Alves,https://play-lh.googleusercontent.com/a-/AOh14GjgcWBdLkKEnM0rY45DJ8MlRmSbqygbjnZtYrjbng,Poderiam traduzir para outras linguagens,5,7,5.1.6,2018-02-06 13:52:25
5,Donyzildo Madruga,https://play-lh.googleusercontent.com/-e7HwV65HX0k/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclbBTPs47bsOkWre11MPa6U03rmLQ/photo.jpg,Passatempo show de bola! Pena que é tudo em coreano... poderia ter em inglês...,5,6,5.1.2,2017-10-24 13:25:24
6,Dielson Andrade Pereira,https://play-lh.googleusercontent.com/a-/AOh14Gh3Sld55u4wlpvr-4yd9bWnQR1qgbtTYWgwrbVPBTo,Está trancando,4,4,4.9.9,2017-04-22 18:16:56
7,Marcos Paulo de Freitas Mendes,https://play-lh.googleusercontent.com/a-/AOh14GhWk7nvDMa0-vnwGC-v6lQU_28REoFJUyQHQ0y5ZA,Só tem em coreano,1,0,4.9.8,2017-03-18 03:10:44
8,Mohamed Wehbi,https://play-lh.googleusercontent.com/-cpyVPOMT3VA/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucltWoDlFV0t_seYKPDYBl_f-A-RNQ/photo.jpg,In english please,2,1,4.8.5,2017-01-30 13:10:19
9,Um usuário do Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,É ruim pq é em outra lingua e quando eu clico em qualquer coisa nao sai do lugar,1,4,4.8.0,2016-11-15 10:33:03
