,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Sophia Silva,https://play-lh.googleusercontent.com/-OK8lW_Hdres/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclab5Pu0cbE-YNgWQp78cVtSkZVoA/photo.jpg,"Eu gosto muito desse jogo só q devia ser tudo desbloqueado nesse jogo pelo menos so nesse,tem criança q n pode pagar para desbloquear os lugares mesmo sendo bem baixo o valor, tem mãe(o responsável). Da criança q n compra,na minha opinião e pelo geito das outras pessoas devia ser tudo grátis pelo menos nesse jogo por favor deixem tudo grátis😢😐😦😐 e eu também acho q tudo q aparece no mapa devia dar para interagir tipo ilhas no meio do mapa no canto,bom mas por favor deixem tudo deGraçaSoNesse.",3,189,4.0.19,2020-10-30 03:26:37
1,Munu ribeiro moraes,https://play-lh.googleusercontent.com/a-/AOh14GgM0AnBudlePvNMAavM_nHuYEPo6DJJsrywVLNU,"Oi pepi quando eu e mãe tava para desbloquear os andares com um anúncio mas agora tem que pagar e um abissurdo sério vcs sabe que tem gente que não vai usar o dinheiro por causa de um jogo eu sei que vcs n são BR por isso vou falar da língua de vcs hi please, you could leave all floors free again if you do that i thank you so much if you are reading my comment 😘",1,50,4.0.20,2020-11-06 11:38:43
2,Matheus Henrique,https://play-lh.googleusercontent.com/-wMs4KsILPtw/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckRnWo-uG1x3csWBu2LkjDf-XEe1Q/photo.jpg,Muito bom o jogo mas na minha opinião todas as ilhas tinha que ser de graça pq eu amo esse jogo mais infelizmente não tenho condição de pagar todas as ilhas tá aí a minha opinião.Se fosse de graça todas as ilhas. Nois que instalamos seria muito bom para nois,2,154,4.0.19,2020-10-29 12:22:36
3,Isabele Jacque de Camargo,https://play-lh.googleusercontent.com/-NB62eYhZ88k/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckc32AhF4LyMwmNCoG1rk30XFhPQA/photo.jpg,"Antigamente, esse jogo dava pra desbloquear as ""areas"" de graça por 30 minutos, agora, n da, achei muito triste, nem tenho m6ito motivo pra ter o jogo, ficou entediante.",3,65,4.0.19,2020-10-31 21:42:15
4,Valéria Souza,https://play-lh.googleusercontent.com/-MDWNhjL3Rwg/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnv6TWs8bM4HTn_Sg5XyRnBbF3HIQ/photo.jpg,Esse jogo é muito bom mas tem que pagar os o mundo mas eu não tenho dinheiro só tenho r$ 100 nesse aplicativo e vocês não são brasileiros vocês são inglês então vou falar na língua de vocês Hi I really liked this kisses app 💖 faz que nem a língua deles,5,0,4.0.20,2020-11-08 19:19:19
5,moon gacha,https://play-lh.googleusercontent.com/a-/AOh14GjIHIc8SJ_VpvdfTg9mpWzLrsAilobYDqrKUgIB,Esse jogo e muito bom mas acho que as areas que tem que pagar deverião ser gratis sabe pq e que tem crianças que n tem condições de pagar nem os pais ai fica chato pq tem muita pouca coiusa gratis seria legal jogar td gratis pelo menos por um ano criador pfv fassa oq eu lhe pedir,5,3,4.0.18,2020-11-05 12:35:14
6,Cida Pessoa,https://play-lh.googleusercontent.com/-tPrTTAYT1x8/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnpqc55byAiGdl97EkfoaDLPCu6hw/photo.jpg,Olha o jogo é ótimo maia e tudo pago tem que ser de graça pois tem gente que n pode pagar podia tipo uma semana de tudo grátis tem gente que não pode pagar se colocar 1 semana de tudo grátis ou assistir anúncio por 1 ilha grátis com tudo incluso eu vo dar 5 estrelas,4,39,4.0.19,2020-11-01 11:15:20
7,Eduarda Rosa,https://play-lh.googleusercontent.com/-5HJb2O8jbtw/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnre-B59_aBauu9I-npUilBfQXyKQ/photo.jpg,Eu queria tanto joga desbloqueado pi favor eu queria muito 😢 porfavo e porfavo não destaca os meus otros jogos se você distal a meu jogos você vai ve eu estou muito triste você não desbroqueo o pepi e muito legal mas você não quer deixar eu sei diverti seu pepi chato,5,1,4.0.20,2020-11-06 19:03:19
8,Clarice isabele,https://play-lh.googleusercontent.com/a-/AOh14Gi8SWYmY-fUlVwPzJoju9aHq0Fmnd1JWJ0iqdJukA,É muito bom mais os outros andares podia ser de grátis porque tem muita gente que não tem condições para pagar então por favo melhorem por isso eu do 4 estrelas,4,0,4.0.20,2020-11-05 12:40:19
9,Vanessa Gonçalves,https://play-lh.googleusercontent.com/-wBmIAHEI0Eo/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucksZWtfbXwY5SiAdEk9xDMxlmFHVg/photo.jpg,"Eu gostava muito desse jogo muito mesmo,mas infelizmente esses dias fui instalar novamente,pois já avia bastante tempo que não jogava,só que quando vi agora tem que pagar para liberar os andares e antes nos tínhamos a opção de assistir um vídeo e pelo que não me engano ficar 10 minutos com todos andares liberados do jogo,só que agora como o pepi houve agente clica para poder assistir o vídeo e simplesmente NÃO ENTRA O VÍDEO,fiquei muito decepcionada o jogo era muito bom,era.",2,728,4.0.15,2020-09-04 21:23:49
