,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Jullygabi Damaceno,https://play-lh.googleusercontent.com/a-/AOh14GjwJT6vX_QVXapq3WttfoOoG-QnU-faaHVwPFet,Eu não gostei porque aquilo falou que a gente tinha que pagar alguma coisa não entendi quando era para desbloquear as outras coisas falou que era para botar um tal código e eu não entendi nada código quando eu tentei colocar falou para mim colocar outras coisas para recuperar aqui só que eu não gostei nada disso porque se a gente possa pode ficar jogando em um lugar porque aqui tem então eu dou só uma estrela não é bom não recomendo para ninguém jogar esse jogo e também eu quero respostas?😈😈😈,1,79,1.1.11,2020-11-04 17:53:31
1,Yasmin Marques Velasco Ramos,https://play-lh.googleusercontent.com/-YypDA2dMHfI/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnuRXGztC6KS4IcU6KVZreMk-Irbg/photo.jpg,"Muito bom o jogo, porém encontrei um bug na mercearia, ao colocar dinheiro na cesta, ele fica flutuando e não sai mais cesta. Se você pegar a cesta com dinheiro e colocar no caixa, a cesta fica amassada e o dinheiro flutuando na placa amarela onde está escrito mercearia (grocery).",5,162,1.1.11,2020-10-30 00:16:48
2,Samila Rocha,https://play-lh.googleusercontent.com/-p1VKMBeiE7w/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnqcnUEjb9KFA_Hpjnvx23sJpkjwQ/photo.jpg,que bom pode não para passar o tempo eu amei eu pensei que ia ser ruim mas eu vi primeiro no celular da minha prima e aí eu fiquei muito querendo estar lá aí eu cheguei em casa fiquei procurando só que não lembrei o nome e quando está quando estava instalando outro jogo eu peguei achei ele e instalei eu pensei que ia travar muito só que na verdade não travou nada então eu gosteiamei bastante só que tem um problemaele tem muitas coisas bloqueadas que não tem como desbloquear então melhorem isso,5,18,1.1.11,2020-11-07 20:39:59
3,BibiToto Candido,https://play-lh.googleusercontent.com/a-/AOh14GhgIt7Vsf4oOkW5he_3JnszrkKDuk5wzO-JO5eV,Eu gosto muito desse jogo!...mas eu gostava mais quando liberava por 20 min aí eu podia visitar todos os andares por favor arrumem isso!🙇🙇 Era muito mas muito melhor assim!!! E não vem com aquele papinho que não pode exibir anúncios no Brasil! Que bobagem! Muitos e muitos jogos fazem isso! 😡😡😡😡 Deram sorte que eu dei 3 estrelas!,3,223,1.1.01,2020-10-26 23:22:23
4,Willian Jogador,https://play-lh.googleusercontent.com/-ElSVHtL81IU/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckc7c_0I-Nt1tXzV50WJDZ7Jq9iCQ/photo.jpg,O jogo é muito da hora eu gostei muito dele muito mesmo por isso que eu tô docinho de estrelas porque ele é muito legal pode abaixar é muito legal está lá né legaltodos que escreveram lá no comentário sobre esse jogo estavam super hiper mega certo porque eu gostei muito 💯💯💯☺️☺️☺️,5,58,1.1.11,2020-11-03 14:41:35
5,Artes Da Lu,https://play-lh.googleusercontent.com/a-/AOh14Gizw6gTifXCAClhb2OUxauHaXE4pdXhNvZb_E3rXA,"Nossa, fiquei chateada, sempre joguei esse jogo, e agora ninguém pode mais jogar, eu só vejo 1 2 ou 3 estrelas nos comentários, e ninguém tá contente com o que vocês fizeram pepi play, poxa tirar a diversão das crianças carentes por DINHEIRO? Parabéns melhor empresa! E eu aida digo que não é só esse jogo não.. SÃO TODOS os jogos pagos! Eu já instalei o pepi doctor, e o dinheiro que gastei com eles não valeram a pena tá porque semanas depois minha filha não queria mais jogar, minha nota tá aí.",1,32,1.1.11,2020-11-06 12:51:34
6,Mellanye Lauren Vazi de Oliveira,https://play-lh.googleusercontent.com/-l9k_F3tn4qc/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckaCTpXRIq8qJ1KCTeSpq1zsCykZg/photo.jpg,É ótimo muito bom tem várias coisas divertidas mas eu acho que não devia ser com tantas coisas para comprar sabe ... é praticamente o jogo todo só para comprar é tudo bloqueado quem sabe se melhorarem isso isso eu mudo de idéia eu amo os jogos Da pepi house hospital etc mas precisa cobrar menos poxa,3,1,1.1.01,2020-11-03 19:04:01
7,Helena Martins Costa,https://play-lh.googleusercontent.com/a-/AOh14Gg29ziDx3b291PnJOkOe0Z2XCjDjym3Gv2hHKXNiQ,Esse jogo era legal quando não precisava pagar só que agora tem que pagar todos os andares e só tem 2 andares. Eu entendo as regras de crianças não poder assistir anúncios . Mas poxa assim fica chato o jogo é mó legal mas podia ser pelo menos as contas de matemática pra desbloquear tudo. Vcs tiveram sorte de eu ter dado 2 estrelas,2,1131,1.1.01,2020-09-08 22:07:09
8,Yuna Kim,https://play-lh.googleusercontent.com/a-/AOh14GgbSepq-S-eM6KP_JPBJGtKz2uL1FXV3q-QEWXw,Ta mas esse jogo e muito bom recomendo pra seis ai mas o único problema e q tem q pagar tudo entao recomendo pra pessoas q tem dinheiro a que são crianças se ferra sem ofender mas eu sei q é a regra de q n pode anúncios mas pq mano mo chato só 2 cômodos q triste n poderá pagar ksss,4,1,1.1.11,2020-11-04 04:57:25
9,karla cacho,https://play-lh.googleusercontent.com/-arP3SsY84j0/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckYi1kS4N8xyPUnCizFR3uO_Cwj1w/photo.jpg,gostei do jogo muito legal para minha filha mas eu tenho uma pergunta como é que desbloqueia aqueles outros lugar porque eu não vou pagar,4,1,1.1.11,2020-11-04 11:34:20
