,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Pedro Tiger,https://play-lh.googleusercontent.com/a-/AOh14GhZWCJT2hFMAaYsgfrscE3mkgHr1CASrAlcQb5wRw,"Uso Uc browser a mais de 7 anos! Infelizmente depois dessas novas atualizações o App está começando travar até no menu. Suas propagandas que antes não tinham estão deixando tudo mais lento! Mais otimizações por favor, obrigado!",3,89,13.3.2.1303,2020-10-30 16:25:12
1,Jacqueline Alves,https://play-lh.googleusercontent.com/a-/AOh14GiJi4VSwbf0xO0FNoYdHv4apHMfuSkF59MBmdzfow,"a última atualização resolveu os bugs maiores (ao menos no meu dispositivo), pra ficar perfeito só falta arrumarem o problema com o áudio e o adblock e aumentarem o número de abas simultâneas",4,20,13.3.2.1303,2020-11-06 21:41:54
2,G4M3R BRZ,https://play-lh.googleusercontent.com/a-/AOh14Gh7r0WwYLAv3zVTJw-b1FuKuyJ3uaB1vMm9ownZ,"Simplesmente sensasional. Eu achava que iria ser a mesma velocidade do chrome, mas eu vi que realmente ele acelera os downloads. VALEU 👍",5,56,13.3.2.1303,2020-11-02 20:56:02
3,May Roroshi,https://play-lh.googleusercontent.com/-IopWbo8qYpQ/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucl79_TYH9aP9urFVrzmsNbuFwBLjQ/photo.jpg,"O nível do app caiu muito, utilizo a anos e pela primeira vez estou cogitando a possibilidade de desinstalar, resolvam o bug de carregamento dos vídeos e do teclado( na aba de pesquisa o teclado insiste em sumir ) sei que não É erro do celular pois só ocorre isso no UC",1,66,13.3.2.1303,2020-10-24 00:14:36
4,Jailson Junio,https://play-lh.googleusercontent.com/-pXmuiUBDAw0/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckXgAjlE9nGOcKCA5mbK0mujhQhLg/photo.jpg,"Tela preta.... eu sempre usei e gostei muito desse navegador, sem dúvidas era o melhor pra celular... mas com o passar do tempo a qualidade do mesmo só caiu... fico triste de ver algo tão bom morrer.",1,119,13.3.2.1303,2020-10-18 15:10:02
5,Lukas Henrick,https://play-lh.googleusercontent.com/-tCCJh5bQWe4/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckjZS0WpHN02iO7dCtdgbwURxy9gw/photo.jpg,Sem mais palavras pra descrever minha decepção. O que é bom eles tiram ou pioram. Desativado depois de muitos anos de uso. Muito pesado e anúncios irritantes atrapalham a navegação.,1,141,13.3.2.1303,2020-11-03 00:17:28
6,Maicon Maciel Zeidler,https://play-lh.googleusercontent.com/a-/AOh14GjT8RUmqU6bDdyrwdOr6Ca6EkPLUtXLVRPN6z-GzQ,"Melhor navegador,uso a mais de dez anos...mas ultimamente sem atualização,muito bug no app e as block já na serve mais pra nada assim...",5,29,13.3.2.1303,2020-10-28 23:05:03
7,Alan Souza,https://play-lh.googleusercontent.com/-sAfpYE3v0RA/AAAAAAAAAAI/AAAAAAAAAmo/AMZuucmQpYmTHdFeHDxZaLyN5BoCiw-IsA/photo.jpg,"O app está com um problema: As páginas da web não estão carregando normalmente, fica uma tela preta e só quando eu clico no botao de selecionar as guias dá pra ver a página carregada, e aí quando eu clico na página carregada fica a tela preta de novo...",1,46,13.3.0.1302,2020-10-13 20:48:21
8,Alisson Morais,https://play-lh.googleusercontent.com/a-/AOh14GgBty88WpMnmNZDOoTCrZ3WTdSfMau1hccs-PP4,"Muito bom, internet super rápida!!!! Faz downloads super rapidamente!!!!!",5,0,13.3.2.1303,2020-10-31 10:09:04
9,Maicon Estevam,https://play-lh.googleusercontent.com/a-/AOh14GhBjLw1Ss3mcGPdXTNr4e19-j2nCjCASCjjKHEy9g,Faz o dowload infinitamente mais rapido até surpleende. Mas gasta muita bareria e fica rondando em segundo plano gastando bastante bateria tambem,3,1,13.3.2.1303,2020-11-03 18:46:23
