,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,maçansinha6 aj,https://play-lh.googleusercontent.com/a-/AOh14GhPqW1jUfwFLNA89ULzxJ_EIGi48XalMpRqtuRnyg,"Esse jogo sempre foi uma Perfeição, durante esses 2 anos que eu joguei os grafícos eram melhores não travava tanto e hoje em dia ele da uns erros dizendo que ""não foi possível carregar o jogo tente novamente"" e fiquei sabendo que o flash vai acabar em dezembro espero que isso não afete porq esse jogo é maravilhoso😔❤",3,7,55.0.13,2020-11-07 22:23:06
1,Miriam R.França,https://play-lh.googleusercontent.com/a-/AOh14GjHSCfZyEnutTEyyK5jiicwsbgLPDsHeNUNTcPBSQ,"O jogo e maravilhoso e possui gráficos incríveis, mas nessa nova atualização que acabou de sair as 21:00 do dia 05/11/2020 me encomoda, pois o chat está corrigindo de mais nossas falas, claro por ser um jogo para crianças é necessário que aja restrições nas falas, para que não tenha confusões e nem ofensas... Mas o grande problema e que está rígido demais, mal consigo me comunicar com os outros jogadores (jammers). Pesso que voltem com o antigo sistema de falas, por favor.",3,45,55.0.13,2020-11-06 00:06:24
2,・SweetKingdom・,https://play-lh.googleusercontent.com/a-/AOh14GjTACfDQSpBW2wt37Bfoy8gd_TRHGde0IOddr_ioQ,"Perfeito! Melhor jogo, muito bom os gráficos, jogabilidade o português e etc.. a vários tipos de opções caso algum problema aconteça, tem muitas coisas legais para se fazer no jogo, caso algum jammer fazer algo errado a vários tipos de denúncia a se fazer. Admiro muito esse jogo e todos os mínimos detalhes. Mas essa atualização de agora não ficou legal no jogo, eu prefiro ele com o teclado antigo, a várias coisas simples que dava para escrever, e que agora não da mais. Prefiro o antigo teclado!",3,33,55.0.13,2020-11-06 05:06:12
3,Mariana Sousa,https://play-lh.googleusercontent.com/a-/AOh14Gi45_AflgPlRyvr5w8wSNDYERdKMoUCYSJdU8No,"Jogo o Aj Mobile desde o tempo beta. O jogo em si é ótimo e muito bom para fazer amizades te também aprender sobre a natureza. Mas o problema são certos jogadores, que custam em querer se fazer de hacker ou scammer e roubar os itens dos outros. Isso é muito chato. Mas infelizmente não tem o que fazer. Mas tirando isso e alguns bugs, o jogo é incrível.",4,5,55.0.13,2020-11-05 19:16:33
4,João Victor Bento Rebouças,https://play-lh.googleusercontent.com/a-/AOh14GjpVA2e5hdl6ypEm5oji1BAwc3RxN97bh-_0IBZ1w,"Venho falar de algo que vejo que talvez o AJ necessite e talvez isso melhore até o desempenho. Coloquem a opção de 60 FPS no jogo, pois isso ia deixar o jogo fluído. Meu celular tem Snapdragon 845 e esse jogo ainda da uns travamentos kkk, talvez seja até um problema de otimização do jogo, que necessita muito disso. Aguardo resposta ou mesmo as melhorias que falei aqui no jogo.",3,0,55.0.13,2020-11-06 10:53:46
5,ღ•Miss Dash•ღ,https://play-lh.googleusercontent.com/a-/AOh14Gh1FnoKlHvosNWllzmJ7Qkaeu3W6I365TkCcxQqo2Y,"O jogo é incrível, super recomendo! Os detalhes dos animais, acessórios, tocas e etc são lindos. Os problemas são que, as vezes o jogo fica muito travado ao entrar e também acho que seria muito melhor os preços dos animais de safira diminuírem, pois nem sempre é fácil conseguir safiras. Tbm o teclado, ñ conseguimos escrever números, como assim??",4,22,55.0.13,2020-11-06 09:40:54
6,Valquiria Paulino,https://play-lh.googleusercontent.com/a-/AOh14GhwDzwnkeMvCeCQg-YK5Y91ptP7JWgN1uWHN36o5w,"O jogo é maravilhoso, des de a atualização dos gráficos em 2020, jamaa nunca esteve tão bela. Os eventos fantasma foram incríveis. Porém, algo me incomoda muito. A maior parte das coisas são para membros, isso deixa as pessoas sem dinheiro ou safiras decepcionadas e sem vontade de jogar.",5,364,55.0.13,2020-11-08 12:59:37
7,Jorginho Cacildis,https://play-lh.googleusercontent.com/a-/AOh14GhvU7qX8gO0EpUZuI4KZ2wOBSagz0yaszP5QuL_OQ,"Estou no nível 27 e o jogo é maravilhoso, mas tem um porém, pra conseguir safiras no jogo demora mt, seria melhor se criassem mais formas de conseguir safiras; podem deixar os pets baratos (tipo 35 safiras) e os animais tb; peço que deixem as tocas mais baratas; e tb diminuem o preço em SAFIRAS do membro!! Obs: agradeço muito terem deixado a gente digitar por meio do nosso próprio teclado!! Obg ;D",4,38,55.0.13,2020-11-07 12:18:48
8,Reaper KillZone,https://play-lh.googleusercontent.com/a-/AOh14GiEDWUGN-zAYA9nKCFrS11bAeN4ETo8Ux3YKONx,"Eu amo esse jogo, Porém como todos os outros ele tem alguns problemas que eu gostaria que melhorarem. Um dos maiores desafios é conseguir safira! Vocês poderiam colocar um sistema de troca igual a de comprar joias com safiras, neste caso tipo 10.000 jois comprar 5 safiras, ou ter A opção de ver anúncios patrocinados!",4,0,55.0.13,2020-11-06 15:06:57
9,Luana Guerrero,https://play-lh.googleusercontent.com/a-/AOh14GhE_yPdHuIaqXUB513IG2pfBH3oJO1Lo4o1KvsC,"O jogo é mt bom, mas os membros tem vantagens ABSURDAS. N é td mundo q tem dinheiro pra gastar,entendam. Isso desestimula mto, considerando que nós n temos NENHUMA chance de conseguir essas vantagens. Inclusive as novas atualizações estão trazendo novidades apenas para os membros! Nós (não membros) ganhamos apenas roupas novas, e q pessoalmente, são feitas d qualquer jeito. Essa situação está cada vez PIOR. Se continuar assim n vou hesitar em desinstalar, e tenho crtz que outras pessoas também.",2,260,55.0.13,2020-11-07 09:49:14
