,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Oliveira Nobre,https://play-lh.googleusercontent.com/a-/AOh14GgvimikIRESWAy5CrNcZcrGAt1p3El4Pyggn3VE_A,"Pela história o jogo tem tradição e realmente tem gráficos incríveis e controles versáteis. Agora, peca bastante no abuso de manipulação. Algumas partidas parece que você fica invencível e em outras mal consegue se mexer, onde os BOTS tomam conta do jogo. Além disso, manipulam até para humanos também. Tá bem chato isso, de verdade. Já gastei dinheiro com o jogo e esperava mais. Uma lástima.",1,86,1.0.16,2020-10-13 11:36:41
1,Brendon vieira Gomes,https://play-lh.googleusercontent.com/a-/AOh14Gh08I3cD20nhE8YWguxqxvplZx3iGEITuvM__R89D8,"O game ficou incrível desde as últimas atualizações, com mapas diferenciados, jogabilidade FPS muito mais realista e novos modos. O sistema de edição de armas e equipamentos, apesar de melhorias significativas, ainda falta certa organização. A retirada de alguns modos me chateia, modos que eram insanos desde o lançamento do game. Vale a pena conferir de perto tudo que este jogo oferece.",4,97,1.0.16,2020-10-13 18:09:06
2,Srto Dany,https://play-lh.googleusercontent.com/a-/AOh14Gh--lZsDMN9-IvS7zVK1s4zAkrcPRJwSYS_MxxqmA,"Olá, olha, depois de muito tempo esse jogo vem ficando cada ver melhor sim, porém, ainda tem o que fazer, uma coisa que o jogo peca muito é na fluidez no modo Battle Royale, já que muitos não possuem celulares da NASA para rodar sem lag, e tem a injustiça de jogar contra quem joga no pc, que tem uma fluidez absurda e é quase inútil tentar lutar. Espero que futuramente vocês arrumem esses pequenos problemas técnicos. Como já disse, gosto de todos os jogos da Tencent ;)",5,113,1.0.16,2020-10-13 09:23:31
3,Wellder Miguel,https://play-lh.googleusercontent.com/-hjrWJT6kpXQ/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucllDN7idAlU3Z5fTCSmGww0anY1Zg/photo.jpg,"Sou muito fã do jogo, gráficos excelentes, curto bastante a movimentação etc.. mas vou dizer, estão estragando o jogo.. como que a pessoa descarrega três pentes de M4 (topada) na cabeça e peito do cara e ele não morre? E ele da um tiro com a mesma arma e eu morro? Como que os cara passa por cima de uma casa com um pulo? Passa correndo como um flash? Sem falar que teletransportam da sua frente pra suas costas do nada. ABSURDO ISSO!!! pow, dêem atenção a isso aí, e não é só cmg!!!",1,12,1.0.16,2020-10-13 20:06:41
4,Jack,https://play-lh.googleusercontent.com/a-/AOh14GjHeRgPGRODej_WJ_EPRFv8E3WCyMkQoxljvuYYlA,"O jogo tem uma excelente jogabilidade e ótimo desempenho e performance, mas, oque esta me deixando frustrado, e com certeza vários outros players é a quantidade de bots no battle royale. É frustante jogar e ganhar todas as vezes, pegar rank lendário esta muito fácil, e assim o jogo perde a emoção de estratégias e combates. Eu jogo desde o primeiro dia do lançamento, e digo que esta muito ruim isso!!",3,2,1.0.16,2020-10-13 11:52:21
5,Adalberto Abreu,https://play-lh.googleusercontent.com/a-/AOh14Gg37s7cO1DacRw-C5kemIGRaFPVEg9ypGoy-Giy8g,"Pela segunda vez comento com muito prazer! O jogo continua sendo o melhor do mundo mobile e me surpreende a cada dia! Atualmente só acredito ter alguns pequenos problemas de otimização no battle royale, coisa que com certeza breve resolvem, até porque a velocidade com que se regeneram de bugs é incrível parabéns! Gostaria de deixar bem evidente a eficácia do suporte ao cliente: EXCELENTE! Resolveram meu problema com maestria, obg! A todos os envolvidos, meus parabéns e continuem assim, no topo!",5,18,1.0.16,2020-10-12 21:55:58
6,Urso Polloft,https://play-lh.googleusercontent.com/a-/AOh14Gi3g7L-XFg-V00WKgKnStrd3RQUD-0ZYC5qaHNnng,"Jogo realmente admirável, com gráficos muito bonitos, e com uma grande variedade de armamento, com skins lindas e tendo vários modos de jogo. Mas como todo jogo que se preze não é perfeito, eu regularmente encontrando vários bugs e tendo hackers na partida, mas uma coisa que realmente me deixou abalado foi a remoção do modo zumbi que era muito divertido e que dava um charme a mais para o jogo. Resumindo jogo excelente, qualidade ótima, mas com a remoção dos modo zumbi perdeu uma estrela.",4,1,1.0.16,2020-10-13 20:11:46
7,Luis Delmasquio,https://play-lh.googleusercontent.com/a-/AOh14GhO0VJ2yIKdv3WyKWi5GIzCWxRYdg4G17OF_Nm9gac,"Esse jogo é perfeito. Ótimos gráficos, ótima jogabilidade, áudio bom, várias formas de personalização de skin do personagem, das armas e até mesmo dos equipamentos das armas. A única coisa que me desanima é o servidor no modo Battle Royale, as vezes o personagem congela, as vezes você tá tocando tiro e quando deita um cara a mira desce, as vezes o personagem some e volta ou até mesmo fica indo e voltando mesmo com ping baixo. Tirando isso o jogo é ótimo",4,2,1.0.16,2020-10-13 16:58:47
8,Suzana Feitosa,https://play-lh.googleusercontent.com/a-/AOh14Gg7NhSMZmmSo3LuEOXt9fUFoY1BpAhbuR7_PnNCmg,"Em questão de gráficos o jogo é simplesmente maravilhoso, porém infelizmente anda deixando muito a desejar no quesito sincronização, fora a quantidade de bugs que só Deus sabe quantos são. Outro agravante é que depois das atualizações em alguns celulares o jogo simplesmente não roda, trava horrores, não possibilita ver skins, enfim. Ficou pesado e junto com isso desanimador, ainda mais para quem gasta dentro do jogo.",1,2,1.0.16,2020-10-13 14:04:03
9,Miriã Mendes,https://play-lh.googleusercontent.com/a-/AOh14GjywKjad41s6UZDKPgmS27102FVfNJNXwaquZTIgH4,"O que dizer do COD mobile? Ótima jogabilidade, gráficos bons considerando que é um jogo mobile, ótima trilha sonora. A única reclamação que tenho a fazer é sobre o espaço que o jogo ocupa. O COD sempre ocupou muito espaço, seja em PC, seja em mobile. Cada atualização fica mais e mais pesado, acredito que assim como existem jogos no mesmo nível que conseguem fazer atualizações mais leves o COD também consegue. Tirando essa questão, o jogo é incrível.",5,4,1.0.16,2020-10-19 09:20:54
