,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Davi Lucas Ferreira,https://play-lh.googleusercontent.com/-ERzvZtW7aSw/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckXy5RLEMavJrVgdI1uSbaqabPM2g/photo.jpg,"Gostei bastante do jogo , gráficos bons e uma ótima jogabilidade, parabéns para os criadores que fizeram esse jogo maravilhosso",5,881,5.2.7,2020-10-27 08:35:09
1,João Víctor Alexandre da silva Víctor,https://play-lh.googleusercontent.com/-66SrUgqmP_c/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmGJmsOjGztJjTBiTcHaZZ1hBJxMA/photo.jpg,Com essa atualização o jogo ficou incrível mais eu queria que tivesse mais lugares como Praia um porto de navios e queria que tivesse um avatar nosso pra entrarmos e sairmos do carro aí poderiamos entrar nos predios e casas e poderiamos andar/voar no avião aí poderiamos escolher paises pra ir de avião por ex a gente apertava pra ir á paris do jogo aí lá tinha a cidade e as característica da cidade como torre eifeel rio sena e etc ai depois voltariamos de avião pra cidade principal do jogo 🎉😆,5,2297,5.2.6,2020-10-10 15:24:24
2,Natana Santos Matta,https://play-lh.googleusercontent.com/-V3fyfyvjQJQ/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmkDIYT-wUIzRvg_X62A3CvKSBLhg/photo.jpg,Muito ruim a nova actualização. Muito dificil pegar os ups . Qualquer virada que eu dava o carro comesava a derrapar Dica:quando os carros fosem pasar no pedágios do aeroporto automaticamente eles abrirem ia ficar legal,1,710,5.2.6,2020-10-16 14:14:59
3,BcMd 773,https://play-lh.googleusercontent.com/a-/AOh14GgoBaw4RdV12u-lf94V7TeHmq3voYwwQfTRukI2,"O mapa é mt pequeno, dps de descobrir o aeroporto e o rally, n tem mais nada pra fazer.",3,96,5.2.7,2020-10-29 11:03:32
4,Pietra pinguim,https://play-lh.googleusercontent.com/-dLyuT0rEPxo/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucneq4WxYBcnLMNWBvO02ArNuMVTxg/photo.jpg,"Esse jogo é ruim demais, primeiro passei uns dias sem jogar e do nada tuuuudo reinicia tipo meus carros eu não tenho mais, as blueprints sumiram, tudo reiniciou vei por isso esse jogo é ruim demais, recomendo isso...",1,165,5.2.2,2020-09-05 20:33:14
5,Marllon Barloesius,https://play-lh.googleusercontent.com/-PJArHrn7vDE/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckrQpVFld-iTgf5WuX0hUJ1D_Ce6Q/photo.jpg,Não gostei o jogo tem problemas com atualização podiam tirar atualização ruinha e botar atualização boua assin Esse jogo seria bom mas esse jogo é ruin não gostei desse jogo é muito ruin não gostei o jogo tem problemas vou dar uma estrela,1,482,5.2.3,2020-10-01 13:02:46
6,Henrique Anschau,https://play-lh.googleusercontent.com/a-/AOh14GiLKK6RmM0O4v5GrCHRRNdW3TSQpNL7X7Dp31y76Q,Jogo muito bom novos carros muito bonitos e com grande qualidade. Mas o mapa poderia ter um pouco de qualidade em desenhos,5,914,5.2.2p1,2020-09-10 07:34:28
7,Zenildes Oliveira,https://play-lh.googleusercontent.com/-HeVJo1oktG4/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckciYY1PZk8wanpOraCczHnK9VtGw/photo.jpg,Muito legal isso é irracional cara peguei um carro mais veloz que o meu meu nome é João victor e eu gostei pra caramba,5,30,5.2.7,2020-10-25 08:29:00
8,lucas gamer,https://play-lh.googleusercontent.com/a-/AOh14GgC5tmzcX93f3utWyLlW3wnEoLd1YeFyvkbFQZgng,Perfeito jogabilidade e muito legal gráfico e a primeira pessoa está ecelente,5,69,5.2.2,2020-08-29 15:13:51
9,Artur Sá Souza,https://play-lh.googleusercontent.com/-3Cklr8WYmoQ/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckahpfzCwWOfOLUNpUQsKyPpkgdJQ/photo.jpg,Um ponto ruim que eu achei é que eu estava utilizando a Lamborghini e percebi que ela desliza muito poderiam melhorar isso porque na hora que você vai virar o carro faz drift. Em questão dos gráficos vocês poderiam deixar a cor das paredes abertas ao sol com a cor mais forte. Eu percebi a água também você pode atravessar ela muito louco poderia acrescentar um Checkpoint em todos os modos para quando entrar na água voltar para o checkpoint agradeço muito o jogo até que está muito jogável.,3,1,4.18.30,2020-11-07 21:54:57
