,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,James Bond joga,https://play-lh.googleusercontent.com/a-/AOh14Ghtyey6ejHpBSrEeaQrxTCdE7DfZMt40A0OEQR0RQ,O jogo era muito legal em 2017 e 2018 mais agora aparece um personagem na tela e começar uma propaganda e também e também só pode jogar com internet e só fazem isso porque que ganha dinheiro o jogo não e mais legal,1,1,2.3.14.4.0,2020-11-08 11:02:09
1,Máscara Noturna,https://play-lh.googleusercontent.com/a-/AOh14GjTRvdWKXqYUwdOiVrGwhNPAkTJMJAX5GTCq8IR,Jogo muito legal para passar o tempo e pelo menos não tem esse negócio de a cada segundo em segundo em comercial só pega comercial se quiser ver propaganda para ganhar alguma coisa esse jogo é muito top,5,3,2.3.14.4.0,2020-11-07 12:07:48
2,Sales Pinto,https://play-lh.googleusercontent.com/-s3ChesewnaM/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucm3BZgajFkGpBMoBrqJ3NOBexLTeA/photo.jpg,"Estou gostando muito do jogo, porém não posso dar 5 estrela neste momento. Pois nada ganhei em espécie. Apenas virtual e virtual não é real",3,45,2.3.14.4.0,2020-10-17 18:35:27
3,Alexandre Pinto,https://play-lh.googleusercontent.com/-U62sUEbR6yM/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckWM1FzBLn_vLfaKTZMcYRL0Ux30Q/photo.jpg,Eu sou sempre um dos melhores que sempre me foi ao encontro das nossas memórias de Deus nos seus momentos e nos seus anos que se usar em nossas memórias são sempre mais difíceis e é o k te amo e não sei se é verdade ou verdade mas se tiver que estar a essa pessoa a quem for the eu vou of your favorite favorite song ever is about it all in one day when you're playing the song and you can read all about your music in your music folder or the song is not a game that will show your love of music th,5,108,2.3.14.4.0,2020-09-27 13:01:01
4,MC SmK,https://play-lh.googleusercontent.com/a-/AOh14GgrWQzbHyGHt2gywyzGwa7y1C25gcQD_CBnRXVJ,"É uma vergonha este jogo necessitar de internet, só baixei por fato da maioria ser offline e achei que esse fosse. Por esse motivo só 3 🌟.",3,23,2.3.14.4.0,2020-10-17 21:02:06
5,João Fernando BC,https://play-lh.googleusercontent.com/a-/AOh14GixbyAI5IZO3tDn0YvLcePRWnZPAjpSvu29ulrAfw,Muito bom faz a você se sentir rico e é um jogo .inc para quem não sabe Inc é um jogo de clicar e de progresso então não falem mau do jogo por favor,5,53,2.3.14.4.0,2020-10-12 22:44:01
6,Jorge Jose de Sá Fernandes,https://play-lh.googleusercontent.com/-d90uIuUVRMY/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckRK1Co3iJvV3yAbiyp2PjqlTzfDg/photo.jpg,É otimo pra passar o tempo e é mto divertido jogo ele todos os dias e nn tem tanto cormecial,5,2,2.3.14.4.0,2020-10-23 13:11:15
7,ZEUS FF,https://play-lh.googleusercontent.com/-5k2bLpS91WE/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnOoKMKoWgG4ZCCNRZNZVdEMVDdjQ/photo.jpg,O jogo é bom pois quando vc vai chegando no final o tempo de dinheiro chega há 1hr fora isso o Jogo é ótimo,5,1,2.3.14.4.0,2020-10-26 19:31:32
8,Lorena Calegari,https://play-lh.googleusercontent.com/-lxuUA1jeL-s/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnUPzjkkrR3Q6KMJsjNL7LnNMNUfg/photo.jpg,Bem legal um jogo passa tempo legal mais Dei 4 estrelas porque ele e muinto fácil de zerar em um dia já consegui o utimo prédio já mais tirando isso e bem legal 👍,4,28,2.3.14.4.0,2020-10-08 23:39:47
9,cristiane gomes,https://play-lh.googleusercontent.com/-k_v72_Ih4Po/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucm8zQnWZBaql-5lVYoIJpjeEIE2Tw/photo.jpg,"Adorei esse jogo é muito bom e queria que fosse mais rápido, mas tá bom",4,20,2.3.14.4.0,2020-10-15 10:56:15
