,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Clayton José Franco Brandão,https://play-lh.googleusercontent.com/a-/AOh14GhvTDeqVob8fMoChugbfPVSVdtg9Div749hqLl24Q,"Jogo travando, faz perder a jogada porque tem delay e a nave é atingida, muito ruim os travamentos. Não dá para avançar no jogo, fica prejudicado porque a nave não se movimenta com o toque e é destruída pelos alienígenas. É muito chato tentar jogar e ter os travamentos ou lentidões e perder o jogo toda hora. Interessante que depois que reclamei aqui, comecei a perder diamantes.",1,95,29.9,2020-11-03 21:12:56
1,Luigi Brandão,https://play-lh.googleusercontent.com/a-/AOh14GhozhCOQOrS77sjjlKmUeI6DB6zU-eMO_rx6nVz,"Jogo travando, faz perder a jogada porque tem delay e a nave é atingida, muito ruim nos tratamentos não dá para avançar no jogo, fica prejudicado porque a nave não se movimenta com o toque e é destruída pelos alienígenas é muito chato tentar jogar e ter os travamentos Ou nem se dois e perder o jogo o tempo todo.",1,88,29.9,2020-10-31 20:38:15
2,LOIVORES HINOS,https://play-lh.googleusercontent.com/-Cs-1SjG8duA/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucm4fh32K7JGGYUr7U4sFNRptk_XZw/photo.jpg,"Péssimo. Se não for pelas propagandas, nem dá pra passar de nível. Compro as melhorias esperando que a nave comece com elas ativadas e a nave aparece do mesmo jeito. Fora o fato de que não tem explicação clara de como funciona o sistema de classificação de naves. Jóias, cristais, cartões .... tudo isso vc não sabe nem pra que serve, só deve sair comprando tudo se quiser terminar o nível. Pay to win descarado!!",1,72,29.9,2020-11-01 01:22:58
3,Matheus Nogueira,https://play-lh.googleusercontent.com/a-/AOh14GhAzJ7bfjg3mrN70rJIGMR5dOXc-hsFKXP0PnI-iA,A jogabilidade é bem simples adorei as cores e o estilo da arte do game a tela inicial é meio poluída mas nada que me incomode o suficiente pra achar ruim as batle Boss são insanas e as recompensas são muito legais adorei o game por ser simples divertido vê muito bonito vou jogar por bastante tempo,5,34,29.9,2020-11-02 13:52:37
4,Mauro Cortez,https://play-lh.googleusercontent.com/-O2YdILAafRI/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckejXHACttWmflWiSBphEe0HWtoig/photo.jpg,"Muito bom, só tem muita propaganda. Fui fazer uma compra e não recebo meu pacote desde o dia 15 10 20 e não mandaram o meu direito. Não comprei nada que eles não coloca no teu jogo e ficam com seu dinheiro.",1,34,29.9,2020-10-30 06:39:21
5,Michel Khodair,https://play-lh.googleusercontent.com/a-/AOh14Gj8EgcF4rSRLTfO4IU7Gat6DB9G2WGco0k5uLOnNA,Diversas vezes vc simplesmente morre no meio da partida online sem tiros e naves. Apenas dá derrota pra vc. Triste um jogo tão bom onde gastei dinheiro dar uns bugs destes.,2,2,29.9,2020-10-30 16:54:59
6,Studioo G Studioo G,https://play-lh.googleusercontent.com/a-/AOh14GiJEzbDMJFzy8GKgEV9FhA-yUJMcDF0hullLlv5lA,"Comprei um pacote e o jogo sumiu com meus itens ganhado na caixa laranja, e sumiu com três caixas laranjas minha, o jogo promete no mínimo 2 item para arrumar o navio mais forte lendário, porém isso é propaganda enganosa, caso não resolvam vou pedir o estorno e procurar a justiça por propaganda enganosa",1,15,29.7,2020-10-23 14:19:05
7,Luciano Sales,https://play-lh.googleusercontent.com/a-/AOh14GgDlrOTFRT8euf3VEkvrHRbTbzHLYDUA2AE6i870Q,"O jogo e bom, porém não gostei, fiz uma compra em 29/10/20 e não recebi os itens, já fiz a reclamação no feedback e até agora não recebi os cristais",3,2,29.9,2020-11-01 00:16:40
8,Augusto Sapalo,https://play-lh.googleusercontent.com/a-/AOh14GiqKXIY2XHDVuHkpBWHGGYvNzxA_N1HYpvNbrPmDw,"O jogo é super fix, o problema é q ao comerçar processa muito lento e mata a vontade d continuar a joga",1,0,30.2,2020-11-08 04:05:46
9,Tonzinhum Miranda,https://play-lh.googleusercontent.com/a-/AOh14Gj7Mm7XgyDqYjCH0JMJwb1MJW328jQPk4gox83xjQ,"Eu fiz uma compra de um pacote no app por R$ 19,99 e fui cobrado por R$ 39,99. Se me responderem o e-mail e regularem a questão volto a classificar com 5 estrelas.",1,3,29.9,2020-10-31 17:31:04
10,Julio COT,https://play-lh.googleusercontent.com/a-/AOh14GjZznj0xBE1fKsAbHJQ0Fs4YYAM-w02R2btK0-A,"O jogo é um lixo. Joguei por algumas semanas e o jogo não faz sentido. Tem horas que vc tenta fugir dos tiros e não dá. Vem nave, tiros e bombas, tudo ocupando a tela toda. Quando aparece um chefe, i jogo dá um bug e trava tudo, tipo meu dedo desliza na tela do celular e a minha navinha fica e toma o tiro. O servidor vive travando e perco direto por causa disso!! Desinstalando agora!!",1,171,28.5,2020-09-09 17:22:05
11,Katê SF,https://play-lh.googleusercontent.com/-fdJAumsRQx8/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmHbYWhydEVnJ6pEy5KlG2qXmq1VQ/photo.jpg,"O jogo é 5 estrelas só no começo, mas com o tempo ele só dá raiva. É só checar os comentários. Diminui uma estrela prq continua piorando, arena desconectando todo o tempo, perco vidas, pontos e diamantes por problema do jogo. Serei ressarcida? Aposto q não. Disseram que iam resolver a desigualdade na pontuação, mas continuo recebendo adversários com pontuações acima de 200000, e o jogo fica mais difícil e ainda beneficia mais aos adversários. Essa nota 4,5 só pode ser manipulada.",1,474,28.6,2020-09-13 16:34:52
12,Iago Almeida,https://play-lh.googleusercontent.com/-p73Emcm549Q/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucl9aTCy-J2T2qrmHP-4U9Ry3bLUdQ/photo.jpg,"Extremamente pay to Win, ainda mais no PVP onde os jogadores que pagam tem vantagens impossíveis de se alcançar sem gastar dinheiro. Não valoriza a habilidade do jogador e sim o quanto ele gasta de dinheiro, colocando fases impossíveis e criando partidas de PVP sem um balanceamento dos níveis.",1,94,29.4,2020-10-15 10:42:08
13,Charles de Jesus Hardoim,https://play-lh.googleusercontent.com/a-/AOh14Ghpeu22dHPGhsiNoS8ezID5XdwjavrKKaam-OVk,"Estou a tempos jogando na esperança de juntar cristais para obter uma nova nave, e esses pop-ups que aparecem insistentemente levaram 25 cristais meus sem ao menos uma confirmação de que se eu realmente queria ou não comprar o que eu nem sei o que foi. Um simples esbarrão na tela te levam a perder cristais que você está a dias juntando para obter uma nova nave sem ao menos uma confirmação. Pra quem não paga, não sei se vale a pena. Eu quero meus cristais de volta.",1,213,27.9,2020-08-20 17:44:12
