,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Rocio Policeno,https://play-lh.googleusercontent.com/-eI6RkFNwjXI/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnGBsSOQ_xuv62JTAIgP5rZAzh4Mw/photo.jpg,"Sinceramente, o jogo tem tudo para ser perfeito! Porém uma coisa que me irrita e também irrita a outras é a questão que as vozes das músicas ficam finas do nada e como oque chama a atenção são as músicas acaba perdendo a graça mas o resto é ok, mas bem o principal (a musica) eles erram infelizmente... Eu não recomendo o jogo para pessoas que vem pela musica porque isso eles estragaram.Emfim não instale se for uma dessas que vem pela música Outra tem muitos anúncios nada a ver com o conteúdo!",2,16,3.3.1,2020-11-08 18:22:34
1,Aimeé Van Der Kamp,https://play-lh.googleusercontent.com/-9nctiwPxnis/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckOtEbwfUv8vM3JafY6h3Is3Wm2SA/photo.jpg,"O jogo é bom. Mas yem MUITA coisa faltando: 1. Muitas músicas estao incompletas. 2. Eu acho q deveria ter a opção de baixar a música no celular mesmo. 3. Opção de jogar a musica em velocidade normal mesmo, mesmo que nao conte pontos. 4. Poder procurar a musica personalizada no youtube, pra quem nao tem musica no celular. 5.Queria que botasse musicas de outras bandas, tipo Neffex, imagine dragons (originais por favor), Bunt, e outras por aí. Por favor façam isso o jogo ficaria melhor.",3,314,3.3.1,2020-11-07 06:22:07
2,Mendoim #01,https://play-lh.googleusercontent.com/-teADNuQGULY/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckwF21mfGYz6sOcLxyhsLS84EX38Q/photo.jpg,"Minha opinião vocês deveriam tirar aquilo de ""Great"" e ""Perfect"" da tela, o jogo fica muito ""poluído"" daquele jeito, eu jogo desde muito tempo, e era melhor sem isso, o jogo fica mais ""suave"" por favor mudem isso, vocês estão deixando todos os seus jogos parecidos, o ""Tiles Hop: Forever dancing ball"" é especial, e vocês estão tirando isso dele pouco a pouco, espero que leiam e entendam minha resenha.",4,1488,3.3.0,2020-11-03 14:05:37
3,Roseli Machado,https://play-lh.googleusercontent.com/a-/AOh14GgnpLwVUizKde_8Iz7jZe7dJapGTr5q1hsSChzcfA,"Muito bom, super viciante, amei, porém eu só tenho 2 reclamações, uma é a quantidade de propagandas excessivas, e outra é que no menu onde tem as músicas que já vem prontas pra jogar, poderiam adicionar músicas diversas que são famosas, tipo Bang Bang de Jessie J, Side to Side, Super Bass, etc. Tirando isso o jogo é maravilhoso!",4,1007,3.3.0,2020-11-05 19:54:56
4,Comentarista Esquizofrénico 2324,https://play-lh.googleusercontent.com/a-/AOh14GigPjoEp2mIJZbbUHrLnzLFQrYseB2_KlgLLUpt,"Jogo é ótimo, bom msm, pra quem paga pra não ter anúncio é claro. Tem Muito anúncio, quando você perde, quando você ganha, quando você entra em outra aba, e tem que esperar 10/15 segundos em cada anúncio, e outra coisa é o mal caratismo de colocar o botão de click pra fechar o anúncio fora do ""X"" o que te faz clicar no anúncio e abrir pra instala-lo, e não dá pra colocar músicas minhas em formato Mp4 pra jogar, e isso é uma pena, porque o jogo é bem feito e fácil de jogar, pf melhorem isso",1,8,3.3.1,2020-11-07 17:03:22
5,Helo Isa Heloisinha,https://play-lh.googleusercontent.com/a-/AOh14GhCXyhSFKX9qmSfib6KWdPnY2K2-fCaLIb2s9q3,"Eu gostei mto tô App tem musicas super legais, é bem fácil de jogar, é bastante viciante,etc. Mas só dei 3⭐ pq toda hora tem anúncio, e isso me irrita demais pq se eu perco tem anúncio, se eu ganho tem anúncio, eu entro no jogo tem anúncio, Fora isso gostei muito do jogo. Tirando o fato de muitos anúncios eu dou 5 estrelas",3,458,3.3.0,2020-11-05 17:31:22
6,Diego Ferraz,https://play-lh.googleusercontent.com/a-/AOh14GgpDiKwMT_udqbrWt_T_d2oMpjApCIEDGlh0gTsQFk,"O aplicativo é bom, mas só tem música ruim. O que poderia contornar seria utilizar as músicas do próprio usuário, mas é muita burocracia para isso. Portanto para mim não vale a pena. Desinstalei.",1,5,3.3.1,2020-11-07 17:17:30
7,Renata Funplayer,https://play-lh.googleusercontent.com/a-/AOh14Gikgale1X18SK69NA-IA8a0Wp_NvXXBTeEhOGN0MA,"Eu adorei porque eu tenho minhas músicas favoritas, mas depois de assistir 2 anúncios para desbloquear... não dá mais para desbloquear. E eu odiei isso, então eu desinstalei porque não tem condições ,",2,0,3.3.1,2020-11-08 12:18:54
8,Nicole Saito,https://play-lh.googleusercontent.com/a-/AOh14GjjeeHh4T98sWdzaJvA5CNQPfI4hUKHzIZKPfFd,"O jogo é muito bom, bem legal e viciante, acho que o único problema são os anúncios tem sempre um anúncio depois da partida, mas o bom é que vc não precisa pagar pra ter novas músicas, os anúncios funcionam bem quando é pra ganhar músicas, RECOMENDO, estou aqui editando a avaliação, pois deposi desse atualização ficou pior pq antes os anúncios n davam problemas mas agora eles bugam toda hora a n consigo músicas novos quando assisto os anúncios então pfv arrumem isso pq antes estava bem melhor.",5,701,3.3.0,2020-11-02 16:36:31
9,antonia gabriela,https://play-lh.googleusercontent.com/a-/AOh14GgeUqJOgXT-fvxUa0zlsVg26VnXtQGmcbSXqe9M,Muito bom mesmo!! por que a música è mas que diversão faz agente seacha kkkkkk mas tirando isso emelhor ter mas musica !!por que é a aquela musica naver dade esa musica é ao ala mas praque não sabe o jogo vem uma música muito masa ese !!divirta-se!!mas o dono do jogo tem que coloca mas musica blz !! A mesigam no meu canal la!!😍😘 beijos 😘😘,5,622,3.3.1,2020-11-06 23:22:34
