,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Melissa Linda,https://play-lh.googleusercontent.com/a-/AOh14GibISq3fwXnaKE7UXwN6SJh712ftPNarfWzPYY4,"Jogo muuuuuuuito bom e com uma proposta ainda melhor. Os graficos são incríveis, os cenários também e os personagens são super fofinhos :3 . E a opção de assistir uma propaganda para continuar de onde vc parou é fantaaaastica e ajuda muuuuuuuuuito. Porém, o ÚNICO probleminha que eu encontrei no jogo, foram os ""corações"" do jogo. São 15 corações, ou seja, vc só pode perder 15 vezes! Isso é bem chato já que vc tem q ficar esperando vários minutos. Mas enfim, juntar música com game é A MELHOR IDÉIA",4,144,2.1.2,2020-09-28 21:06:32
1,Henrique Davi Caetano Ramalho,https://play-lh.googleusercontent.com/a-/AOh14GgMJWNVgMnkxBGzcGh0pJjprQ9uHVVvlyimhWG_lg,"É muito divertido e tem certa dificuldade em algumas fases. Mas pena que não tem muita música pop. E eu não cheguei em um nivel alto ainda, mas espero achar músicas um pouco menos repetitivas ou enjoativas, não são todas claro, mas algumas são.",5,155,2.1.2,2020-09-17 20:20:29
2,Gustavo Dyeffer,https://play-lh.googleusercontent.com/a-/AOh14Gh5kd0XJQDAC6xARKQAc3-zplPt_DUsTmitSiJbOg,É um jogo otimo com otimas músicas mas quando cheguei na fase 11 estava dando um erro e não conseguia entrar nela então não comsegui jogar as outras fazer o que é uma pena pq é um jogo muito bom espero que resolvam isso,4,0,2.1.2,2020-11-08 12:22:42
3,livia,https://play-lh.googleusercontent.com/-mPfhWxuVIGw/AAAAAAAAAAI/AAAAAAAAAMQ/AMZuucnwBN9cYkfo88nx9omHdgxs1fgYIg/photo.jpg,"Esse jogo é muito bom, dando 4 estrelas pq acho que poderia ter mais músicas atuais também, e as vezes rola uns bugs com o app ai tenho q ficar saindo e reiniciando ele, mas eu indico como um ótimo passa tempo",4,43,2.1.2,2020-10-19 21:21:09
4,ketelly & Luiza Avk,https://play-lh.googleusercontent.com/a-/AOh14GhwpYaAZUy5Vb-f-Waw3zmpeuZz_3yqLO21w66R,O app é ótimo pra acalmar um pouco O bom que fica top. Quando vc usa fone Mas o problema é que quando vc ñ tá com Internet vc tem que ficar ouvindo música Repitida por ser jogado em Internet..,5,0,2.1.2,2020-10-22 11:43:43
5,[•]Club Buba tea[•],https://play-lh.googleusercontent.com/a-/AOh14GhUZ8u3yJfXRiNjVT8N_PJS9XqosdLjAaMzC0uwnw,Eu sou aquelas fãs de música em inglês e esse app e incrível música que eu amo com jogo que eu amo e com fones de ouvido fica ainda melhor vcs que falam essa coisa de perder apenas 15 vezes nao gostei e quero que resolvam nao que seja um problema pra mim mas sim prós outros que reclamam disso eu sou boa não presisam melhorar nada em minha opinião.,5,0,2.1.2,2020-10-25 10:29:56
6,Emaly Santos,https://play-lh.googleusercontent.com/-UpzCtQo6xuQ/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckoezyMfLq2HxJ5cKiFtaph00OMtA/photo.jpg,"Tava maravilhoso até eu chegar no 10 e ele cerar minha pontuação, eu tinha estrelas em cada nível e quando fui ver não tinha mais. Aconteceu isso 3 vezez",3,0,2.1.2,2020-10-30 22:51:38
7,Eduarda Ribeiro,https://play-lh.googleusercontent.com/a-/AOh14GjPmuCKVxIiCID5XiwTzyqX2ujNWVy9rPbDkPXL,Maravilhoso esse jogo só que tem um problema deveria ter mais músicas pq tem muito toque mais fora isso tudo é maravilhoso .,4,33,2.1.2,2020-10-07 17:22:11
8,geovane oliveira silva,https://play-lh.googleusercontent.com/a-/AOh14Gjg4VHEAyjTtONN4W-twANfKog_seF7YMzOqsuskQ,"Eu amei 😙😙😙😙 muito e o unico jogo que eu tenho no celular aaa eu amo vcs DANCING BALLZ o jogo e mouto bom poriso eu dei 5 estrlas mais ele e muito fasio ele tem que ter uma, configuração de almentar a rapidez e a, função médio padrão normal difícil super difícil pra, jogar blz eu agradeço, muito de vcs fizeram isso thau, obrigado!!! ...☺☺☺☺",5,10,2.1.2,2020-09-30 19:45:56
9,Lucimeire N.,https://play-lh.googleusercontent.com/-4QLjmOAboPA/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclRzUQcNHGUIMTpDBhsGZbvDS6j9A/photo.jpg,"Meu Deus esse game é ....... -------- bem tem musicas legais e tals mas o q atrapalha é quando a camera vira , principalmente quando é perto de um buraco eu n gostei muito e tem um sério problemas c anúncios .",3,0,2.1.2,2020-11-06 14:13:32
10,Joãozinn _FF,https://play-lh.googleusercontent.com/a-/AOh14GgRlT96H4ZBxCgxbCvRBVSmHDj84z1_0MuoLMo9OQ,O jogo é muito ruim ele fica travando muito não dá para jogar o rivel é péssimo não gostei não estala não é um concelho ele deixa o seu celular muito bugado ok,1,0,2.1.2,2020-10-25 10:52:30
11,Antonia Yngride Leal Lima,https://play-lh.googleusercontent.com/a-/AOh14Gg_IYNMXtOd_GpD-tIiCP05t2049oGjtC-8HAv8AQ,"Dancing Ballz é um dos meus jogos favoritos, é muito bem executado e a jogabilidade é boa. O problema são os anúncios que demoram demais, e às vezes eu preciso sair do jogo e entrar de novo pq nem sempre dá pra pular ou fechar o anúncio. Ele é bem desafiador, então eu dou uma dica: Se o nível estiver difícil e tiver muitas bolinhas pra apertar rápido, procure contá-las em sequência, de acordo com o número de batidas da música, pra ficar mais fácil. Jogo muito bom, parabéns aos criadores!!",5,163,2.1.1,2020-08-26 12:15:37
12,Fracisco Assis,https://play-lh.googleusercontent.com/-vKcxfEW8XwU/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnaIQMvPdJqJUg_6fCNfFzf1BWWOg/photo.jpg,"Gostei muitooo esse jogo . Mas tem um problema , quando mais chegava o número mais alto . Mais difícil fica mais , mas eu gostei é muito divertido , legal , maravilhoso. Mas uma coisa , eu queria que parecia as músicas que eu gosto . E tem mais quando jogava ficava muito rápido demais . Deveria abaixar um pouco da velocidade desse jogo. Mas esse jogo é muito divertido , todos os níveis eu tirei três e duas estrelas. Gostei muitooo e divertido . Eu queria conseguir chegar o fim . Foi divertidooo",3,384,2.0.8,2020-06-01 21:53:42
13,Marcos Silva,https://play-lh.googleusercontent.com/-uJv12IPdJ4U/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmLamhNW19SUtFfJNu8M8Tp4iiosA/photo.jpg,"O jogo é ótimoooooo, mas tem 2 problemas, se retirar um pouco dos anúncios vai ficar melhor, e se tiver a opção de compor as músicas da nossa galeria vai ser PERFEITOOOO. ❤",4,101,2.1.1,2020-08-26 00:14:29
14,Marcelo Henrique Calheiros,https://play-lh.googleusercontent.com/a-/AOh14Gg7DYcsBLAUsAfl5D8xdGiOujxEBRZBsEfqm_dUww,"Eu amei esse jogo, porém precisa ter muita paciência, e mais uma coisa, não é critica, é uma ideia, poderiam colocar mais musicas famosas que nem chandilier da sia( que até agora só tem essa de cantora ) , poderia ter do BTS, BlackPink, now united etc...",5,246,2.1.1,2020-08-10 11:36:56
15,Luan Messias,https://play-lh.googleusercontent.com/a-/AOh14GgcEg6dj0i_L5cYN6oD9Ny72MQhRdXCTaejvwkT,"As músicas são incríveis, dá para jogar offline e obter vidas infinitas, por pouco tempo, mas dá. E não é só isso, o jogo é bem desafiador, tornando a experiência bem divertida.",5,169,2.0.9,2020-06-09 14:59:05
16,Catarina Cardoso,https://play-lh.googleusercontent.com/-WGiI1VrCgyY/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnBNRtsvpJPRZKX4s3tLCjVM1bMkw/photo.jpg,"Mau demais , o jogo trava e as próprias músicas tão com bastante ruído o engraçado é que é só aqui neste jogo pois tenho mais jogos e nenhum acontece isso, apesar de que tenho o jogo instalado no tablet antes do dia 1 -06 e funciona na perfeição e por duas vezes tentei instalar e acontece o mesmo !!",1,69,2.0.9,2020-06-05 13:01:59
17,João Larouca,https://play-lh.googleusercontent.com/-nnr1RdeMHg8/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmYw20WMY0HAsWtyh1Xu43CTI9T1A/photo.jpg,É um jogo muito bom e amo esse jogo e também se não tiver os anúncios é muito melhor e ficaria ainda mais sem vidas porque cada vez que nós tentamos passar um level gasta vida,5,4,2.1.1,2020-09-14 06:40:40
18,Maria Fernanda Barbosa Lorente,https://play-lh.googleusercontent.com/a-/AOh14GjcNyXArAhFfyaiVss-ddBmFjUKVNCCtiV9myfldA,"Manoo ja tive esse jogo tantas vezes. Adoro ele, porém tem que te paciência, e eu não tenho nenhum pouco de paciência. Mas é divertido o jogo, quanto mais difícil o desafio, mais eu me estresso.",5,118,2.1.1,2020-07-17 10:40:16
