,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Jamile Moreira Silva,https://play-lh.googleusercontent.com/-XxUmCzCmZJ0/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuck46utmyaLI1tvu85wFieT9CrvhEg/photo.jpg,"o app em si e ótimo mais o problema na verdade são os anúncios toda hora vem as melhores músicas tem que pagar na minha opinião o app poderia melhorar isso,pq o jogo e maravilhoso 💖",4,129,1.6.6,2020-11-07 08:35:31
1,Talita Cristina Lopes da Silva,https://play-lh.googleusercontent.com/a-/AOh14Gia5GdZ2Adbl8ToCD1AkQlHdlDYCFQM4Fh0YFC6,"O jogo é incrível. Vale a pena esperar até os anúncios, para quem é competitivo nossa é um prato cheio. Sério é viciante demais! Não vivo sem agora, preciso jogar pelos menos uma música. Ah as músicas são bem atuais e legais. Os níveis das músicas vai elevando o nível do joguinho. Jogo bem desenvolvido e bem bacana pra quem quer se alto superar. Ótimo!",5,3394,1.6.4,2020-10-14 23:00:41
2,Diego Damasceno,https://play-lh.googleusercontent.com/a-/AOh14Gg9KpClgdCyLBlKuFHeId3PzZHX6mbyxex7TdwEUA,"Muito bom mas tem ANUNCIO EM EXCESSO. A gente entende que é preciso haver lucro e isso vem dos anúncios, mas em excesso acaba irritando quem joga. - Terminou a música, anúncio! - Para pegar um prêmio, anúncio! - Para desbloquear uma música, anúncio! - Para continuar a fase, anúncio! - Para importar uma música, anúncio! Nesse ritmo vai ter anúncio até pra abrir o jogo. O jogo sem anúncios é quase 42 reais. O jogo é muito bom mas eu vou ter que desinstalar pelo excesso de anúncio.",3,1056,1.6.4,2020-10-31 00:53:28
3,Ayume Dark •,https://play-lh.googleusercontent.com/a-/AOh14GjpqluC0rx-LDo_L45ZJ3T0yMwmFZc38vYHXGB4iYg,"Bom,o jogo e super viciante e legal mas o problema são os anúncios,tem muitosss mesmo e meio que isso estrega e deixa o jogo sem graça,mas o jogo e bom, o outro problema e que no meu celular tá demorando pra baixar tá 78% não sai do lugar eu baixei no da minha mãe bem rápido bem rápido mesmo,mas o jogo e ótimo,mas resolvam os problema, ""Desculpa os erros de português (se tiver)",3,1752,1.6.4,2020-10-15 23:57:15
4,Fernanda Ribeiro,https://play-lh.googleusercontent.com/-7vMPjD4D6CY/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmStP0unKwUfzSVbiSW1Sw4XuTo8g/photo.jpg,"O jogo é muito legal e bom e divertido não tem muita propaganda mais ele tem um problema depois de um ou três dias ele não tá pra ver vídeos para jogar outras músicas e pra ter vidas só dá erro e outras coisas em inglês e as vidas ficam acabando e quando acabam não dá mais pra jogar só de pois que vc "" ganha "" as vidas da pra jogar, mais tirando isso o jogo é muito legal.",5,373,1.6.4,2020-10-17 18:06:17
5,study with me,https://play-lh.googleusercontent.com/a-/AOh14GhKeTq2fw68cmOT-9Q2VsA0YOvRasa0t7XT0qve,"Esse jogo é muito bom mesmo!!!! (Eu vou aproveitar pra falar uma coisa pra todo mundo:) Pras pessoas que ainda não instalaram: Gente, oque vocês tem pra fazer que é melhor doque instalar um jogo SUPER legal? Pras pessoas que já instalaram mas não quiseram mais: Olha, eu deixo vocês ficarem zanzando por ai se me disserem só 3 coisas ruins nesse jogo.",5,307,1.6.4,2020-10-13 18:37:09
6,Jaqueline Gomes,https://play-lh.googleusercontent.com/a-/AOh14Gjyd1k9H-4LO0H8veqNNc2mXW1iJcJgHjj5i2iOuw,"O jogo é maravilhoso, porém depois de muito tempo jogando ele trava e quando eu consigo abrir no celular para jogar ele está zerado. É a terceira vez que baixo ele, antes de ontem eu já havia acumulado 35.000 moedas e desbloqueado vaaarias músicas ,mas novamente ele travou e voltou do início. Gosto dele, vou baixar novamente, mas sem expectativas de durabilidade dos meus resultados.",1,624,1.6.4,2020-10-18 23:15:36
7,Marya Eduarda,https://play-lh.googleusercontent.com/-eGDARuE18kA/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucn7UnUcF5UTRmj6fu9L53gTYFn0Rw/photo.jpg,"Dando uma estrela pq não se pode colocar nenhuma! Não que o jogo seja ruim, muito pelo contrario! O problema é que só consigo jogar com uma unica musica, desbloquei outras várias, mas sempre aparece que tem erro na conexão mesmo estando com minha internet em perfeita qualidade! Poxa, um jogo tão bom e com um problema tão grande, ja ficou sem graça.",1,1607,1.6.4,2020-09-26 20:53:48
8,Eduardo Sanatana,https://play-lh.googleusercontent.com/-UlajD16fDLg/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucluqW_bqx6RazKqVR9Nhg4c823G0g/photo.jpg,Ele é muito bom só que no meu celular ele não entra a tela fica toda preta e depois volta pra tela inicial. Eu sei que ele é legal porque eu instalei no celular do meu irmão mas também faz muito tempo que eu instalei no celular do meu irmão. Eu instalei uns 30 minutos eu fiquei uns 20 minutos tentando abrir o jogo. Eu dei 4estrelas por causa disso por favor resolvam esse problema,4,232,1.6.4,2020-11-03 21:34:46
9,{EF} Dark Wolf,https://play-lh.googleusercontent.com/a-/AOh14GiM_Qa7QVDbHac50peTtDqCcPt28hj8XOvMQds0,"Esse jogo é bem legal mas tem uma coisa não funciona, é de procurar um arquivo de mp3 para tocar e jogar a música que está salva isso não funciona eu converter o vídeo para mp4 abaixei um aplicativo de mp3 converti e fui pro jogo e falou que não encontrou nada sendo que o mp3 estava no dispositivo eu mesmo verifiquei!!!",4,209,1.6.4,2020-10-24 11:41:26
10,Lara Leandra Silva Oliveira,https://play-lh.googleusercontent.com/-pqsFVFestwI/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuck6s1JfAro62ps79ydAtZ5LKv-F4w/photo.jpg,E muito top as músicas são iradas mais entedia meio rápido!!!! Coloquem novas músicas são mais fora isso e muito topppppp!!!!!!,4,147,1.6.6,2020-11-03 17:41:34
11,Mariah Mel huru,https://play-lh.googleusercontent.com/a-/AOh14Gj8wF3eZifX_XSCmV8v3AHDy-zY-G92Uc08dT2D,Uau! Parabéns por criar esse jogo vicia muito❤ ameii de coração se desse uma nota seria 10 pq os anuncios aparecem muito quando vc acaba o jogo ta um negocio serio mais fora a isso gostei não falaria top mais e bom ok? Tchau foi isso se puder reduzir o anuncio chego e mudo minha opiniao mais se não! Tudo bem e isso parabens a e beijos ❤,4,6,1.6.4,2020-11-04 08:55:41
12,Richard Carvalho,https://play-lh.googleusercontent.com/a-/AOh14GgA6fk-oTsTOEOMOlBdD7VZ6hNYYBxzfXpMDakA,"Amei o jogo, ele trouxe algo que realmente prende a pessoa e faz com que a gente fique mt concentrado, principalmente por conter músicas dentro dele, e também por podermos adicionar músicas da nossa playlist. Ótimo demais!",5,15,1.6.4,2020-10-26 18:24:54
