,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Roberto Carlos,https://play-lh.googleusercontent.com/a-/AOh14GjM18lQ3OscKM_JAtfDjgIOZyUYWgHOvMU6eC7OIQ,"""ÚLTIMA ACTUALIZAÇÃO DO CHROME!!!??""🤔 Não concordo com esta frase, na minha humilde opinião a frase certa é, ÚLTIMA DESACTUALIZAÇÃO DO CHROME. Sinceramente se pudesse nem 1⭐ eu dava e é a 1 vez que dou está pontuação e faço um comentário destes e espero ser o último. Fiquei mesmo 😠( é melhor o emoji do que palavra) quando entrei na app e vejo que perdi todas as senhas que estavam guardadas, eu nunca tive nada apontar mas desta vez foi foi mesmo a pior experiência que tive .",1,33,86.0.4240.185,2020-11-09 03:38:49
1,Satsuki_ Chan UwU,https://play-lh.googleusercontent.com/a-/AOh14GgbMFot72pJIN0ohN9yTZhBAUJHQsr6085-0hicvA,"Bom....Tive um problema hoje Entrei no Chrome normalmente... Fui entrar no site que eu uso de MP3 E apareceu:""Não é possivel acessar esse site"" Entao,eu decidi atualizar o aplicativo Depois de atualizar tentei entrar no site de MP3... E nao entrou Tentei varios sites,não só de MP3,mas varios tipos de sites.... E acabou que não entrou E é exatamente por isso que estou enviando essa resenha... Por favor me ajudem!!!!",1,109,86.0.4240.185,2020-11-08 15:24:39
2,Rodrigo Melo,https://play-lh.googleusercontent.com/-Q-5lw2gKSqo/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucm2l7XDHMNg_nVId8TCCpFM8N8p_Q/photo.jpg,"Utilizo o Chrome há anos e nunca tive problemas, sempre foi um excelente navegador. Porém parou de funcionar a função de pressionar sobre um link e abrir o menu de opções (abrir em nova guia, copiar link, etc). Pressiono e nada acontece. Em outros navegadores essa função funciona normalmente. Acredito que tenha sido resultado da atualização mais recente. Espero que seja solucionado em breve, pois prejudica bastante a sua usabilidade e não gostaria de ter que migrar para outro navegador",1,738,86.0.4240.110,2020-10-26 11:23:39
3,Danielle Montanari,https://play-lh.googleusercontent.com/a-/AOh14Gh3LcsmSAq2pJcvGcogKJc2x1fLvdB0xhvKJwsrug,"Quando está funcionando, é maravilhoso! Mas diversas vezes ele parou de funcionar do nada :( segui as instruções de limpeza de cache e correção de possíveis erros de atualização, mas não funcionou... Td vez que isso acontece eu tenho que usar outro navegador por um tempo. E aí, da msm forma que parou de carregar, ele volta a funcionar. 🤷",3,268,86.0.4240.99,2020-10-18 02:32:26
4,Alex Daisuke,https://play-lh.googleusercontent.com/-eRwKXft4BrU/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclf8IEk0AIk4DxZvtSLzrK3YElyfQ/photo.jpg,"Está ocorrendo um problema. Eu uso o Chrome no Galaxy Note 20 ultra. Durante o uso,aparece a notificação de que há atualização para o Chrome. Ao clicar,sou direcionado à Play Store,porém,ao clicar em atualizar,ele não atualiza. Tentei resolver desinstalando e reinstalando mas não resolve. Ele simplesmente não quer atualizar",1,365,86.0.4240.99,2020-10-20 01:31:10
5,Beatriz Xavier,https://play-lh.googleusercontent.com/a-/AOh14Gj7lqrG_dh_dW2_TtXjkfpE7cwrhvrNrPOSr7lT,"Depois da atualização não funciona mais. Não carrega mais nenhuma página. Espero que consertem logo. Já instalei outro app para substituir por enquanto, mas já estou gostando do outro. O bom do CHROME é a interação com as contas do Google, enfim vou esperar atualização. //// Votando para editar minha nota, avaliei com uma estrela, mas depois de outras atualizações no meu aparelho ele voltou a carregar e funcional normal. Mas o que parece é que está bem instável, então vamos aguardar.",4,740,86.0.4240.99,2020-10-16 09:24:46
6,Milly Araujo,https://play-lh.googleusercontent.com/a-/AOh14Gg3xfPKUn6mRvFA5_sEAZ9depceiKzwt4haUga26Q,"A última atualização que fiz deixou meu Google com problema. Quando abro uma guia e vou abrir outra, é muito difícil voltar para a guia anterior, pois não aparece ela como antes e sim uma por cima da outra que não dá nem pra ver. E quando vai fechar, o mesmo problema. Não tem como fechar no ""X"" e quando vai para o lado, acaba fechando a guia errada.",2,228,86.0.4240.110,2020-10-28 00:02:16
7,Aleph,https://play-lh.googleusercontent.com/a-/AOh14GhzpOB8wtG9a74SoQIJTWMCAEmYN7Nj17VFHyYzbg,"Voltei a testar o chrome depois de anos, e ta muito bom, carrega as paginas numa boa, tem uma boa interface, modo escuro, etc, mas tem dois recursos que sinto falta no Chrome e que existem em outros navegadores: -Barra de abas semelhante ao navegador de pc, fazendo com que a troca de abas seja mais rapida -Speed dial, um recurso onde você pode colocar atalhos dos sites favoritos direto na tela inicial.",4,210,86.0.4240.110,2020-11-01 22:17:16
8,cleiton barbosa,https://play-lh.googleusercontent.com/a-/AOh14GiBeind_ZY-I53H4yQHcBE5XW7_B-2pRmf0FAXK5A,"Excelente, porém uso também outro navegador para evitar as propagandas absurdas do YouTube, vocês poderiam colocar um bloqueador desses anúncios irritantes, seria um ótimo projeto, a não ser se vocês também ganham permitindo esses anúncios abusivos em vários sites, mas o mais irritante é do YouTube... mesmo assim o Google é insubstituível...",5,2,86.0.4240.110,2020-11-07 18:20:32
9,Vitor Theobald,https://play-lh.googleusercontent.com/a-/AOh14Gj4Vr_tTyEDHZkLAQBjzZrUcX9SdEE9WB6UEAkd,"O navegador é excelente, porém desagrada muito em quesito de velocidade e design, por ter poucas opções de temas, o navegador acaba ficando sempre com a mesma interface minimalista e isso passa a ser enjoativo. Já o tempo de resposta do navegador, vem deixando muito a desejar desde a chegada do tema escuro. Para celulares com 3 gigas de memória RAM, o navegador vem deixando muito a desejar, sendo um dos principais aplicativos que fecha sozinho enquanto o uso de multitarefa. Já foi melhor!",4,755,86.0.4240.114,2020-10-25 01:33:50
