,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Mônica Steiger,https://play-lh.googleusercontent.com/-C-MeR0cP56E/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuck7BzqRdnKVjNo7StYmij01VibxTw/photo.jpg,"O jogo é muitooo bom, fácil de ganhar dinheiro pra comprar mais carros, as categorias são ótimas, mas podia melhorar no caminhão, a gente podia ter a opção de ir só reto com o caminhão, e o fuel ( gasolina) podia durar mais tempo, mais é perfeito, tenho já a um tempinho o jogo e não me arrependo de ter instalado, espero que olhem meu comentário e arrumem o nescessário. Obrigada☺️😙.",5,1603,1.64,2020-10-05 13:02:14
1,Um usuário do Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Esse jogo e ótimo mas quando você conserta o carro o preço e muito alto você aumenta os nível do freio da gasolina o carro fica até mais melhor mas vai ficando mais caro o preço é mais caro do que o preço do carro, da para comprar um carro ao invés de aumentar o nível vocês e o criador poderia abaixar o preço só um pouquinho e ai eu até agradeceria, mas o resto das coisas no jogo está ok vou dar para vocês 5 estrelas vocês estão de parabéns obrigado a vocês os que ajudaram o criador por criar",5,1148,1.64,2020-09-28 08:10:27
2,Mariana Alves,https://play-lh.googleusercontent.com/a-/AOh14GgzFbQygkIcKCCMnMVabHTjzDRQAKUQXyBI0Ub7nQ4,"Eu amo esse jogo 💖. Mais eu acho que poderia atualizar exemplo: lugares novo, carros novos, poderia ter semáforo, ter ruas diferentes tipo chão batido, asfalto, com buracos etc. Acho que os desafios não deveriam mudar pois são muito bom. Mais algumas coisas acho que deveria mudar",5,1498,1.64,2020-09-30 08:38:20
3,Isabelle Silva,https://play-lh.googleusercontent.com/a-/AOh14GhfaVZYx433gFhgRfXBw17NM-H1NgfUDg_zq2f17w,Vim aqui só pra dar a estrelas que eles merecem. Esse jogo é melhor que dos 3D porque esse pelo menos funciona. Adorei esse jogo e quero falar parabéns para os que fizeram esse jogo. É um jogo realista. Recomendo a todos que está lendo esse comentário e outra coisa esse jogo não tem nenhum problema. Parabéns 👏🎈,5,1291,1.64,2020-10-03 14:25:12
4,DELAXZERA,https://play-lh.googleusercontent.com/a-/AOh14GiOhCzyvfjAZUUfgM_0vLtjJU7P7BtaffU9JoFGxA,"Não tem como você um dia não ter jogado este jogo, pode não ter jogado mais já viu alguém jogando, é um jogo que marcou minha infância, seria bom se lançasse atualizações a ele, como novos carros, mapas e expansão até modo livre pra andar com os carros pelas ruas, estacionar, bater sem valer nada e não tem tempo.",5,79,1.64,2020-11-01 19:48:10
5,Rafaella Maria Florencio,https://play-lh.googleusercontent.com/-YUVb5gzpdIY/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmr-tRf6IgXfOcUSssJci3wb4RyEQ/photo.jpg,Bom pra vc que está lendo essa avaliação bom esse jogo e muito bom mas tenho que avisar que a cada três tentativas tem um anúncio mas os anúncios são de 10 a 5 segundos depois que vc instalar e só dá 5 estrelas e pronto ...,5,61,1.64,2020-11-01 20:33:14
6,Nome Sobrenome,https://play-lh.googleusercontent.com/-V1IfqyfCFCY/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckymTxdHpz2tEa93LIGkH16RfT0Ug/photo.jpg,O jogo e ecelnte mas poderia ter o modo livre tirano isso garaficos ecelntes/jogabilidade otimo / realista .podia atualizar para graficos mais realista. mas o jogo munto bom recomendo joga .,5,19,1.64,2020-10-23 19:33:36
7,Toddynho_ Jr 2.0,https://play-lh.googleusercontent.com/a-/AOh14GjltwKEdY9tboPZ4ODDBVmX8mvsbIpCIv0Yms1iQQ,"📌 Jogo muito bom!!! Super divertido e educativamente educado em relação ao trânsito!!! Apesar de haver inúmeros outros jogos da mesma empresa como o Dr. Driving 2 ao 7 eu acho, esse continua sendo o melhor e mais clássico e nostálgico de todos eles!!! ⚙️",5,222,1.64,2020-09-29 01:02:05
8,Sirley Jose Mendes,https://play-lh.googleusercontent.com/-0SUvEYZ5pFI/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnyvBVzUQ2Cw2-RItE9i9A2nIDfBw/photo.jpg,"Ô jogo é muito bom , mas na hora que passa o anúncio vc desliga o símbolo do wi-fi , aí vc joga quantas vezes vc quiser sem os anúncios te atrapalha .",1,0,1.64,2020-11-06 22:04:16
9,Raiane Pegoraro,https://play-lh.googleusercontent.com/-RmMp4WN5GME/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucl_GJLAQoYN_BaQeJo77BVqQGEf2w/photo.jpg,"Nessa quarenta esse jogo é perfeito,a uns anos atrás minha prima tinha esse jogo eu ainda não tinha celular,agr com 11 anos reencontrei esse maravilhoso jogo,me sinto tão feliz jogando,o tempo passa muito rápido fico acordada até tarde jogando,agr são exatamente 00:59 mds parabéns ao criador",5,338,1.64,2020-09-23 00:49:48
