,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,maria de fatima colombo nicolini,https://play-lh.googleusercontent.com/a-/AOh14GirZLOGIvSJMEbVUvgjrdYFhYN5KNegZkbx4VZ6i78,Gosto desse jogo. Muito bem bolado.Estimula a mente e a gente aprende um monte de palavras novas.,5,1,1.5.2,2020-07-31 16:37:04
1,João Martins,https://play-lh.googleusercontent.com/-eUkTP9THviQ/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnzdj8e0E8gaQ7VIzCL3dsuHquJGw/photo.jpg,o jogo em si é interessante para desenvolver o raciocínio mas falha muito no sentido de escrever palavras valida para o jogo e não serem validades mas passado algum tempo serem aceites,1,24,1.4.4,2019-01-29 14:41:44
2,Um usuário do Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,eu sei que é emocionante e faz a gente raciocinar bastante e eu adoro desafios e este jogo completou todas as minhas expectativas muito obrigado senhores,5,16,1.4.4,2018-12-21 22:55:24
3,clara Fernandes,https://play-lh.googleusercontent.com/-McUy2G4jmm0/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmqtbIjqnQNFvP_d8tDxzSxdnbcxA/photo.jpg,"O word snack é uma aplicação muito boa,por isso,aconselho-vos a instalarem",5,8,1.4.4,2019-07-23 14:20:10
4,Maria Filipe,https://play-lh.googleusercontent.com/-3GhA4NvAJiI/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnZ8jQYlOIqI0JTr_rTDn1tbvh3FQ/photo.jpg,"Muito bom jogo , já tenho jogado outros jogos dentro do gênero e gosto muito",5,4,1.5.2,2020-04-03 10:17:20
5,edjan oliveira,https://play-lh.googleusercontent.com/-PlJf9uMZRHY/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnmB-pWQPrePACMldahKCaI9qIuWA/photo.jpg,Prático e facil,4,1,1.4.4,2018-10-17 18:32:42
6,Felipe Gomes,https://play-lh.googleusercontent.com/a-/AOh14GjWvofTcKLAMhKd5pQYMNj7RzxARfpdUzH1TNwgA00,Jogo muito legal para passar o tempo.,5,0,1.4.4,2020-01-06 10:10:07
7,Cccaldeira Caldeira,https://play-lh.googleusercontent.com/-1Kna6pxK0rg/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmnYJljljbFuT9yLYdcGa9SkAvEQQ/photo.jpg,Jogo muito interessante e desafiante.,4,1,1.4.4,2019-04-01 14:20:25
8,Marta Costa,https://play-lh.googleusercontent.com/a-/AOh14Gjt9hOrSO3QFfTFt6J4LnFRHih-Ew73IImkilYPwRk,deveria ter dica pra facilitar quando estiver muito difícil vou excluir,4,2,1.4.4,2019-04-24 15:35:00
9,alve almeida,https://play-lh.googleusercontent.com/-N1AuWduxpdY/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclmy1_ACLYGwLtjRYkxb-OSJLfOEg/photo.jpg,É um jogo excelente recomendo parabéns aos criadores,5,1,1.4.4,2018-10-24 08:41:12
10,Maria Jacinto,https://play-lh.googleusercontent.com/-8envbg75Ikw/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckrldy_jywUQevLyUYwB0Z9IJLbNg/photo.jpg,Agradável depois mais para frente logo se vê 🙂,1,0,1.5.2,2020-10-24 07:30:57
11,Pedro Santos,https://play-lh.googleusercontent.com/-9c607fIK2kA/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnmnlhOki1mGM49jntQPR8CDZmv7g/photo.jpg,Pena os anúncios,4,1,1.4.4,2019-07-06 17:23:00
12,Maria Helena De Macedo Vieira,https://play-lh.googleusercontent.com/-uxw4T6c8nK8/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnRbyzJhidXglmJfRY51mnxs5FGdQ/photo.jpg,achei bem legal e é um jogo muito bom pois da para passar bem o tempo e ocupa pouco espaço,4,4,1.4.4,2019-06-02 00:38:48
13,Cleusa Oliveira,https://play-lh.googleusercontent.com/-bUT_Zg3i5No/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuck_0bHcPzwUNLYlXkch4tFh96hE9Q/photo.jpg,Este jogo é ótimo muito bom para exercícios da mente,4,1,1.4.4,2019-05-23 04:37:25
14,Fatima Santos,https://play-lh.googleusercontent.com/a-/AOh14GiIupM4d6PCGnzZNhVYMrth02kT5iO4O_vZNKTh,Muito fixe faz a gente pensar e.ajuda a puxar pela cabeça,5,0,1.5.2,2020-04-27 16:28:58
15,Amanda Cristine,https://play-lh.googleusercontent.com/-0w924MjRwcQ/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckCPR8OgP0yUAArRBbQ1b-RskFV5w/photo.jpg,O jogo é muito bom um pouco difícil mais eu gostei,5,0,1.5.2,2020-08-03 12:31:03
16,Carlos Jose,https://play-lh.googleusercontent.com/-ZXEckaknmJo/AAAAAAAAAAI/AAAAAAAAAM4/AMZuucnjwcOMzQrh2v-zvANUKNRF30bI7w/photo.jpg,Jogo para entretenimento.,5,0,1.5.2,2020-06-10 07:40:59
17,Salete Pereira,https://play-lh.googleusercontent.com/-GQfnA_ijag8/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucn_AoHKr_kK32DZ6_ma589GDDPrEA/photo.jpg,O jogo é ótimo para a memória,5,0,1.5.2,2020-09-24 18:40:24
18,Vera Lucia Ribeiro,https://play-lh.googleusercontent.com/-I8xpEYrhqbQ/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckY0RVAZJcq5khULYzR9SLW0bYtjQ/photo.jpg,Gostei muito do jogo,5,0,1.5.2,2020-10-27 22:15:55
19,Edson Morais,https://play-lh.googleusercontent.com/-VXID5GPsCNE/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnEf3lrukZPy5Op_IvSzoDXy5UD0Q/photo.jpg,muito divertido gosto muito de aprender novas palavras,5,1,1.4.4,2019-07-17 11:31:50
20,Estefania Diogo,https://play-lh.googleusercontent.com/-90HaieWzeyw/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmsNamyksUNYYeE0x5lcH1nAHu21g/photo.jpg,"até agora é bom pouco tempo,vamos ver!",5,0,1.4.4,2019-07-10 04:28:35
21,Suely Batista,https://play-lh.googleusercontent.com/a-/AOh14GjjbRrz8OTSmIqbX9tQrHpSDj1zQHYacoy-RhDG5g,gostei. as palavras sao boas. otimo p memoria.,5,0,1.4.4,2019-01-29 23:39:36
22,Um usuário do Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,eu acho que podiam aceitar as outras palavras porque á palavras que dao e vcs nao deixam meter,4,3,1.4.4,2018-12-19 12:28:19
23,Ana Cristina Mota,https://play-lh.googleusercontent.com/-cvcLtwdR8mY/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucm3vYbu-OJ3O_syhkzAvlVHPLv-OQ/photo.jpg,Ainda estou a começar mas estou a gostar.,4,0,1.4.4,2018-11-22 21:32:19
24,Um usuário do Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Muito bom...divertido pra passar o tempo,5,0,1.4.4,2018-11-16 10:42:04
25,Maria Conceição Bacha,https://play-lh.googleusercontent.com/-HODw6oyB4Uo/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuck824esKLZysp81ghK1XjCD7FyxUw/photo.jpg,bom jogo .não dá vontade de parar,5,0,,2019-06-24 20:03:33
26,Artur Monteiro,https://play-lh.googleusercontent.com/-qIANPDWV_Zk/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucljcT3JnE9S7sGqG0G2gpv8Zyw1-Q/photo.jpg,para já dou 4 estrelas ainda estou a iniciar.,4,0,1.4.4,2019-07-10 06:33:24
27,Hugo Pereira,https://play-lh.googleusercontent.com/a-/AOh14Ggh01nWU03ipQct4wnz5QcpT1uWk6lJpNiaAaEldg,Este jogo é muito bom gostei!!♥♡♥♡☆♣♧★★♣,5,0,1.4.4,2019-09-11 13:46:22
28,Joao Nascimento,https://play-lh.googleusercontent.com/a-/AOh14GjAM0XjpnRNLoDmfXLIXBQoTbpWeXoRT0Vu8cCZ30k,jogo de raciocínio lógico muito bom.,5,0,1.4.4,2019-02-11 21:20:28
29,Tânia França,https://play-lh.googleusercontent.com/a-/AOh14GhuwmDgMactwXhqU5PRQnZUplhHf2RPXcEPjuLseA,Recomendo. Jogo inteligente.,4,0,1.4.4,2018-12-14 15:43:52
30,2345678902losantos lobatoqwazsxcverdf,https://play-lh.googleusercontent.com/a-/AOh14GjZTnV5jSDEJyO-rqdRJnI7AwFF3tyN7mwxHD44,Muito bom ajuda a exercitar a mente.,4,0,1.4.4,2018-10-28 14:49:20
31,Bebete Teles,https://play-lh.googleusercontent.com/-AbU54lRlfAI/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclA3iEj_2OKl0kJoMBkpDt4zeid0g/photo.jpg,Ótimo jogo adorei,2,0,1.5.2,2020-10-13 07:53:31
32,Um usuário do Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,gosto muito ajuda a desenvolver a memoria,5,0,1.4.4,2019-02-22 21:13:30
33,Anabela Camoes,https://play-lh.googleusercontent.com/-x3-khea0Eg8/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnm217OGfMj_vxqxrrimPiQ2EtdbA/photo.jpg,comecei agora o jogo ms estou a gostar bastante,5,0,1.4.4,2019-07-04 19:10:27
34,Alda Almeida Milheiro,https://play-lh.googleusercontent.com/a-/AOh14GgqYQ3vbBCAuHny-ZXHlnh8auNo2bewFtlhG2n4,comecei . port agora estou a gostar,3,0,1.4.4,2019-05-10 14:39:49
35,Um usuário do Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"eu amei o jogo, é bom demais",5,0,1.4.4,2019-02-20 21:04:20
36,Um usuário do Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Maravilhoso bom demais eu recomendo a todos,5,1,1.4.4,2018-11-06 13:00:32
37,Dina Grilo,https://play-lh.googleusercontent.com/-26tMYqoyblY/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckONmzBjNiNM6ilcR3S_rFAKLpL7A/photo.jpg,Estou a gostar,5,0,1.5.2,2020-06-08 14:57:48
38,Vitoria Alves,https://play-lh.googleusercontent.com/a-/AOh14GgUpiTKDi0e2gcmNOSGiMg80_CTcPGXi6w3aHYY9A,super otimo para melhoar a memória,5,0,1.4.4,2019-05-29 00:02:28
39,cleyde M.Maciel,https://play-lh.googleusercontent.com/--IL5i_KuOlI/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucn7kg3qnyd1LuhDT7RG01sfh0qhBg/photo.jpg,MT bom p minha cabeça q não anda MT boa!,5,0,1.4.4,2018-11-28 09:38:25
40,Simoes Fatima,https://play-lh.googleusercontent.com/-modtma4zT9g/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckX4GIbl2N7bufl4jMUJhpiio2XvA/photo.jpg,E muito legal,3,0,1.5.2,2020-06-29 17:20:19
41,Nubia Oliveira Dos Santos,https://play-lh.googleusercontent.com/a-/AOh14Ghzqx7jqn86JtvZoMMXe2TJKKqjOEcq-eTFXLQAXQ,Eu gostei muito. Recomendo!!,5,0,1.4.4,2018-10-02 21:35:15
42,Gaby Ornelas,https://play-lh.googleusercontent.com/-Db5GA1hS-1o/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucm13D2FF3zPYUNwtW_R2DNryb8aVQ/photo.jpg,Boa nos primeiros níveis.,3,0,1.4.4,2019-09-23 03:25:43
43,Rosania Andrade,https://play-lh.googleusercontent.com/-XH8EFqd6FAg/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclk-_tqcQARfdtGW92qZstSWGE1xw/photo.jpg,"Adorei, instigante! Parabéns",5,3,1.4.4,2018-10-03 21:08:24
44,Yolanda Noivo,https://play-lh.googleusercontent.com/a-/AOh14GisxnJVhFnlFHtWg8K8lEnKlW2UkKedpenD--x8Yg,Bom para concentração.,5,2,1.4.4,2018-10-01 16:44:08
45,Cristina Melo,https://play-lh.googleusercontent.com/-pOxqMSJ4szU/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmdlL5fsIxr_P1X-EGdw_Vyw1auQw/photo.jpg,"Como sempre , excelente 🌟",5,0,1.5.2,2020-03-21 02:17:50
