,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,rafael santos,https://play-lh.googleusercontent.com/a-/AOh14Gh6EESfayIMxHZ1WCLJvwuEsPN3TTeO7DM90Id7,"O jogo é otimo! Mas poderia melhorar por exemplo: a entrada do abrigo deveria dar para colocar uma arma para proteção, os habitantes poderia usar os medicamentos sozinhos no abrigo antes de morrer ( se possuir no estoque ). A jogabilidade da camera é um pouco ruim para as batalhas, acaba atrapalhando o desenpenho um pouco. Mas é o um jogo muito legal ✌",4,17,1.14.2,2020-11-04 18:14:32
1,Gamer Victor,https://play-lh.googleusercontent.com/-DTWAVrCF_GY/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmHRFcXHIYvK6Mq_OW7ECR8BRKCBg/photo.jpg,"ótimo jogo, visual interessante também, um senso de humor divertido, só n dou 5 estrelas pq n tem como acelerar o tempo no jogo, tem como fazer o rush mas mesmo assim tem coisas q demoram e sua única opção é esperar, eu gosto do jogo, mas as vezes to empolgado e quero continuar jogando, mas sou obrigado a esperar, mesmo q custasse cola ou qualquer outro tipo de coisa eu gostaria mais do jogo, mas entendo q o design do jogo é pra ser diferente do jeito q eu queria jogar ele",4,262,1.14.2,2020-10-19 00:45:44
2,Iarla Meneses,https://play-lh.googleusercontent.com/a-/AOh14GgUMTgXr8t6EFYEg3LCt5SMbM4nePTBqvtDP4b2eMo,"Infelizmente a resolução (?) do aplicativo não se adapta à tela do meu celular (Motorola one zoom) e fica um pouco menor, com bordas... Fora isso, eu amo esse jogo :D",3,1,1.14.2,2020-11-06 11:22:09
3,eduzitos dos memes,https://play-lh.googleusercontent.com/a-/AOh14Gh8w1SPcL0F0QDClr7SrVgxxK_WFSaskRpxkmB6,Achei muito bom só falta alguns detalhes melhorar os gráficos adicionar um sistema de mundo aberto que depois de um certo tempo da para faser bases na superfície e as expedições poderiam acabar mais rápido,4,0,1.14.2,2020-11-07 12:18:02
4,Fenix e-sports,https://play-lh.googleusercontent.com/a-/AOh14Gg9V62hxMVCUuXeTDFQTBsjI3AsuPIPIMFtzIRh,"O jogo é ótimo mais está muito limitado, eu acho que seria uma boa poder criar uma oficina de veículos,elevador de veículos, mais inimigos,defesas e falta traduzir o jogo pro português também.",1,9,1.14.2,2020-11-05 15:19:07
5,Wescley Christian,https://play-lh.googleusercontent.com/a-/AOh14Gjx6rBPCBe9VukYaLP9o1k-dgzhGuBXl6vbm5DHpQ,"Mesmo com ads (que por sinal, ajudam muito) e não estando em português (br), o jogo é viciante e também meio nostálgico aos momentos que passei jogando Fallout 5. Mereceu 5 estrelas do zuca...",5,1,1.14.2,2020-11-04 10:52:28
6,Albert Uler Silva Melo,https://play-lh.googleusercontent.com/a-/AOh14GhXXzMiBY6gtqt7C1u5mbbBgzUr1eUQ-RhxCKJ6Ng,"É bastante divertido. Gastei mais tempo nesse jogo que já gastei em qualquer outro do gênero e já reinstalei três vezes desde que foi lançado. Sou fã da franquia, mas esse jogo se vende sozinho.",4,203,1.14.2,2020-10-21 08:17:20
7,Jorge Luis Souza Lima,https://play-lh.googleusercontent.com/a-/AOh14GgwgVYq71tPhlRt1AbzbPBFos5uq9z5OpSz-oiaIQ,"Jogo perfeito Equilibrado, divertido, poderia ser um pouco menos caro os itens na loja, mas fora isso, jogo tá incrível, sempre foi.",5,16,1.14.2,2020-11-01 18:26:33
8,João Henrique,https://play-lh.googleusercontent.com/a-/AOh14GjKol0e-KIQWXvmF-MWh6XmmUyrjh2_M9YBb2lL,"O jogo é muito bom, mas tem um problema, ele sai sozinho toda hora, pfvr concertem isso, meu celular é um LG K10 e mesmo assim quase não consigo jogar",2,0,1.14.2,2020-11-08 18:13:34
9,diogo alves,https://play-lh.googleusercontent.com/a-/AOh14GjpFV7UFiQV1lRZPKjcctdutyIqIcQWQL_ps1v1hg,Só tá faltando vocês trazer a legenda português do Brasil. Amo o jogo mais vocês faz a desejar o jogo. Por causa que vocês nunca dão o suporte que os fãs de vocês precisam e um pena o jogo chegar a esse ponto estou dando 5 estrelas por causa do trabalho de vocês que é um excelente jogo mais a competência de vocês pelos fãs e 1 estrela obrigado pela assistência.,5,110,1.14.2,2020-10-24 04:01:17
10,Enzoprogames12 official,https://play-lh.googleusercontent.com/a-/AOh14Gj9h_Q83-60FxyTrxQkSglafcPfaNBLqyKpo90Z,O jogo enci é bom mais para iniciantes MEU DEUS DUH SEU o tutorial básico não fala enci do que acontece ele só Explica não mostra q fazer mais vc aprende sozin isso é o legal ele só te da hints do que fazer do que NÃO fazer isso é OTIMO eu adorei dou 5 estrelas vcs merecem,5,134,1.14.2,2020-10-13 02:25:18
11,Gabriel Araujo,https://play-lh.googleusercontent.com/a-/AOh14GgW5185CSvl1R5CcZ79P_AavhUzU5NZ33YWwiWr,"Gosto do jogos mas gostaria que tivesse para português também, seria mais fácil ler os objetivos e entender a mecânica do jogo",5,13,1.14.2,2020-10-23 23:44:41
12,Anderson Junior,https://play-lh.googleusercontent.com/-9ufqbi4Nj64/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucl4i5wMxXJhBukzSHWsFDyzJU42LA/photo.jpg,Gostaria de uma atualização para o motorola one hyper o jogo n encaixa na tela e n carrega pra entrar pode ser uma besteira .. gostaria de jogar mas n entra no jogo ...,3,18,1.14.2,2020-10-24 07:27:46
