,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,tamires pecellin,https://play-lh.googleusercontent.com/-ZPA7czV_IrY/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckJVPgHsUToeaEOKkbMa_W-8tHCYA/photo.jpg,"Olha ,eu acho esse jogo muito legal , mas ele é muito limitado ,os monstros demoram demais a nascer ,o tempo de aceleração é pouca , e tudo usa muito diamante ,claro tem vários modos de conseguir mais ,só que é tudo no DINHEIRO ,eu acho que invés de botar mais monstros ,deviam criar mais eventos pro diamante ser mais acessível , não são todas pessoas que podem gastar do jeito que querem,pelo menos eu não",4,41,3.0.2,2020-11-03 13:49:54
1,Ricardo Mello Ferreira,https://play-lh.googleusercontent.com/-dhqfl2hcrhk/AAAAAAAAAAI/AAAAAAAAB7Q/AMZuuclSxJ-FvkAbo4XDGlZhpffZZaHbTg/photo.jpg,"My Singing Monsters é um game excelente. As crianças tem um contato divertido com a musicalidade e princípios básicos de partitura e tempo das melodias. Elas aprendem brincando! O game é bastante intuitivo e trás os pequenos para um ambiente virtual mais limpo, sem violência e descontraído. Meu filhote me apresentou o game e gostei tanto que passei a jogar junto com ele. Sou músico e desenvoldor de sistemas web e achei o insite de vocês maravilhoso. Parabéns a toda a equipe!!!",5,78,3.0.2,2020-11-02 09:04:50
2,Solange Aparecida,https://play-lh.googleusercontent.com/-KhlC453qX_Y/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclHwJCqa6Q2PFl8_7E_KNh_GihXUg/photo.jpg,"É um jogo bem legal,gostei!,o legal desse jogo é que os monstros cantam, e isso é bem legal,as musiquinhas desse jogo são muito viciantes e legal de se ouvir,as músicas são tão viciantes que eu fico cantando as músicas o dia inteiro, recomendo vcs instalarem e jogarem,ah! Esqueci de falar!, não é só pq o jogo é legal que quer dizer que ele não tem bugs,existem vários bugs,mas eu não vou dizer eles aqui,mas! Recomendo que vcs baixem e joguem,dou 5 estrelas para esse jogo.",5,63,3.0.2,2020-10-30 22:23:22
3,Chavoso do chá,https://play-lh.googleusercontent.com/a-/AOh14GiLZER_YcyhRaiyBDhBijQrnA8pl_wuvAezs5_lgA,"O jogo é otimo, é legal ficar fazendo os monstros e tal, mas a parte que eu mais gosto é os monstros novos e as ilhas!! É tão bom quando lança uma ilha nova e você vai vendo cada monstro e seu som!! 😁 Mas ultimamente o jogo está sendo esquecido, não conheco muita gente que joga o jogo hoje em dia 😥 mas é como todo jogo. Fica famoso e depois cai no mar do esquecimento",3,0,3.0.2,2020-11-07 15:27:30
4,Doranilde Aguiar,https://play-lh.googleusercontent.com/-NsNstpjaY6Q/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnji3IcOBgTUygms1zR2SZAssGnEg/photo.jpg,"Mano por onde eu começo... deixa eu ver esse jogo é otimo gráficos lindos, jogabilidade incrivel várias ilhas com suas funções, monstros únicos, combinações de monstros ótimas e eu não tenho oque dizer por que esse jogo é simplesmente.... INCRIVEL ESSE JOGO É A PERFEIÇÃO DA TERRA",5,0,3.0.2,2020-11-07 13:46:49
5,gersho,https://play-lh.googleusercontent.com/a-/AOh14Gi025UdU1QqZnatrQpMdocsAheMj1KsNLe6JkeRCQ,"Jogo desde 2013,porém acabei perdendo minha conta e nunca mais joguei,hoje em dia voltei a jogar e já estou level 13,é muito legal o jogo!, jogabilidade simples,no começo é bem estressante mas ao longo do tempo fica melhor! Me adiciona aí ! : 95837521FF,acendo tochas todos os dias :)",5,90,3.0.2,2020-10-28 10:52:48
6,Fabricio Barbosa,https://play-lh.googleusercontent.com/a-/AOh14GiSREDHpMs7HWwMx8iV1VtIkuY1bAy7miYSoBxhuw,"Hoje tive um problema ao entrar no jogo, ele carrega mas logo após aparece que a sessão de downloads foi expirada. Já desinstalei e instalei, ja limpei os dados e cache, não sei mais oque fazer. Alguém pode me ajudar?",3,0,3.0.2,2020-11-07 16:59:18
7,AnØniMØus hacker,https://play-lh.googleusercontent.com/a-/AOh14Gh1_Hrqk6zlvUQGxuk9vmnQe22LU5cZ96RIMGPQ,"o jogo é maravilhoso mais tem que arrumar o jogo da memória todo dia eu jogo ele mais e ganho, mais sempre vem: 100 agrados 100 moedas e do lado sempre tem 1.000 diamantes e 1.000.0000 de moedas ,1.000.000 de agrados e eu nunca pego. e a raspadinha que demora uma semana pra poder usar de novo só vem: dedo enroscado,mamutinho no máximo um dom sapo no máximo. é os diamantes 37.90 R$ pra pegar 225 diamantes as ofertas de diamantes,ou não entra ou não vem recompensa nenhuma emfim legal p/difícil",3,2,3.0.2,2020-11-04 16:58:14
8,Josean.caveirinha Moura,https://play-lh.googleusercontent.com/a-/AOh14Gi0P_ae2NUpeIh6eHFhjcpWjU8O3oRaaigT-NMm6nk,Jogo muito bom os gráficos são legais a jogabilidade também é um jogo que você tem que se dedicar a jogar a forma de ganhar dinheiro também é muito boa os monstros são fofinhos (Alguns nem tanto) o jogo é bem legal joguem ele,5,2,3.0.2,2020-11-02 16:55:30
9,Davi gamer40,https://play-lh.googleusercontent.com/a-/AOh14GhVrxo56LF1DeIjRqQIXneRWdnrBUC8EMa4hvJRGA,É muito legal mas poderia ser um pouco mais barato as coisas e também o uid de pessoas não da pra lembrar mas esse jogo é ótimo ele tem coisas ótimas que nem eu jogo todo o dia esse jogo é muito 💫💫💫💫💫 de 5 estrelas esse jogo é muito top e legal,5,3,3.0.2,2020-11-01 20:32:13
10,thiago iuchema de oliveira,https://play-lh.googleusercontent.com/a-/AOh14GiTaLNPFmDxKtZXGd3M0jJrjqx6fzGa8mAgj_THzQ,"Essas últimas atualizações deixaram o jogo extremamente liso, tem bastante conteúdo e o jogo não trava, isso é sensacional, por conta disso estou jogando novamente.",5,1,3.0.2,2020-10-31 11:57:33
11,Juan Ferreira dos Santos,https://play-lh.googleusercontent.com/a-/AOh14GhNAiv0J5oP5c_9weLAjEvaLtSJF4XYuC4MDbwb,"Super legal esse jogo e eu recomendo bastante mas eh muito difícil conseguir diamantes e as coisas são muito caras igual o castelo básico da ilha de ar,eu nem comprei as outras ainda pq cada vez que vai comprando vai tudo ficando mais caro o castelo da ilha de ar exige 1000000 de moedas.Eu acho q vcs deviam ajudar nisso pq eh muito chato e a mina so da um diamante por dia.Mas fora isso esse jogo eh muito legal.a roleta ajuda bastante tbm pq eu peguei 100 diamantes e me ajudou bastante 95766888EA",4,20,3.0.2,2020-10-27 12:04:33
12,Alguém '-',https://play-lh.googleusercontent.com/a-/AOh14GjL7s38JwLIlmfuMSR5035tNsxcHPSilhDSq2kYgw,"Vincular conta, é uma ferramenta que não funciona no jogo, eu jogava a alguns anos com conta vinculada no Facebook, já estava bem avançada no jogo, hoje baixei pra jogar novamente, fui entrar com o Facebook (que ainda é o mesmo da época) tem que começar dês do início, isso é algo frustrante, perdi a vontade de jogar novamente",1,22,3.0.2,2020-10-29 07:20:06
13,Novacel- Master Games,https://play-lh.googleusercontent.com/a-/AOh14Gjq9tPwUg0Xk8jCblIsmwhZgP06QzzKnfNPoxFa,"Olha esse jogo já foi bom um dia hoje já não compenyjogar mais não , tudo está com tempo elevadíssimo para ser feito oque torna o jogo cansativo e desmotivante, tanto para fazer itens como monstros , tudo está se usando diamante praticamente ou seja fazendo o jogador gastar , o jogo está totalmente pay to Win , não precam tempo pois vão se frustrar.",1,7,3.0.2,2020-10-28 19:41:00
14,Rhuana Lara,https://play-lh.googleusercontent.com/a-/AOh14Gheb5s1jfuvHejZ5GzpuDIWOluNbja0UTxFVzG7,"Boa,mas muitos montros precisam de diamante,isso é mt chato, além de ter muita dificuldade de achar diamantes,precisa de MUUUUUUUITA paciência,pfv diminuam os montros de Diamantes,ou só aumentem as missões com diamantes",4,0,3.0.2,2020-11-08 01:04:27
15,um lixo qualquer,https://play-lh.googleusercontent.com/a-/AOh14Gh0SClioRgDIq_uTjUeK-NxxLEtSbWWkaqjDqxqB1Q,"o jogo é incrivel, gosto muito de jogar, porém, toda vez que eu acelero 15 minutos o tempo de um monstro, vem sempre um comercial do AstroPay, e esse comercial buga e o jogo não acelera os 15 minutos. Gostaria que concertassem isso.",2,20,3.0.2,2020-10-25 10:08:16
16,matheus henrique beltrame,https://play-lh.googleusercontent.com/-oLbjgDCXs7Q/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckKhNH2nGk4lMRjx2QMjL8oMY-29A/photo.jpg,Fas agente multiplicar tudo com nossos amigos uma ilha com todos os monstros e novo elemento e fas agente pode comprar os monstros de um elemento da ilha eterea com as gemas roxa e fas a wub caixoblims rara estar na ilha das estatuas de diamante e esse jogo é uma maravilha do nota 10 e entra na minha ilha tribal se chama entre por favor amigos,5,2,3.0.2,2020-11-05 00:24:45
17,Evani Moura,https://play-lh.googleusercontent.com/-272vGBTOR6M/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucn4XPESebGMKyDRiFCy9P_wRHPECw/photo.jpg,"eu estou na conta da minha avó. eu atualmente tenho 13 anos, eu jogo esse jogo dês dos meus 7 anos e eu amo esse jogo! eu tinha parado de jogar um tempo, mas eu voltei no começo desse ano quando eu vi a nova ilha, Faerie Island! eu estou apaixonado pelas coisas novas que tem no jogo! as atualizações estão sendo incríveis! como os novos castelos, novas opções, etc... Eu amo vocês, BigBlueBubble! ♥️ Happy Monstering! 😆 06/11/20 Eu estou tendo problemas para entrar na minha conta ""sessão expirada",4,4,3.0.2,2020-11-06 19:03:58
18,Manuele Costa,https://play-lh.googleusercontent.com/-fT4tuAr__3s/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuck69-ygy_cjxs-raMLBCS6Jp2k1oQ/photo.jpg,"O jogo é ótimo mais o problema é que precisa de conexão com a internet pra jogar, mais por que? não dá pra jogar como um jogo qualquer que não precisa disso? consertem isso agora!",2,0,3.0.2,2020-11-06 19:10:21
19,Eduardo Orlando,https://play-lh.googleusercontent.com/a-/AOh14GgPKYISQMQTgfqOBbuFZjfYj0hE7mkoFsEKUiQYng,O jogo e bom e tal mais tem muita propagando e tambem nessa atualizacão e acho meu hotel da ilha principal bugol ele nao aparece mais e tambem quando eu tento mudar os monstros de lugar buga e sair do jogo sem mais e sem menos e aparece que aprenta falhas continuamente espero que o suporte do jogo arrume isso,3,1,3.0.2,2020-10-28 10:23:26
20,Luciléia Ferreira dos Santos,https://play-lh.googleusercontent.com/-NKzkXt_s0Rc/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclHTbmvUxU60pbnsGy6wNT17_jIKw/photo.jpg,"Gostei demais dei 5 estrelas mais so que obriga a gente a gastar as gemas ai quando vc vai ver n tem mais e o jogo n devolve isso fica ruim pro os jogadores, mais de resto e muito legal",5,1,3.0.2,2020-11-02 18:01:00
21,Natan Brito Silva,https://play-lh.googleusercontent.com/-HxTfRISTCCI/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckyFCW6cBC01FMP0QBHwUskT9YBDw/photo.jpg,"O jogo hoje está bom não tem a quantidade absurda de anúncios de antes más o meu deu um erro e não passa dos 4 porcento o carregamento, isso ocorreu após essa última atualização",4,3,3.0.2,2020-10-23 17:09:49
22,Marciéli Dallabrida,https://play-lh.googleusercontent.com/-uztuK64l7uk/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucknTlOLa1VnkwKm2A0ZdBvRPUM24A/photo.jpg,"Deixei uma estrela pois agora começou a aparecer propaganda a cada troca de ilha, toda vez que quero ir pra uma outra ilha tenho que aguardar o término do anúncio, isso irrita muito!! Antes tinha mas era de vez em quando, agora toda troca de ilha tem anúncio. Por favor, nem todo mundo usa dinheiro em jogos pra estar acabando com os anúncios e nem por isso é certo abusar na quantidade de anúncio pra tentar ""obrigar"" o jogador a gastar no jogo pra tirá-los. Quando é demais é demais! Arrumem isso!",5,3,3.0.0,2020-10-28 19:43:34
23,Junia Alves Caixeta Cunha,https://play-lh.googleusercontent.com/-zcxqxOg7Yi0/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnYNFntXXxy-YARdMhdW73SYX4Hdg/photo.jpg,"sinplesmente incrivel, fiquei viciada, tantos monstros, ilhas e coisas para conquistar, espero que os criadores estejão felizes pela obra, por que eu concertesa estou! Vc nunca ce arependira de abaixar, vc pega amor pelos seu ""pts"" monstros e quer envoluir cada vez mais! Ce acabacar uma ilha, não ce preiucupe! Terá mais 40 para vc terminar, cada uma diferente, ou o contesto, ou a história! Um dos melhores jogos do meu celular.",5,2,3.0.0,2020-10-20 15:12:03
24,Pedro Bastos,https://play-lh.googleusercontent.com/a-/AOh14GjO1q7gwzQuKSI6Av72Tj22R7H3RdoHaDfLQX7-Jg,"Exclui a minha última resenha e piorei minha nota, agora sendo a sexta e última vez que reniciei o jogo, por causa desse llogin horroroso que eles tem, Facebook? Por favor né? E sem falar que o e-mail não funciona, não instalem o jogo vcs vão se frustar quando perderem a conta, estou decepcionado",1,2,3.0.2,2020-10-24 19:51:48
25,Pedrinho-Kai,https://play-lh.googleusercontent.com/a-/AOh14GjT9R0HZETspIp68rIOQUtZ2EL5Or7k3Qaw0mO6fQ,"Primeiramente Olá. Esse jogo é monstruosamente perfeito. Várias pessoas por aí dizem que é pay2win, mas não é verdade. Em 2015 vi um anúncio, achei muito criativo e me apaixonei pelo jogo. Já perdi minhas contas várias porque não sabia salvar. Em 2018, comecei a jogar seriamente e tenho uma belíssima conta hoje. Monster-Handlers, vocês estão de parabéns. Você que está lendo essa avaliação antes de baixar, não perca mais tempo e baixe. Nunca se arrependerá.",5,478,3.0.0,2020-09-03 21:53:50
26,Sabrina Rocha,https://play-lh.googleusercontent.com/a-/AOh14GhX4j8KQujmtYJw5vt4hkZPovkYQnqzCoQszkP9lzo,"Olá, desculpe atrapalhar mas vim relatar um erro no seu jogo, quando eu passo de todos os níveis do jogo da memória e chega a hora de escolher um prêmio todas as vezes, não importa oque eu escolha, sempre vem o mesmo prêmio, 200 agrados, deveria vim algo diferente mas sempre vem o mesmo e isso é injusto! Peço desculpas pois esse jogo é ótimo, mas, esse erro é irritante, por isso darei 4 ao invés de 5 estrelas, espero que concertem isso!",4,89,3.0.1,2020-10-18 21:35:18
