,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Carine Morais da Silva,https://play-lh.googleusercontent.com/-k-lLYt8OaxE/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclpbQQkcPHbCumDWhZGu_yUd50kKA/photo.jpg,"Está insuportável essas propagandas constantes, somos obrigados a assistir quase que 30 segundos as vezes mais, acho que deveriam bonificar já que querem passar vídeo toda hora, daí da pra escolher se queremos assistir ou não, e nao nos obrigar, se continuar vou desinstalar, com dor no coração pq o jogo é muito bom !!",2,368,1.7.6,2020-10-30 21:08:46
1,luana ketlen,https://play-lh.googleusercontent.com/a-/AOh14GgJhaVjJuH1Hvx1Ih-4akC4Vj5aDu29aaw5zJ9fRg,"Jogo bom, porém chega una fase que vc só consegue passar se comprar ajuda mas o jogo não da oportunidades de vc conseguir diamantes. Mesmo fazendo tudo direito ele tefaz perder só para comprar ajuda ou assistir anúncio 😴. E a quantidade de anúncios é RIDÍCULA, é INSUPORTÁVEL toda vez que acaba uma partida ter um anúncio totalmente inútil. Se situem.",3,418,1.7.6,2020-10-28 12:07:24
2,Thalita Rios,https://play-lh.googleusercontent.com/a-/AOh14Gh3v-RnP9NT3ozpQVYGbZYmW1xdXOeS1Ai_nn9-sg,"O jogo da um tempo pra completar as missões, mas os próprios bonequinhos demoram uma vida pra pedir, eles vêm andando de um lado da tela até o outro pra fazer o pedido, e o tempo passando, aí a gente não consegue completar as missões se não tiver diamantes! O próprio jogo sabota a gente 🤦🏽‍♀️🤦🏽‍♀️",2,562,1.7.5,2020-10-16 11:54:07
3,Irany Mendonça,https://play-lh.googleusercontent.com/-cp6WoOZfn0s/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnaExQ_bWrq5GnIraZk-JbrS7ADGQ/photo.jpg,"Deveria ter a opção de ganhar mais tempo após o 13° nível,oque nos obriga a comprar. Estou tentando sem sucesso passar esse nível, pois acaba os clientes e o tempo e não consigo nenhum nem outro que não seja comprando,poderia reavaliar isso e pra mim ficaria top",3,90,1.7.6,2020-10-26 21:41:51
4,Izabel Cristina,https://play-lh.googleusercontent.com/-IGeyYB9N9QQ/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnuRfzvmfd9segHs8ktxbVFd_7FtA/photo.jpg,"Instalei esse jogo a pouco tempo, já estou no nível 43 e estou no primeiro lugar do ranking ótimo jogo é também é muito viciante não tenho nada a reclamar realmente merece 5 estrelas esse é o melhor jogo culinário do mundo parabéns aos criadores desse jogo",5,3,1.7.6,2020-11-07 18:08:28
5,Viviane Soares,https://play-lh.googleusercontent.com/-AljM00nc2cY/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucntN827NQFCTmF7g0-8WTPRcoOTSg/photo.jpg,"Odiei esse jogo com todas as minhas forças eu comecei amando o jogo mais depois tem alguns níveis que você só pôde passar com diamante. Então você que está lendo essa resenha não perda seu tempo instalando esse jogo,e também passa várias propagandas. E não estou desmerecendo os comentários de quem gostou do Jogo .😠 Se eu fosse você que tá lendo ,leia as resenhas antes de baixar.",1,56,1.7.6,2020-11-05 01:27:56
6,Vanessa Nazário de Freitas,https://play-lh.googleusercontent.com/-PeK9ztHxjeU/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmQE20z-OSp-NVPbIOZsT_s__WO0g/photo.jpg,Esse jogo é muito bom mas tô tentando instalar ele de novo e não consegui e também tem umas horríveis Por que você não consegue passar e eu já tentei muitas vezes não consegue Isso é verdade porque esse jogo eu não é muito bom assim porque ele não tem como você poder passar os níveis Ué você sempre continua continua e ele nunca deixa você passar Você faz tudo ele não deixa você passar,1,54,1.7.6,2020-11-06 08:52:57
7,Rosangela Souza,https://play-lh.googleusercontent.com/a-/AOh14GgOqzejNnZJ4UBLILCOF9ZwO1MSWyiKD4oVueAl,"Muito bom e empolgante esse jogo, cada fase super bacana, as pessoas reclamam dos anuncios, mas saibam que o jogo é gratis , entao não me incomoda os anuncios, show de bola esse jogo",5,9,1.7.6,2020-11-05 13:14:55
8,Geysllyann Amorim,https://play-lh.googleusercontent.com/a-/AOh14GhFdl--MNHnC24YLgT7AtACw32EGikdNFDQPkfT,"Os anúncios são demasiadamente irritantes , aparecem a cada fase e não te permite sair deles , tem que assistir até o final , anúncios quase 1 minuto .",1,4,1.7.6,2020-11-05 09:25:52
9,Daniele Cristina,https://play-lh.googleusercontent.com/a-/AOh14GjBYKEZjFoggFuTe7nxp347geywgssvynR8YvoX,"Fases bem dificies de passar , toda hora e um anúncio, a energia acaba muito rápido e além disso você não consegue completar as missões ,pois para comprar tem que ter diamantes e tem um certo momento do jogo que você acumula um monte de moeda e se não passar das fases não pode usar para nada. O jogo em si é até bom , porém muito desgastante ficar toda hora tentando cumprir tempo e fora que os bonecos são uns lesados demora muito para fazer o pedido e quando vai ver acabou o tempo. Excluindo.....",1,60,1.7.4,2020-11-07 00:53:25
