,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Andrea Rocha,https://play-lh.googleusercontent.com/a-/AOh14GgB0j_7BSYCxsowMglriYvC5DhbCv2JoaMbyI6J,"O jogo é legal. Cheguei na fase 1020 e acabou...poderiam trabalhar mais isso, fazer novos cenários, mesmo repetindo os mesmos eu gostei, imagina se diversificarem mais! Os tacos são muito da hora, se tivesse mais eu até compraria pois viciei neles, tenho a coleção de tacos mais top rs. Parabéns aos desenvolvedores!👏",5,323,2.19,2020-11-03 10:24:45
1,JULIO BASSO,https://play-lh.googleusercontent.com/-PCtZlU0uoZg/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucml9Qe1ohP3nC2RJwFI9mdX14oj_w/photo.jpg,"Excepcional bem extratégico,motivador. Ocupo o meu tempo em período exporádicos, ou seja, quando disponho de um momento livre. Além do desenvolvimento em minhas habilidades com a geometria e ângulos desenvolvidos no projeto.",5,21,2.19,2020-11-07 18:29:34
2,Carlos Cardozo,https://play-lh.googleusercontent.com/-GmcSYWsDyz0/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckC7VJSQdGRvznrjSQHH1V6_3u1-w/photo.jpg,"O jogo é muito bom porém as propagandas são excessivamente repetidas e sem nenhuma relação com as minhas necessidades. Dessa forma, inoportunamente as propagandas especialmente da Casas Bahia atrapalham a concentração e o desempenho esperado no jogo. Obrigado por sua atenção.",1,583,2.19,2020-10-28 12:47:54
3,VITÓRIA VIVIANE95,https://play-lh.googleusercontent.com/a-/AOh14GiQbFe2C7AUofN0otRrOBPOI01eQjbhjurzTQ-YMl0,Quem criou esse jogo tá de parabéns Esse jogo é muito bom gostei demais e ainda diz ser fácil de usar é muito mais fácil de jogar porque tem vários jogo que é muito difícil de jogar mas eu gostei muito dele baixe agora só isso que eu falo Obrigado por criar um jogo de sinuca muito bom,5,628,2.19,2020-10-24 22:04:40
4,Bianca Meireles game,https://play-lh.googleusercontent.com/a-/AOh14GiunxOdRES6nPh6PgCD7EKe391LlS7ThWowGjMy,"Esse jogo e top meu Deus , legal em 1 dia ja to no 15 meu Deus , mas podia ter mais fases pq so tem 400 eu acho de fases , que pena , mas eu gostei minha irma ate gostou mas nao ta jogando ela ta na 3 e não ta concequindo passa . Disse para ela seu posso ajudá-la mas ela ta tentando até agora , falei a técnica e ela ficou imburrada so pq eu falei , fiquei tb triste mas quando chegou no 10 ela disse que esqueceu a técnica e tb tava difícil . Eu não achei difícil . Nenhuma pq eu sou racker kkkk",5,438,2.19,2020-10-16 11:34:17
5,João Leonardo,https://play-lh.googleusercontent.com/a-/AOh14GjgdITnSRuShP_M_vcFqHYzssaYgi8tWrNT8r4n,"Deveria ter que entrar com uma conta para caso vc precise desinstalar o jogo fique salvo o nivel que vc está. Ja havia chegado quase no nivel 400, mas precisei formatar meu telefone, agora tenho que comecar do zero, ja desisti de continuar jogando. E ultimamente tem anúncio de mais, em cada mudança de fase um anúncio ai fica difícil.",3,1501,2.19,2020-10-06 17:27:17
6,Welson Shindo,https://play-lh.googleusercontent.com/-9pfhr0OhVGY/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucn-a1aQWdrFEkqmAkJ5cumSBv0qEA/photo.jpg,"O jogo é interessante quanto a entretenimento. A noção de realismo é muito boa! Efeitos, tabelas e bolas em ângulo são excelentes! Mas poderia ter um jogo assim, que permitisse desafiar oponentes ONLINE (sem trapaças, cheat codes ou truques).",3,356,2.19,2020-10-21 14:27:24
7,Irene Ravache Rodrigues Ravache,https://play-lh.googleusercontent.com/-tiifF8fNZNQ/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucn6I7AO3ZlIBFnkKGV_r_etsc4dgw/photo.jpg,"No meio dessa loucura que estamos vivendo nos últimos meses, pelo menos para me,tem sido uma forma de desestressar. Agradeço e parabenizo os criadores desse jogo de gráficos magníficos! Parabéns.",5,94,2.19,2020-11-04 19:21:01
8,Leandro Eduardo de Paula,https://play-lh.googleusercontent.com/-EfWvxyz7KZE/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnAGoCGeGkWZV_ctJCIIArYMgM4Uw/photo.jpg,"Achei muito interessante, porem, para se dar sequencia demora-se um pouco, na minha opinião. Mas muito interessante. Espero concluir outros níveis, já que tempos não brinco assim. Abç.",4,296,2.19,2020-10-15 19:03:54
9,Samuel Vinícius,https://play-lh.googleusercontent.com/-T5_hGb3VDwU/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucl1oHLcq_cEdsZ_JU69vwUgomnMRg/photo.jpg,Esse jogo é muito bom. Já tinha jogado uma vez e como disseram realmente podia ter como salvar o progresso pq eu tava bem avançado e agora tive de começar de novo. Mas o jogo é excelente estão de parabéns.👍,5,93,2.19,2020-11-04 18:38:33
