,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Manoella Camargo,https://play-lh.googleusercontent.com/-XSfNI4yhTB0/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnBctsGdcomvnoR9WA1YDKvwHcJIw/photo.jpg,"Não achei a opção de português, vou desinstalar então, tem algum jogo de palavras q tenha?",3,10,4.4.6,2020-06-12 18:25:08
1,Victor iwase silva,https://play-lh.googleusercontent.com/a-/AOh14GjXOQhPKmjl2hAZQOI_SMnvCsQ0xLeZ6FWQlKVKQA,"No começo era 5⭐,mas agora quando eu termino um estágio e vou passar para o próximo,o jogo trava.Espero que corrijam isso.",1,29,3.3.3,2019-05-28 09:17:55
2,Dhiekson oliveira,https://play-lh.googleusercontent.com/--fnQCWEznaU/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnA-esMatYb5NjF6qyjx8fBPYJ2TA/photo.jpg,Gostaria de saber se o jogo realmente paga oque promete? Só pode sacar quanto chegar em 100 dólar,1,8,4.2.6,2019-11-04 12:46:15
3,Bruna Crispim,https://play-lh.googleusercontent.com/a-/AOh14GhNiLT4pmu1hP5FB7msKY1GdcJhp2pe9iDqnx1GHQo,amo esse tipo de jogo e é o unico perfeito em todos os sentidos,5,18,3.2.5,2019-03-08 08:23:40
4,sara sophia,https://play-lh.googleusercontent.com/a-/AOh14Gjw89tRG8GmgcJsjLwRWm9tssBkAlVtrBha3BXokg,Amei muito bom alem de ser difícil acertar as palavras é um bom passatempo,5,0,,2018-11-07 22:58:16
5,Maria aparecida souza Oliveira,https://play-lh.googleusercontent.com/a-/AOh14GjkAvjsDY-Mfrn5PBzd2y8Q2PMmfoPAs_l5IwKHZQ,Bom faser palavras co 5 letras quantas palavras ja foi possiver faser.otimo Amor e muito educativo minha sobrinha escoleu os meslhores,5,1,4.4.3,2020-05-15 00:29:42
6,Um usuário do Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"só tem propaganda nesse jogo, da raiva",1,5,,2019-03-24 22:35:36
7,Um usuário do Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,esse jogo é legal mas é difícil adivinhar as palavras Msm assim eu adorei,5,4,3.0.9,2018-10-25 16:57:38
8,Sг кiкo,https://play-lh.googleusercontent.com/a-/AOh14Gj_50mdjyz4x2raoMDZqkZ2V6jPTvX1FQla35yO,muito bom!!! maneira fácil para aprender inglês!,5,6,3.3.7,2019-07-11 18:55:29
9,Edmílson moreira,https://play-lh.googleusercontent.com/a-/AOh14Ghri92HOwI2Vndy2XRUM724S9ShXT2HeZzaNmt41dA,Vou dar 3 estrelas se pagar na pay pal venho e dou 5 estrelas,3,1,,2019-10-25 13:21:15
10,Maria Eduarda,https://play-lh.googleusercontent.com/-qRpdVvMsqGM/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckIuVmSw_-6i5HR6ASxVk82AFg5Ig/photo.jpg,"amei o jogo é otimo, pena que é inglês",5,2,3.3.5,2019-07-07 08:53:51
11,Andrea Lucia,https://play-lh.googleusercontent.com/a-/AOh14GgD_0x-vn0E3a7aoeT8ZYC2K5rCZRxigorZ5bQ-yw,"Poxa não tem em português, por isso saí",2,28,3.1.0,2018-11-16 11:51:01
12,João Paulo Kohara,https://play-lh.googleusercontent.com/-2fAn0pV2vo4/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckq5qJdeorGKU4FK3v9fnn4ZCHUbQ/photo.jpg,Caça palavras bem feito.,5,2,4.0.0,2019-07-24 17:30:55
13,Um usuário do Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Ótimo jogo para passar o tempo!,5,12,3.1.9,2019-01-18 02:12:05
14,Vivian Tavares,https://play-lh.googleusercontent.com/a-/AOh14Gjuh_9KHwDSlWbUyTBko13kXPLCQlgr9qh-tElk,Não está abrindo mais!,4,6,3.1.4,2018-12-20 23:01:23
15,Um usuário do Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,eu adorei o jogo e eu recomendo,5,20,3.2.2,2019-02-24 18:20:04
16,Um usuário do Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Esse jogo é inglês mas é legal 😶,5,7,3.1.0,2018-11-09 08:17:15
