,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,lucas Ferreira,https://play-lh.googleusercontent.com/a-/AOh14GgAmOv0ulbXqGfo5dQYraqfhxB7fwzWI6UTUUIE_g,"Não recomendo, jogo poder ser ante bom, mais pra mim não presta , toda partida tem palhaçada de propaganda , q nos obriga a ficar vendo enquanto não acaba os segundos de cá um para poder jogar , horrível zero ""0"" para jogo . Sei q vcs ganha dinheiro com esse anúncios, mais perde em jogadores pq da minha parte já mais estalarei .",1,47,20.0728.09,2020-09-26 16:21:08
1,Din Hang,https://play-lh.googleusercontent.com/-2kyi9H1vq7g/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnpTAfx_gBIU_DSD5PU3EPPYa0yxw/photo.jpg,"O jogo é incrível...anúncios não me incomoda, seria ótimo que não tivesse. Mas isso não é problema acontece que tds temos opiniões diferentes. Tão de parabéns esse jogo é muito bom....ajuda a distrair muito e eu gosto de jogar! Bem ... 6s fizeram um jogo muito legal!😊",5,44,20.0728.09,2020-10-01 14:21:54
2,Julia Ferraz,https://play-lh.googleusercontent.com/-vCt7fl1oytM/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckIYKodOalxCs2qTF_4oCXWolyF5A/photo.jpg,"Vou dar 4 estrelas porque tem alguns modos bloqueados e tem que pagar para desbloquear mas e muito bom é igual um passatempo eu já joguei a muito tempo é muito bom, parabéns pelo jogo, recomendo para todos!😘",4,15,20.0728.09,2020-10-20 15:40:39
3,Alana Ribeiro,https://play-lh.googleusercontent.com/-FO0gpxEwnzc/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnCCAw47wywEQsmOvi2Ifu3Z6SsQQ/photo.jpg,"Olá,Bitmango. Venho aqui para dizer que gosto demais desse ,apesar de haver desinstalado (reinstalei hoje pela manhã).Lembram do problema que relatei ter em alguns anúncios em que o som do meu celular abaixa sem que eu tenha feito nada (configurado o aparelho para isso ou abaixado o som ) para que essa situação ocorresse ? Estou vindo aqui para lhes pedir encaricidamente que deêm uma solução para esse problema e fazer o que puderem para que esse problema jamais volte a ocorrer .",1,77,20.0701.00,2020-07-24 12:01:18
4,Wilson Cruz,https://play-lh.googleusercontent.com/a-/AOh14GjSyg10tt_0quE3YzdIHKjJ7KqWskTblpHqM_0l,"Jogo interessante, penso poderia ter um pouco menos anúncios. Sei que ganham dinheiro com isso. Mas em todo caso eu gosto, fa, passar o tempo.",4,44,20.0728.09,2020-09-07 01:52:51
5,Rosane Rzigoski,https://play-lh.googleusercontent.com/a-/AOh14Gjkzty9sxXewifh6-JzLsKx1ZBfm5wNE23zg7vX7w,"Oi o jogo é muito bom só tem um problema q muita gente fala q é os anúncios sei q vcs ganham dinheiro com isso, mas seria ótimo se vcs tirassem na próxima atualização q é o q já muita gente já falou porque por causa disso o jogo fica carregando mas não dá resultado nenhum então temque sair e entrar de novo mas é claro q todos os jogos tem uma certa desvantagem mas nesse jogo eu acho q só tem apenas essa",5,131,20.0701.00,2020-07-08 19:49:45
6,Abigail Pessoa,https://play-lh.googleusercontent.com/-eE-lzpUS1QI/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmVbWQwktTzqbhC7nLydFxQDa7DCw/photo.jpg,"O jogo é incrível divertido e complicado as vezes mas isso deixa o jogo, se não gosta de anúncios desliga a internet não é obrigatório é um jogo offline, eu acho o jogo perfeito.",5,80,20.0728.09,2020-07-30 12:51:21
7,Fabio Oliva,https://play-lh.googleusercontent.com/a-/AOh14Gh55Qz0cllDTkHRZ0nU5tZckZE5bgY6nE8ELFyD,Ótimo para desenvolver métodos e soluções para o dia a dia.,5,4,20.0728.09,2020-08-26 23:20:02
8,Helena Lele,https://play-lh.googleusercontent.com/-lwwgvpy11zo/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucm_JP0yvLV6vIgVDOgZqVcghMxUMw/photo.jpg,"Eu não pude nem gostar do jogo porque quando eu clicava nele,dizia,O ROLL THE BALL FECHOU, eu nem cheguei a entrar no jogo.",1,1,20.0728.09,2020-08-23 11:10:58
9,ТЫ С4АСТЛNВ,https://play-lh.googleusercontent.com/a-/AOh14Gju86x1lhe0F_JZj6FM6fvrGfexQKycwo_lvH8z,"Não sou obrigado a assistir anúncios sem que eu permita, desinstalei o jogo sem nem mesmo jogar, 0 estrelas não baixem.",1,20,20.0701.00,2020-07-18 13:57:12
10,Élen Matias,https://play-lh.googleusercontent.com/a-/AOh14GiPZqYe8banmavFaoRxktuA8HKtWioIaSdsBuR0,Cara termino uma partida e vem propaganda atrás de propaganda sério jogo e bom mas não dá pra joga desse jeito sem condições,2,0,20.0728.09,2020-09-15 21:27:09
11,Ju Santana,https://play-lh.googleusercontent.com/a-/AOh14GhslNn4zS38vTO483Xq8alnyeaWzId951IQcNU3YgA,Para não aparecer comercial é só desligar a internet 👍,4,0,20.0728.09,2020-10-19 03:14:01
12,Tiago de Oliveira,https://play-lh.googleusercontent.com/a-/AOh14GiXNInVZ_TffRuU1DhfZwDKkDp5GDSx-eVC_9pX,O jogo é bom nao fosse a cada jogada uma propaganda um inferno... desinstalando.,1,1,20.0728.09,2020-08-29 22:47:04
13,Grinding band,https://play-lh.googleusercontent.com/a-/AOh14GiKjH5UlwuvWumyuKUV3FDDkttQYwbur6c6lNtzAA,Comprei o jogo e continua propagandas. Ridículo .,3,3,20.0623.09,2020-07-01 21:17:07
14,Juliana Reis,https://play-lh.googleusercontent.com/a-/AOh14GgE9OY1zjv7C5uc8w0h-xNmrT7qq1eHlVLouGpKEw,Gosto muito desse jogo porque treina o raciocínio lógico 🙂🙂❤️,5,0,20.0728.09,2020-09-22 23:06:46
15,angelica borges,https://play-lh.googleusercontent.com/a-/AOh14Ghvzt7n9F1QfBfNghWafVfSk8vEUGJfLsBuYKSPUg,"horrivel a cada nivel que passa tem uma popaganda, ninguem merece",1,3,20.0701.00,2020-07-15 10:50:56
16,Ana Clara Lamenha,https://play-lh.googleusercontent.com/a-/AOh14GhvMRjFa-pLrlDfxBS04D5iwcI8NS4Qzbbl0KUb,"O jogo é legal e tals,porém a quantidade de anúncios obtidos no App é um pouco de mais, infelizmente tive que desinstalar,pois anúncios consomem bateria,principalmente os que duram um pouco mais...ñ recomendo para pessoas q ñ tem paciência(como eu)... obviamente pela quantidade de anúncios,mas quem têm paciência...vai enfrente fia(o)",3,2,,2019-07-14 17:43:50
17,Joana Rodrigues,https://play-lh.googleusercontent.com/-pLsDDy4oKh8/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucn2qNsX1L3nYfZY2MoppYzkDA7bWg/photo.jpg,O jogo é incrível. E n é preciso internet nem wi-fi para o jogar,5,4,20.0728.09,2020-08-08 06:59:02
18,Gustavo Santamaria,https://play-lh.googleusercontent.com/a-/AOh14GgDenLSCMhslikWpXfIHx6SCQ5rQp0UxU8ahGqmRA,"O jogo não é de todo ruim, mas tem 2 grandes problemas: 1 - Quantidade enorme de propaganda. - Toda rodada tem propaganda (e algunas com som). 2 - O jogo não tem fases crescentes em dificuldade. Tem uns módulos enormes que são todos a mesma dificuldade aleatória. Isso torna o jogo monótono e desestimula o jogador.",2,8,1.7.50,2019-01-09 16:06:58
19,uma pessoa aleatória,https://play-lh.googleusercontent.com/a-/AOh14GjsERx-3DHf2JWaIXjEC_a0m4wwfRrwtvtux7u8dA,"Mecânicas simples e interessantes, as quais foram bem aproveitadas. Combine isso com a atmosfera boa e tem-se um jogo bem interessante. Apesar disso a grande quantidade de fases faz a curva de dificuldade subir lentamente, o que pode ser um impecilho prara o aproveitamento.",4,56,1.7.43,2018-09-15 21:59:57
20,IluSioN,https://play-lh.googleusercontent.com/a-/AOh14GgA3CSZUFN8kdECDnYrTRgW4oOFnOXJdoxThRou,"O jogo é excelente. Mas a quantidade de anúncios é absurda. Vejo vários comentários sobre e nenhuma mudança por parte da empresa. Portanto desinstalei e não voltarei mais a instalar. Lembrem-se que vocês só vendem anúncios porque tem consumidores. Em breve quero ver onde vão ""farmar"" visualizações sem usuários. Porque a classificação do game está só caindo com as estrelas negativas. Logo ele entra no limbo da Google play e jamais terá novos usuários. A ganância leva várias empresas a falência.",1,0,,2020-01-17 03:09:10
21,Lari Larissa,https://play-lh.googleusercontent.com/a-/AOh14Giicd9lyV1Dey8Y1I7WciadgfIooxWz-sDz8YJ-cA,"Eu amoooooooo esse app,amo de coração,não tem nada de ruim q eu possa falar dele,só trava mesmo,mais é por causa do meu celular a tava entupido de app mais eu desistalei e melhorou,eu super recomendo, é um ótimo passatempo, é ainda melhor quando está offline,pq não aparece anúncio! Mais eu super recomendo!",5,119,1.7.46,2018-10-25 23:34:31
22,Claudio Martinho,https://play-lh.googleusercontent.com/a-/AOh14Gg8iv7EWJ8ZQiFs9OCt1pEgi1t4mwIBJGTdFV6-,É um jogo excelente para treinar a visão e melhorar a memória.,5,0,20.0728.09,2020-10-03 18:03:52
23,Danilo Silva,https://play-lh.googleusercontent.com/a-/AOh14GiuuuP-jsg65iIs1YTKfolns6bWsYXvClFEc5qEURc,"É um bom jogo, porém, tem uma quantidade exorbitante de anúncios, o que pode ser resolvido se o usuário jogar sem conexão com a internet, mas caso contrário, precisa lidar com praticamente um anúncio à cada rodada. Mas, fora isso, é um bom jogo, que oferece um bom divertimento e forma de passar o tempo.",4,189,7.0.3,2020-03-17 18:30:33
24,O mundo Militar,https://play-lh.googleusercontent.com/a-/AOh14GjHeOwreM71Ht1tYZdAPgsQcw4yxDRS9dmQdCRgUg,"Cheguei no nivel 16 e o jogo bugou, não queria passar de nivel, não queria ir para a página inicial, nem repitir, simplesmente parou... horrivel só perdi meu tempo!",1,0,,2020-06-16 00:38:49
25,Rael Santos,https://play-lh.googleusercontent.com/a-/AOh14Gjanm9dW8xFtJLddMA1tjl1Sz-WcCjttg_Hofl1_w,"Péssimo. Propagandas excessivas. Dois videos de 10 segundos após cada fase, as quais resolvemos em menos de 5 segundos. Pior de todos até agora.",1,0,,2020-05-21 02:54:18
