,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,?????????? .txt.,https://play-lh.googleusercontent.com/a-/AOh14GgVckNpQ_p9I04J6yI8yYDzie_bkjuRwmPE_ctT,Divertido e raro achar jogos online de truco com cartas espanholas,4,3,5.3.21,2020-10-24 14:02:51
1,rubens silva,https://play-lh.googleusercontent.com/a-/AOh14GgEXDLTUQO6JXhxsZjnZBsHlZKgISnOOuvJb396,"Há manipulação das cartas, favorecimento de um dos jogadores no multiplayer, por exemplo, um jogador que é mão com 32 em envido não canta, você sai sempre com 1 ponto a menos que o oponente, canta falta envido e perde. Jogadores experientes com mais de 30 pontos sempre cantam falta envido, não deixam passar, nem pra blefe! Outra questão já levantada anteriormente é o favorecimento de jogadores argentinos!",2,16,,2020-08-28 02:19:19
2,Patrick Silveira,https://play-lh.googleusercontent.com/a-/AOh14GjeOVCH8evO9U1svL33laOHwP8eRwWB47QWb58X,O desenvolvedor é mais ladrão que o presidente argentino. Off line um bom jogo mas multiplayer impossível vencer se o adversário for argentino. Gravei 5 partidas contra argentinos e todas as vezes saíram com ponto e carta.Em duas ocasiões cantaram 3 e 4 vezes flor seguidas da uma raiva que só vendo. Não baixem passa mais ódio do que divertimento,1,19,5.3.19,2020-09-17 12:31:48
3,Anderson Monteiro,https://play-lh.googleusercontent.com/-Nxc5oTF_6ug/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmhBiY3Zysf5UE2m9E7g1OE81gBzg/photo.jpg,"Faltaria mais momentos de TRUCO, durante a partida, entre cada JOGADA de carta... Também seria bom ter um chat direto com a dupla, não público entre os quatro jogadores...",4,5,5.3.19,2020-10-15 00:07:39
4,Alexsandro Almeida,https://play-lh.googleusercontent.com/a-/AOh14GgxmVRYSdiRJP8390gP3hBmzuuiaQyrtCAXDORv,"O jogo é uma mustura do tradicional truco jogado com os pais, e mais a facilidade e modernidade de hoje",5,0,5.3.19,2020-10-19 23:28:32
5,Guilherme Lourenzi,https://play-lh.googleusercontent.com/a-/AOh14GjZgw0Fiyzq9iyKZvUySTMBVO_AjK6V4D4KDWxY_Q,"O jogo é muito bom, porém nas regras do jogo os valores de cada carta não está bem claro, pois lá uma carta que deveria valer mais na hora do jogo vale menos",4,1,5.3.19,2020-09-02 08:53:07
6,Alberto Remiao,https://play-lh.googleusercontent.com/a-/AOh14GhEECGeN7b1ZWgppA2rnu05a27j156C2NcWI09ZNA8,"Jogo excelente, com o anotador o app se torna extremamente útil. Como nem tudo são flores, o app tem um defeito muito incômodo para a nova geração de telas 18:9 e 19:9, onde a tela do app não é adaptada à este padrão, ficando o plano de fundo do aparelho exposto no topo do visor, exaltado ainda mais em aoarelhos com Notch.",4,10,5.2.9,2019-04-13 07:13:53
7,fabão diefentäler,https://play-lh.googleusercontent.com/a-/AOh14GjZf0WhJcQtbC-30J6rNv0ldzNLVcqYCHwdNgIkn2M,"Olá, gostei muito do jogo, mas quero fazer uma reclamação pois na turnê nacional estou em primeiro em todas e nas Malvinas que falta estar em primeiro estava em 23 e ocorreu um erro e fui par 73 novamente isso é um descaso voltar 50 posições é brincadeira....",1,0,5.3.19,2020-10-08 09:29:53
8,cristian villarinho,https://play-lh.googleusercontent.com/a-/AOh14Gi_P4sxiK2A63ylOQwDTCMt6VqWp_WgxVk_Sdp0NQ,"Ha poucas opções do truco que o pessoal mais do sul joga, esse é um dos poucos que não é muito ruim mas também não é perfeito, com algum tempo de jogo, da pra sempre ganhar da máquina.",3,6,,2020-07-20 00:22:45
9,Lucas Alves,https://play-lh.googleusercontent.com/-HTgB6RzhrT0/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmbfilZMGSNt5oYoyeuXctB7oDH_Q/photo.jpg,"O jogo é excelente, em gráficos regras, tudo certinho como jogamos no truco gaudério, porém chegou no modo Multiplayer o app é muito ruim, aliás tem melhorar muito pra ser ruim... não consegue formar as mesas , cai toda hora, aí forma a mesa e não começa o jogo, aí começa o jogo e cai no meio. Mesas só de 4 pessoas, poderia ter a opção de 6, aí vc quer mandar uma msg no whatsapp enquanto isso e o jogo te derruba...enfim jogo bonitinho, mas ordinário...",2,85,5.3.11,2020-03-25 18:53:02
10,andre simonetti,https://play-lh.googleusercontent.com/-vRVbuQoz8Kg/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclQRtaDwD1ntX3drqymMQygdtkTxA/photo.jpg,"Graficos bons , som razoavel e boa jogabilidade no modo de jogo que vc joga sozinho ou em dupla contra a maquina. O problema do jogo é no modo multiplayer. O jogo sempre dá as melhores cartas pros jogadores argentinos. RIDICULO e apelativo. Se você quer jogar no modo multiplayer e nao morar na argentina nem perca seu tempo baixando essa carniça.",3,18,5.2.9,2019-10-01 23:04:30
