,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Kleber Sampaio,https://play-lh.googleusercontent.com/a-/AOh14GjSLfLX_VaqbijlMYY9wNAGMmZ6JkvBVfrbXerQ4A,"Mano traduzam pro português ou pra o inglês, e coloquem uma opção de blitz pra recolher todos os recursos de uma fase, E chato ter que refazer toda vezes uma missão pra recolher os recursos.",1,29,8.120,2020-06-27 14:22:37
1,Renan Reis,https://play-lh.googleusercontent.com/-BrL_OOMdCIg/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnye9ImMt5M6MR2KxYUq34GZ9mxPA/photo.jpg,"Só baixei para pedir de volta o jogo creature academy.. melhor jogo de aventura que já joguei, se trazer ele de volta vocês vão ganhar muito com ele, na época dele não tinha tantos celulares como tem hoje em dia, peço pelo menos uma resposta, obrigado tenha um bom dia!",5,27,8.04,2019-11-15 14:09:35
2,Fgold BR,https://play-lh.googleusercontent.com/a-/AOh14GjGqt6ZxduuJQ5uZpIS_rsb6415fJfvobKdsJdq,Precisa de uma legenda pelo menos inglês mais e bem provável não ter já que eles não volta atrás em questão de legenda já que teria que mudar o jogo todo praticamente ah lembrando que não e tão difícil assim jogar o jogo mesmo com o jogo todo em coreano jogo e Incrível tá de parabéns Netmarble e kakao,5,59,7.02,2018-09-30 19:48:27
3,Arthur Valença,https://play-lh.googleusercontent.com/a-/AOh14GiXmj81xwRuCULvzwkT6yFk_gki6DTEJij19P5K,Deveria ter outros modos de login tipo face ou play store.,5,21,,2018-10-07 22:42:48
4,Luiz Fabiano de Souza .Gmail Santos,https://play-lh.googleusercontent.com/-HUbvrinlWR0/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnns0CwI1O29dZgPW5gmjVes5a-9Q/photo.jpg,Não consigo entrar no jogo .Não da para castrar o jogo. Tem mas gente sem consegui entrar no jogo,1,3,8.08,2020-03-11 13:02:15
5,cristiano rodrigues,https://play-lh.googleusercontent.com/a-/AOh14Ghyslkrsbp65fevqb1apdH8fyEi7vVKfYdPoNB9,Jogo muito bom...pena não ter tradução p português...ou pelo menos espanhol...,2,6,8.07,2020-11-09 09:28:31
6,Ana Carolina,https://play-lh.googleusercontent.com/a-/AOh14GhVr9dOOVNXqkXW6MX4iMob5lp1W-cMKkzrjDnUqQ,안녕 하세요 ♥️,5,1,8.02,2019-08-22 12:32:57
7,ITAIR JOSE ALVES,https://play-lh.googleusercontent.com/a-/AOh14GjwAucyLqvZnsVuQITkdeiDwgv_I1_HN1D8UwuBiQ,Versão mais antiga,5,6,7.01,2018-09-10 22:38:21
8,Um usuário do Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Cíntia mais da seu número o meu é (021) 96638-9078,5,1,7.00,2018-08-03 21:08:35
9,Geovane Henrique,https://play-lh.googleusercontent.com/a-/AOh14Gg3hPENU0qeiqLBeF3f0T8oN6tKKZ-TrCxoq9Oe,"Nao jogan ese jogo ele é falso e nao presta para Jogar vam viver sua vida 
:-) ♡♡♡♡♡♡♡♡♡♡♡><>><>",1,5,6.10,2018-06-02 12:14:10
