,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Filipe Sales,https://play-lh.googleusercontent.com/a-/AOh14GhudYHuvlW252TiGVfdP6xmVWVCRZpjvRiWHlVu2Q,"Já tem 2 dias que não consigo entrar no jogo, peço ao GM que me ajude a não perde os bonus diários.",1,22,5.4.81,2020-09-14 21:20:24
1,Tumblr comits,https://play-lh.googleusercontent.com/a-/AOh14Ghri0kka6jhiW_B8CjQnrF6sbDLKKgPnO73q3mfKg,"O jogo é muito bom, embora precise da tradução inglesa ou mesmo a portuguesa Brasil. Se alguém estiver com dificuldade em criar a conta experimente entrar no site da kakao ou se tiverem com dificuldade tentem pesquisar kakao accounts Netmarble no google, Espero ter ajudado!!!",4,23,5.2.01,2018-09-19 14:42:07
2,Jean Lourenço,https://play-lh.googleusercontent.com/-SvbnZ4cuynA/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnYO2SZpBr6-KhI4WW4iwaJY18P8Q/photo.jpg,"O jogo está ótimo, mas está muito difícil entender o idioma do jogo junto com o sistema de log do game. pelo menos coloquem uma tradução em inglês do jogo que ele irá ter mais jogadores, e por favor, diminuem o sistema de cash, pois o jogo te obriga a gasta dinheiro.",4,14,5.3.05,2019-11-25 17:19:54
3,Jackson Miguel,https://play-lh.googleusercontent.com/-MKB58noWBqY/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmSR5tKNymvw-KhRAMCKh0zdG_W_A/photo.jpg,"o jogo é otimo,bonito e talz do que nao consigo logar eu joguei durante dois dias so que agr nao entra e estou odiando isso pq ja desinstalei e instalei umas 3 vezes arrumem isso por favor quero muito jogar esse jogo maravilhoso",1,1,5.5.01,2020-09-21 11:23:26
4,Rave Meniack Rave,https://play-lh.googleusercontent.com/-4zV0G9nbucY/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucn_yop8MYu-_WkUwstIYyhlkN4kvQ/photo.jpg,Poxa tava maior ansioso para jogar o jogo mas quando entro diz para botar a conta do jogo..Pior que não tem nem outra opção explicando e não tem como criar uma conta o jogo me diz que já tenho uma e não consigo jogar como resolver isso..,1,13,5.4.25,2020-04-02 11:36:32
5,cristiano rodrigues,https://play-lh.googleusercontent.com/a-/AOh14Ghyslkrsbp65fevqb1apdH8fyEi7vVKfYdPoNB9,Não sei o que acontece...mas depois de algumas atualizações....o jogo demora p abrir tem que clicar muito até abrir...,1,2,5.5.01,2020-09-17 08:44:50
6,Denner Tk,https://play-lh.googleusercontent.com/a-/AOh14Ggl-n4pORiReKubFbX0OtRhqchwZZpESZNDpnLNtQ,"No geral, um dos únicos jogos mobile que não é p2w, recomendo. Você pode farmar tudo que precisa sem gastar,",5,17,5.3.16,2019-07-12 16:39:51
7,Marcos Martins,https://play-lh.googleusercontent.com/a-/AOh14GhC2vkHjHHM1XJO9E_ePo6M6CB0BHua7JEmZ7tYxI8,"tava otimo,enquanto estava dando um heroi especial semanal pois sou f2p e n tenho condições de por cash no jogo,agora removeram e deixaram o jogo mais complicado e p2w",1,1,,2019-05-07 04:48:24
8,Gustavo França,https://play-lh.googleusercontent.com/-XL-PyAwrc2k/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucn-9k4g8InhfZcHmK6ixdsanhGfmw/photo.jpg,Enquanto não poder fazer a conta pelo facebook essa vai ser minha nota.Vou no site do kakao digito tudo serto e diz que ta errado.,1,7,5.4.35,2020-05-14 22:15:40
9,Seraphine,https://play-lh.googleusercontent.com/a-/AOh14GgiQVQA4BKPnlBQj5Fh_9pevROus0zPqCJ8rUdq,Jogo e otimo so falta uma dublagem ai sim ficaria 10/10 mais tirando isso game e lindo.,5,20,5.2.55,2019-03-30 23:10:40
