,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Alexandre Gustavo,https://play-lh.googleusercontent.com/a-/AOh14Gi7Kdi091dg0aNB-QEp9evxA8RZyznqrFR3hZfg,"Jogo excelente, uma mecânica maravilhosa e gráficos excepcionais que continue assim Coloquem formas de conseguir alguns recursos sem precisar pagar com dinheiro real, pois nem todo mundo pode gastar dinheiro com o jogo e isso acaba deixando essas pessoas atrás enquanto aquelas que podem gastar ficam muito mais fortes que aqueles que não podem, Não consigo jogar o jogo pois quando entro na minha conta ou tento criar uma nova ele fica saindo e dando erro arrumem isso por favor",5,5,6.0.9,2020-11-07 11:32:30
1,Wellerson Alves,https://play-lh.googleusercontent.com/a-/AOh14Gj97hAv3sshO-39KGKoDY8hvRReKK63D4koPcsASw,"É um ótimo jogo e melhorou 200% ao poder automatizar as runs nas masmorras. Esse patch veio realmente pra mudar o jogo pra melhor. É um jogo que demanda tempo, e ninguém consegue ficar 3 horas direto no jogo pra gastar energia. Quem sabe melhorias para automatizar ainda mais, e melhorar as runas de posições 2 4 6 flat, pois é algo inútil no jogo, ninguém usa e ninguém se interessa, se fosse melhor quem sabe teria melhores variedades de builds.",4,13,6.0.9,2020-10-29 09:04:12
2,Odeie a manipulação Odeie a manipulação,https://play-lh.googleusercontent.com/-dluPOOrXAGI/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnB_yUBGqU1bogQKjVQXI84Fc_DQA/photo.jpg,"Foi feito muito bem o jogo, é um bom jogo é traduzido i o bom é que está traduzido também na linguagem em que falo. Jogo simplis fácil de entender claro que ao atualizarem sempre querem adicionar algo ao jogo para dificultar ou testar seus conhecimentos ou algo desse tipo, também da pra deixar o jogo mais simplis mais isso demora pois eles não vão deixar de ganhar primeiro algum dinheiro é evidente, mas tai as cinco estrelas e meu pedido procurem ser sempre mais e mais menos miseráveis. ☺👍✨PAZ.",5,2,6.0.9,2020-11-03 14:39:56
3,DIÓGENES Ricarte,https://play-lh.googleusercontent.com/a-/AOh14GhW5-OhhG3qRlEWfW5sc3Xl0kkOLFJcB-rX7tgilw,"Mudei minha avaliação... Jogo é muito bom!!! Porém preço de pacotes exorbitantes!!! De ontem para hoje pude perceber um aumento de 100% nos preços de pacotes, acho um absurdo por conta de um evento.... Poxa com2us tenha mais consideração com seus jogadores... Comprei um pack ontem de 189,00 reais e hj esta 279,00, como isso é possível..... E o pack que hoje eu iria comprar de 279,00 esta 399,00.... Tenham mais consideração com seus jogadores...",2,11,6.0.9,2020-10-30 10:04:25
4,um cara,https://play-lh.googleusercontent.com/a-/AOh14GgE0r27K0Fit3diSQmY3w1HS7wwsJp8cyA66LpZBg,"O jogo é muito bom, mas uma coisa que me irrita, é o poço de desejos, eu farmei aproximadamente 300 gemas, e tentei ver se as chances eram diferentes e realmente são, os premios mais comuns são energia x15 / convite da arena x5 e a pedra de mana x10000, isso veio na maioria e nem contei direito, mas eu contei que ganhei além dessas 3 recompensas o rei algemon 3 vezes (tudo de escuridão) 2 vezes 150 gemas, 1 vez pedra de mana x30000... tinha mais para dizer mas... espaço do tamanho de resenha...",5,23,6.0.8,2020-10-26 13:19:13
5,Vinícius Bareta,https://play-lh.googleusercontent.com/a-/AOh14GiMaX6tZv5t2VApcwRJJGjmJuVxpgwDNcrDaE81Bw,"No mínimo de 2 a 4 anos pra conseguir runas na média, 20 mob 6*, 1 nat 5* a cada 6 meses (pode vir repetido, desista dos light and dark, é mito), b12 tem 1.5% de dar uma runa util, b10 que era o máximo antes tinha 0.03%. Que jogar? Vai ter que jogar mais de 5 anos pra ser alguém dentro do jogo",3,30,6.0.8,2020-10-15 08:50:00
6,thawan marques,https://play-lh.googleusercontent.com/-uj8Y5O4PJU4/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmVgAfocMHPpdlhAD_XSdk-JNmmGw/photo.jpg,"É jogo de azar... O jogo em si é bom e não é pay to Win, porém algumas coisas deixa a passar raiva, como mobs e runas. Mas entendo que se fosse mais fácil, estragaria, porém acho que se você batesse uma quantidade de summons sem Nat 5 deveria vir um garantido e a mesma coisa com runas legends. O que me dá raiva é a inteligência artificial de alguns mobs, como o eigar, que sempre derpa, o que deveria ser melhorado no próximo balance patch",5,29,6.0.9,2020-10-29 05:45:21
7,RAT RATTESVW,https://play-lh.googleusercontent.com/a-/AOh14GizuWBONSSiSyJf6BGjlvZhygE8pN1w7lVrdXbHLA,"Jogo dês de o inicio com 4 meses que ele ja existia eu jogava.. e hj um frustação muito grande que tenho e com os jogadores, das arenas e campeonatos e praticamente impossível aproveitar tudo que o jogo lhe fornece, pois fica injusto com as pessoas que podem comprar tudo o que nao podemos farmar no jogo.. não adianta colocar eventos ou parcerias se o farm do jogo nao e justo. A maior frustação dos jogadores e com os big playes e injusto!",3,13,6.0.8,2020-10-15 11:24:21
8,Rafael Giacomini,https://play-lh.googleusercontent.com/-4hWL_MxE_co/AAAAAAAAAAI/AAAAAAAAABc/AMZuuckUoIXLpVzs02tT9I5jbnYSCqxKdA/photo.jpg,"Jogo de azar! 6 anos jogando esse negócio e nenhum nat five LD! Tem player que com 30 dias de conta já ganhou 1. Totalmente desbalanceado, partidas decididas no proc, balance patch a cada 3 meses, mesmo meta a 2 anos. A quantidade de nat five repetido é surreal tenho 26 nat fives e já tirei 16 repetidos, tá certinha essa porcentagem de vocês viu! Enfim pra mim já chega disso, deixou de ser diversão agora é só estresse.",2,23,6.0.8,2020-10-23 10:46:39
9,1Bloup ',https://play-lh.googleusercontent.com/-ggmFfzfWcn4/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnvIu7F6LGn6NKFU7_ak_Wi604Ffg/photo.jpg,"Deveria ter um sistema de quando você invoca * pergaminhos exemplo, 10 místicos você teria 100% de chance de no 10 pegar um 4 stars e no 90 pergaminho você ter certeza de um 5 stars, a falta disso desmotiva qualquer player a gastar no jogo pq pode gastar 300 reais pra ganhar absolutamente nada e posteriormente pode causar grandes impactos no jogo principalmente com a nova concorrência que está no mercado",2,0,6.0.9,2020-10-30 07:26:20
