,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Sandro Ribeiro,https://play-lh.googleusercontent.com/-GvPo6UvZX1I/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmDKxrnneXuVFqBb0OWiOhQ6IAe1A/photo.jpg,"Jogo bom, mas a quantidade de anúncios longos de mais é absurda, tira toda a diversão do jogo... Se tivesse menos anúncios, ou anúncios curtos, tipo 5 segundos aí seria melhor.... Agora anúncios de 30 segundo, além de não ser efetivo, é muito chato. Outra situação chata, são os anúncios caça click, assim que se clica na tela já te direcionar pra baixar outro app, ridículo e apelativo. Antigamente o jogo era ótimo... Desinstalando...",1,66,1.10.2,2020-10-20 10:18:02
1,RODRIGO GARCIA,https://play-lh.googleusercontent.com/a-/AOh14GhZOCJsSb-uUcF_cyvEPMepvSboj6974wyPWzGpTg,Apagaram minha resenha. E venho fazer novamente. Adorei o jogo e continuo jogando. O único problome é o som dos carros que são todos iguais. Tipo um som de ar. Somente uma vez o som deu certo e parou. Arrumem por favor. Venho de novo aqui dias depois desta resenha e nada de me responderem ou arrumar. 27/10. Me deram um pin. Desinstalei o jogo e fui recuperar minha conta e deu como pin inválido. Perdi todo meu progresso. Já tinha vários carros e muito dinheiro e pr. Estou indignado.,1,109,1.10.2,2020-10-28 15:54:05
2,rosa helena lima de siqueira,https://play-lh.googleusercontent.com/-ltyYRRSpZm4/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclkXD7YYbYiDWtmjcCyEt4ZPzAfRQ/photo.jpg,É um seguinte depois de uma semana ele não entra mais no jogo eu gostaria de saber o problema aí eu tenho que desinstalar aí tem que começar tudo de novo aposta regulagem de carro tudo tá ruim,2,43,1.10.2,2020-10-28 18:41:05
3,Ismael Souza Silva,https://play-lh.googleusercontent.com/a-/AOh14GiROcMDcTdUljESs2-wPUx2v0u5o0-PLmtEMzRK,"Jogo lixo , impossível ganhar , os carros são sempre mais rápidos que os meus , além de que mesmo trocando as marchas no perfeito ainda perco a corrida",1,15,1.10.2,2020-10-24 08:58:22
4,HS GAMES,https://play-lh.googleusercontent.com/a-/AOh14GiGIWpw0Art3My4zgXOxBnPs5dZ3erRDoRY04j2,Colocar mais graficos ter a visão do piloto de dentro do carro sabe vai ficar muito fera se colocar isso tudo e mais tchau,5,9,1.10.2,2020-10-19 18:48:29
5,Estúdio Bolado_ ofc,https://play-lh.googleusercontent.com/a-/AOh14Gjj7OSF-YJr2Cum_qC2Vek98_7At5BsI5Cmoty7O-k,"Desde pequeno jogando este jogo, só não achei legal o negócio das fichas para compra e melhoria de alguns carros, mas fora isso, o jogo é muito bom.",4,44,1.10.2,2020-10-01 13:51:35
6,_Ban_ Raposa,https://play-lh.googleusercontent.com/a-/AOh14Gj6k6Wxkv5MgM2HhvVhxJ2pb5IUHTift1yjaTdsNw,"O jogo e bom mais os inimigos são muito mais rápido vc ta com carro de 2,75 0 a 100 o outro ta 2 segundo impossível de ganhar da raiva",2,2,1.10.2,2020-10-27 22:58:03
7,Matheus,https://play-lh.googleusercontent.com/a-/AOh14Gh98m8KzAA6AIeT27VxSaXiFW7lPBvfdaZ_bzgrdQ,"Só deixei 4 estrelas por causa de um bug, quando vou apostar PR ou correr em qualquer corrida, o som dos carros ficam mudos, só o barulho do turbo e nitro, mas de resto tá ok.",4,7,1.10.2,2020-10-08 22:51:45
8,Kathy Annie Moreira de Souza,https://play-lh.googleusercontent.com/a-/AOh14Ggt8mkXGLs9bUaHlF_Ayau9hSQqhEjgnT0kpjZL,O jogo é excelente!Porém deveria ter mais carros.Mas pfvr coloquem a Bugatti Veyron POR FAVOR.,5,0,1.10.2,2020-11-08 09:24:03
9,Lucas Bachiega,https://play-lh.googleusercontent.com/a-/AOh14GhKtvMMnmOrHRHsvogb7MBitwJueGDlrJuPRzl_2w,"O game era bem melhor sem essa patifaria de fichas , jogo desde quando lançou isso e zerei 3 vezes nunca teve isso de fichas , pelo amor que raios fizeram com o jogo?",1,3,1.10.2,2020-10-16 11:17:03
