,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Dany Robattini,https://play-lh.googleusercontent.com/a-/AOh14GhrEyxZFxwD6xF0sHLBh3jCDKUMBJMnvccFUycd0Q,Gostei do jogo. Porém poderia ter menos anuncio de outros jogos.,4,225,42.0,2020-11-01 08:15:14
1,Rogerio Santoseu,https://play-lh.googleusercontent.com/-lJeO9C095NM/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnpfQZCV5HsH9Ca5HrTvT57JKwFyg/photo.jpg,Muito bom jogo. Gostei. Só deveria diminuir as propagandas,4,157,42.0,2020-11-03 06:47:18
2,Marialva Rodrigues de Souza,https://play-lh.googleusercontent.com/-JlW5cZBJe5g/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmm91_Fqs-qZ1axM1og2NNL855zeg/photo.jpg,Esse jogo ele mim encantou pq ele é muito bom mas bom mesmo então quem n baixou ainda pois baixe pq vc vai ver como ele é muito mais fácil,5,16,42.0,2020-11-08 10:40:56
3,Simone Maria,https://play-lh.googleusercontent.com/-jlZZEPqC9wA/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmv_HXJaiAwVjprjaXE--xSWjR1lw/photo.jpg,"Mano,estou viciada nesse jogo ,tento fazer o maximo de recorde possível,muito bom mesmo ameiiiii😍✌👍a partir de hoje vou ficar escrevendo no celular (cll) e na escola(escl)só com o pé,porque com as mãos só palmas pro jogo,ah,e tem mais,esse jogo n é cll(celular)mais tomou conta da minha vd(vida)muito bom,muito bom mesmo.Parabens pra que criou ele !",5,705,41.0,2020-10-15 15:22:04
4,as Arlequina Iannuzzi,https://play-lh.googleusercontent.com/-_s7xHxi4oIo/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnyrVJsdlW3kuzpoQS_gX02vaMhnw/photo.jpg,Maravilhosa divertimento É muito legaluma coisa do jogo é porque não tem tempo para acabar então deixa eu falar vou competir com a outra não vai ter que acabar o tempo mas muito legal se divertir por isso que eu deixei todas as estrelinhas e um beijo para quem criou esse jogo para quem criou tudo isso um beijo e agradeço muito por me dar essa diversão 😃,5,288,41.0,2020-10-22 21:08:14
5,Crescendo com a Isa,https://play-lh.googleusercontent.com/a-/AOh14GgJQ6U_SMIrJDCl8dJR9vZyLxkTjlwOXxslVu2r,o jogo é muito legal passatempo não tem pq eu reclamar parabéns para os criadores 😘,5,0,42.0,2020-11-08 23:30:55
6,Fabricia Sciarretta,https://play-lh.googleusercontent.com/-YgCHVEHINMI/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmm21uEJrFHJS3HeqFL0Xllmjg96g/photo.jpg,A princípio apenas um jogo colorido e de encaixe ...no entanto trabalha o raciocínio lógico distrai a mente trabalha a memória e estimula o cérebro a dar uma resposta imediata aos desafios nele proposto...encaixar corretamente e marcar pontos...,5,38,41.0,2020-10-31 06:53:23
7,Neusa Czekalski,https://play-lh.googleusercontent.com/-Oxw3zWhrU64/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmPKYm0YXo-YuALvh4mWZFHJehTVw/photo.jpg,"Muita propaganda interrompendo minha distração. O que incomoda e causa indignação são as propagandas que impedem o cancelamento antes de 24 a 30 segundos, com o objetivo de obrigar a assistir. E se repetem inúmeras vezes. Prefiro fechar o App e usar outro.",3,377,41.0,2020-10-14 18:59:26
8,Davi CCF Gamer,https://play-lh.googleusercontent.com/a-/AOh14GgsCA94cVWE5qgJFFFz0GpcV22PCvzu9R5zQzwqVQ,"Não tenho que reclamar ,muita facilidade para jogar mais acho que tinha que ter mais opições de blocos e mais cores mas esta de parabéns muito bom gostei muito ; )",4,34,41.0,2020-10-23 15:08:06
9,Daniele Rosa,https://play-lh.googleusercontent.com/-yFp04f52C7k/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckv3Hivy5t-7wZD0N9x0B94jeJnVQ/photo.jpg,"Gosto do jogo mas esse negócio de vc estar jogando e do nada entra às propagandas é ridículo, fora q acho que podia ter a função de trocar a forma da peça... Fica a dica",3,29,41.0,2020-10-16 11:30:00
10,Denize Venerendo,https://play-lh.googleusercontent.com/-UjoWPuiHc30/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuck37S9BGEpLndudgws46od3aD7fZw/photo.jpg,Obrigada pelo carinho de voces com a Sim estamos atentas de Deus abençoe todos voces estao bem com voces mais vez que nao tem noite obrigada por tudo bem com voces porque hoje voces estao E voce como estao 2anos e jp tiktok a Deus que no meio disso tudo ficamos sabendo que voce nao ficou satisfeita 5de a Deus que é Nao 5horas are de semana que vem aqui em São Paulo 5de e jp tiktok a Deus 5de que voce nao ficou 4de a Deus que é Nao sei sei a As crianças nao precisaram de setembro mercado Assai,5,52,41.0,2020-10-15 14:53:00
11,Valério Severiano,https://play-lh.googleusercontent.com/-skReGe-MOM8/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckm55r14cNbDtIkp60_t6qRXcbvGw/photo.jpg,Você pode criar várias combinações diferente que fica incrível esse jogo é muito legal eu amei esse jogo todo mundo vai gostar de não conseguir tenta de novo depois você vai se a custumando esse jogo ele é muito legal o jogo me ajudou a ganhar o BLOCK PUZZLE do melhor jogo que eu já joguei no final do nível você vê sua pontuação eo uso dos blocos que você usou boa sorte para todos e feliz dia das crianças espero que vcs consigam terminar todos os níveis,5,239,41.0,2020-10-08 21:23:57
