,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Rafaella Carvalho,https://play-lh.googleusercontent.com/-ctrCwGe-KWE/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucml8zLjDownO87giAy71t86JTZGWw/photo.jpg,"O jogo em si e mt bom, mas dei 2 por causa de um problema q me estressou MUITO. Bom, nos primeiros dias q eu joguei estava funcionando normal, tinha chegado até a fase 24 apenas, mas uma vez eu fui jogar e tinha voltado o jogo DO INÍCIO, só que para mim naquele momento eu pensei: ah, td bem deve ser algum probleminha, nn vai acontecer de novo. Mas ACONTECEU DE NOVO, pq toda vez q eu vou jogar volta tudo do início e já está mt estressante isso, e foi por esse motivo q desinstalei 😡",2,15,,2020-11-03 22:20:24
1,Maria Isabelle,https://play-lh.googleusercontent.com/a-/AOh14GjCl7EkxBD8U72MqGRbZXPa7tPatQ6-tQCIxfohcg,"O jogo é mesmo uma maravilha, conta histórias sobre os patinhos e tem muitos níveis, ao contrário de quase todos os jogos que já tive a oportunidade de jogar. É mesmo ótimo, super legal e esse jogo meio que me descreve de tantas aventuras que Swampy já teve KKK!",5,49,1.8.3,2020-10-25 22:37:20
2,Manuela Ahlgrimm,https://play-lh.googleusercontent.com/a-/AOh14Gj4G3YdD5EF7bHUmnWRHbWnx-0wZQeFkc5uLb9y3g,"@Disney eu não consegui jogar o jogo porque tinha uma propaganda da MAC que só tinha duas opções rota ou mais sobre a Mac ""e toda vez que tentava entrar isso acontecia queria muito que tentacem melhorar isso pq eu amo esse jogo e agora não posso o-jogar 😭😭😭😭",2,61,,2020-10-18 22:05:16
3,Suzane Ferreira,https://play-lh.googleusercontent.com/-jc2lbXPxUuI/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnqUS7mU7KL7DSO5amdJhv0kRTgkg/photo.jpg,"Épico,jogo marcou a minha infância dms,acho engraçado q a Disney cada vez os jogos foram ficando meio fracos,mais esse é incrível,simples mais impressionante,gráficos bem feitos,feito com o coração e incrível esse jogo,recomendo❤❤❤#WHERE'SMYWATER?3",5,279,1.8.3,2020-08-19 18:15:19
4,William Gabriel,https://play-lh.googleusercontent.com/-fVEJ8k1fng4/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnXho-C9stBSvjVFVXXeKHXMX3KVQ/photo.jpg,Gente o jogo e muito bom o gráfico e legal e a jogabilidade também mais eu tô tendo um prepema que sempre que eu aperto para reiniciar as fases sempre sai tô jogo e eu tenho que começar tudo dinovo por favor resolvao isso o jogo merece 5 estrelas mais com esse propema eu só vou tar 3 estrelas,3,4,1.8.3,2020-10-12 08:20:34
5,Murilo Fernandes Nogueira,https://play-lh.googleusercontent.com/-NPfnfXrg6EE/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclqvKgFKHaQaS6Ow4z_c00StjsIDA/photo.jpg,Amo muito esse jogo O problema que você só pode ir até a fase da fábrica porque adiante você tem que pagar e quem não tem dinheiro não tem como jogar por exemplo nunca passei da fase da fábrica adiante,3,6,,2020-11-01 19:37:19
6,Carlos Henrique Lourinho,https://play-lh.googleusercontent.com/-dJApRRM4rLw/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnv1TZLyP1rMvZBMowAbFQu2NZ2RA/photo.jpg,Esse jogo eu adorava. Mas eu desinstalei. E quando eu instalei de novo demorou um século. E quando o jogo finalmente instalou eu não consegui abri. Eu gostava do jogo então eu coloquei 1 única estrela.,1,15,,2020-10-27 13:07:55
7,Ana Rafaela de Souza,https://play-lh.googleusercontent.com/a-/AOh14Gi5ZYKwcg41Gi4OtrsSsDIMjiD0aKiEMUKczAojMw,"eu amava este jogo antes mas agora demorou muito tempo para instalar ele é depous que instalou não consegui jogar. Fiquei muito triste,Disney por favor consente isso o jogo é bom de mais!😢😣",2,0,,2020-11-01 14:42:25
8,Lolizinha Carreta furacão,https://play-lh.googleusercontent.com/a-/AOh14Gg8j6w-ag6Q17780PxVpxTSQzOzHmtj9MFvKLy4,"O jogo e bom graficos bonitos jogabilidade incrível e tals mais chega uma fase que e muito difícil de passar e isso torna o jogo um pouco enjoativo, por isso as minhas 4 estrelas😞",4,3,,2020-09-08 11:41:12
9,Cintia de paula,https://play-lh.googleusercontent.com/-RdQIoArcsIE/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckegEweOFUdIn5CHJaNvHHTBpfXgQ/photo.jpg,Apesar de ser um dos melhores jogos que já joguei estou tendo um grande problema com ele ele sai do jogo todas as vezes que você perde o nível ou quando você entra nos desafios de ponta cabeça Infelizmente vou ter que desinstalar o jogo porque não consigo jogar Os Desafios de ponta cabeça e por causa disso não tenho patinho suficientes para passar no terceiro portão não sei se alguém mais teve esse problema mas isso vai me fazer desinstalar o jogo,2,91,1.8.3,2020-09-15 18:27:52
10,Giulia Ventura,https://play-lh.googleusercontent.com/a-/AOh14Gjq0QDADiozURaVMRExtNmRhtzMssUnGvRAZClvAg,"Tive que desinstalar o jogo, pois a tela travava em uma propaganda do Instagram, que não tinha a opção de fechar. Tentei várias vezes fechar o jogo para retornar, mas quando retornava, a propaganda aparecia novamente.",1,39,1.8.3,2020-08-27 08:49:00
11,Diana Gasparini,https://play-lh.googleusercontent.com/a-/AOh14Gj7Xwm8LYwQctGh_ZYr4amZR1JhkAd9kAq-znH6X8c,O jogo em si é legal mais toda vez que sai do aplicativo ele renicia todas as fases que passou e vai para o inicio do jogo dai fica irritante isso toda vez que sai começar do zero... Deviam arrumar isso,2,9,1.8.3,2020-11-04 18:50:44
12,Alexis Rodrigo,https://play-lh.googleusercontent.com/a-/AOh14Ggp3H6VWj2XEzIxRVYizUh4kwNsxGOz52dMTNFjbFg,Gosto muito do jogo mais estou trocando de celular e não tem opção de carregar a fase que estava pois já estou com 900 patos agora tenho que recomeçar????,5,19,1.8.3,2020-10-19 13:44:41
13,Fernando Ott,https://play-lh.googleusercontent.com/a-/AOh14GjIrTDflA-EyAggqcNQja2pka3CgBo2celFRAtB,"Úm clássico,divertido e um ótimo puzzle game para incentivar raciocínio em crianças, divertido para os pais também, um jogo para todas as idades",5,10,1.8.3,2020-08-20 18:00:33
14,Joyce •,https://play-lh.googleusercontent.com/a-/AOh14GhaS-Y6CkOreqXjg0en-lcBdjts15ihMcL7mNE,"Que nostalgia jogava esse jogo há uns anos atrás,e voltei agora a jogar haha! Super recomendo,app maravilhoso,não tenho nenhuma crítica! 💖",5,3,,2020-08-15 14:50:12
15,Gui Costa,https://play-lh.googleusercontent.com/-DXNrTU58kEM/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckfCBU3xwhl6Pb1NFGg3KX-Z5Vxrg/photo.jpg,"Eu adoro este jogo! Gostaria que também colocassem à disposição para download os jogos ""Where's my Perry"" e ""Where's my Mickey"". É meu sonho ter estes jogos em meu celular! Por favor pessoal do Play Store: façam isso por mim. Acho que muitas crianças como eu também querem jogar estes jogos. Estou aguardando ansiosamente pelo retorno de vocês! Muito obrigado!",5,471,1.8.3,2020-08-01 12:02:06
16,꧁ღ Juju ღ꧂,https://play-lh.googleusercontent.com/a-/AOh14GjhQWaT9FatNLnWIGti9soROrlCiw-VOdgwUxENvw,"Infelizmente o aplicativo está tendo alguns defeitos ultimamente , ele tem travado e simplesmente ao meio da fase ( em alguns casos não chega nem a isto) a interface do app escurece e após esse acontecimento , volta ao meu menu de aplicações, peço aos desenvolvedores que melhorem o aplicativo, obrigada por ler e pela compreensão 😌",1,326,1.8.3,2020-07-12 16:17:48
17,Sophia Gamer,https://play-lh.googleusercontent.com/a-/AOh14GjId6iCzSsxvYybEFYFSl-cmQmmdorCGVNmUkLU,Até que é legal mas o problema é que quando vc finalmente vai pra praia vc percebe que tem de ganhar três chaves e se quiser continuar o jogo tem de comprar com dinheiro de verdade isso aconteceu pra mim,3,1,,2020-08-17 11:28:21
18,Um usuário do Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"O jogo é ótimo, más quando vc não tem patinhos suficientes não da para vc passsar os portões e isso é injusto porque é o jogo que da os patinhos para gente,por isso eu só dei 3 strelas",3,7,,2020-09-21 14:27:43
19,DIEMERSON S. PALHETA,https://play-lh.googleusercontent.com/-Mnu03v12zjk/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuck1TqyDdbArNxrUfbF9215wNeq-ug/photo.jpg,"Jogo perfeito mas, devia ter login com o facebook ou google play games para salvar o progresso, quando for trocar de aparelho não precisar começar do zero... Assim devia com o where's my water 1 também. Obrigado!",4,0,,2020-06-10 19:11:33
20,Jhonny Sousa,https://play-lh.googleusercontent.com/a-/AOh14GgZy_CdoO9I_zu-dez7FT6CZ8wGtRY1UFVGlbJbaA,Gostava muito do jogo mas tive que desinstalar... tem muita propaganda que não dá pra fechar e continuar jogando e ficar fechando o jogo toda hora pra poder tentar jogar é muito chato!!!,1,1,,2020-09-13 01:49:47
21,Priscilla Nogueira Bérgamo Pri,https://play-lh.googleusercontent.com/a-/AOh14GiIuOn04lCe2rZnNumV5r2sr0ZRrrOLTMpM6wIauw,"Como assim?! Mal clmeça a introdução do jogo e do nada já aparece uma propaganda!!! Inaceitável!!! Gosto muito desse jogo, mas estou desistalando por causa desse problema...Resolvam por favor!",1,12,1.8.3,2020-09-04 17:06:13
22,Elisa Bostelmann,https://play-lh.googleusercontent.com/-4Dx1CH4XxzA/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckvEk7cEskk_6eXpY1GGNkzaYTnBg/photo.jpg,"Trava muito, o meu cell é muito bom e só tinha esse de jogo, mas quando eu entrava numa das fases, travava e dps saia",2,0,,2020-09-04 11:17:38
23,Prisciane Pacheco,https://play-lh.googleusercontent.com/-7KAaz2dCdQs/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmsEiQNdXdcEnX3QZ-W25NypZ4g3w/photo.jpg,Esse jogo que eu abaixo no meu celular sempre demora para baixar e eu não gosto disso mas também né tem que esperar fazer o quê não a prisciane na verdade é Cassiane que tá mexendo no meu celular,5,2,,2020-10-02 14:03:10
24,Maria Eduarda,https://play-lh.googleusercontent.com/-d46YX94CrlI/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckRgVO29OnclIGHQCTEk732UAEgCQ/photo.jpg,"Muito bom o jogo porém tem muito anuncio não tô conseguindo jogar, entro e saio do aplicativo e da no mesmo anúncio mesmo com a internet desligada.",1,3,1.8.3,2020-08-26 19:34:14
