,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Giovanna souza,https://play-lh.googleusercontent.com/a-/AOh14GjYVYk_pnNaK6uZ6w5uG95nKpw-r7r06FXfTyN3bg,Sensacional não tem melhor melhor do que free fireo jogo é tão sensacional que eu não me arrependo até hoje de ter instalado porque é muito bom sensacional a jogabilidade é ótimo o jogo é ótimo gráfico é ótimo tudo ótimo cara eu prefiro até receber um patrocínio para falar tão bemporque meu amigo não tem comparação jogo melhor cara não existe na face da terra não existe um jogo tão que não sabe tá ligado não sei mano não sei nem falar não sei nem dizer o que eu tô sentindo tu tá jogando esse jog,5,31,6.10.0,2020-10-24 17:30:02
1,SyV,https://play-lh.googleusercontent.com/a-/AOh14Gh1rtpmvCa0D0WHfLd2ymgemlkr5iknCchjYXvY4w,"O jogo é bom e me lembra de quando eu era mais novo e jogava isso no colégio, mas os inimigos novos são muito ridículos, é impossível defender os especiais deles e eles defendem todos os seus chutes, parem de apelar com esses bonecos o jogo ficou impossível.",2,69,6.10.0,2020-10-12 12:36:26
2,ZoneOff,https://play-lh.googleusercontent.com/a-/AOh14GjQv8sQfJKR7PWLkjEz9PBxPwb3RW8ocEZ88TaEIg,"Mano o jogo é incrível, eu me lembro de quando era mais novo e jogava muito por causa do meu primo q tinha descoberto o jogo, mas os personagens novos são MUITO ROUBADOS não tem como, além de eles espancarem o seu personagem até ele desaparecer pra fazer o gol é impossível rebater os poderes, sem contar q quando você quer fazer algum tipo de desafio tipo o pra pegar o holandês q é vencer um torneio sem usar chute nem poder, tu não consegue fazer pó conta dos novos personagens... Só tem q nerfar",3,3,6.10.0,2020-11-07 10:40:24
3,fantochitu,https://play-lh.googleusercontent.com/a-/AOh14Gidf9oaw8Gihe2L0aHewQfyA6o5iE0GEk7RY-ZiWQ,"O jogo é muito bom! Mas deveria melhorar o modo multiplayer, a bola fica bugando pra quem criou a sala. Deveria ter um remake também, ou um Head Soccer 2, pra ficar com os mesmo gráficos do Head basketball!",5,33,6.9.2,2020-10-18 11:42:28
4,Uvas Parças,https://play-lh.googleusercontent.com/a-/AOh14GiSbkrV5b9wtPs_rl-PNm3v6km2pQRJF2IvIPhA6w,"Muito legal e viciante sensacional, mas seria melhor se tivesse algum modo só para conseguir dineiro, só isso.",5,9,6.10.0,2020-10-21 20:17:26
5,Evandro Tenório,https://play-lh.googleusercontent.com/a-/AOh14GjACLrc-LO6Z88DcrkhsAJsZHiQLTiiBZeQJjC2,"esse jogo ja foi bom, agora colocaram esses ""PET"" ridículo q atrapalha demais, e esses personagens com poder impossível de se rebater, antigamente era mais legal sem esse modo fighter!!!",4,44,6.10.0,2020-10-12 09:39:51
6,Demival Neri,https://play-lh.googleusercontent.com/-bwqGVj6vA2g/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckh6koZdpBLz9hx3aFEZytSSSH9GA/photo.jpg,"o jogo é muito bom mais só que demora muito para atualizar , aí fica muito sem graça por isso o jogo é intetiante.",5,2,6.10.0,2020-11-05 06:50:54
7,nada p fazer,https://play-lh.googleusercontent.com/a-/AOh14GgJ9FkFL6qVm4zmLowaQMhJeXLy5HB-zTDijmvQ,"Muito bom,a única coisa ruim é a dificuldade mas se não tivesse dificuldade não seria um jogo (5 ESTRELAS ) 🌟 🌟 🌟🌟🌟",5,5,6.9.2,2020-10-10 23:29:04
8,Bruno Hartung,https://play-lh.googleusercontent.com/a-/AOh14Gjfv37en6-TIOJ0gE2WO7IqmTQe_RqkaBA0XbQi,"Esse jogo é mt bom porém devia ter em português e parar de colocar aqles buneco roubado e como eu seu q é apelão eu me movimento igual um doido pra tentar rebater e aliás, eu jogo isso faz 4 anos e isso sempre me incomodou",5,2,6.10.0,2020-10-17 19:56:41
9,Denis Santana,https://play-lh.googleusercontent.com/a-/AOh14GgVC2bp-qeB61yhjeHDw77-on28CHGBQoa0GkTqEg,"Ele e muito bom,so que os peesonagens novos sao fortes de mais,tem como defender,mais e complicado",4,0,6.10.0,2020-10-19 08:42:13
