,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Alan Gilvan da Silva Oliveira,https://play-lh.googleusercontent.com/a-/AOh14GgGRGnalEzxuG_Mw2iZBGTWA03ycm87-1gHfLlUMwA,"Além das travas sucessivas, agora começou a roubar dinheiro $$$. Você compra 18K fichas e recebe 330 fichas. Fiz o teste 2 vezes em menos de 1 hora só para confirmar. Printei as telas... isso é roubo. ACONSELHO À TODOS QUE NÃO INSTALEM!!! FURADA...",1,24,7.33,2019-10-29 21:40:00
1,João Almeida,https://play-lh.googleusercontent.com/-FkAYYP9iY_8/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckjqtYxBInA6snVd294RzU0b-ZEgg/photo.jpg,"O jogo em si é dos melhores jogos de poker online, com alguns GRANDES defeitos, que tardam a ser corrigidos, pois em muitas ocasiões não se consegue aceder, faz crash, reinicia a meio das bets, etc.... e isto faz toda a diferença para outros jogos do género",5,17,7.33,2018-10-07 09:29:15
2,Joao Dorpmuller,https://play-lh.googleusercontent.com/a-/AOh14Gjhb_sJwgDRjmbzySKMKJD39UmCxJ3qeMn0C3KP0g,"o jogo em questão não paga nem o valor inicial das fichas quando se compra, muito menos o bônus. fi uma compra no valor de 22,5 milhões em fichas com bônus de 100% o que dobraria o valor... valor final recebido foi de apenas 1 milhão. não aconselho investir",1,8,7.33,2019-12-23 13:42:57
3,Raphael Batista de Campos,https://play-lh.googleusercontent.com/a-/AOh14Gj4daYC1YFCL_4SbWpkbt57XjwRB2ExFQCjj-4Cyg,"90% das vezes você perde na última carta, e quem ganha é quem mais tem dinheiro na mesa, fora as vezes que o jogo trava e vc nao vê suas cartas, ou várias vezes que vc sai com as mesmas cartas da rodada anterior. Ja é feito para vc comprar fichas",1,8,7.33,2020-04-18 17:51:56
4,Dani Dantas,https://play-lh.googleusercontent.com/a-/AOh14GjPzcODMWZkrR0v36Jfo1eESLw-ghgH0lKmvywADH8,Não consigo logar com o Facebook. Abre o login e senha mas não loga. Volta pra login e senha. Tbm não consigo acessar o botão de ver amigos. Qdo clico o link de facebook abre e fecha automaticamente sem acessar o botão,1,29,7.33,2018-09-14 12:54:20
5,Sandro Campos,https://play-lh.googleusercontent.com/-NN9_4hbkbPc/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnzfcoiHT7jwgSxc_8KFec7n1pnFA/photo.jpg,"Conectividade péssima, cai toda hora. Jogo viciado, sai sempre as mesmas cartas. Muito mal programado.",2,4,7.33,2019-07-15 00:08:50
6,Marco Furtado,https://play-lh.googleusercontent.com/a-/AOh14GgWbICiCZ1m_DKA6p79WE5YHT7JiyEBvxvofKjHuw,está sempre a parar o jogo e reiniciando.,2,5,,2019-07-08 17:33:39
7,Andre Mcsega,https://play-lh.googleusercontent.com/-R4EOkjexdxE/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucl-39pyMKO2U2Vt2Ymeuvy3f6hz5A/photo.jpg,Gráficos e interface péssimos!!!!,1,0,7.33,2018-10-31 22:28:10
8,Um usuário do Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,amoooo the best. Mas tá travando bastante faz um tempo.,4,0,,2020-06-11 16:27:20
9,Um usuário do Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,porque o dinheiro some quando faço o login no facebook??,1,1,7.33,2019-03-15 14:18:28
10,Elaine Martins,https://play-lh.googleusercontent.com/a-/AOh14Gg_IWK9GIDAHHJobgpFecSeCTi8XCXM1oUtd0rw,"jogo de poker mais podre muito ruim um roubo só, jogo mal desenvolvido. péssimo!",1,1,,2019-08-17 21:37:56
11,Carlos Silva,https://play-lh.googleusercontent.com/a-/AOh14GjY12CZwr4KZ_12TcQS0Mtcq8bTKvYvb2Gr7b8eDQ,muito roubado. por diversas vezes fui prejudicado. mãos ganhas e eu perdia. revejam o código Fonte,1,0,7.33,2019-05-01 19:17:03
12,Nelson Alves,https://play-lh.googleusercontent.com/-jIvIhRhGmUs/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnS4UuBRMUiUYBgTvwl7FuRB7GwFw/photo.jpg,Jogo da tanga... comprar fichas!? Vão trabalhar... maquina viciada ou avatar,1,0,,2020-08-22 19:10:10
13,Ronaldo Oliveira,https://play-lh.googleusercontent.com/-2v4HUiu8Juc/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclKLcYOpwY6q_qpIp8VIg05QqhSJQ/photo.jpg,volta com a premiação de moedas por partidas jogadas igual ano passado foi top,5,2,,2019-04-16 14:11:00
14,jorge nora,https://play-lh.googleusercontent.com/-2KixfKQAUrY/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckiTuozLDcZtbE8Y00yjQqUzPJI1g/photo.jpg,"jogo de treta, so se ganha no inicio depois é so perder para se comprar fichas",1,1,,2019-04-17 12:11:03
15,saulo oliveira,https://play-lh.googleusercontent.com/a-/AOh14GjDiKRHL8M1zDHpFQRCErEYEezL-UtlE8e9N2-369A,adoro ele meu melhor mas porem agora adquirir o S10 e ele nao atualiza... ta uma versão bem antiga o que fazer,5,11,7.33,2019-07-23 21:11:09
16,Um usuário do Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Jogo e bom mas kai toda hora o servidor tabem da polcas fichas,2,0,6.30,2018-12-03 14:30:19
17,Guilherme Lavieri,https://play-lh.googleusercontent.com/-Hh-FBPL0TNc/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckfTOvRTvyuNS402njbE-F9kdbgbA/photo.jpg,jogo fecha toda hora e é todo bugado,2,0,7.33,2019-02-22 18:59:13
18,Deborah Marselle,https://play-lh.googleusercontent.com/a-/AOh14GjqICwM-KZ7-6oV9J_S3uuOgAW0tIgEzvWDjol4MQ,Conseguiram estragar um jogo que era ótimo e divertido. o que vcs fizeram? mds,1,4,,2018-12-27 02:55:24
19,wallace de souza santos,https://play-lh.googleusercontent.com/a-/AOh14Gj4kSVvFW91_HqoYJvq6pQ-eNShEFGCJCdWiGQPLw,"Não estou conseguindo logar com minha conta do google, alguém pode me ajudar?",5,2,7.33,2019-04-20 19:05:14
20,Leandro Ribeiro,https://play-lh.googleusercontent.com/a-/AOh14GgGsQBVXSj6oYkvC90mn4lfXXo7r-iNyoxJssZ2,(help) por favor corrija a opção de escolha do idioma!,5,2,7.33,2018-12-20 00:41:02
21,Aldeci Cordeiro,https://play-lh.googleusercontent.com/-XtacYueW_Dw/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclkpiCukicaAUgR_xTRcG1w1ebsEQ/photo.jpg,Não gostei dessa geração,1,0,7.33,2020-06-20 01:14:12
22,Eduardo Mesquita,https://play-lh.googleusercontent.com/a-/AOh14GjXNnd9dTlkSvYhQterYLDQwOsdjAIvFMTLDzyVNQ,não consigo alterar o idioma sempre da erro,1,2,7.33,2019-01-07 22:07:12
23,Luís Pereira,https://play-lh.googleusercontent.com/-f45Oy3cHdGA/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckuWJbfOaF0IXvwPrnlGFiQkeN6hQ/photo.jpg,Esse jogo tá um lixo.,1,17,7.33,2019-07-03 20:10:32
24,diogo eric,https://play-lh.googleusercontent.com/a-/AOh14GgsYAINHS_ShP37GWR0Gd5kYqNe13_nJlgUORyu,o melhor que já joguei parabéns,5,0,,2019-12-11 01:06:38
25,Gabriel ZS,https://play-lh.googleusercontent.com/a-/AOh14GiwaE3vV6P-sHvQO8eHxRAwlXRjTOiqzriprhposA,Muitooooo Paia esse jogo 🙏🙏🙏🙏,1,0,7.33,2020-09-12 22:35:52
26,Osmarino Lucena,https://play-lh.googleusercontent.com/a-/AOh14Gi2imUhuGJKLFfoV5dSt6ssm9W5auckQb4fURWNCQ,Nao tem idioma Português,3,0,7.33,2019-07-30 14:42:06
27,Luis barros Andrade,https://play-lh.googleusercontent.com/-fDWF7BA25w4/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckCl33-HVMo-hLgL5pFPCVABlK62g/photo.jpg,Não consigo atualizar,1,0,,2019-12-12 21:25:39
28,Rossana Pereira,https://play-lh.googleusercontent.com/-_faL-RCliT0/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnPdTsvwE07-TmMYRvtaLpqdVS5Pw/photo.jpg,Amo esse jogo,5,0,7.33,2020-02-02 08:42:18
29,Um usuário do Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,muito bom o melhor,5,1,,2019-03-23 22:46:23
30,Um usuário do Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,lixo nem carrega lixo,1,0,7.33,2019-01-13 02:22:46
31,Um usuário do Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,bom d mais,5,2,7.33,2019-03-23 15:36:26
32,Um usuário do Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,jogo top d mais,5,3,7.33,2019-02-12 23:49:24
33,Sonar Killa,https://play-lh.googleusercontent.com/-LngiP8VnSTI/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmw1w_iIwphOkJm1v8iz1OuvpBgMg/photo.jpg,Cannot login anymore. I do like the game but please fix it or i will uninstall it for good. Thanks,3,9,7.33,2018-09-20 12:28:50
34,Frederico Carvalho,https://play-lh.googleusercontent.com/a-/AOh14GjPhCnwpU_mZCaY-F8SbWGeLoiu6zxnRUMMohIkUg,Não conecta mais a minha conta gmail. Espero que arrumem esse problema.,1,4,7.33,2018-09-22 15:41:48
35,silas lima de melo,https://play-lh.googleusercontent.com/-ihcx3qTspS4/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckeW4SUn9dtQtoSeM_SrhqKybS7vA/photo.jpg,Não entra mais no festa poker tá com bug,1,1,7.33,2019-01-03 10:00:02
36,Celso Harumi Yamaguchi,https://play-lh.googleusercontent.com/a-/AOh14GhgPzUcVO3TzxObOYvjj9NqeTYTsUV2QYMJN1yetA,Precisando de mais atrativos para jogar...,4,2,7.33,2018-08-14 16:17:53
37,Um usuário do Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"não conecta, já faz vários dias.",1,0,7.33,2019-05-24 10:42:57
38,Lucas Bores,https://play-lh.googleusercontent.com/a-/AOh14GgxPKMASc8QP_-lfRvYYMyEtK4VxAU-CNrfzO0_8Q,Jogo não abre afs _.,4,0,7.33,2020-03-08 19:43:36
39,Um usuário do Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,PORQUE DEMORA A INSTALAR,1,0,7.33,2020-05-18 22:48:24
40,Um usuário do Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Parou de funcionar derrepente,5,1,7.33,2018-08-14 22:56:12
41,Robinson Pompeo,https://play-lh.googleusercontent.com/a-/AOh14GgMN_jz_-gkYvT_p4QGmtvmCXDVDQqKXf6zTU3gDg,Não acesso mais os torneios.... Porque???,1,1,7.33,2019-05-24 01:11:24
42,Naldo Miranda,https://play-lh.googleusercontent.com/-I0edFq3Vucc/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucksveDGrcQIO0q0VGQUJtMtTyhBnA/photo.jpg,excelente jogo.,4,2,7.33,2019-06-11 07:11:59
43,1m2oisNemMeViu,https://play-lh.googleusercontent.com/a-/AOh14GjLoWaPtD4hKgiWxLfc5zwsuXesJ3vZ_tS_FkWNLg,excelente,5,10,7.33,2019-05-20 22:50:37
44,Admilson Eca Dois Santos,https://play-lh.googleusercontent.com/a-/AOh14GiH9UwYPkxEcynr9EG2XftoAjGl48rMhEAhU7Ks_Q,ladrão,1,1,7.33,2019-02-11 17:01:28
45,EdgxD GG,https://play-lh.googleusercontent.com/a-/AOh14GiLj4d9w6rTXnrA04_vlpLEVyLAELN9UKoHlJm_Fg,Horrível,1,1,7.33,2018-09-04 18:17:25
46,Carlos Eduardo,https://play-lh.googleusercontent.com/-N7W4UwIL0ns/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucn1rhFz-1wubFT4ym-4d9woozwmBw/photo.jpg,Lixo,1,1,7.33,2018-12-03 10:41:40
