,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Sergio Nevis,https://play-lh.googleusercontent.com/a-/AOh14GjRB3clkdMZFtEVio9E0xk3QRlUpOlZh1svNCglDw,"Senhores desenvolvedores concertem o jogo ou tirem do ar. Está pessimo e todo mundo já percebeu, depois de um tempo no jogo começam a aparecer BUTS que dão FOLD toda hora, até que dão ALL AIN , vencem e saem com todo dinheiro do POT. O jogo trava qnd vc vem com a mão boa para favorecer outros jogadores, SEM FALAR QUE AGMS JOGADORES COM MAIS FICHAS SÃO FAVORECIDOS PELAS CARTAS VICIADAS, ignorando qualquer probabilidade. AJUDEM ESSE POST CHEGAREM AOS DESEVOLVEDORES CLICK NO UTIL PFV",1,45,2.8.1,2020-08-07 08:54:44
1,PNic,https://play-lh.googleusercontent.com/-5MKRDbWQt3s/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmnrc65rfso9FvDZ5WM1w-cp2lMdw/photo.jpg,"Por mim da a estrelasw negativas. Já tenho está aplicação á alguns anos e neste momento está no pior que já vi. Demasiada manipulação e demasiado viciado. Segundo a uma distribuição probabilística não e possível que o dito joker esteja constantemente com combinações boas e eu nada, isto em mais de 20 jogadas seguidas. É mesmo para que gastem dinheiro.",1,29,2.7.7,2020-02-14 04:09:50
2,Nelson Coelho,https://play-lh.googleusercontent.com/-5uXv6LkowP8/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckaNfvr7wwL3QOjc3tUJ5iDghA4Pg/photo.jpg,"Desta vez desapareceram-me quase todos os items que tinha no festival. Assim não. Já estar sempre a perder porque os outros teem mais fichas e mais isto. É uma vergonha num jogo jogado mundialmente. Tem que ser imparcial e as outras ofertas deviam ser de valores maiores e em tempos mais curtos. Gostava de saber porque é que não consigo ganhar mais do que 20 e poucos milhões e depois peço tudo sem ganhar uma única mão, vou fazer queixa á organização dos jogos porque isto não é legal.",1,32,2.7.7,2020-02-07 12:37:51
3,Alysson Serra Vasconcellos,https://play-lh.googleusercontent.com/a-/AOh14GgIvy2YoC1j6zK3NlRXjmjeJyzZl7rm69vuzWJ07A,"Depois de um tempo jogando você começa a reparar em bot pra todo lado. Os caras entram, ficando dando fold, de repente dão all in e levam o pot todo, com qq mão que estejam. Não recomendo. Podem reparar aqui que outras pessoas tb estão falando disso.",1,35,2.7.0,2019-05-10 12:24:37
4,Jackson Rangel,https://play-lh.googleusercontent.com/a-/AOh14GhKytLLg7DblXe5SYpOWb_pTQ0FFAcIwEo-kIx1Eg,"Cheio de hackers e bots, os cara fica só no fold, a hora que jogam ganham sempre! Extremamente péssimo!",1,1,,2020-10-04 14:51:55
5,Um usuário do Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,como um ser humano tem coragem de dar estrelas pra esse jogo que é manipulado por racker bot chegam até jogar de dois contra vc e ainda zombam de vc antes das cartas saírem pq já sabem as cartas que vai dar !!,1,22,2.6.5,2018-09-24 22:02:53
6,Um usuário do Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Tem um problema na foto de avatar,a foto sai borrada e as vezes o app para. Tentei reinstalar o Dh Texas mais o problema persiste. Não tem graça jogar sem a foto de identificação. Resolvam isso",3,22,2.6.6,2018-10-24 08:16:12
7,Dario Ariodi,https://play-lh.googleusercontent.com/a-/AOh14GiMNbQKYvMH-d7w9zXWwSQaCYE865Z6Np-a8OHw,Já jogo há anos continuo sempre a escolher este jogo embora por vezes quando faço Raise o jogo para e faz Fold o que me deixa bastante zangado já perdi muitos jogos assim!,3,2,2.8.1,2020-08-27 07:20:52
8,Nilton F,https://play-lh.googleusercontent.com/-cCPwpn6E8i0/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckez3Go5gx3wf9n2fz5VKybacsdoA/photo.jpg,"cada dia esta piorando, cai a conexão constantemente mesmo no wi-fi. vários bot em todas as salas. ta ficando um lixo de jogo.",1,10,2.7.0,2019-03-31 00:06:41
9,Um usuário do Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,jogo horrível. fora da realidade. manipulado. só ganha quem compra fichas em dinheiro real. nunca mais instalo esse jogo,1,8,,2019-03-02 00:50:25
10,Id Pingo,https://play-lh.googleusercontent.com/a-/AOh14Ghvc6DpOgSg74NjtyQCZ26FLPqzoonDoAN87UEa,"Baixa o app Pppoker na Google play Vai em associar-se e digita o Id abaixo 😎😎 Club poker™ Id-705588, jogue com dinheiro real, tenha lucros dobrado jogando em nosso club ganhe premios com coroal pot, contato para saques e depositos (88)9-97529716 Chama no whatsapp assim que mandar solicitaçao para que possamos aceitar voce. Mais informaçao no numero acima Ganhe 1 real para iniciar de graça lembrando que e só para os dez primeiros",5,4,,2018-10-19 16:58:50
11,Rodrigo lutz,https://play-lh.googleusercontent.com/-OvZrkqD262Q/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckkq8KErjzDNHIvBg3rOXfGTVzBGA/photo.jpg,muita roubalheira nesse jogo o sistema faz você perder para comprar fichas e assistir anúncio para te dar umas fichas jogo muito ruim manipulado não recomendo muitos buts,1,11,2.7.0,2019-06-12 14:45:51
12,Cleiton Felipe de Souza,https://play-lh.googleusercontent.com/-GOo1hgdK_iI/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucl7_GbUP-vNQ9WSpTHGShn9qh-WaA/photo.jpg,"Infelizmente não é um jogo justo, sempre te induz a derrota com a grande quantidade dr bot's que o jogo possuí.",1,10,,2019-06-26 19:41:02
13,Antonio Carlos Baleiro,https://play-lh.googleusercontent.com/-HhN3eTu8jl4/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmP-DFlBypIuCMOQePXkWzh4yrseQ/photo.jpg,"Bom, mais muito lento deveria ter opção para acelerar as jogadas....",2,3,,2019-10-11 09:26:53
14,Jefte Ami,https://play-lh.googleusercontent.com/-rWYWWFxZ6DE/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuck60_pBFAI-iv7LpojOWRjCn00jfQ/photo.jpg,"Estou gostando, podia ter melhores gráficos e em português. Mas, o game na sua totalidade é muito bom.",4,7,2.6.8,2018-12-20 21:47:28
15,danilo Cruz,https://play-lh.googleusercontent.com/a-/AOh14Ggq39-DP4LOY9qtlmSPa0aLUcZ_tcmtrjQI5qK_cds,"eu jogo ja faz tempo , voces do jogo me fizeram baixar um jogo para chegar ate o level 14 para ganhar 21 milhões eu entrei e fui ate o 15 e nao veio minha recompensa .",3,30,2.7.0,2019-02-18 17:03:29
16,Um usuário do Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"o melhor poker online sem dúvidas. Porém tem praticamente um bot por mesa, isso estraga o jogo.",5,53,2.7.0,2019-02-25 19:23:49
17,Pedro Martinho,https://play-lh.googleusercontent.com/-cjS6-aX9V7A/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucliTeY3W7sEQE0bWeDmSPaoJ-S7lg/photo.jpg,"Tem batota ou hakers no sistema todo mundo está a perder dinheiro, eu vou comunicar as autoridades não pago nada você são corrupos..",1,23,2.7.5,2019-09-12 14:49:40
18,DRAKUNUS,https://play-lh.googleusercontent.com/a-/AOh14GiYtZ7NSEfx3qJW2UPzdXEQ6VwkxEW2Miw7bo5Z1A,Só me vem cartas ruins e desde que instalo não vem se quer uma carta boa. Desistindo. Péssimos.,1,3,2.7.5,2019-10-13 18:02:32
