,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Q Q,https://play-lh.googleusercontent.com/-zquTzofAhsk/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclf-rqUK3wbyzihdhv810901kJkIw/photo.jpg,"Na minha opinião colocar um sistema de ""energia"" que você gasta toda vez que tenta jogar uma fase foi uma má adição totalmente desnecessária principalmente porque as fases mais difíceis são literalmente ""aprenda com os seus erros"", esse sistema de energia estraga o jogo pra quem gosta de conseguir os full combos pois a energia é gasta toda vez que você reinicia um nível. Jogo bom, conteúdo frustrante, mal pensado e mal desenvolvido.",3,116,1.9.9,2020-10-26 13:45:01
1,Analigia Gabriel,https://play-lh.googleusercontent.com/-T7gAjP2I5bc/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmqleSJVKDFUFuk3RY4b3BpaVu4EA/photo.jpg,"o jogo em si e bom,otima jogabilidade,otimos graficos(mesmo estando em grafico baixo),mas depois de algumas atualizações,para mim,a musica não toca quando começo a jogar,dai tenho que ficar quebrando os cubos sem a musica de fundo,espero que se não for so para mim que esta acontecendo isso,espero que arrumem,pois este jogo é muito bom para perder jogadores por conta de bugs.",3,102,1.9.9,2020-10-15 08:41:52
2,ivonilson zueiro,https://play-lh.googleusercontent.com/a-/AOh14GhFuQUvAt0L9llRSwOEeF_TO78629kNUM4fOF5uUg,"O Jogo é muito bom, mas tenho uma ideia pro jogo se diferenciar dos outros que são iguais. A comunidade podia criar suas próprias fases, e pra vcs n perderem dinheiro com isso, podiam colocar tokens de criação de fase que são obtidos por anúncios, ou podem ser comprados, as fases podem ser compartilhadas e quando uma pessoa for jogar pra desbloquear tem que ver um anúncio. Isso é uma ideia muito boa assim o jogo fica mais conhecido, por favor olhem pra esse comentário, votem sim pra eles verem.",4,283,1.9.9,2020-10-23 11:17:13
3,Josi Santana,https://play-lh.googleusercontent.com/-HECXecmNpnM/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclQtxC4KwxpeTVvE_lmg_9WM-5dMQ/photo.jpg,"O jogo foi otimo e perfeito mais achei ums bugs n sei se sao em todas as musicas mais achei enquanto jogava rockfeller street, bugs como n sair da musica assim q acaba o tempo eu tenho que apertar continue pra sair ou que se eu dar continues de mais o personagem continua correndo deitado. Coisas bobas que n afetam o jogo que continua incrivel e que n afeta a jogatina mais me senti no dever de falar.",4,0,1.9.9,2020-11-06 10:30:12
4,Liliia Mytsak,https://play-lh.googleusercontent.com/-TOpSeDa7hjo/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckUL1yEj9TTT4JAeBNnOopHwIGtaQ/photo.jpg,"Acho este jogo difícil, e por isso fascinante. A gráfica, música, cor, ritmo... É um espetáculo, por isso recomendo muito a todos que querem treinar a sua reação como no pianotiles ;)",5,20,1.9.9,2020-10-18 13:13:08
5,destroyer 0.2,https://play-lh.googleusercontent.com/a-/AOh14Gi-sC54wk5BALX825Gh1dKBfhMQK_9_Y_v_gKM8,"Minha experiência com o jogo tá sendo ótima, mas eu espero que os desenvolvedores consiga adicionar mais musica de preferência que seja mas opening de anime, não tô tendo problema com o jogo, parabéns para os desenvolvedores continuem com o belo trabalho.",5,14,1.9.9,2020-10-22 10:29:52
6,Chuck-Noia-CN,https://play-lh.googleusercontent.com/a-/AOh14GhX5HBCRCWBWZ6NuJnXqQkMjbJP5S6kWtmAW0eZpw,"Sacanagem eu comprei o jogo na promoção e agora tem que comprar de novo, não dá nem para comprar com as moedas que vc ganha do jogo as músicas, sem fala que as músicas nem é boa -_-', tinha que colocar música eletrônica ou remix ou colocar 3 níveis de músicas para uma só música e completa como nível 3 expert.. vou editar esse poste se ouver melhoria ou atualização importante ou músicas que não pode ser pago com as moedas do jogo que vc ganha..",4,59,1.9.9,2020-10-14 09:14:14
7,iFLaMez- BLACK,https://play-lh.googleusercontent.com/a-/AOh14Gj_veDXbwa3ZPOQMml75sbs8kCB3zjbejkWcIyTTw,O jogo é bom mas precisa Farma muito dinheiro isso força ter que paga os dinheirinhos com dinheiro real Força também ver anúncio o jogo tem futuro Infelizmente não gosto de jogo que tem energia Que energia acaba e tem que esperar pra ganhar mais,2,0,1.9.9,2020-10-15 05:06:38
8,Coquinha Gelada Hmmm,https://play-lh.googleusercontent.com/a-/AOh14GjGe7Dt9bx0OxtY3Tjp5ioVEnT65riNXEU1VebMzA,"O jogo é muito bom, mas falta bastante músicas. Se pudesse pegar músicas já baixadas do celular e jogar seria muito bom.",3,0,1.9.9,2020-11-05 21:21:39
9,Yume__ Chan,https://play-lh.googleusercontent.com/a-/AOh14Gj12TEOr1PexsG-ds1U8QwFdizFX4AQUaoP3pBInQ,"O jogo é muito bom o gráfico, e tbm te as músicas que eu gosto muito, mais o problema é o Bug que está tendo, vc passa pelo quadradinhos para o personagem cortar e ele passa reto e logo aparece um ""x"", e isso é muito irritante, pois eu amava este jogo, eu já tinha baixado ele é funcionava perfeitamente, mais tive que desinstalar, quando decidi instalar veio com esse bug, espero que concertem isso.",2,41,1.9.6,2020-10-12 11:44:42
