,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Miguelito Silverio,https://play-lh.googleusercontent.com/-xBzI_IylTDI/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmuirw3v89ZhSO1pyqgM3oIce6klQ/photo.jpg,"Olha,eu amo muito jogar Free fire,parabéns pelo excelente trabalho,mas o problema é que a gente demora pra conseguir as coisas,tipo:os diamantes,a maioria das coisas que a gente quer desbloquear é com diamantes,e vcs podiam fazer um evento gratuito pra ganhar diamantes pq assim não dá,e tbm tudo no jogo é caro e as coisas gratuitas que vcs fazem é um lixo.Entao acho que vcs devia fazer algo a respeito disso.",3,1840,1.54.1,2020-11-07 23:02:48
1,Maria deusa,https://play-lh.googleusercontent.com/a-/AOh14GhrNupbzn904uacH0qlGJbvBDvpvTuZXuB5seZvsA,"Só estou dando essa nota para ver se vocês possam ver... Apenas vim criticar pela causa dos (mobiladores) queria muito que vocês ajudassem o App, a resolver o problema de clonagem do Free fire, jogo a uns 4 meses no mobilador, não fui banido, graças à Deus, mas infelizmente parei de jogar no mobilador por causa das pessoas que estão dizendo que: Octopus está dando ""ban"" Não sei se vocês vão ajudá-los, mas poderiam fazer isso por favor? Obrigado",1,1102,1.54.1,2020-11-07 22:55:16
2,Leonardo Bastos,https://play-lh.googleusercontent.com/a-/AOh14GjFEaE_CjlIGJeOoNPdoBvf804q86rh3lASZd3UaFk,"Eu particularmente amo o jogo, mas tem um problema que tô encontrando agora que antes não tinha. Eu jogo em um Galaxy A50 que nunca travou e nem esquentou com o Free Fire, e a cada atualização que passa o jogo trava cada vez mais e está acabando com a bateria do meu celular. Enfim, ultimamente tá difícil jogar por causa desses aspectos. (Obs: eu jogo no gráfico ultra mas com o resto no normal)",3,1074,1.54.1,2020-11-08 13:09:41
3,Denyse Vasconcellos,https://play-lh.googleusercontent.com/a-/AOh14GiMDZPuSneo7xlKJUZjh_UxvG9IHOv5uDlDX7s8Lw,"Esse free fire cada vez que atualiza parece que fica pior. Achava que fosse minha internet, mais não é. Buga, trava e mal funciona. Consertem isso, o jogo praticamente é todo pago. Mais tem gente que não compra nada no jogo, por questão de condição ou mesmo por que não quer, porém deveria ser um jogo bom né, trava muito.",1,140,1.54.1,2020-11-08 10:11:50
4,Angel Dust,https://play-lh.googleusercontent.com/a-/AOh14GgjRVlLYtlwOQ_cu0-AW-WmXIxk0b0rQfFQYemA,"O jogo tem gráficos muito bons e é realmente fácil de pegar o jeito de jogar, porém o que eu acho um ponto negativo é que os melhores personagens são comprados a dinheiro vivo e nem os pet são grátis, além disso as roupas boas também são um pouco difícil de conseguir no começo. Bem, eu sou iniciante então não posso reclamar, vou pegar mais esperiência no jogo e subir de patente, ainda sou bronze 1 então tenho muito pela frente ༎ຶ‿༎ຶ",5,28,1.54.1,2020-11-08 21:19:25
5,Carlos Silva,https://play-lh.googleusercontent.com/-2Qd19hlDvrk/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckU5v8b2wkbqbEUi6rCZpLO0rCPyw/photo.jpg,"Péssimo! Nunca pensei que o jogo fosse chegar a esse nível. O servidor brasileiro está um absurdo de desorganizado, a começar pelos prêmios de eventos que estão cada vez mais fracos e repetitivos. Também podemos citar o aumento considerável de hackers (mais uma vez) no jogo! Para ser bem sincero, a Garena Brasil está cada vez mais privilegiando os influencers e deixando o público comum de lado. Acordem, não gastem mais um centavo com isso.",1,242,1.54.1,2020-11-08 18:22:28
6,Arthur Cariboni,https://play-lh.googleusercontent.com/a-/AOh14GioCJRFBRaol8ZT9RMJF-PAsavo2c172TWj0orr,"Infelizmente não estou conseguindo mais jogar ,o ping está cada vez mais alto,em torno de 60 a 300, tenho uma internet estável,antes não acontecia isso,fora que por muitas vezes(acredito que por conta do ping) o jogo parece estar em câmera lenta. Quando fico com 30 de HP o jogo trava ,não responde a nenhum comando,10 segundos depois já estou morto ! Realmente espero um retorno ,se for solucionado,mudarei minha avaliação!",2,10,1.54.1,2020-11-09 00:56:57
7,Mayara Batista,https://play-lh.googleusercontent.com/-rwUggn2n4O0/AAAAAAAAAAI/AAAAAAAAACk/AMZuucmKuLdF1F2MY_ESUZFhq6wl9K282w/photo.jpg,"O jogo é exelente, jogo todos os dias, amo muito... porém ultimamente os eventos estão com bugs, inclusive o evento de hoje, não estou recebendo os tokens de fantasma após as partidas, e já joguei muitas... também teve um dia que não aparecia as missões do token de abóbora... só queria que o evento não bugasse, quero troca-los pela skin....",5,80,1.53.2,2020-11-08 14:08:19
8,Ruben Ribeiro,https://play-lh.googleusercontent.com/-V9D0JqZLsgk/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnZ9cUEwHJxkWg9OAgdf9y-MAmqcg/photo.jpg,"Boa noite,garena podiam fazer o que fizeram no 3 aniversário. Cada jogador recebia fragmentos por cada partida , até um limite de 50 fragmentos no máximo . Eu já gastei muitos diamantes no free fire mas gostava de ter uma skin do cubo. Acho que os jogadores vão gostar da ideia. É só uma sugestão que fará muitos jogadores felizes incluindo eu.",5,240,1.54.1,2020-11-07 18:08:42
9,Diego Souza Santos,https://play-lh.googleusercontent.com/a-/AOh14GjtXw4fMH7SamCSS262iwmktxWnMbEs30GPjG2W,"Olá, o que eu tenho a falar do free fire, é que o jogo só tem eventos, e a loja do jogo está esquecida; só as mesmas variedades de sempre. Sobre o dinheiro do jogo... tá na mesma situação, quase não tem valor; o único gasto que podemos efetuar é no ""sorte royale"". Mesmo assim, demora muito para atualizar o ouro royale; isso é uma grande injustiça. Eu estou quase com 200 mil de ouro e não tenho como gastar, os intes só têm apenas ""valor"" comprando diamantes; porém, outra injustiça.",2,105,1.54.1,2020-11-07 11:45:24
