,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Vini Reis -,https://play-lh.googleusercontent.com/a-/AOh14GgxoHVXjRH3DJ5oOrYbx1gRXq03aw4GfGn67Bhw,"É um ótimo jogo uma história e uma aventura, os graficos são razoáveis, controles são ótimos, as configurações não tem muitas opções, o unico poblema e idéia que tenho a dar aos desenvolvedores é de poder criar um jogo e poder salvar e jogar novamente outra hora pois e muito chato não poder salvar o mesmo jogo para jogar outra hora. Fora isso o jogo está ótimo.",5,1339,1.7.3,2020-10-27 22:09:56
1,Poliana Ferreira,https://play-lh.googleusercontent.com/-i3cyMt7c7iU/AAAAAAAAAAI/AAAAAAAADcU/AMZuucmeCJsLwhrbINGz21HFhDb17yrG3Q/photo.jpg,"Estão falando mal do jogo que é difícil e tals, mais eu acho que não é preciso mostrar como se jogar, você controla a granny e é bom quando aprendemos sozinhos. No começo é difícil mais você vai melhorando. Tenham paciência, e nem é assustador mais pra mim, agora só fico rindo das coisas que faço com ela. Obrigada por ter lido, agora querido jogo quero que atualize coloque mais coisas, é mais objetivos para sair da casa e que possamos descobrir novas coisas sobre granny.",5,459,1.7.3,2020-11-05 18:12:42
2,Juju Tineu,https://play-lh.googleusercontent.com/a-/AOh14Gj7r5RSkyaH5PPLBwwqWbEiXrO3Vk-tuL5z0N9P5A,"Muito bom mesmo recomendo instalar, AVISOOOOO da medo (muito mesmo) , e vcs podem escolher várias coisas tipo fácil , médio , difícil e extremo e também modo escuro ou claro(normal) .mas a única coisa que tem que mudar mas eu acho que não é possível é que o jogo e muito pesado tipo tem muita coisa que não é legal , a Granny fica com os olhos vermelhos quando pega um ursinho de uma cama que era da filha dela e quando larga o ursinho ele fica normal .",4,1482,,2020-10-27 20:37:44
3,samuel シ,https://play-lh.googleusercontent.com/a-/AOh14GgLEZPkaOtEPSBFZT4c27h_MjuhKQAwDi0QG8g55Q,"Assim como nem multiplayer tem, a ""granny"" tem um ouvido mo sensivel. Você pisa na trap e ela vem rapido pra kct, uma coisa idiota, com o modo multiplayer ela iria matar um ou outro no caso teria uma pressão, pra saber que seria seu primeiro alvo. Ou quem seria o escolhido para salvar seu amigo, bem resumindo o jogo seria bem legal com o modo multiplayer, e tambem a ""granny"" tem o hack absurdo ela te ataca atraves da parede, e só isso mesmo.",4,232,,2020-10-27 13:43:32
4,Edina Teobalda Alvez,https://play-lh.googleusercontent.com/a-/AOh14GjcYT-8zHfVqA_4uFz9RHuP-11M8eKVKMUnJHykXA,"O jogo é muito bom. Os gráficos, jogabilidade os controles também são otimos, é o fato de estarmos presos na casa de uma velha maluca que corre com um bastão atrás da gente também é incrível e assustador muitos reclamam que o jogo é escuro mas para min está perfeito assim parabéns aos desenvolvedores do jogo ficou ótimo. DVloper é Studio incrível",5,3966,1.7.3,2020-10-16 03:06:26
5,leon gamer aleatório,https://play-lh.googleusercontent.com/a-/AOh14GiR7Fu89DnBVpqe3f8sUzjc4qDI2fcReJlaIJJgog,Eu achei o jogo ótimo mas tem um problema é muito difícil de achar as chaves Mas isso não me importa a única coisa que eu queria é que adicionar um modo Multiplayer por exemplo para eu jogar com a minha prima porque ela também joga e a gente queria jogar junto por isso estou dando 4 estrelas se colocarem um multiplayer eu mudo minha avaliação para 5 Estrelas,4,0,1.7.3,2020-11-07 14:03:49
6,Sempre Que Você Ler os Comentários Eu Estarei Lá,https://play-lh.googleusercontent.com/a-/AOh14Ghd9j-fzQtC6wzW2_4QjM05kp_aiFixJW_9uwgxVA,"O jogo é top, tem várias maneiras de escapar da casa, tem esterry eggs dos outros jogos da dvloper - os criadores de Granny."" O jogo e desafiador, dá medo, nada a reclamar, mais eu acho que o desenvolvedor deveria acordar pra vida, já fais quase 2 anos que ele não atualiza mais Granny. Assim eu entendo um pouco ele, pois o jogo em si e bem grande, já é meio demorado pra escapar etc"" É o jogo e leve, não tem anúncios,não consomi a bateria, eu fiquei 1 hora jogando e só gastou 20% de bateria.😊🙏",5,3,,2020-11-05 19:11:29
7,Ana Maria Santos,https://play-lh.googleusercontent.com/-yzWcJMbeSu8/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclyB1XOSrtiEUc-gnubroO6gUFzcw/photo.jpg,"É mais ou menos Boa, ela é muito rápida, é muito escuro, o jogo é muito bom, mas deveriam mudar algumas coisas como: a claridade, a rapidez da Granny, deixar os objetos um pouco mais fáceis de encontrar e arrumar alguns bugs como: ela atravessa as paredes e as mesas e etc....🙁 Mas respeito a opinião das outras pessoas essa é a minha...",2,4144,1.7.3,2020-09-11 20:44:14
8,Dr. PigBoy,https://play-lh.googleusercontent.com/a-/AOh14GiQJuUXTSnW3xASEGH6unOwAlPrjUVliVvUDOVGkQ,"O jogo é sensacional! Tem referências aos seus antecessores, slendrina etc. Os gráficos são muito bons! Você fica com medo da granny te pegar por trás, e sim, ela pode fazer isso se você for descuidado. Mas atualmente, o jogo não roda mais tão fluído como na versão antiga. Mesmo com a qualidade baixa. a jogabilidade é bem funcional. Mas o personagem poderia ter nome: Alexander (de slendrina 2d) Edit: coloquem sombreamento nos gráficos do jogo. Como em alguns ripoffs do game. Obrigado.",5,4082,1.7.3,2020-08-23 12:03:32
9,Lucas Tavares,https://play-lh.googleusercontent.com/-ZNbvvd3IQ-c/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckknCBpU3l-b3I7q84bDavdz4U2NA/photo.jpg,"O jogo até que é bem simples em gráficos e jogabilidade, mas não deixa de ser bom. O jogo é bem desafiador, cheio de objetivos e com vários easter eggs sobre os jogos anteriores como Slendrina, e claro o terror não falta. Sinceramente eu gostei bastante, pronto cabô!",5,232,1.7.3,2020-10-10 22:25:45
