,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,ToM SlammeR,https://play-lh.googleusercontent.com/-__2YoP-Au9M/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnSx3j26UK6Q7-Ij6I5xcMJMv_OVw/photo.jpg,"O jogo e monoto as vezes por causa que algumas lutas são bem repetetivas sem ter momentos muito emoconantes e ser um jogo pouco atualizado,tambem ficaria melhor se adicionacem mais lutadores e seria muito bom tambem se tivesse uma carreira para um personagen que o proprio jogador possa criar;e ficaria bem melhor que em vez de ter so um round tivesse tres ou cinco.",3,19,,2020-11-06 13:26:54
1,Tiago Oliveira,https://play-lh.googleusercontent.com/a-/AOh14Gh0deuJmnBCRluPr2GYZnaNFdedSuqbObySWjrp,"Passado quase um ano ainda não atualizaram um jogo com tanto potencial. As lutas são muito fáceis e acabam por ser repetitivas no modo carreira (que pelos vistos é o único para além do quick fight). Deviam adicionar pelo menos as novas estrelas do momento, Kamaru Usman, Jorge Masvidal, Tony Ferguson, Nganou entre outros... O que acho que também seria incrivelmente necessário seria haver as 3 ou 5 rounds em vez de uma só!",3,458,1.9.3786573,2020-08-13 15:12:46
2,Luis Guimaraes,https://play-lh.googleusercontent.com/a-/AOh14Gjc44N2VwR9kUQpUJDbMYTz6yMchjdylwvReapDkw,"O jogo é bom mas tem muito o que melhorar, os personagens poderiam ficar com machucados, roxos ou sangramento durante as lutas. A introdução da luta poderia ser mais interessante com o Bruce Buffer e a comemoração no final da luta também poderia ser mais interessante. Outra coisa que pode melhorar é a quantidade de lutadoras, tem poucas lutadoras e grandes nomes como Amanda Nunes não estão no jogo.",2,18,1.9.3786573,2020-11-07 16:43:12
3,Láysson Crisóstomo,https://play-lh.googleusercontent.com/a-/AOh14GgYD0vStnZedsq1XZ_rsorv5XQ9QAPYC-2pBLbEMQ,"O jogo é promissor!! Tem bons gráficos. Porém nesse exato momento é extramamente monótono e chato. Não tem sistema de ranking (esquece a busca pelo cinturão), não tem como treinar, lutas extramamentes repetitivas e plantel de jogadores desatualizado. A última atualização do jogo foi há 1 ano, ou seja, provavelmente já deve estar abandonado. Não entendo, os criadores já posuem a fórmula do sucesso, é só aplicarem a versão de console na versão mobile, vejam o UFC 4, é só copiarem o estilo.",2,564,,2020-08-25 00:12:47
4,Rafael Wulezny,https://play-lh.googleusercontent.com/-9Kvj2wArL7s/AAAAAAAAAAI/AAAAAAAAB0M/AMZuucmhIiAfGXOBF3BT9H63wW_MdD25Iw/photo.jpg,"Muito bom, o grafico é legal, a jogabilidade também, porem seria mais legal se tivesse um modo de você jogar online contra outros jogadores, e o jogo poderia ser mais realista se os personagens sangrassem, ficaria melhor",5,15,1.9.3786573,2020-10-12 17:52:07
5,Adriana Lima,https://play-lh.googleusercontent.com/-gwh1Xzxy8-s/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuck-i7BkX_CoPqWqV3nGC78KUveAaQ/photo.jpg,Ah alguns anos parei de jogar .. mais recentemente... baixei . Saudades . Jogo muito bom. Gráficos bom. Só deveria melhorar em termos a quando o soco acerta. Deveria aparecer as manchas . Tipo.... sangue. Roxo. Algo assim. Mais eu recomendo. Meu anti estresse.,5,5,1.9.3786573,2020-10-23 00:38:53
6,Breno Luiz,https://play-lh.googleusercontent.com/a-/AOh14Gi2kdootFpb0BhImeKrMoJQk6nprI0RJkof8acP,"O jogo é muito bom, mas seria melhor se pudéssemos editar um personagem nosso para iniciarmos, e depois irmos ganhando outros lutadores já existentes, é muito chato ser obrigado a começar com o Alexander Gustafsson, seria melhor poder editar um personagem pessoal, escolher o nome e etc. E tem muitos outros aspectos que poderiam melhorar, mas não dá pra esperar muita coisa de um jogo da EA",4,45,1.9.3489410,2020-11-01 10:42:00
7,Diego Ramos Oliveira,https://play-lh.googleusercontent.com/-SwivBCjG4vE/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckjrv2ut1BWZJhgPd1sVITwvZQT0w/photo.jpg,"Jogo muito bom! Mas não cumprir muito com sua função, trava na hora de baixar os dados do jogo.. os gráficos precisa de melhoras alguns golpes e técnicas de luta; são muito fracas e muito bugs por favor melhorem a qualidade do jogo!",3,3,1.9.3786573,2020-10-25 11:12:28
8,Yuri P.,https://play-lh.googleusercontent.com/a-/AOh14Gig2togBC66og5S31H5JtyHFqwmergCsDvycAYtzQ,"O jogo é legal. Pode melhorar pq fica mto monótono mto rápido. Mas tô dando 4 estrelas pq é um jogo q roda no meu celular, q é um pouco limitado (isso é difícil, pra jogos desse nível) e mesmo assim com gráficos bem razoáveis. A jogabilidade tbm é legal. Só acho q deveria ser mais difícil sair das pegadas em pé e no chão. Nunca o oponente consegue me derrubar. Tbm é MTO difícil evoluir um lutador, DEMORA MTO e não tem mtas formas de fazer isso, nem de escolher outro, daí fica bem REPETITIVO.",4,494,1.9.3786573,2020-10-09 00:08:36
9,Valério Júnior Vado Lookal motion crew,https://play-lh.googleusercontent.com/a-/AOh14GiL8Ynn0q1aFW7OZnSo-CTjlXHukK8YtdkwNLMZ,"O jogo é bom, mas poderia ser melhor se os lutadores sangrasem mesmo e também devia ter mais formas de festejar a vitória, como por exemplo subir na cerca tal igual ao que acontece nos combates reais. Também devia ter uma forma de personalizar os lutadores, como por tatuagens trocar de roupa luvas etc. Ia ter mais adrenalina. Essa é a minha opinião, do resto o jogo é ótimo...",4,417,1.9.3786573,2020-09-11 22:46:26
