,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Will Monsores,https://play-lh.googleusercontent.com/a-/AOh14GhMP3RRzhTqVflHRhiROXQxuueQ_j9dajyNw2esVQ,"EA novamente me fazendo de otário. Joguei FIFA mobile até ter uma conta top e eles do nada resetaram tudo e cagaram pra quem passou tempos pra upar a conta. Agora, criaram o Madden 21 e CAGARAM pra quem gastou dias, meses, anos pra deixar a conta do Madden Mobile boa. Isso é como dar um dedo do meio bem grande pra quem joga o game. O dinheiro que gastei no Mobile não será devolvido né? Só inventaram uma nova forma de atualizar e ganhar mais dinheiro. Patético!!! Konami >>>>> EA",1,23,6.4.1,2020-08-16 08:21:22
1,FLAMENGUISTA 1011,https://play-lh.googleusercontent.com/a-/AOh14GhuDrMGV0megYQpfSxg2QXXh0KiQHgxwFENn4CJEA,"De novo a EA me fez de otário. 1- Eu já joguei esse game, então eu sei o que estou falando 2- O game n~ carrega mais, já estou esperando a mais de 1 hora 3- De um dia pro outro eu perco TUDO que já tinha, é como se fosse dizer ""Que se ferre"" pra pessoa q tá jogando 4- Estou a mais de 2 anos tentando upar minha conta sem perder tudo que já tinha. Sabe, até aqueles joguinhos que só bebês e vovós jogam são melhores que os games da EA",1,8,6.4.1,2020-09-20 14:09:51
2,Rildo Júnior,https://play-lh.googleusercontent.com/a-/AOh14GhcmCguEUWqTD0wJDXLmgNp1Q0Befk1AAgZ0un5,"Igual todo jogo da EA, o nível difícil (modos season) é muito mais calcado nas injustiças. Ao invés de botar estratégia dos times adversários mais elaboradas e difícil de ler. Aumentam a taxa de fumble, taxa de tackles (certos pra eles e errados para vc), botão trava mais vezes. Jogadas com o mesmo padrão, da certo pra computador e pra vc não, ... e nem importa se os seus jogadores envolvidos naquela jogada são melhores. Seria mt melhor se o sistema do jogo seguisse os dos jogos de xadrez.",2,119,6.4.1,2020-05-30 09:44:37
3,Lucas Luska,https://play-lh.googleusercontent.com/-LuXeA6B9-KI/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnbGAXis3jANsJEzpP9TOSNt0-e6g/photo.jpg,"O jogo fica em uma tela preta e só entrou na primeira vez, porém o jogo travou e só consegui apenas escolher o time pois logo depois ele saiu e não entrou mais. Reparei que várias pessoas estão com esse problema, por favor consertem isso. O jogo tem tudo para ser o melhor, mas com esse problema ele nem chega a ser considerado um jogo.",1,0,,2020-05-17 04:36:20
4,Leandro Fussieger,https://play-lh.googleusercontent.com/-atdfETekpVw/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclxzlc0HLQZcZhOYhCv50ta-IUgqQ/photo.jpg,"Estou com o mesmo problema de vários. O jogo e muito bom, sempre tive, e manti ele até quando fizeram a mudança da mecânica de jogo, porém, agora não consigo iniciar uma partida sequer, que o jogo fecha. Gostaria que dessem um jeito nisso, pois gostaria de manter o jogo.",1,0,4.2.3,2020-05-14 10:05:02
5,Eduardo Carnielli,https://play-lh.googleusercontent.com/-d64wAZMMuQY/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnbo1Cf2HiIHY2tHUnpcWFz6jqutw/photo.jpg,"O jogo simplesmente possui falhas demais, quando johado no modo mais dificil ele abusa de jogadas irreais favoraveis ao computador nao importando nivel dos jogadores, tackes ridiculos jogadores voando para tackear o outro a mais de 2 metros de distancia, recepcoes faceis simplesmente ognoradas pelos recebedores, ou seja muito mal projetado no nivel dificil a estrategia que eles usam para dificultar o jogo é ROBAR!",1,0,,2020-06-04 02:02:11
6,André Espindola,https://play-lh.googleusercontent.com/-gbqH5mnU3EA/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckcDfX2lbRYsOv3s_XZu6iPh8mVzQ/photo.jpg,"22 de agosto de 2020 Tento entra aparece UNKNOW ERROR, e o pior não é mais Madden, Porque? Arrumem isso por favor, mais deixem o modo temporada, compra de jogadores se possível traduz Fico no aguardo",1,2,6.4.1,2020-08-22 17:57:30
7,Augusto Kafer,https://play-lh.googleusercontent.com/-eGHJOw9xFmY/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucno8KZUqlnjyipLHvn6vMMN1i2rdQ/photo.jpg,"Já é a terceira vez que tenho que iniciar uma conta do zero, sabe a opção de salvar o progresso no google play ou no facebook? Bom não funciona, a minha sorte que eu não gastei um real em pack, se não eu processava essa empresa.",1,0,5.1.4,2020-07-08 15:59:14
8,Dennys Dylan,https://play-lh.googleusercontent.com/-bEYX8n1mQIM/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckFndZOqn1HV0EBINLmzo9V9epRLg/photo.jpg,Gosto muito dos jogos da eletronic art mas todos que eu já baixei demoraram muito prá abrir inclusive esse da NFL espero que resolvam isso o mais rápido possível e além disso da demora de entrar no jogo notei uma alta quantidade de bugs que dificulta muito a jogabilidade da nossa gameplay e eu também quero que melhorem o modo do tutorial na minha opinião ele explica muito pouco principalmente pelo menos na minha opinião o jogo da NBA eu não consegui entender absolutame nada,2,33,6.4.1,2020-07-20 14:30:56
9,Everton Barrelin,https://play-lh.googleusercontent.com/a-/AOh14GjWbxmdmGXecEo24il4CIQUhT1AYOXP9tsqU_lVKos,"Jogo muito bom, bons gráficos, bem imersivo. Ótima introdução ao esporte. Mas vem apresentando muitos bugs, fechamento repentino sem motivo aparente. Também vêm se tornando repetitivo em alguns desafios, principalmente no que diz respeito à eventos de premiação com jogadores. O mercado também tem muito a a melhorar. Nas ligas, não há uma ferramenta direta disponível para controlar a colaboração dos usuários, criando muitos vampiros de premiação. O jogo precisa de lapidação. Rebaixo a 3 estrelas.",3,0,5.4.1,2019-10-27 19:33:28
