,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Vini Pimenta Gamer,https://play-lh.googleusercontent.com/a-/AOh14Gj9gIxCLmbkHOKiC5qJ5v4fwRvrUuk72ypIGRiAaA,"Notas | Gráficos: 90 | Jogabilidade: 30 | Anúncios - | Mecânicas: 50 | Tempo de carregamento: Muito Rápido | Micro-Transações: Extremo | Necessidade da potência do celular: Média | Observações: Este jogo é um exemplo claro do pay to win ao extremo, você paga para abrir uma caixa, quando você ganha um carro você está ganhando um planta dele que caso queira você terá que pagar, ou seja você pode pagar para pegar a caixa e pagar a planta. Tem sistema de gasolina então e impossível jogar muito.",2,20,4.8.41,2020-11-08 03:15:28
1,Walkiriarj86,https://play-lh.googleusercontent.com/-GITT7LNhxrU/AAAAAAAAAAI/AAAAAAAAAWM/AMZuuckcMSXDT5yf7ZCEqejUHvJHOp_OdA/photo.jpg,"A gasolina acaba muito rápido, só dá uns 20 minutos de jogo. Aí tem que assistir anúncios enooormes e chatos demais para conseguir um tanque por anúncio. Um saco, desanima demais. Fora que o Underground Rivals e os eventos especiais são feitos para ninguém ganhar, não vejo ninguém que consegue. 20h para ganhar um ticket... Ridículo. O jogo é bom, mas essas limitações desanimam e me deixam com muita raiva. Tudo para arrancar dinheiro dos outros.",1,109,4.8.41,2020-11-06 19:27:50
2,Fernando Miranda,https://play-lh.googleusercontent.com/a-/AOh14Gi1fW2tlWtC8bkhMp1k5k6UHQhk3VoZt25kSLgXFA,"Antes surge uma atualização que não estava disponível pra mim e agora uma atualização que ocorre durante o evento que vai acabar amanhã, só gostaria de saber se vou perder todo o ouro que investi e o progresso também. É ainda tem uma como vai ficar o carro de premiação. Não vejo mas respeito com os danos do jogo.",1,2,4.8.41,2020-11-08 18:44:38
3,Jéssica Laís,https://play-lh.googleusercontent.com/-44dqvk8DBHw/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucl8aRO4m4sn4-KFvNryox_O1-qxbQ/photo.jpg,"O Jogo é ótimo, realmente não tem igual, porém deve - se haver alguns ajustes, tipo, pq os exteriores 》exclusivos só aparecem na garagem ou na oficina, qnd vou p uma corrida fica a cor normal do carro. Outra questão é que depois da ultima atualização, q foi hj, por sinal, eu subi de nível e meu combustível ñ foi restabelecido, apesar de ter informado que ele seria. Não sei se adianta, fazer qlqr comentário q seja aqi, mad enfim, esse é o meu questionamento.",4,415,4.8.41,2020-10-27 23:17:28
4,Paulo Victor,https://play-lh.googleusercontent.com/a-/AOh14GgmPVqpfi8t4ZZW_6OsSDaYEwljYIlRKbyiRIBN,"Infelizmente depois dessa última atualização, não estou conseguindo concluir nenhuma corrida do evento especial! É um pouco frustante,pois além de gostar do jogo vc fica sem motivo pra continuar nele! Jogo ele desde 2016 e nunca passei por isso.. o jogo trava muito e volta ao menu do meu celular! Aí qndo vou ver tem gastado tíquetes, ou até mesmo as corridas!",4,223,4.8.41,2020-10-27 16:27:07
5,Jeferson Kerbes,https://play-lh.googleusercontent.com/a-/AOh14GgO95BLoz7UX_juhAmc6D0MGmDm3ktCAg5mZlSuzpg,"Jogo muito bom, estou curtindo bastante. Contudo estou passando por um problema. Quando subo de nível, informa que ganhei a recarga da energia de corrida, mas não carrega e continuo com a quantidade que tinha. Nas primeiras vezes, carregava totalmente e podia correr mais, porém agora está com esse erro.",4,106,4.8.41,2020-10-27 23:05:53
6,Paulo Daniel,https://play-lh.googleusercontent.com/a-/AOh14GhIyAEBGOQwdNyi_i21-hsyaQm5bdJ79T0wx7UL,The problem is fixed. Thanks guys. Love this game. This game is awesome.,5,1199,4.8.41,2020-11-08 23:32:02
7,fefo.dyllon lol,https://play-lh.googleusercontent.com/a-/AOh14GgHRCzJY4nDc-7rq6bYiYLMgLvMiCaAxyKjN9olfw,"Jogo tá ótimo mais depois da atualização, quando você sobe de lvl mostra que você ganhou o perfil de gasolina mais em seguida a gasolina não subiu . Já gastei ouro pra compra gasolina até dizer chega por causa disso . Já upei uns 7 lvl depois da atualização e tá acontecendo isso até agora. Lamentável esses problemas. Arrumem isso e espero que tenha alguma recompensa pelo erro de vocês . Depois que arrumar darei 5 estrelas.",2,64,4.8.41,2020-10-27 21:40:23
8,Davi Marinelli Ferrari,https://play-lh.googleusercontent.com/a-/AOh14GhBl5Nqw6Mf5zFwy6W9VnnTzHgLdPZy0vDFFXaT,"O game é muito bom e legal mas, eu jogo num celular de 32gb e ele apresenta crashamentos, e do nada fecha sem motivo algum. Ele é 56mb ou 58mb mais se você baixa o game completo, ele é 1gb e 200mb se eu não me engano. Ele apresenta uns bugs também, tipo o controle pra poder virar, como o inclinar não funciona mais com a versão inteira e não funciona mais o inclinar, aí eu uso o volante virtual, mais o resto do jogo é tudo bom 👍, mas precisa corrigir uns bugs pra eu dar 5 estrelas .",3,66,4.8.41,2020-11-02 22:37:13
9,MÁFIA MEMES BR,https://play-lh.googleusercontent.com/a-/AOh14Ghcpft6YFG-U_vdFUoU8VuXjxz1K9Bd4-1ALTq2,"O jogo pra min, ñ teve nenhum problema ainda, mas....., eu queria curti meu carro em um mapa aberto, tipo o forza horizon 4, queria dar uns drifts por ai e talz. No mapa aberto por exemplo, poderia ter em tal lugar, tais ruas, missões para fazer, uma corrida de rua normal, ou alguma misssão do modo campanha e afins, só queria isso msm, e o tempo p reabastecer o combustivel dos eventos. Tirando tudo isso, o jogo ñ me apresentou problema nenhum.",5,82,4.8.41,2020-11-06 16:21:27
