,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Dark,https://play-lh.googleusercontent.com/a-/AOh14Gjw-oKqj_WLrJy8up59izohoaBCFwuJeTF4xmSYGA,"Excelente. Uma continuação simbólica do primeiro jogo. Plants versus Zombies 2 compre todas as suas expectativas. Apresenta uma jogabilidade simples, uma história bacana de se acompanhar, gráficos não muito complexos, e além disso, possui eventos, concorrendo a plantas muito boas. Não é muito difícil você conseguir dinheiro e/ou gemas nesse jogo. As fases vão ficando mais difíceis e mais elaboradas, exigindo mais estratégia do jogador, o que é incrível.",5,424,8.5.1,2020-11-01 11:06:51
1,Janaina Rafael Moreno,https://play-lh.googleusercontent.com/a-/AOh14GiFGBkYakKNYSkpaNMbl-V9Zre3sVw5pqnpv24lhw,"O jogo é ótimo, gráficos bons, jogabilidade ótima, história interessante, tem tudo que eu lembrava que eu tinha jogado há uns 2, 3 anos atrás; eu comecei a assistir um vídeo antigo desse jogo e vi o desafio: ""memória da múmia"" então eu lembrei que eu já tinha jogado isso, então eu fui procurar se tinha uma fase (não foi em todas) se não tiver, tentem re-adicionar esse desafio, se não conseguir eu vou entender e se tiver me avisem a fase e o mundo(por que eu estou com muita preguiça de ir 1 por 1",4,1193,8.4.2,2020-10-18 05:29:40
2,Personagens 3D por Bruna Romaguera,https://play-lh.googleusercontent.com/-_XosUMATL6g/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmGVcj-bdx5-4l4ROFirs8pGgAKrA/photo.jpg,"Amo esse jogo! Mas tô tendo problemas constantes.Tela preta, não inicia.. pra entrar novamente fico esperando atualizações para não desinstalar e perder todo o progresso. No momento já tô a 2 semanas sem poder jogar. É muito chato ficar começando tudo do zero e sabendo que será tudo apagado novamente. Vejo que isso também tá acontecendo com outros.. complicado.",5,614,8.4.2,2020-10-27 21:59:25
3,Pedro Afonso Mendonça de Lima,https://play-lh.googleusercontent.com/-J8BbP1OivqI/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucn2iypVwqlyOcmafcNCnnSFCHPVPQ/photo.jpg,"Ta muito bom quando vc consegue umas plantas que te dão uma certa vantagem o jogo fica ótimo mas alguns modos se tornam repitivos se vc usa apenas sua seleção é bom joga como seleções de plantas diferenciadas o ganho de moedas é bom o de gemas também o que me deixou cabreiro foi as pinhatas, com tudo o jogo é bom recomendo para jogadores, ñ se deixem cair nas críticas negativas o jogo é ótimo, e se puder adiciona um modo de criação de mapas seria divertido desafia os outros",4,1,8.4.2,2020-11-08 15:34:14
4,raposinha SuperNoob,https://play-lh.googleusercontent.com/-aoL1R03RXIk/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnLWAAzk7Vd8BZI5agRu_4YJTaG3w/photo.jpg,Eu realmente Amo este jogo! Nunca pensei que tivesse outro pvz mas esse aqui tem gráficos simples e bonito roda normal no meu celular (no meu) e é super simples de entender o jogo existem várias combinações de plantas para escolher a única coisa que não me chamou muito a atenção foram as plantas pagas eu realmente tenho condições de pagar mas minha mãe acha que isso e uma perda de dinheiro mas enfim por mim esse e o melhor jogo de pvz 2D na minha opinião.,5,150,8.4.2,2020-10-27 23:38:05
5,lindomar cento fante,https://play-lh.googleusercontent.com/-a4K05XyeBhM/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuck5sUh-3rpvSpL30UaoVgGOLTN9UA/photo.jpg,"Jogo muito bom, não tem propaganda e quando você opta por assistir ainda ganha moedas e diamantes, dificuldade ótima, boa imagem som muito bom, gráfico excelente. Parabéns a toda a equipe que desenvolveu esse jogo desafiador e muito interativo aonde o jogador tem que desenvolver as estratégias para passar de fase.",5,259,8.4.2,2020-10-29 16:19:03
6,Guilherme Gonçalves,https://play-lh.googleusercontent.com/a-/AOh14GgnqD-TgnVL9B_nPYxIS7IxKQhpIc0x2EQWZfZ2lw,"O jogo é muito bom, mas poderia ter a opção de comprar mentas por quantidades específicas, fica muito cansativo comprar vários e vários pacotes de mentas para elas evoluírem. Poderiam colocar a opção de escolha, para que pudéssemos pegar a quantidade exata de mentas sem ficar múltiplas vezes comprando os pacotes com 25.",5,154,8.4.2,2020-10-20 09:58:49
7,Kiran Aragão,https://play-lh.googleusercontent.com/a-/AOh14GjxjVrEvYSpUROrFLlfo-u_iKbCvkYUyvsms_uNUQ,"É um jogo bem divertido e diverso, especialmente em comparação ao primeiro jogo. O Redesign tbm foi uma melhoria legal, mas acho que o sistema de subir de nível é lento demais, e o Pay to Win, eu perdoo, não torna o jogo injogável.",4,1,8.4.2,2020-11-05 02:37:41
8,TURBO,https://play-lh.googleusercontent.com/a-/AOh14GjP50TF66kOuqleHBaT-fm9oQNl238T4ei8n-gPoA,"Cara eu amo esse jogo, o problema é que em algumas fases ex: Idade das Trevas noite 18, principalmente nessas de seleção predeterminada de plantas o jogo te obriga a usar o pay to win eu estava com 15.000 de dinheiro e só nessa fase desci pra 10.000, então precisam diminuir a dificuldade das fases ou abaixar o preço dos poderes",4,111,8.4.2,2020-11-05 10:20:07
9,A.R.M.Y FOREVER,https://play-lh.googleusercontent.com/a-/AOh14Gis9i2h12dwfq5xrbRLMIpVf_SCI7sWiQzEaCA5Xg,"O jogo em si é incrível ótimos gráficos e uma boa jogabilidade mas eu por alguma razão não consigo salvar meu progresso já tentei varias vezes e nisso eu perdi o progresso 3 vezes q tive que dessistalar o jogo como quando formatei o celular por problemas de armazenamento e eu tive que recomeçar tudo de novo,tentem melhorar isso por favor o jogo ficaria perfeito",4,76,8.4.2,2020-10-30 17:21:43
