,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Givanildo Faustino,https://play-lh.googleusercontent.com/-yXOqvkfCxyg/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmbJKIUXjmRcTzMJEt6ddM3GccjFA/photo.jpg,"Este jogo é muito bom. Os gráficos , tudo é legal mas ele vai se tornando mais difícil a cada fase e você tem praticar bastante. Tem hora que eu perdo a cabeça e fico muito com raiva. Mais você vai pegando o jeito até que da certo . No contexto ele é muito legal e muito criativo e de agora em diante eu só vou enrolar para completar os quinhentos caracteres ......Vale muito apena baixar o jogo . Se no meu celular ele não travasse tanto eu baixaria o dois que deve ser muuuuuito legal quanto este.",5,1832,2.9.07,2020-09-19 22:23:20
1,Biel Araujo,https://play-lh.googleusercontent.com/a-/AOh14GgjhjDXMElpMpCauxQF58P38WIL6xobtbFDe-c9MA,"É o seguinte, sempre adorei esse jogo, mas quando acabo o fase da piscina pra ir pro telhado o jogo trava e volta pro começo, e já é a 2° vez que isso me acontece, eu sinceramente fico muito decepcionado, pq jogo esse jogo desde criança e é triste ver ele com esse problema",3,216,2.9.07,2020-10-18 01:50:23
2,Rizia Silva,https://play-lh.googleusercontent.com/a-/AOh14GgpI8aLGwTiPm-gkdr3zSP1ol1HYPEkZBXLMonaOx8,"Ótimo jogo,ele pode ser antigo mas é muito melhor que vários jogos recentes,mas eu queria que os jogadores pudessem criar plantas e zumbis no jogo,faria o jogo ainda Melhor,ele já fez parte da minha infância,um jogo como esse merece um oscar de melhor Jogo Vintage(antigo) do mundo!!!!!!!😁😁😁😁",5,1417,2.9.07,2020-10-03 17:12:28
3,Anderson Euclides,https://play-lh.googleusercontent.com/a-/AOh14GgTHtoqpU90btJlBRLaPWEDB07VtV4iciFc6tRlXPM,"Esse jogo é muito incrível e muito fácil também por isso dou cinco estrelas o jogo é de estratégia e eu amo estratégia o às vezes nem tem graça de jogar mais é incrível eu amei esse jogo ele é maravilhoso magnífico eu gosto de Plants vai Zombies Garden Wafare no meu Xbox 360 meu nome no Xbox é CladTangent e estou orgulhoso desse jogo incrível,magnífico e maravilhoso é por isso que dou cinco estrelas muito obrigado aos desenvolvedores desse jogo por criarem esse magnífico jogo obrigado obrigado",5,9,2.9.07,2020-10-24 01:06:23
4,Pablio Silva,https://play-lh.googleusercontent.com/-kWEjp3L7Dzo/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmYB5zFr26L7Mjat-s4ou7sNJC2Xg/photo.jpg,O jogo é muito bom o melhor jogo do mundo já é a quarta vez q instalo esse jogo kkkk já terminei todas as fases ele é fácil no começo mas depois ele começa a ficar muito difícil mais além disso é muito bom não tem outro igual depois que eu acabar com as fases desse vou instalar de novo ou instalar o (2) recomendo para todo mundo que quiser jogar algum jogo legal quando não tiver nada para fazer.,5,1181,2.9.07,2020-10-06 10:53:03
5,A Faladeira,https://play-lh.googleusercontent.com/a-/AOh14GjrYg0aqgbt9I1iekt-GL0HQRgsQpNtaiKSlVQI9b0,"Amo esse jogo, clássico, simples de jogar, e super bonito, tentei jogar o 2 mas sinceramente muito confuso, cheio de funções no jogo que até vc jogar já perdeu a vontade! Na minha opinião esse é o melhor, as vezes o clássico é melhor, querem colocar muitas coisas pra ficar interativo mas enche o saco.",5,1047,2.9.07,2020-09-05 10:49:23
6,Paula Costa,https://play-lh.googleusercontent.com/a-/AOh14Gh0hcLu8zxRO5WUZhWWpKlLwPYSme7qVP7kN59vmw,"Eu jogava esse jogo era muito então resolvi jogar depois de vários anos aí eu entro no jogo e o jogo me surpreende com propagandas! Esse jogo já foi muito melhor eu desbloqueio uma planta, propaganda eu vou entrar na fase, propaganda e ainda as propagandas param travam e tenho que sair e entrar de novo no jogo, não estou conseguindo jogar, estou decepicionado terei que dar 3 estrelas, esse jogo já foi melhor😦😦",3,597,2.9.07,2020-09-01 15:23:51
7,Mary Rocha,https://play-lh.googleusercontent.com/a-/AOh14GgY31-87ms2EOkMtVMRkXX9hc9CZSoemC6Kr1_JaQ,Daí que eu gostei desse jogo só consegui chegar na fase da planta carnívora mas numa versão consegui chegar na piscina Eu sempre queria ganhar todas as plantas eu sonho vai se realizar ontem eu consegui chegar perto da praça do Carlito eu consegui ela mas eu não consegui ganhar essas plantas então eu consegui a outra planta planta rala venha e no mesmo jeito não foi mas pelo menos eu consegui pegar uma planta bem fortep,4,47,2.9.07,2020-11-05 19:38:55
8,Gelo Gelado,https://play-lh.googleusercontent.com/a-/AOh14GiuiBRgJ4audNGRB3NI98w7q6r2SY-8A__5AmSA,"A EA conseguiu ferrar o jogo quase por completo, qualquer coisa q vc clica vem um anuncio. Além de q vc tem q pagar pra jogar os minigames, 50000 moedas por cada 3 minigames, se eu zerar o jogo de novo eu nao pego td isso de moedas. No pc vc termina o game e vc libera todos os minigames, puzzles e survivals sem pagar nada. Nao é possivel fizeram isso só pra colocar microtransação no jogo.",1,840,2.9.07,2020-08-12 04:49:40
9,Marcus Santos,https://play-lh.googleusercontent.com/-7ZRxrcLnNTI/AAAAAAAAAAI/AAAAAAAAIRA/AMZuuclMO21OO7BJUAb3jA7d_BJfMM-Tsg/photo.jpg,O jogo é muito legal mais... o gráfico n é tão tão bom é tbm umas das últimas fases é quase impossível de passa por exemplo aquela que fica o zumbi em um balão voando aí fica difícil mais tirando isso n tem bug é mt bom e legal recomendo!!!,4,12,2.9.07,2020-10-29 12:15:04
