,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Gustavo Queiroz Morcatti,https://play-lh.googleusercontent.com/-c6YyndtEs7s/AAAAAAAAAAI/AAAAAAAAEts/AMZuuckrjquU8aASVMVrk2u_IGCF_hCl-g/photo.jpg,"Gosto muito do jogo, porém materias são muito caros, acredito que deviaram haver lojas que dêem dinheiro, assim como os impostos da cidade, que forneçam mais finanças para uma evolução mais legal. Postos de polícia, bombeiro e clínicas mais baratos. As escolas serem compradas com dinheiro e não com a chavinha, bem como os transportes. Agradeço a possível escuta, seria bom se fossem revistos certas coisas para o jogo deixar de ser bom, e ficar ótimo. Mas ressalto, jogo muito bom mesmo. Obrigado",5,189,1.34.6.96106,2020-11-01 01:37:01
1,Rodrigo M.,https://play-lh.googleusercontent.com/-pTzHdVr-iiw/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckv76E5cTzQu7OC_4jmcr4AdbPV1Q/photo.jpg,"O jogo, em si, é bem legal! Eu gosto bastante. Mas infelizmente não deixa de ser apenas mais um jogo com hiper monetização como tantos outros. O algoritmo trabalha 100% contra você. E a solução dos problemas vem em cash (dinheiro real), obviamente! Absolutamente tudo oq vc faz, o algoritmo dificulta para te ""obrigar"" a comprar com cash. Fora os anúncios que aparecem de repente, muitos sem benefício nenhum, simplesmente pelo fato de te obrigar a assistir. Já gastei dinheiro aqui, mas NUNCA MAIS.",1,334,1.34.6.96106,2020-10-25 11:34:46
2,Diniz City,https://play-lh.googleusercontent.com/a-/AOh14Gixqo7bYiWMB3C_bVp4l5r0mXGa3I53xO1cyKVJ,"Para mim é um dos melhores jogos de construir cidades, para smartphones,parabéns pessoal,pelo desenvolvimento,cada detalhe realista que o jogo trás, gostaria que me ajudassem a divulgar esse jogo,criei uma conta no YouTube,se chama ( diniz city ),se vocês me passassem mais informações do jogo gostaria de ajudar,a compartilhar no meu canal... Desde já muito obrigado!!! Queria dar uma idéia também, aos desenvolvedores, para darem aos presidentes de clube bônus,para eles darem aos seus jogadores.",5,446,1.34.6.96106,2020-10-25 23:34:44
3,Leonardo Midões,https://play-lh.googleusercontent.com/a-/AOh14GgyjtV5r3Z-M68XJVqtJt2XKtU88BYdvii7Dey8Umo,"Excelentes gráficos, jogabilidade fluida e inteligente, inúmeras possibilidades, recursos e serviços! Muito divertido, educativo! E também engraçado por causa da opinião dos Sims (habitantes da cidade) Um jogo para crianças, adolescentes e adultos! MUITO BOM!!! jogo há mais de 2 anos e minhas cidades cresceram muito!!!",5,489,1.34.6.96106,2020-10-24 12:12:59
4,sessão aos pés do altíssimo,https://play-lh.googleusercontent.com/-Hgy_f_A6nmE/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnkjff_YbdaLwISnThmcifWbDwfcg/photo.jpg,"Esse jogo tá top, por enquanto tá em primeiro lugar dos ""SimCity buildit"", pra mim né! Não sei para outros. Bem viciante eu amei, parabéns desenvolvedores vc são nota 10 más tenho minhas crítica, falta alguns coisas. pra ficar ainda mais realista, Deveria ter árvores para os jogadores adicionar na cidade, também os veículos, percebi que eles anda muito rápido, tinha que andar um pouco mais devagar, seria mais satisfatório! essa é minha única crítica, Melhorem esses detalhes aí por favor. OBG",5,47,1.34.6.96106,2020-10-27 20:36:14
5,Pedro Almeida,https://play-lh.googleusercontent.com/-t7BD1IJ8BwA/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclrmz8GZH8oF6a6AuLLBaV6cO-0kQ/photo.jpg,"Sempre joguei este jogo desde pequeno, mas recentemente voltei a instalar e reparei que não consigo aceder às ofertas de outros jogadores online, nem me consigo juntar a nenhum clube, pois aparece a mensagem a dizer ""Oi perfeito, este recurso não se encontra disponível no momento"". Gostaria que arranjassem isso pois chateia demais quando tento fazer desafios e evoluir a cidade!",2,42,1.34.6.96106,2020-11-02 20:14:49
6,Quelen Fonseca,https://play-lh.googleusercontent.com/a-/AOh14Gggi7CSyBixro037yU47q5Ewj6c1MEIdnhO5gmEyQ,"O jogo é excepcional !! Antes eu ficava bolado jogando , pq sempre chegava uma hora em q eu ñ conseguia mais guardar dinheiro e perdia a minha população ; agr eu comecei a jogar de novo e estou conseguindo crescer a população e guardar dinheiro . O truque é saber como usar o mercado global e comprar mts parques , para q os impostos sejam BEM altos !!!",5,2,1.34.6.96106,2020-11-02 09:38:58
7,Gabriel Ramiro,https://play-lh.googleusercontent.com/a-/AOh14GiB2_oHjjSdnI4XLPQvu_IemqTNqrIyNPBb-R0w,"Bom, aconteceu um bug no jogo onde eu tinha capacidade de dar luz, água, esgoto, e essas paradas para toda a cidade, mas por algum motivo as casas começaram a pedir os recursos (água, esgoto, luz), sendo que eu tinha a demanda certa, tive que gastar muito dinheiro. Espero que não se repita, gosto muito do jogo",3,33,1.34.6.96106,2020-11-04 12:27:28
8,davi amaral,https://play-lh.googleusercontent.com/-orN-FshP22Q/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclJmgSiMUWo5ah3BvnhqIKjWY1TKg/photo.jpg,"Jogo muito bom melhor jogo de cidade , mas tem coisas q podem melhorar (1) e muito raros os itens de espanção , de ampliar deposito etc , ISSO FOI FEITO PARA VOCÊ PAGAR ! (2) as moedas de guerra somem do nada , cara isso muito chato to a um mês preso sem pontuar pq ñ da para compra item , e produzir e muito dificiu por causa do depositosinho ! (3) tem construções q so da para contruir com algum passe Q SÃO PAGOS ! (4)o tempo de produção de qualquer coisa e muito alto , precisa de paciência",3,10,1.34.6.96106,2020-10-24 14:46:51
9,LUIZ NAVARRO,https://play-lh.googleusercontent.com/-Qk_kQtG2LnE/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmJdmYzFBSvDdqKHRUTi65zbHHIiw/photo.jpg,Os objetivos iniciais do jogo foram muito alterados com a introdução de guerras e do monstro. Existe muita insistencia do jogo para que participemos destes eventos. Nao gosto disso. Aqueles que não querem participar das guerras não deveriam ser afetados ainda que o clube participe.,4,0,1.34.6.96106,2020-11-07 21:42:40
10,Geraldo Frozi,https://play-lh.googleusercontent.com/a-/AOh14GhbhuU80_hUzPhmfi2LHpoS-sg1SHASbUo_SxI0Qg,"dei 4 estrelas. o jogo é otimo, prende sua atenção. sempre relaxando. mas, tem um porem. o jogo poderia dar mais dinheiro. estou a 5 dias juntando para fazer as coisas e sempre aparece alguma emergência para fazer.... no começo vc quase ñ tem dinheiro. muita coisa e abandonos acontecem, assim ficamos sem dinheiro rsrs. mas tirando essas coisas, de boas. abraços.",4,5,1.34.6.96106,2020-10-28 19:10:07
11,Barbara Helen,https://play-lh.googleusercontent.com/a-/AOh14Gidmh_F4s912YTXtIYBVLmE_j2fMt-EdPvaJWq_gKs,"Ja faz anos que eu jogo, gosto bastante! Mas chega um ponto em que fica mt difícil conseguir as ferramentas para expandir o território. Eu so gostaria de ter mais bônus para expandir o depósito e para comprar terras. No mais, o gráfico e perfeito muito bacana vocês terem colocado as pessoas andando nas ruas e os comentários dos moradores em formas de balões. Adorei a ideia de ter novos espaços como a ilha paradisíaca.",5,56,1.34.6.96106,2020-10-24 23:40:35
12,Tiago Vicente,https://play-lh.googleusercontent.com/a-/AOh14GjjEyjb1YuYy4lQUiI3H4ghMS8ZYAyUB3DMVgD6Og,Só não dou mais pois não consigo ir a outras cidades de outros jogadores sem ser o do Daniel e pfv metam as coisas mais baratas por exemplo os parques 5 mil??? Exagero e tbm não gosto que sempre que a gente compra mais um quartel de bombeiros por exemplo o preço aumenta cada vez que compramos mais um e isso é chato porque nós no início não nachemos ricos!!,3,1,1.34.6.96106,2020-11-05 17:58:29
13,Willian Silva,https://play-lh.googleusercontent.com/a-/AOh14Gg0EckDHeOsh8KJc1myrZr4i0JULZjk2xxoNJT1Nw,"Por ser um jogo da mercenária EA, estou até surpreso, joguei outros jogos do gênero envidando essa empresa sanguessugas, mas por incrível que pareça, em jogos do tipo, esse tá sendo o menos mercenário. O little big city 2 por exemplo, me forçou a sentir vontade de desinstalar e procurar outro jogo de tanto anúncio e de tão lento que era o progressão. Mas aqui no SimCity tá razoavelmente ligeiro e divertido. Estou surpreso por dar nota positiva em um jogo da EA. Parabéns para equipe responsável.",5,43,1.34.6.96106,2020-10-23 22:58:05
14,marco brito,https://play-lh.googleusercontent.com/-pcUIp72zMXQ/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnq9wDSSMWScPn9scdoF2LQvDpD3w/photo.jpg,"Quantas melhorias ao longo dos anos... adoro este jogo ! Essa versão é um deleite para os apaixonados pela estética e bom gosto, não faltam requintes aos itens conquistados... Ah ! Sempre sobe o grau de dificuldade, só para evitar o tédio e desafiar nossas capacidades intelectuais. Recomendo com louvor!",5,413,1.34.6.96106,2020-11-04 20:35:22
15,Alisson Morais,https://play-lh.googleusercontent.com/a-/AOh14GgBty88WpMnmNZDOoTCrZ3WTdSfMau1hccs-PP4,"Muito bom esse jogo!!!! Eu me divirto muito jogando esse jogo, ele é super legal, gráficos realistas e em 3d!!!!! Amei!!! Super recomendo!!!! Perfeito!!!! Parabéns aps criadores por criar um jogo tão legal! Pena que gasta internet pra jogar, se não gastasse internet eu daria 5 estrelas.",4,0,1.34.6.96106,2020-11-03 20:26:04
16,Lírio Junior,https://play-lh.googleusercontent.com/-SFWfdbOKUjI/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnVOidlpGfSMm7jz9CcS3IzvyaVSQ/photo.jpg,"Esse jogo tem com certeza os melhores gráficos, mas é muito irritante ! As fábricas não produzem as coisas o tempo todo ... Ou seja, toda hora tenho de mandar algo ser produzido, o que é feito só pra me prender no jogo o que torna tudo mais lento , dar uma automatizada nisso seria o essencial.",1,5,1.34.6.96106,2020-10-28 12:53:21
17,Dirce Elesio,https://play-lh.googleusercontent.com/-w2X8AJYtQNM/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmFnzFIyWN5NFxrLhs1a7G3E_WyHg/photo.jpg,"Os desenvolvedores estão de parabéns, agradeço e parabenizo cada um, o jogo e espetacular, ótimo, recomendo, mas vai uma crítica, vocês deviam dar uma facilitada para o pessoal como eu que começa, e tudo muito difícil, mas de resto o jogo está bom...",5,0,1.34.6.96106,2020-10-27 23:58:35
18,Cicero de Souza,https://play-lh.googleusercontent.com/a-/AOh14GizDwiey_rY7_g-jFAAgdMEf2P8eUqJOHbkcLueyw,"Ainda não recebi os meus dólares de volta 380 que sumiu de minha cidade numa noite em que feito a manutenção do aplicativo , reclamei e nada até agora ? Bom melhorou muito mais o dólar que sumiu da minha cidade numa atualização do aplicativo foi dito a mim que seria reposta e até agora os 380 dólares não voltou para os cofres de minha cidade mais mesmo assim dei cinco estrelas .continuo sem ver ser devolvido ou 380 dólares que sumiram do meu cofre . Ainda estou sem receber os dólares que foram",2,30,1.34.6.96106,2020-10-31 00:27:21
19,Glamour Limousines,https://play-lh.googleusercontent.com/a-/AOh14GhZWBNsSnsmebsQ7mzafVZBxMkJnfrdR89h-my8,"O gráfico muito bom, o jogo é bem legal porém só acho que os itens demora de mais para ficar prontos. E os prédios a grade maioria pede muito material para ser montado. Só acho que poderia ter mais casa não ficar tudo sendo prédio.",3,0,1.34.6.96106,2020-11-03 13:03:53
20,Kitallian,https://play-lh.googleusercontent.com/a-/AOh14GgtuqWDiHBsyE-tDZ6eQlSBVZh4ly4SRImV-Mh1,"O jogo é muito bom, porém o preço pra comprar lojas, sistemas básicos e melhorias é muito alto, sendo que as formas de ganhar dinheiro são poucas, além de vir uma pouca quantia também, podiam melhorar isso aumentando quantidade e formas de arrecadar dinheiro.",2,0,1.34.6.96106,2020-11-08 13:05:14
21,Luan Guimarães,https://play-lh.googleusercontent.com/a-/AOh14Gi-LaYAM2GKy0rfG-lOi_Qpf42QHguu4V83d8WEGg,"Estou mudando minha avaliação de 5 estrelas para 2, pq não é possivel que eu não possa conectar outra cidade ao meu facebook, la ta conectado com uma cidade que não jogo a anos e gostaria de trocar pela nova, onde até gastei dinheiro, e posso perder a qualquer momento a conta, se acontecer algo ao meu celular e por culpa de vcs eu não consigo colocar a conta nova, todo jogo da essa opção e vcs não. RIDICULO",2,2,1.34.6.96106,2020-10-31 07:51:03
22,ïsäbëllä,https://play-lh.googleusercontent.com/a-/AOh14GiKfQAdVqffkyiweszusGoLH-R_U1-r1eUwelRs,"Bom, muito bom, o jogo é legal demais! Melhor jogo. O jogo parece real O jogo tem moedas que quando você gasta todas, faz você depois usar menos O jogo ele é do mesmo universo do que The Sims Ele é de boa qualidade! Espero ter te ajudado a procurar jogos bons!",5,0,1.34.6.96106,2020-10-31 20:46:23
23,Wayslon Andrei,https://play-lh.googleusercontent.com/-bZQKaLG96Ck/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnbjLCHGUnjjfTTzcNX7LFCMR8V9g/photo.jpg,"Ótimo! Apenas acho que vocês deveriam maneirar mais nos preços das construções, como a secretária de transportes e da educação, preço absurdo! E nos pega desprevenidos, pois os sins ficam achando ruim quando não há escola, e só a secretária custa 40.000!",5,0,1.34.6.96106,2020-11-02 18:53:36
24,Vermito Rossi,https://play-lh.googleusercontent.com/a-/AOh14GhC3W3-XzzYAC__7CWVgf33BKL8fRuZjJ61QvE93w,"Jogo SimCity BuildIt há anos. É meu jogo favorito para celular e sou muito feliz com minha cidade. Porém gostaria de pedir aos desenvolvedores que colocassem de novo a ""a caverna do Yeti"" no jogo. Pago o que for necessário.",5,0,1.34.6.96106,2020-11-08 02:30:08
25,Júlia Santiago,https://play-lh.googleusercontent.com/a-/AOh14Gh_krB1iugWm2WkhaenlS0U6RsCWT0wsVUlenKWPg,"O jogo é muito legal, ham... Mas acho que os jogadores deveriam escolher a quantidade de item que quer pegar no QG. Os itens deveriam demorar menos para ficar prontos. No geral o jogo é incrível o melhor que eu já joguei na vida. Eu recomendo.",5,1,1.34.6.96106,2020-10-24 17:07:09
