,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Luisa Hofler Machado,https://play-lh.googleusercontent.com/a-/AOh14GhTijqitlSn0_3XK_TEeP0OuDNV_e0B1mIy1-BtXQ,"Esse jogo é incrível! Muito legal. Jogo faz muito tempo, mas desde essa última atualização ele tem travado bastante, demora muito para entrar e quando estou jogando, do nada ele trava e sai do jogo ai leva mais um tempão pra entrar novamente. Espero que seja apenas da própria atualização, detestaria ter que excluir o jogo.",4,52,4.46.0,2020-11-03 18:42:04
1,Kelly Leite,https://play-lh.googleusercontent.com/a-/AOh14GhkYBZWlIxGiQmESdnwEUzHUyegLhGj0U7lAObMwBg,"O jogo começou muito bom, era fácil fazer as tarefas e ganhar recompensas. Jogo a pelo menos 5 anos, e desde que foi implantada as missões dos empreendimentos, se tornou praticamente impossível concluir alguma tarefa (a não ser que se gaste rosquinhas). Quando era época festiva e o jogo atualizava para o tema, era muito legal caçar fantasmas ou duendes e conseguir as recompensas. Já desinstalei e instalei o jogo várias vezes, sempre na esperança de ter uma atualização melhor. Mas nada muda!!",3,60,4.46.0,2020-11-02 18:36:19
2,Amanda Gomes,https://play-lh.googleusercontent.com/a-/AOh14GjTGeD4kB3WkPBp3e5JuNngrBT4tJuIQ71127yT7D4,"O jogo é ÓTIMO, um dos melhores em construir uma cidade, os personagens a imagem é tudo de ótima qualidade. Só que infelizmente toda vez que Atualiza não consigo entrar direito. Ele já é muito pesado e sempre vem essas atualizações só que não estão sendo boas, já tem 1 semana que não consigo entrar... E tô perdendo mta coisa, minha cidade está incrível é o único jogo que eu gosto e acompanho sempre. Nos ajudem :/",4,163,4.46.0,2020-10-23 19:51:53
3,Joao Paulo Vieira Giannini,https://play-lh.googleusercontent.com/-dE0GDRaYP2Y/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucn4TqTPUCE1XlJAulJryo_3lI3qIw/photo.jpg,"O jogo é muito legal, mas toda vez q tem uma atualização grande é a mesma coisa, o servidor trava e não consigo entrar no jogo, já faz 4 dias que não consigo jogar, perdendo desafios diários, a exploração atual, e não sou recompensado por nada, está ficando difícil",3,97,4.46.0,2020-10-21 09:51:31
4,Nicole Cardoso,https://play-lh.googleusercontent.com/-cxhpyAxdJAA/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckXOJTfyoQQFF549K_VmCZZxASQrg/photo.jpg,"O jogo é maravilhoso , não é maravilhoso é perfeito , eu amei , eu não sei muito o que dizer , eu tenho uma coisa pra fala o jogo é top 👌✌️, eu gostei bastante do jogo , eu só tenho uma coisa pra reclamar, as casas não vira pra todos os lados ,eu entendo que agente tem que ver aventre ,mais se é uma cidade tem que virar pra todos os lados, eu dei 5 estrelas , porque é uma besteira , mais tirando isso o jogo é incrível , eu gosto bastante , eu recomendo super . Espero te ti ajudado 😊 .",5,5,4.45.0,2020-10-14 23:28:23
5,Reinaldo Luiz,https://play-lh.googleusercontent.com/a-/AOh14GhAXg2TCmG0LZTLx3hzqv_XmQmMuIU0y2UJmrBeMA,"O erro da captura de tela continua insistindo, não consigo capturar o tamanho da minha cidade, pq aparece um "" erro desconhecido "" na hora de salvar a captura, já depois de ter compilado a foto. E não é de hoje que não estou conseguindo. gostaria de capturar o tamanho da minha cidade, pra ter noção da minha evolução, porém não estou conseguindo.",5,179,4.45.5,2020-10-01 20:35:41
6,Daniele Lacerda,https://play-lh.googleusercontent.com/a-/AOh14Gic-GYep53iS78N-uxwUWPw5w6DQHVBcdQx4Wv0,"O jogo é legal os gráficos são muito bem feitos. Porém teve um dia que abriu falando q nao foi salvo aí quando consegue finalmente entrar, os meu amigos todos sumiram e não consigo add mais ninguém. E estou desde ontem tentando entrar no jogo e só fica carregando e não entra.",3,1,4.46.0,2020-11-02 23:34:32
7,Karine galvão,https://play-lh.googleusercontent.com/a-/AOh14Gh9d_xsNSnk8I9HiY-maAfJ8CwI0jFM4B7RfrsduQ,"Achei ótimo o jogo,é incrivel!só tenho duas criticas que não mudam muito a experiência com o jogo,queria que as casas,ou outras coisas pudessem virar para mais lados,como por exemplo para trás,a minha outra critica que me deixa meio desanimada é que demora demais para fazer todas as atividades,algumas você realmente tem que fazer, e isso demora muito!mais fora isso minha experiência foi ótima,parabéns.",4,198,4.45.5,2020-09-28 19:25:31
8,Holly,https://play-lh.googleusercontent.com/a-/AOh14GgKH_k5lCP2OFFcDGGCIS93-Xzh7avh3h_x0St8Psk,"O jogo é legal mas vocês precisam urgentemente colocar missões por tempo de missão por exemplo: missão de 24h e aparecer todos os personagens que podem fazer aquela missão p gente escolher já com o botão de iniciar do lado. Pq depois que você tem 20 personagens é cruel ter que clicar na lupinha ou no personagem, colocar um por um e rolar p escolher o tempo que você quer ..",3,21,4.46.0,2020-10-29 16:34:19
9,Vili e Sheila Bartikevitsch,https://play-lh.googleusercontent.com/a-/AOh14GitV4VANPlIOuootmUMTJ3vnInu4-Znk-8iBHqXBw,"Jogo há mais de 5 anos, já passei da fase 939 faz tempo. Me dediquei mesmo!!! Tenho como conseguir muitas rosquinhas para completar Springfield! Porém não tenho mais espaço para colocar mais prédios e casas! Liberem mais áreas para comprar! Preciso de espaço!",4,293,4.45.5,2020-10-11 08:20:17
10,Iuri Schwartz,https://play-lh.googleusercontent.com/-_uDQRb1vQjA/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckm3gafGbx0PkIP1R9NmME-r0jUjQ/photo.jpg,"O jogo é muito bom, porém a evolução é bem lenta devido a pouca bonificação nas missões. Falta informações sobre a estátua Dedo do céu, muitas pessoas pensam que ela termina os serviços imediatamente, DEVERIA ter a opção de nós conseguirmos cancelar a plantação, pois cliquei sem querer nos milhos reais e não consigo cancelar a plantaçao.",2,140,4.45.0,2020-09-20 12:15:16
11,Kleber B Kalil,https://play-lh.googleusercontent.com/-V9rScq7V6Fs/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucn7l27oVmRXTX0UnhmtIu6u3gjpXw/photo.jpg,"Não funcionou pra mim. Depois de instalado, é pedida uma atualização pesada. Fiz a atualização conforme o desenvolvedor pede, mas travou o jogo. Pegadinha, cilada... Provavelmente é mais um App pra enganar otário que nem eu. Não recomendo.",1,16,4.46.0,2020-11-01 14:18:33
