,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Edilson Assunção,https://play-lh.googleusercontent.com/-1quvDn9a6-Q/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckAeLrxzN3YKI7TZLCv2Ddp03SdZA/photo.jpg,"Grinding quase infinito para 99.9% do que se pode obter no jogo. Duas maneiras de se conseguir algo nele: Gastar muito dinheiro ou levar sorte num sistema de rng obscuro o qual sempre tende a dar o valor mínimo de tudo que se tenta obter. Sem contar os bugs que sempre acontecem, principalme em eventos específicos nos quais, além de vc contar com a sorte de ter alguma chance para vencer ainda tem que torcer para que o jogo não trave e vc perca o progresso. P2w nível épico.",1,1,0.20.622868,2020-11-09 04:23:58
1,Diana Charlotte,https://play-lh.googleusercontent.com/a-/AOh14GjT8ttTyBUQmqUeC1Vok9mYQYie3FDjjAqGwKLC,"4 estrelas porque eu gostei muito da proposta e estilo do jogo, mas tem alguns problemas que são impossíveis de deixar passar, como personagens completamente desbalanceados e que são fáceis de conseguir(como a equipe fênix) e as batalhas de frotas,que tem o mesmo tempo das batalhas de esquadrões(5 min), mas metade dele é só pras animações dos ataques das naves,resultando em a gente não ter tempo pra destruir as naves inimigas e empatando as partidas sempre.",5,86,0.20.622867,2020-11-02 21:34:01
2,Roberto Caetano,https://play-lh.googleusercontent.com/a-/AOh14Gge2LlM5rbsgKx2CLr_w_EgRqUYoIJk0wJPot1GVg,"O jogo em si é muito legal, sempre criando novas coisas...o problema é que o jogo é muito mercenário e se você não pagar, poder levar ANOS para montar uma equipe boa, o frio é absurdamente baixo e eles não fazem a mínima questão de mudar isso...as coisas são caras e em 99% das vezes, as melhores equipes são de jogadores que PAGAM. Infelizmente quanto mais o tempo passa, mais eles vão piorando nisso.",3,24,0.20.622867,2020-10-29 20:07:35
3,Pedro Bina Augusto,https://play-lh.googleusercontent.com/-yDj6-4zKV94/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnOuz8fLz8znrCxFfwlX6OXNGR85A/photo.jpg,"Gostei muito do jogo! Ele traz os melhores personagens da saga Star Wars (Cânon), mais diversos personagens da Velha República (Legends). Além desse detalhe, gostei de como o jogo é desenvolvido, os detalhes, o controle, etc. Talvez...minha única crítica é sobre as guildas. Elas são meio difícil de entender, poderia ser melhor explicada, mas quando você pega o jeito, você acaba compreendendo melhor. Mas no contexto geral, é um excelente jogo.",5,3,0.20.622868,2020-11-03 17:13:23
4,Fernando Mario Trigueiros,https://play-lh.googleusercontent.com/-rRKOYiSvn34/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnWY52dwrqgUn8Z8Gu0ZIIW6A2EEw/photo.jpg,"Adoro o jogo... Jogo diariamente... Mas infelizmente o jogo está travando e não abre... Tendo em vista que o modelo de meu cel é mais que o suficiente para rodar satisfatoriamente o jogo, estou desapontado. Espero que resolvam a questão de otimizar o funcionamento do app...",5,6,0.20.622868,2020-11-05 15:50:26
5,Eduardo Baiz,https://play-lh.googleusercontent.com/a-/AOh14GgcOPh1ODNQm5256HQNGv1JDtIBsAa-5_-TtXUR,"Este jogo já foi excelente, lá em 2016 e 2017. Hj em dia, apenas quem paga quantidades absurdas de dinheiro consegue vencer. Sdds de quando ele era mais simples. Agora tem um monte de mini missoes e um monte de coisas inúteis para serem feitas constantemente",1,1,0.20.622868,2020-11-04 22:23:58
6,Gabriel Joao Marques,https://play-lh.googleusercontent.com/-lG5kE40FIf4/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucniOSxsms1W-cnsLpflECgEizdxOQ/photo.jpg,"Desculpem o que disse sobre este Game A uma fase q sempre tentei passar mas era preciso tec tem bons gráficos a ação do ataque incrível os personagens vêm star wars rebels , star wars normal star wars the MANDALORIAN isto tem tudo para ser bom baixe. Eu recomendo",5,0,0.20.622868,2020-11-08 16:07:35
7,Daniel Ury,https://play-lh.googleusercontent.com/a-/AOh14Ggc4JvdADOzFa7LpOgVRRBQ1frtuJAqoCfkUL9TUQ,"Poxa tem um grande desbalanceamento nesse jogo, eu tô no nível 47 e fases com personagens no nível 40 38 são mais fortes que eu. Só com um ataque me matam. Isso é sacanagem. Forçando a gente a comprar materiais pra ficar mais forte.",2,7,0.20.622867,2020-10-30 16:00:49
8,Ezequiel Luiz,https://play-lh.googleusercontent.com/a-/AOh14GhKBSFlRBgjaLjMC9tUcyBNcAVnzBiE1i_Lefz6Iw,"O jogo entrega o melhor conteúdo f2p possível, é sempre atualizado, viciante e intuitivo. Parabéns pra ea dessa vez!",5,0,0.20.622868,2020-11-08 22:29:34
9,Rodrigo Fonseca,https://play-lh.googleusercontent.com/a-/AOh14GjhahhbQDF3vLB_xJxIzlPFOZdLmfj5Tw9o0VXm4A,"Pra quem gosta do gênero, é muito bom. Mas sem paciência não vais durar no jogo. Jogo bem difícil. Mas é muito legal.",5,1,0.20.622868,2020-11-04 10:09:33
