,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Jeferson Lemes,https://play-lh.googleusercontent.com/a-/AOh14GhSlE8Dr_Zac0JPI72YNj2eR9kCtR9r3s6JFgrlyg,"Eu jogo esse jogo a anos, e cada vez mais fico mais desanimado. Já gastei um bom dinheiro nesse jogo e NUNCA VAI SER O SUFICIENTE. Se você comprar um carro, QUE É CARO, ele em dias se torna inútil, porque no próximo desafio na semana seguinte você vai ter que gastar tudo de novo. Nesse jogo o objetivo é pegar o seu dinheiro, E apenas isso. Sem contar os desafios impossíveis hahahaha. Gente quem são os gênios que fazem esses desafios, e coisa de quem nunca jogou o jogo é endende de automobilismo",1,2,8.8.2,2020-11-08 21:09:04
1,The Trooper,https://play-lh.googleusercontent.com/-HXcf81edv7o/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnxgI_kWoFhbRuSTSWAlDKu0q80mw/photo.jpg,"Jogo excelente! Uma experiência de pilotagem bastante realista pra um jogo mobile; mesmo contando com microtransações, não é um pay-to-win limitante como a franquia Asphalt, e tem excelente variedade de carros (de rua, F1, F-E, Nascar, GT4 e endurance). Minha ressalva fica para a instabilidade após a última atualização. O jogo se fecha entre as corridas com alguma frequência",4,357,8.8.2,2020-10-21 20:20:03
2,Toxix Games,https://play-lh.googleusercontent.com/a-/AOh14GgM54ZPOibo3_no2HT2KL5ixWu5w4aZPX0EU2-4,"Cara me impressionei, jogo muito bom, eu achava que era só mais um P2W genérico, mais me enganei muito, lindos gráficos, jogabilidade divertidíssima, ótimos controles, modo online nota 10 funciona perfeitamente, e o jogo é bem balanceado, eu com pouco tempo de jogo ja consegui comprar 2 carros, to Amando vale a pena o instalar, estou gostando mais dele do que do Grid, parabéns aos desenvolvedores, espero que eles continuem assim para sempre manter o jogo limpo e divertido, bom é um jogo nota 10",5,284,8.8.2,2020-10-29 04:42:03
3,Valdir Da Silva,https://play-lh.googleusercontent.com/-6fTsqDwgPGc/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucncSc7vS1VyEQXX1491gp2drYIlgw/photo.jpg,"O jogo é muito legal,porém,tem algumas coisas ruins como na fórmula 1,os carros ficam ruins depois de corridas,e você quer concertalo rápido,e pra isso tem que gastar o dinheiro do jogo que você ganha, aí acaba o dinheiro do jogo,como vai concertalo?é por isso que eu dei 4 estrelas pra ele.",4,22,8.8.2,2020-11-06 09:20:05
4,Alisson Rodrigues,https://play-lh.googleusercontent.com/a-/AOh14Gjxxis9-0aEV_3JYJ6Yw-kMRbu_4mr2vcf1Wrq8YA,"O jogo é muito bom e bem realista,porém,o que eu não gostei foi do fato de que toda vez que vc vai fazer a regulagem do carro tem que esperar um tempo,isso me desagradou bastante! Cada regulagem que faz demora 3h,achei isso um absurdo! Concertem isso por favor!!! Tirem esse time para fazer as coisas,isso deixa o jogo mais chato e também se vc quiser acelerar o processo tem que gastar uns absurdos do seu dinheiro ou ouro. Bom,fora isso gostei bastante.",5,287,8.8.2,2020-10-30 14:41:33
5,Danilo Lopes,https://play-lh.googleusercontent.com/-b0zSHlZeH1o/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnfkc5YJ8ajz0ylpRV1xdtZpC-7iA/photo.jpg,"Já foi melhor, travando demais ,muitos bugs. Perdi 800 moedas ,pq comprei um Mercedes do modo endurance e trava a corrida e não consigo jogar, quer dizer ,eu que sou pobre e ralo pra conseguir as moedas na raça, perdi tempo kkk. Esse fórmula 1 é da hora,mas essa atualização trava demais. Tô na segunda faze desse novo em Monza e já travou tbm... Kkk. Já q tá ruim, preciso criar vergonha na cara e parar com esse jogo e dar mais atenção pro inglês que eu ganho mais kkk",2,118,8.8.2,2020-10-22 12:52:41
6,Alexandre Camargo Fontes,https://play-lh.googleusercontent.com/a-/AOh14GisM5jIh62tegw-0N41qTMIwXwRvWeoDrWLfohY,"O jogo é um bom simulador. Na versão anterior como ex:a pista de fórmula 1 no circuito das Américas dificilmente chegava se na quarta curva pra esquerda após a largada "" já em primeiro lugar nesta versão "" graves também possa ser por causa da posição de status .na versão anterior eu estava com estados de 101 .ganhando 25 moedas por cada estados alcançado. Mas infelizmente meu celular estava sendo rastreado por aqui por perto e eu tive que zerar o androide e mudar de chips. Parabéns",5,39,8.8.2,2020-10-31 19:54:52
7,Kalun Amir,https://play-lh.googleusercontent.com/a-/AOh14GjUTLHyWyAykxgRAGPvgmuzjeVrjLeaX_hpRaqPZw,"Bem que poderiam adicionar uma opção de resolução gráfica nas configurações como já acontece em alguns jogos, isso é bom pra uma melhor fluidez em vez de usar a resolução básica do aparelho e muitas vezes também drenar muita carga da bateria, fora isso é um excelente game! Recomendo.",5,0,8.8.2,2020-11-06 08:31:01
8,Paulo Paes,https://play-lh.googleusercontent.com/a-/AOh14GiicPoTo476OqB8nMRTxk4mvp0rERDwbJ0WzcM,"Esse é excelente muito bom mesmo eu adoro jogar é de primeira linha, convido a todos a participarem será maravilhoso, e agora a atualização que colocou a formula 1 temporada 2020 shows... adoro esse aplicativo...sem dúvida o melhor aplicativo de corridas do mundo . É sensacional...Vou ganhar todas...kkkkk...Mônaco é muito difícil e emocionante, participem e sintam seus corações a 300 km/h... sem esquecer dos carros da formula E e as competições de Nascar 2020...😛😛🤙",5,223,8.8.2,2020-10-27 15:55:06
9,Aldo Braz,https://play-lh.googleusercontent.com/-uTwY9pxv6mQ/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnm-DE0A7BLUyJHchoiy07C3C-Y9w/photo.jpg,"Esse jogo está cada vez melhor, cada atualização melhora , tá ótimo é com à formula 1melhor ainda, carros perfeitos, grafico perfeito, quando liberar a Nascar vai ser louco. Só que para atualizar o carro durante uma competição é preciso muito dinheiro Não gostei da configuração de regulagem, vç atualiza no máximo o carro e não consegui ganhar a corrida sem atualizar também a regulagem. Agora está faltando pistas com chuva.....",5,38,8.8.2,2020-10-25 06:34:12
