,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Cristiana Borges,https://play-lh.googleusercontent.com/-NIqQ-mEp6bM/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucm5lpJvBItm4-GMfDTX-M2DkwWTUQ/photo.jpg,"O jogo é muito bom mas algumas tarefas por exemplo deveriam ser executadas em menos tempo em vez de serem executadas em 18 horas deveriam ser executadas em duas por exemplo, outro problema são as caçadas que exigem muito tempo e que na minha opinião deveria ser melhorado para o jogo ser ainda mais interessante porque acho que se o jogador que não as consegue concluir como é o meu caso,então não vejo a utilidade delas.",5,33,5.56.1,2020-11-08 08:58:08
1,Dani Souza,https://play-lh.googleusercontent.com/a-/AOh14Gh9ymB6WIJUvZ5WpT-bIemNIb2LFs1XEergi3r-,"O jogo era maravilhoso. Mas o novo estilo de missões (aquela do apresentador Kan Han) é impossível de ganhar sem gastar PEV's ou Pontos Sociais. Não uso Bug, então é difícil... Antes eu jogava todo dia, agora entro uma vez por mês e olhe lá, pq sei que não vou terminar as missões mesmo!!!",1,281,5.56.1,2020-11-03 06:19:53
2,Alexandre prates 2020,https://play-lh.googleusercontent.com/a-/AOh14Gg1hXirKcNd6mdYXcpctmrpe9V4Nxzq0XsUDSZt,Sims muito masa!!! Só o ruim e que às casa e muito cara. vc compra uma o preço das outras aumentam isso é muito ruim. Nem que ñ diminuísse o preço mas continuasse o valor atual... os lotes também deveria ser maior o muro também poderiam ser agente que construisse. vcs atualizam o jogo direto mas ñ vejo nehuma deferença a única coisa que muda e só a foto do perfil e mais nd parece que só o que vcs sabem fazer né.,5,176,5.56.1,2020-11-05 10:31:13
3,Geane Cordeiro,https://play-lh.googleusercontent.com/a-/AOh14GgupjhrfGtaXxRphx5jZ28qQyXx6aFigXyBpcedBw,"Gostei muita desse jogo, jogo deste de que tinha 6 anos que era quando a classificação era livre. Já consegui missão que eu queria, que e a ""preparando pra pré adolescentes"" mas ainda está no quarto lugar da fila mas ganhei a missão para bebês, como essa e rápida ja já vou ganha a de pré adolescente estou muito ANSIOSA E ANIMADA! Por mim esse jogo e recomendo pra vc que vai instalar. BOM JOGO",5,196,5.56.1,2020-11-03 14:15:27
4,Alline Aparecida,https://play-lh.googleusercontent.com/a-/AOh14Gi-m90aDWvB7hhbV1KOt98Ac1BO-3k0TSQoPrRh,"Eu amo esse jogo! Cada atualização é melhor ainda ! Tem gente que reclama do preço de tudo, mas eu concordo pois n seria justo vc compra algo em um valor é os outros continua o msm é super fácil conseguir tanto o dinheiro quanto os ponto de vida vcs reclama de mais tem mt missão legal que da ponto de estilo de vida e mais de mil reais no jogo só precisa saber jogar é ter paciência pq tbm n é da noite pro dia que vc vai ter bastante neh. mais eu amo esse jogo! Ent baixem pq n é perda de tempo !!!",5,57,5.56.1,2020-11-07 10:39:13
5,Marlene Gonçalves,https://play-lh.googleusercontent.com/-XParXcsf5Bo/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnqh9ch2q9AJxwmm1dItz8RqglaYQ/photo.jpg,É legal esse jogo só que o único problema é que as casas são muito caras os móveis isso é bastante chato eu fiquei bastante chateada deveria ser barato aliás é um jogo não precisa ser igual de realidade porque na realidade é complicado porque tudo é caro nesse mundo né tô pelo menos jogo fosse barato,4,0,5.56.1,2020-11-08 19:50:11
6,Ester Kids,https://play-lh.googleusercontent.com/a-/AOh14GgWfhdmLHntDCBUt1RCwj9TiTeJo8GWSqLBC2Ju9Q,"Amo esse jogo, mas poderia ter opções de escolher um look para cada ocasião, e também ter mais interações românticas com os Sims, vcs poderiam adicionar essas atualizações no jogo????",3,3,5.56.1,2020-11-06 11:45:39
7,Wemerson Jorge,https://play-lh.googleusercontent.com/-C1DmmvWejfQ/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclINGYiS3gvrB4Sx84LC_feOr4v7A/photo.jpg,"Pelo o visto os comentários aqui não adiantaram muito né? O jogo é muito bom eu amei de verdade. Mais cada vez q a gente ganha dinheiro ou constrói mais casas, as casas vão ficando mais caras pra q isso? Fora q quando construímos algo muitas das vezes não conseguimos entrar. Igual quando eles vão trabalhar. Isa ser legal se a gente podessemos fazer eles trabalharem e tal. Os níveis demoram muito a chegar. E muito difícil desbloquear tudo. O jogo é Ótimo mais poderia facilitar mais pra gente.",3,71,5.56.1,2020-11-04 18:47:41
8,DRICA 0101,https://play-lh.googleusercontent.com/a-/AOh14GjXNJMKkwoUjFOyvYsKkdS0-KpNGdnTvylK6HNTEg,"Então eu acho que vocês deveriam colocar a opção de conversar em grupo, porque fica só dois Sims conversando aí fica um de molho sem fazer nada, também deveria colocar mais cabelo, roupa, sapato, trajes e etc. Tem muita coisa faltando dentro do jogo, além também que as missões são muito longas, aí acontece que nem aproveita o jogo direito. E também eu acho que já passou da hora de trazer o The Sims 4 versão mobile, a empresa nem dá a mínima pro jogo, só que dinheiro, por isso ouço tão mal da EA",4,87,5.56.1,2020-11-03 09:34:09
9,The Queen,https://play-lh.googleusercontent.com/a-/AOh14GgY0JmEItCzYw9WPyDcm-NyzZ9ukpaH-KKbJQxUyw,"Eu gosto muito desse jogo no celular. Mas poderia ter opções de ganhar mais ouro! Seria bom se tivesse uma atualização grátis para viajar para outro lugar. Outra cidade. Sei lá, já tô viajando kkkkkkk",5,3,5.56.1,2020-11-05 15:09:26
