,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Rafael Silva,https://play-lh.googleusercontent.com/a-/AOh14GhW2gSbNBddlXsiug-3-38uhSSkC9PCKsjaWIXYKQ,"Não pensava que vocês poderiam estragar mais esse jogo é com a última atualização fizeram essa proeza!!! Primeiro o time que já tinha montado virou time ""Legado"", tenho usar um outro time para as competições e outra tinha quase 25.000,00 moedas que se tornaram 100.000 e aí? Uma atualização que te obriga a começar tudo novamente? E nem corrigiu os bugs anteriores? Estou decepcionado.",1,144,14.0.01,2020-11-08 15:06:00
1,Alice X28,https://play-lh.googleusercontent.com/-bFfFVU_lfDY/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucm-2bLIsJH2CRvFL7npk4hocSx7Vw/photo.jpg,"A ideia de usar os personagens que tinhamos antes da atualização, pra pelo menos ""salvar"" o nosso antigo time é daorinha. Mas resetaram todo meu saldo, meu dinheiro, minhas moedas e joias, jogadores, habilidades e cartas. Se soubesse que iam resetar tudo, eu teria gastado todo meu dinheiro em outros jogadores, tinha mais de 5 milhões na conta e agora tenho 45 mil. Triste que isso tenha ocorrido.",3,84,14.0.01,2020-11-08 04:59:57
2,andeberg melo,https://play-lh.googleusercontent.com/-d30o0vG_jUY/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmLv8UFEgcS4CCrN9Bwx9r_1VpFcw/photo.jpg,"Acho que poderiam melhorar o multiplayer, tipo, um modo treino livre, modo online com amigos, e se for possivel criar um modo de criação para os players poderem fazer mapas com desfios de futebol, e tambem um modo criativo para os players fazerem o que quiser no campo, como, apostar corrida por exemplo, entende? Deixar o jogo mais livre, seria muito legal ❤",4,88,14.0.01,2020-11-08 12:23:42
3,Edmar Pereira dos Santos,https://play-lh.googleusercontent.com/--6W95DYGBf0/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmbTrom-qKwSJkuXcczt0Rtc08iUg/photo.jpg,"Muito bom, divertido e disafiante. Tenho muita dificultade em usar os controles manuais. Dificulta muito competir bem. Perco fácil. E minha internet é fraca para ele. Não consigo participar de alguns tipos de desafios que exigem mais da internet. Fiquei frustrado e desapontado no desafio ao disputar a última partida para adquirir o Thiago Silva. Joguei até perder a conta, cansar e não aguentar mais. Impossivél pra mim vencer. Estava gostando muito do evento. Desanimei. Não vou comprar mais nada",3,402,14.0.01,2020-11-03 16:21:41
4,Marcelo Oliveira,https://play-lh.googleusercontent.com/a-/AOh14Gjq5V03BlYUg47wCJ3Zr43MKUnSFLFkd3RPgV5o0g,"Não perca seu tempo, neste jogo tem que gastar muito dinheiro E mesmo assim se pagar pra ter uma equipa boa, vai perder, já que o jogo ta cheio de bugs, os jogadores passam sozinhos, o online ganha quem tiver gasto mais dinheiro, voce clica pra rematar ele ficam a olhar para a bola durante 3 anos e depois rematam! Pvf se voce instalar este jogo não gaste dinheiro nele! Não vale apena, se gastar dinheiro, a EA vai cada vez piorar o jogo para fustrar os jogadores e fazer que gastem + dinheiro!",1,283,14.0.01,2020-11-05 09:16:17
5,Claydson Araujo,https://play-lh.googleusercontent.com/a-/AOh14Gi17WvXrwZ6K38SwMmS1g56-W8BlSa-CteI4aD3-g,"Um ótimo jogo, porém deveriam mudar o sistema, pois o usuário é o nome que fica no seu time, não deveria ser assim.Era para nós entrar e aparecer ""escolha seu time"", então ficaria lá o nome e o escudo, tirando isso é um jogo ótimo, ainda mais por não ser pesado e por apresentar várias formas de jogar.",4,2,14.0.01,2020-11-08 00:31:36
6,Aelson Santos,https://play-lh.googleusercontent.com/a-/AOh14GgjM40SPaoobTDrRhaXzLFuNxTm5MyVE_7zdR6R-A,"Tinha dado 5 estrelas até a última temporada, mas acabaram com o jogo. Temporada de 2021 o jogo tá péssimo. - Jogabilidade piorada. - Modo de jogo 1x1 simplesmente não dá pra jogar. Minha conexão é muito boa e meu aparelho é muito potente e mesmo assim o lag é gigante ao executar os comandos. Se não derem um jeito irão perder muitos jogadores.",2,2,14.0.01,2020-11-08 12:28:15
7,Yohan Natan,https://play-lh.googleusercontent.com/a-/AOh14GjnOtRBYTgy2vlCPH3DrMn8ZvKY9s5jrvESq53wIQ,"Eu formatei o cel e quando instalei o jogo de novo, eu perdi minha carreira, meu time montado, como faço pra recuperar o meu time? help.. É sério que o FIFA reiniciou o time de todo mundo por causa da nova temporada? isso não faz sentido!!! Passei horas jogando pra conseguir montar um time bom, pra FIFA acabar com isso.. Isso desanima qualquer um a continuar jogando. Quero meu time de volta! Gastei dinheiro em pacotes pra compra-los. Decepção!!!",1,10,14.0.01,2020-11-06 12:12:44
8,Daniel Monteiro,https://play-lh.googleusercontent.com/-KQbNtoAXm_E/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnQit-4lIX4jo6JBU_BjVeaF5z3gg/photo.jpg,"Mano,o FIFA 20 era muito bom,mas a EA fez o favor de acabar fazendo essas mudanças sem sentido no FIFA 21,mudaram os jogos de habilidade até deixarem de legais que era no FIFA 20,pra extremamente chatos no FIFA 21, já não tinha ficado bom as mudanças colocando missões pra fazer em pouquíssimo tempo em um jogo,agora fizeram isso,o jogo passou de legal para chato e em minha opinião não dá mais nem vontade de jogar isso,era um jogo para destrair,agora é um jogo pra passar raiva,isso tem que mudar!",1,230,14.0.01,2020-11-05 18:52:41
9,goals Teixeira,https://play-lh.googleusercontent.com/-CURpRdnfZP4/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnS9yl6CdNh0QkQr-G3V_MEkI0izg/photo.jpg,"Esse fifa tá MT top, só n ganha pro fica 18 mobile (e minha opinião), eu n tô vendo nada de bugs, acho que só estar acontecendo nós cll ruins, uma dica: se tiver ficando com MT bug ou pág coloca um gráfico mínimo (não sei o nome direito) outra coisa, isso e bem normal acontecer, quando muda de temporada os times renicia a um time 55 ou 54 de overall, eu acho isso bom pq teria uma época que o time ficaria só no mesmo over",5,2,14.0.01,2020-11-07 13:04:34
10,Denilso Machado da Silva,https://play-lh.googleusercontent.com/-2sJirLTR8aA/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmd8VwjU4KYtSmNq7eWnumXI0eEPg/photo.jpg,"Essa nova atualização de vcs está decepcionante, muitos jogadores, por mais craques que possam ser erram passes de 1 metro de distância, as bolas aéreas também estão deixando muito a desejar, muitos jogadores estão livres dentro da área para fazer o gol, e muitos são craques, e mesmo assim erram gols imperdíveis, por favor consertem isso urgentemente nas próximas atualizações!!!",4,265,14.0.01,2020-11-06 21:15:54
11,Uirá Jardim Rocha,https://play-lh.googleusercontent.com/a-/AOh14GjjFz2hefXJuChh2Rg3Kvp4rb3F8p2_XdWwJp9Knw,"Equipe EA, a atualização de dados para a temporada 2020/2021 em si está maravilhosa. Porém os servidores do jogo estão bem instáveis, ocasionando em problemas de conexão até em redes 4G e Wi-Fi Fibra. Mesmo já estando logado no jogo problemas como ""ERRO DESCONHECIDO"" e ""Falha no login"" são recorrentes e afetam (não de forma positiva) a gameplay de muitos usuários. Conto com a participação ativa da Equipe EA em futuras atualizações e correções nos servidores do jogo. Para Equipe EA",5,19,14.0.01,2020-11-04 10:55:40
12,Joao Vitor Silva Ribeiro,https://play-lh.googleusercontent.com/-XjlsbZxcryQ/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucn-yrcQ8sXk6zZgWuf0xXNltkyqCQ/photo.jpg,"Gosto muito de jogar, mas eu acho que vocês poderiam melhorar na escolha de adversários do multiplayer. Como exemplo: Nessa nova temporada tem o modo ""MEU LEGADO""(nesse modo você joga com o seu time da última temporada) e tem como jogar contra outros jogadores para ganhar mais pontos, meu time tinha o GER 80 na última temporada, E EU JOGUEI CONTRA UM JOGADOR COM O GER 125. NÃO TINHA COMO EU JOGAR, o outro jogador não teve nenhum esforço para ganhar!!! POR FAVOR CORRIJAM ISSO!!!",3,273,14.0.01,2020-11-03 00:14:45
13,Ramon Omena,https://play-lh.googleusercontent.com/a-/AOh14Gi5kEkBN76yAKJmO7L2fERlUHYFDByr5ATUSoum,"Péssimo gameplay, nada suave. Pior implementação de joystick que já vi em um jogo. Você não consegue desabilitar todos os gestos e jogar só no botão, do nada seu jogador chuta a bola pra longe pq entende o movimento do joystick como um chute, isso tudo sem falar na EA, empresa super mercenária, só faz eventos impossíveis de terminar sem pagar, eventos desbalanceados e bugados, o jogo que deveria ser competitivo está super pay2win",1,90,14.0.01,2020-11-07 17:31:53
